id,window,direction,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
ALL__ret1__low,primary,rt,136,-0.6337874711976286,-0.626400186944445,41.911764705882355,-29975.03887558043,0.5740966764536313,0.6419052108120261,-12.229427049039757,-31962.29117840652,38
ALL__ret1__low,primary,pt,136,0.2540198852643281,0.2658886471992561,51.470588235294116,9255.15805758157,1.247937042747473,1.1473077633053022,-8.464638457150821,-8004.246965558936,38
ALL__ret1__low,2023,rt,75,-0.17422836903616795,-0.0802172931899547,48.0,-239.04629534986594,0.8592001164265527,0.9846295329642926,-10.282333952808328,-5403.22795559995,10
ALL__ret1__low,2023,pt,75,-0.32270211368847995,-0.4099094698230774,38.666666666666664,-6097.412142149822,0.757506469379632,0.6776057931556857,-6.858613988955812,-9426.687958849863,10
ALL__ret1__low,2021_2022,rt,84,-0.6803792324284679,-0.5535929788032949,30.952380952380953,-6590.867554299903,0.2948320288050343,0.28044450691687034,-4.789404171033474,-6590.8675542999035,31
ALL__ret1__low,2021_2022,pt,84,0.09079378854733895,-0.04179481537118205,48.80952380952381,1125.2744143001037,1.1765510777087886,1.2397047218743786,-3.6571085519030895,-1500.7091619499547,31
ALL__ret1__low,2024,rt,49,-0.7889249881698531,-0.3110958913043424,44.89795918367347,-7554.53004719986,0.4720451604429889,0.5023569950234492,-10.105854526435447,-10237.885657799896,16
ALL__ret1__low,2024,pt,49,0.3890747952171002,-0.0990598085895829,46.93877551020408,3322.75136720014,1.4349314323545685,1.345741180202718,-4.84578237451057,-2372.067762799984,16
ALL__ret1__low,2025,rt,47,-0.4765386172560565,-0.6261261869668096,38.297872340425535,-7732.2538315247775,0.6943172240018598,0.7707987320088979,-12.229427049039757,-13647.81636815687,14
ALL__ret1__low,2025,pt,47,0.09996070172871971,0.2640140750088834,53.191489361702125,65.79762252515798,1.0804760283039179,1.002257660646467,-8.464638457150821,-8004.246965558935,14
ALL__ret1__low,2026,rt,40,-0.6285114162880004,-0.7575829382596022,42.5,-14688.25499685579,0.5501889165760985,0.5778111680895817,-10.70066262246178,-15739.054461881875,10
ALL__ret1__low,2026,pt,40,0.2695971612265222,0.39843772326278654,55.00000000000001,5866.609067856276,1.2904880399367102,1.2436902342602725,-5.272534001019839,-5001.213555305926,10
