id,stage,factor,tail,timing,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,months,delete5_pct,delete5_cash,stress10bp_pct,delayed_n,delayed_pct,delayed_cash,max_cash_loss,2024_n,2024_pct,2025_n,2025_pct,2026_n,2026_pct,basic_pass,cluster_t,maxT_p,statistical_pass,literal_open_pass
C__ma20slope5__high,C,ma20slope5,high,previous_close,9,0.889157954345507,2.149837895194284,55.55555555555556,2436.956494250017,2.0289503593521765,2.517204399434048,-3.505611329329607,-679.6167004499988,3,3,-1.9443167292705592,-1606.2150196499942,0.7897248796901013,9.0,0.2686036038508785,1028.3802347000187,-667.6108680999986,7,1.0308107916871427,2,0.39337302364978144,0,,False,,,False,False
D__relative_ret5__high,D,relative_ret5,high,previous_close,3,0.8092138579714984,1.1118539539473684,66.66666666666666,457.88985785000597,2.9330260529177554,3.1172932751026465,-1.255876282810651,-216.26189589999404,2,2,,,0.7097469082326494,3.0,0.2053353731424065,118.23317115000785,-216.26189589999404,1,1.1118539539473684,2,0.6578938099835635,0,,False,,,False,False
R__ret10__high,R,ret10,high,previous_close,1,0.7265464680488039,0.7265464680488039,100.0,148.9420259500048,,,0.7265464680488039,0.0,1,1,,,0.6270348873170845,1.0,0.14177168463417616,29.06319535000611,0.0,0,,1,0.7265464680488039,0,,False,,,False,False
R__ret20__high,R,ret20,high,previous_close,1,0.7265464680488039,0.7265464680488039,100.0,148.9420259500048,,,0.7265464680488039,0.0,1,1,,,0.6270348873170845,1.0,0.14177168463417616,29.06319535000611,0.0,0,,1,0.7265464680488039,0,,False,,,False,False
C__relative_ret5__low,C,relative_ret5,low,previous_close,5,0.7220270561843107,-0.0601616965596156,40.0,2431.786129226047,3.7522107487762035,4.984488614433249,-0.7762676270236827,-494.24959812597876,3,3,,,0.6225061581225639,5.0,0.09089795462007096,74.51693143701777,-494.2495981259788,0,,3,0.47865706606335046,2,1.0870820413657512,False,,,False,False
D__ret5__high,D,ret5,high,previous_close,2,0.6578938099835635,0.6578938099835635,50.0,246.63760660000594,2.047704808169794,2.140457987633931,-1.255876282810651,-216.26189589999404,1,1,,,0.5583519347173856,2.0,-0.09018861383902826,-33.07966479999462,-216.26189589999404,0,,2,0.6578938099835635,0,,False,,,False,False
D__intraday5__high,D,intraday5,high,previous_close,6,0.6414692492148241,0.4347108809103448,50.0,909.1655917960214,2.6682704059599427,2.3155262459592447,-1.2127551389508635,-415.1057012640035,4,4,-1.2127551389508635,-415.1057012640035,0.541913502481333,6.0,0.6150023386259161,1768.1266923980177,-415.1057012640035,1,-0.3110958913043424,3,1.2542040125799863,2,0.1986496744266637,False,,,False,False
C__gap_over_atr__low,C,gap_over_atr,low,after_open,27,0.6377476974146886,1.7703589783722706,59.25925925925925,7911.496466051183,1.6599611757819415,1.9078737517368283,-8.827690427622347,-2956.962787694995,16,12,-0.1434822970744045,-932.8700027828859,0.5381876813950325,27.0,0.4002148420760804,5693.899145388156,-2956.962787694995,7,0.32454268250681734,10,1.0321022569276308,10,0.4626366483372567,False,,,False,False
D__ret10__high,D,ret10,high,previous_close,2,0.5871183932679283,0.5871183932679283,50.0,214.75301395000696,3.4363439472672725,3.4495679206762166,-0.4819667550851924,-87.6697527499965,1,1,,,0.4875401765163691,2.0,0.670761232880315,244.72272160000756,-87.6697527499965,0,,2,0.5871183932679283,0,,False,,,False,False
C__bias20__high,C,bias20,high,previous_close,26,0.5803795739598641,0.9667342379040516,57.692307692307686,5850.5768203231,1.6229163770270565,2.0864327395248226,-4.650157583560376,-3928.1517602999784,7,8,-0.24479726922842315,-853.0258387689348,0.48079271826855485,26.0,0.19858702030954042,3153.408691017072,-1023.9646998999948,15,-0.40386063827594837,6,2.765767443676136,5,0.9106347670077743,False,,,False,False
