date,time,code,open,high,low,close,volume,amount,adjustflag,dt
2025-01-15,20250115093500000,sh.601138,20.5,20.5,20.3,20.3,10104900,205880000.0,3,2025-01-15 09:35:00
2025-01-15,20250115094000000,sh.601138,20.3,20.31,20.11,20.2,11224700,226759200.0,3,2025-01-15 09:40:00
2025-01-15,20250115094500000,sh.601138,20.2,20.23,20.14,20.14,5276300,106478688.0,3,2025-01-15 09:45:00
2025-01-15,20250115095000000,sh.601138,20.14,20.21,20.1,20.2,5440800,109569504.0,3,2025-01-15 09:50:00
2025-01-15,20250115095500000,sh.601138,20.2,20.2,20.14,20.19,2537500,51167940.0,3,2025-01-15 09:55:00
2025-01-15,20250115100000000,sh.601138,20.19,20.23,20.13,20.18,3384100,68247680.0,3,2025-01-15 10:00:00
2025-01-15,20250115100500000,sh.601138,20.18,20.19,20.13,20.13,1835900,36989116.0,3,2025-01-15 10:05:00
2025-01-15,20250115101000000,sh.601138,20.13,20.14,20.09,20.13,3266700,65687686.0,3,2025-01-15 10:10:00
2025-01-15,20250115101500000,sh.601138,20.13,20.15,20.09,20.15,1855900,37324925.0,3,2025-01-15 10:15:00
2025-01-15,20250115102000000,sh.601138,20.15,20.2,20.14,20.15,1582500,31898881.0,3,2025-01-15 10:20:00
2025-01-15,20250115102500000,sh.601138,20.15,20.2,20.14,20.2,1422700,28687030.0,3,2025-01-15 10:25:00
2025-01-15,20250115103000000,sh.601138,20.19,20.19,20.13,20.15,1874400,37774088.0,3,2025-01-15 10:30:00
2025-01-15,20250115103500000,sh.601138,20.15,20.15,20.1,20.15,1959900,39425984.0,3,2025-01-15 10:35:00
2025-01-15,20250115104000000,sh.601138,20.15,20.23,20.15,20.23,1240100,25040189.0,3,2025-01-15 10:40:00
2025-01-15,20250115104500000,sh.601138,20.23,20.26,20.2,20.26,1786500,36154048.0,3,2025-01-15 10:45:00
2025-01-15,20250115105000000,sh.601138,20.26,20.27,20.17,20.18,1097500,22201345.0,3,2025-01-15 10:50:00
2025-01-15,20250115105500000,sh.601138,20.18,20.19,20.15,20.18,759600,15320194.0,3,2025-01-15 10:55:00
2025-01-15,20250115110000000,sh.601138,20.19,20.21,20.17,20.2,658300,13292284.0,3,2025-01-15 11:00:00
2025-01-15,20250115110500000,sh.601138,20.21,20.25,20.18,20.25,848100,17139842.0,3,2025-01-15 11:05:00
2025-01-15,20250115111000000,sh.601138,20.25,20.3,20.23,20.27,1287500,26087417.0,3,2025-01-15 11:10:00
2025-01-15,20250115111500000,sh.601138,20.27,20.27,20.2,20.23,584700,11827711.0,3,2025-01-15 11:15:00
2025-01-15,20250115112000000,sh.601138,20.23,20.23,20.18,20.21,560900,11328011.0,3,2025-01-15 11:20:00
2025-01-15,20250115112500000,sh.601138,20.21,20.22,20.17,20.18,720800,14555137.0,3,2025-01-15 11:25:00
