date,time,code,open,high,low,close,volume,amount,adjustflag,dt
2021-12-06,20211206093500000,sh.601138,11.22,11.23,11.16,11.17,1498259,16767737.0,3,2021-12-06 09:35:00
2021-12-06,20211206094000000,sh.601138,11.17,11.21,11.14,11.21,1064464,11891382.0,3,2021-12-06 09:40:00
2021-12-06,20211206094500000,sh.601138,11.21,11.23,11.18,11.22,636100,7124483.0,3,2021-12-06 09:45:00
2021-12-06,20211206095000000,sh.601138,11.21,11.23,11.2,11.22,728900,8177062.0,3,2021-12-06 09:50:00
2021-12-06,20211206095500000,sh.601138,11.22,11.25,11.21,11.25,744900,8370781.0,3,2021-12-06 09:55:00
2021-12-06,20211206100000000,sh.601138,11.24,11.26,11.24,11.25,602400,6777762.0,3,2021-12-06 10:00:00
2021-12-06,20211206100500000,sh.601138,11.25,11.26,11.24,11.25,533400,6000295.0,3,2021-12-06 10:05:00
2021-12-06,20211206101000000,sh.601138,11.26,11.33,11.25,11.33,1569000,17721636.0,3,2021-12-06 10:10:00
2021-12-06,20211206101500000,sh.601138,11.33,11.41,11.32,11.4,2483305,28226601.0,3,2021-12-06 10:15:00
2021-12-06,20211206102000000,sh.601138,11.4,11.42,11.37,11.41,2777000,31629033.0,3,2021-12-06 10:20:00
2021-12-06,20211206102500000,sh.601138,11.41,11.41,11.38,11.39,803000,9149429.0,3,2021-12-06 10:25:00
2021-12-06,20211206103000000,sh.601138,11.39,11.41,11.37,11.4,1107900,12620329.0,3,2021-12-06 10:30:00
2021-12-06,20211206103500000,sh.601138,11.4,11.4,11.34,11.34,962193,10943505.0,3,2021-12-06 10:35:00
2021-12-06,20211206104000000,sh.601138,11.35,11.36,11.34,11.36,387057,4390961.0,3,2021-12-06 10:40:00
2021-12-06,20211206104500000,sh.601138,11.36,11.37,11.34,11.34,741100,8418569.0,3,2021-12-06 10:45:00
2021-12-06,20211206105000000,sh.601138,11.35,11.36,11.34,11.34,155100,1759284.0,3,2021-12-06 10:50:00
2021-12-06,20211206105500000,sh.601138,11.35,11.35,11.33,11.35,453300,5141445.0,3,2021-12-06 10:55:00
2021-12-06,20211206110000000,sh.601138,11.35,11.36,11.33,11.34,241500,2739525.0,3,2021-12-06 11:00:00
2021-12-06,20211206110500000,sh.601138,11.34,11.36,11.34,11.35,151100,1714794.0,3,2021-12-06 11:05:00
2021-12-06,20211206111000000,sh.601138,11.35,11.36,11.33,11.35,326300,3700387.0,3,2021-12-06 11:10:00
