date,time,code,open,high,low,close,volume,amount,adjustflag,dt
2023-09-20,20230920093500000,sh.601138,18.49,18.59,18.35,18.51,8506900,157324688.0,3,2023-09-20 09:35:00
2023-09-20,20230920094000000,sh.601138,18.51,18.89,18.51,18.87,10944000,205362688.0,3,2023-09-20 09:40:00
2023-09-20,20230920094500000,sh.601138,18.86,18.87,18.55,18.56,7533600,140861248.0,3,2023-09-20 09:45:00
2023-09-20,20230920095000000,sh.601138,18.56,18.6,18.53,18.57,2870700,53287710.0,3,2023-09-20 09:50:00
2023-09-20,20230920095500000,sh.601138,18.59,18.75,18.58,18.71,3781800,70576514.0,3,2023-09-20 09:55:00
2023-09-20,20230920100000000,sh.601138,18.72,18.74,18.61,18.68,3271300,61143930.0,3,2023-09-20 10:00:00
2023-09-20,20230920100500000,sh.601138,18.68,18.87,18.67,18.74,7356300,138317188.0,3,2023-09-20 10:05:00
2023-09-20,20230920101000000,sh.601138,18.74,18.91,18.71,18.84,5586000,105281919.0,3,2023-09-20 10:10:00
2023-09-20,20230920101500000,sh.601138,18.83,18.97,18.75,18.8,8274100,156334781.0,3,2023-09-20 10:15:00
2023-09-20,20230920102000000,sh.601138,18.8,18.81,18.7,18.74,3779900,70869894.0,3,2023-09-20 10:20:00
2023-09-20,20230920102500000,sh.601138,18.73,18.73,18.68,18.68,2526600,47238524.0,3,2023-09-20 10:25:00
2023-09-20,20230920103000000,sh.601138,18.67,18.74,18.66,18.74,1582500,29566204.0,3,2023-09-20 10:30:00
2023-09-20,20230920103500000,sh.601138,18.73,18.73,18.61,18.64,1763900,32905600.0,3,2023-09-20 10:35:00
2023-09-20,20230920104000000,sh.601138,18.64,18.66,18.63,18.63,715500,13344009.0,3,2023-09-20 10:40:00
2023-09-20,20230920104500000,sh.601138,18.63,18.64,18.55,18.61,1767000,32846468.0,3,2023-09-20 10:45:00
2023-09-20,20230920105000000,sh.601138,18.61,18.61,18.57,18.58,1124700,20905979.0,3,2023-09-20 10:50:00
2023-09-20,20230920105500000,sh.601138,18.58,18.59,18.55,18.55,802700,14904832.0,3,2023-09-20 10:55:00
2023-09-20,20230920110000000,sh.601138,18.55,18.56,18.52,18.54,918400,17025920.0,3,2023-09-20 11:00:00
2023-09-20,20230920110500000,sh.601138,18.54,18.55,18.49,18.5,2101500,38896768.0,3,2023-09-20 11:05:00
2023-09-20,20230920111000000,sh.601138,18.49,18.51,18.48,18.51,849000,15702656.0,3,2023-09-20 11:10:00
2023-09-20,20230920111500000,sh.601138,18.51,18.52,18.49,18.5,894200,16547456.0,3,2023-09-20 11:15:00
