id,window,losing,losing_mean,large,opposite,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
BASE,main2020,pt,-0.7316971474053587,True,rt,62,0.26102591841550005,0.295491244610784,54.83870967741935,10783.08288787022,1.2583168992130311,1.862078341835847,-10.90774674562256,-4091.7942350999538,40
BASE,old2020_2023,rt,-0.7641664093164238,True,pt,32,0.21271896612873584,-0.14869778038266618,46.875,671.2019193500416,1.2388965295223737,1.1586347133132995,-5.049697691046656,-1437.657815149987,21
BASE,recent2024,pt,-1.7390743351750593,True,rt,30,1.354564401329552,1.113218706524942,66.66666666666666,13849.687084720164,3.2714846407445006,3.1814857136252335,-4.650157583560376,-2839.1262382439963,19
BASE,all_available,pt,-0.7094616696232097,True,rt,67,0.23414247235491698,0.3714447023639297,55.223880597014926,10645.21388322023,1.2387605724740058,1.8166482727209023,-10.90774674562256,-4091.7942350999533,44
BASE,2019,rt,-0.09921225879631308,False,pt,5,-0.43374174512456243,-1.1695770717054137,40.0,-277.7990403499952,0.47906021405536064,0.5592939772670316,-1.7799381238937984,-559.2939169999946,4
BASE,2019,pt,-0.43374174512456243,False,rt,5,-0.09921225879631308,0.6383045264858126,60.0,-137.86900464998791,0.8375636972883557,0.7383935857855269,-2.009433005579155,-378.17529164999695,4
BASE,2020,rt,-0.020311292670669657,False,pt,5,-0.5004463792116635,-0.9213281958087592,40.0,-444.67778109998653,0.5543139955272008,0.5563011558085345,-2.686073182926812,-550.6450024999964,4
BASE,2020,pt,-0.5004463792116635,True,rt,5,-0.020311292670669657,0.3877749541584968,60.0,-4.897668899988304,0.9755657176607456,0.9933977824882861,-2.2282735541771954,-512.9661568999945,4
BASE,2021,rt,-0.36042759218780523,False,pt,12,-0.19712759016922052,-0.5669579413140826,33.33333333333333,-289.4891792499826,0.7887958020307084,0.8150092763433009,-5.049697691046656,-1405.8129905999897,8
BASE,2021,pt,-0.19712759016922052,False,rt,12,-0.36042759218780523,-0.00037568625247875326,50.0,-589.339255749979,0.6250447250445228,0.6409920956658985,-5.107730410911589,-1300.459991099994,8
BASE,2022,rt,-0.6772385775199996,True,pt,5,0.05619120382461588,0.0061283644421317,60.0,6.230335750003199,1.1976306652031306,1.0449869460550265,-1.3263005680655,-137.9043702499995,4
BASE,2023,rt,-1.6640444640918557,True,pt,10,1.1393813875085432,1.3109877497241746,60.0,1399.138543950007,2.11079313323404,1.91714731294854,-4.109218019130425,-723.3403832500019,5
BASE,2024,pt,-2.177345851763111,True,rt,13,1.782246611905233,1.151360221667406,69.23076923076923,5603.589438350047,3.963994922670899,4.733812323483137,-4.650157583560376,-1076.0769723999938,9
BASE,2025,pt,-1.4728841190469528,True,rt,10,1.0822469503548047,1.0340051469048963,70.0,3560.1403282010556,3.744658380389199,5.290284091560704,-2.34097114972114,-545.6803749999976,5
BASE,2026,pt,-1.3054132559802594,True,rt,7,0.9493223687957839,1.0750771913824777,57.14285714285714,4685.95731816906,2.0840470279980083,2.1661956232784583,-4.331237586947363,-2839.1262382439963,5
MKT20_high,main2020,pt,-0.8141748582268006,True,rt,30,0.347363593643913,0.7506658772255865,60.0,7262.665445292104,1.3118359939544697,2.267167539696869,-10.90774674562256,-2264.2491693499837,19
