id,window,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high,down_pct,gross_mean_pct,cost_drag_pct,gross_cash,cost_cash,largest_month,largest_month_cash,delete_largest_month_cash
BASE,main2020,62,0.26102591841550005,0.295491244610784,54.83870967741935,10783.08288787022,1.2583168992130311,1.862078341835847,-10.90774674562256,-4091.7942350999538,40,58.0,-0.19444865245450546,-515.0376543538432,0.1613112331261055,9353.124487740206,62.0,0.0,0.26102591841550005,10783.08288787022,0.24777006644997612,8535.032863176186,-0.47504966665255793,1.0507149044215451,58.06451612903226,0.4964083445368683,0.23538242612136817,13840.000000000015,3056.9171121297986,2026-05,5270.984852580012,5512.098035290208
BASE,old2020_2023,32,-0.7641664093164238,-0.4449616441112503,43.75,-3066.604196849944,0.4536811920344012,0.5021341859074554,-10.90774674562256,-4091.7942350999538,21,30.0,-1.4312451445328607,-5321.104924149959,-0.8643623314630782,-3509.716893699947,32.0,0.0,-0.7641664093164238,-3066.604196849944,-0.6258811387003977,-2417.815253599938,-1.418425047275103,0.06439365215952496,46.875,-0.4887144061649813,0.2754520031514426,-1869.999999999996,1196.6041968499487,2020-01,448.8552525000037,-3515.4594493499476
BASE,recent2024,30,1.354564401329552,1.113218706524942,66.66666666666666,13849.687084720164,3.2714846407445006,3.1814857136252335,-4.650157583560376,-2839.1262382439963,19,28.0,0.5347900763287501,2551.566542496102,1.255363035354568,12862.841381440154,30.0,0.0,1.354564401329552,13849.687084720164,1.1796646852770418,10952.848116776124,0.47013511924165946,2.5259664227837426,70.0,1.5472059452855078,0.19264154395595554,15710.000000000011,1860.3129152798497,2026-05,5270.984852580012,8578.702232140153
BASE,all_available,67,0.23414247235491698,0.3714447023639297,55.223880597014926,10645.21388322023,1.2387605724740058,1.8166482727209023,-10.90774674562256,-4091.7942350999533,44,63.0,-0.18676829812723203,-652.906659003831,0.13441647067100584,9137.13957844022,62.0,5.0,0.26102591841550005,10783.08288787022,0.24777006644997612,8535.032863176186,-0.43763261978885964,0.9586880172840094,58.2089552238806,0.47185163036826816,0.23770915801335119,13910.000000000022,3264.78611677979,2026-05,5270.984852580012,5374.229030640219
BASE,2018,0,,,,0.0,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,
BASE,2019,5,-0.09921225879631308,0.6383045264858126,60.0,-137.86900464998791,0.8375636972883557,0.7383935857855269,-2.009433005579155,-378.17529164999695,4,5.0,,,-0.19907858377222915,-215.98490929998493,0.0,5.0,,0.0,,0.0,-1.281182284403521,0.9454920584388642,60.0,0.1673483746776272,0.26656063347394027,70.00000000000387,207.86900464999178,2019-11,198.1739112000011,-336.042915849989
BASE,2020,5,-0.020311292670669657,0.3877749541584968,60.0,-4.897668899988304,0.9755657176607456,0.9933977824882861,-2.2282735541771954,-512.9661568999945,4,5.0,,,-0.12014119768182707,-91.40433779998948,5.0,0.0,-0.020311292670669657,-4.897668899988304,-0.4167840446969313,-264.505200199991,-1.5249218655628405,1.401927291560735,60.0,0.24018757581057315,0.2604988684812428,219.99999999999886,224.89766889998714,2020-01,448.8552525000037,-453.75292139999203
BASE,2021,12,-0.36042759218780523,-0.00037568625247875326,50.0,-589.339255749979,0.6250447250445228,0.6409920956658985,-5.107730410911589,-1300.459991099994,8,11.0,-1.6311906191903414,-1626.9168018499915,-0.4604184380090562,-747.4252114999816,12.0,0.0,-0.36042759218780523,-589.339255749979,-0.000661529795526287,49.69466745002298,-0.9067815526990054,0.3146940169573627,58.333333333333336,-0.08169082559092429,0.27873676659688096,-149.99999999999864,439.33925574998057,2021-08,201.4273613500012,-790.7666170999802
BASE,2022,5,-0.6772385775199996,-0.6192106897809984,20.0,-293.61974074999495,0.1752965653442133,0.1932198763092941,-2.323112554181377,-293.61974074999495,4,5.0,,,-0.7773720284776025,-339.99158149999175,5.0,0.0,-0.6772385775199996,-293.61974074999495,-0.5743136628598078,-243.69521549998916,-1.4819134051060405,0.05027431478197092,20.0,-0.3668982462363757,0.31034033128362387,-150.00000000000037,143.6197407499946,2022-08,10.93818035000291,-304.5579210999979
BASE,2023,10,-1.6640444640918557,-1.8642185313195838,40.0,-2178.7475314499825,0.333391714057855,0.3614755693374944,-10.90774674562256,-2755.0823171999878,5,9.0,-4.6589364577982515,-3218.652215049993,-1.7647007219912685,-2330.895762899984,10.0,0.0,-1.6640444640918557,-2178.7475314499825,-1.5064769543082717,-1959.309505349981,-2.7860831650815663,1.551888305102509,40.0,-1.4025017738059298,0.2615426902859257,-1789.9999999999957,388.74753144998647,2023-09,430.2094423500058,-2608.956973799988
