date,preclose,dividend_today,previous_close,reference_difference,vendor_dividend_gap,announcement
2019-06-20,11.71,0.129,11.84,0.129999999999999,0.0009999999999990017,2019-06-14
2020-06-30,15.02,0.2,15.22,0.20000000000000107,1.0547118733938987e-15,2020-06-20
2021-07-27,11.37,0.25,11.62,0.25,0.0,2021-07-20
2022-08-05,9.39,0.5,9.89,0.5,0.0,2022-07-30
2023-07-28,22.13,0.55,22.68,0.5500000000000007,6.661338147750939e-16,2023-07-22
2024-08-15,20.8,0.58,21.38,0.5799999999999983,-1.6653345369377348e-15,2024-08-08
2025-07-31,32.64,0.64,33.28,0.6400000000000006,5.551115123125783e-16,2025-07-24
2026-01-16,60.46,0.33,60.79,0.3299999999999983,-1.7208456881689926e-15,2026-01-09
2026-08-03,56.05,0.65,56.7,0.6500000000000057,5.662137425588298e-15,2026-07-24
