window,subset,n,price_mean,economic_gross_mean,price_win,economic_gross_win,net_mean,intraday_mean,economic_gross_cash
all,all,2006,-0.10141301304619836,-0.09409064580766323,41.47557328015952,41.72482552342971,-0.3423606970942491,0.20563779764044077,-58206.80000000002
all,event,9,-1.5070905948154447,0.12498370301805314,11.11111111111111,66.66666666666666,-0.11017906705357638,1.015625731270358,473.19999999999857
all,non_event,1997,-0.09507796135069349,-0.09507796135069349,41.61241862794191,41.61241862794191,-0.34340708400980546,0.20198737630710617,-58680.0
all,weekend_holiday,422,-0.1155205427444844,-0.11334730202464019,43.60189573459716,43.60189573459716,-0.361397164051059,0.22390909577458556,-14100.000000000024
main2020,all,1623,-0.09532448631605081,-0.08681121024773295,41.651263093037585,41.8977202711029,-0.3291354026252871,0.2196589266360587,-50400.0
main2020,event,8,-1.600460027275484,0.1266708550844986,12.5,62.5,-0.1020011399684434,0.929812990232344,459.99999999999835
main2020,non_event,1615,-0.08786870654659229,-0.08786870654659229,41.795665634674926,41.795665634674926,-0.33026052590779786,0.21614113560895637,-50860.0
main2020,weekend_holiday,342,-0.13201347413071765,-0.1293318730085707,43.859649122807014,43.859649122807014,-0.3713795916390528,0.2631151215506161,-13480.000000000004
old2020_2023,all,970,-0.07960139366936056,-0.07057361695814651,41.340206185567006,41.649484536082475,-0.34777703776664354,0.0847472488586623,-14230.000000000022
old2020_2023,event,4,-2.090273302942397,0.0989625495270069,0.0,75.0,-0.17486878164269176,0.03945484169427249,120.00000000000006
old2020_2023,non_event,966,-0.07127563006988628,-0.07127563006988628,41.511387163561075,41.511387163561075,-0.34849301398247773,0.08493479505810078,-14350.000000000022
old2020_2023,weekend_holiday,204,-0.12416812299420313,-0.12416812299420313,43.627450980392155,43.627450980392155,-0.40106513358549783,0.1302097938856623,-3979.9999999999955
recent2024,all,653,-0.11868038197805618,-0.11093137179581691,42.11332312404288,42.266462480857584,-0.3014441528747272,0.42006371598379916,-36169.99999999998
