id,param,value,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash
ON2_F4,r,3,364,-0.19375888002027913,-0.29297189856546435,33.24175824175824,-24694.143097731845,0.7541355281782804,0.7254073832004932,-10.23087722223011,-4.126292499101343,-24756.489943831857,10.0,72.0,7.0,75.0,10988.273097733,0.029027751071055225,-0.22127682507307694,-0.28776125083608056,-0.3642557904011289,-41885.991776733856
ON2_F3,r,5,172,-0.30412034903312757,-0.18393754474488855,41.86046511627907,-14026.758235948531,0.6539642581962685,0.676896598927974,-10.213887194477932,-6.094938257996365,-22281.887340991612,7.0,51.0,7.0,64.0,5011.153235949,-0.08093396830164727,-0.3607738497496437,-0.5162082575916027,-0.6124228485479736,-24114.587963098555
ON2_F4,r,5,247,-0.17142872186778724,-0.29208490282373295,36.43724696356275,-15051.270044167155,0.7954851953877897,0.7767161062407174,-5.717791951694962,-3.9792093832050925,-18179.568885332294,7.0,56.0,7.0,66.0,7731.225044168001,0.0457707360290853,-0.2119436970548324,-0.31041715299220973,-0.4186138482343372,-32243.118723169173
ON2_F5,vl,0.7,405,-0.2652143995601624,-0.2753414395262756,32.098765432098766,-24447.488845949087,0.5363002049276132,0.5915487183980815,-8.726985135136818,-3.6516958305473164,-24447.4888459491,17.0,72.0,7.0,77.0,10409.393845949999,-0.019975481321389082,-0.2848665759190411,-0.32801520373106785,-0.3674279066386534,-32535.38533371211
ON2_F5,vl,0.9,792,-0.3237681299296447,-0.2888194860291099,30.808080808080806,-59124.47443556816,0.48188159920369394,0.5718946419615317,-10.213887194477932,-3.9980116407684436,-59124.47443556814,24.0,78.0,7.0,57.0,20967.31943557,-0.08146425264037416,-0.33387942320316755,-0.36302645132915573,-0.390807848726004,-72816.32577495117
ON2_F6,vh,1.3,323,-0.3659161348911232,-0.36986674847545004,29.411764705882355,-25962.146092553245,0.5355220084801289,0.58543511561704,-10.160302220729761,-4.618706366089417,-31342.18020858533,20.0,74.0,7.0,82.0,8386.576092554002,-0.12143735951671063,-0.3974725675278823,-0.47815437589466847,-0.5439066183717123,-38770.24739422127
ON2_F6,vh,1.7,125,-0.2270291946836871,-0.2851850810685609,29.599999999999998,-1645.2502773807616,0.6927156794530959,0.9084199611803823,-6.670425540886715,-4.485380985373314,-7503.228138149872,14.0,53.0,7.0,52.0,3067.990277381,0.02164935935367458,-0.3078540686258564,-0.49058331238566755,-0.6299278136054086,-10899.791972450768
ON2_F1,asof,14:45,293,-0.23333285464436393,-0.30483641198207023,26.96245733788396,-18291.243511836245,0.6356285065196516,0.6733885671712755,-5.097540108850419,-3.223016335249711,-19660.304956629403,17.0,80.0,7.0,112.0,8271.198511837001,0.006822926157983665,-0.2676773341950136,-0.3590344532247286,-0.4312447695603623,-31320.11622977126
ON2_F2,asof,14:45,418,-0.4990379989381055,-0.33570103885291186,29.904306220095695,-55708.354347372995,0.30598028012884476,0.33473624077093367,-10.213887194477932,-5.068882503091449,-56537.162323435005,10.0,81.0,7.0,90.0,11011.144347374,-0.25769875193956765,-0.5128292751551093,-0.5434512800239087,-0.5743741737654536,-62780.91310625502
ON2_F3,asof,14:45,239,-0.3604726737797147,-0.20388749713400164,39.33054393305439,-25501.51850903936,0.5650730096370322,0.568962901000791,-10.213887194477932,-5.685881474241254,-30275.04644321143,9.0,61.0,7.0,74.0,6903.4935090399995,-0.13561894363658641,-0.4014142743984997,-0.5130386667412458,-0.5816386548388764,-35771.06073054839
ON2_F4,asof,14:45,290,-0.20006821748246115,-0.333587670140678,33.793103448275865,-20836.581047884058,0.7548860615430548,0.7277115102061088,-5.717791951694962,-3.9312641626068707,-22115.30212684821,15.0,64.0,7.0,72.0,8911.266047885001,0.018885084855694054,-0.2346541115711385,-0.31858891155328084,-0.4125918334460392,-38028.429726886076
ON2_F5,asof,14:45,603,-0.3341930417647708,-0.28646392334415305,31.509121061359867,-52875.53477396867,0.46674289925711304,0.4939670992641053,-10.213887194477932,-4.09561617893337,-52875.53477396864,17.0,77.0,7.0,72.0,15648.09477397,-0.09080829877700561,-0.3474961279627634,-0.38076663404040806,-0.4108976762595823,-61525.76777098968
ON2_F6,asof,14:45,194,-0.3469511246189195,-0.29251874821168333,29.896907216494846,-11811.072191800597,0.5644659487007603,0.6460227885211233,-10.160302220729761,-5.086811847709836,-15360.656040634643,16.0,62.0,7.0,72.0,4860.127191801001,-0.10028455522384827,-0.3995014163223613,-0.5291441197082035,-0.6277505328304157,-21272.71094068361
ON2_F7,asof,14:45,0,,,,,,,,,,,,,,,,,,,
ON2_F8,asof,14:45,342,-0.3713795916390528,-0.2972195810837248,33.91812865497076,-30668.132584841223,0.5227630815689629,0.5736880837917989,-10.23087722223011,-5.565135078496524,-31594.5822011182,14.0,81.0,7.0,1.0,9198.672584842001,-0.1293318730085707,-0.40119376983783406,-0.4725389796200541,-0.5293212583224419,-40271.90525446125
