id,param,value,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash
ON1_F2,clow,0.15,276,-0.2588531653710058,-0.2219790371940127,35.507246376811594,-17919.73483181133,0.5851648304538839,0.6202584817547424,-10.213887194477932,-4.148809015606172,-20448.236040955453,10.0,78.0,7.0,110.0,7337.9898318119995,-0.018983341006978318,-0.29391673423959513,-0.3547175893309131,-0.4104853220154381,-26333.503427460353
ON1_F2,clow,0.25,445,-0.2892873670867046,-0.29255673124918347,32.80898876404494,-26654.693967247928,0.5695394205230645,0.6637243631655307,-10.213887194477932,-4.441629859953259,-30261.43968735905,17.0,81.0,7.0,85.0,11766.278967249,-0.049386675799131585,-0.3110732131240419,-0.3639847454060711,-0.40710115237563865,-38949.22313706495
ON1_F1,chigh,0.75,422,-0.40538946876360527,-0.3697289130373267,27.251184834123222,-57166.72148655583,0.4423101753094716,0.40787854005944124,-10.23087722223011,-3.9032456583180344,-57262.95845856081,17.0,81.0,7.0,87.0,11836.766486557,-0.16372732050629057,-0.42961902848547917,-0.48497273814655184,-0.5366261075405644,-68831.68195412686
ON1_F1,chigh,0.85,257,-0.35985694313580036,-0.3643927362939767,29.961089494163424,-33090.932515178305,0.4950042761041647,0.4160639797481128,-10.23087722223011,-4.050483059367567,-33124.82264108333,13.0,78.0,7.0,117.0,7158.027515179,-0.1185302344133425,-0.39952534984392973,-0.4825882096486145,-0.5521938968970873,-41265.71748479233
ON1_F3,r,3,330,-0.3502468930338264,-0.2819417963910893,33.63636363636363,-27388.60193989509,0.5672209418857429,0.6573760980770719,-10.213887194477932,-4.812707758332155,-33677.73584792616,11.0,68.0,7.0,79.0,9524.996939896,-0.12431341419914192,-0.37983313974058913,-0.4588886373727106,-0.5247404230687197,-40790.49183728712
ON1_F4,r,3,370,-0.3257137753473627,-0.3893603781155629,33.24324324324324,-48727.35227779887,0.6168165744927221,0.5415271120749701,-10.23087722223011,-4.7123279814122245,-48761.242403703865,15.0,72.0,7.0,78.0,11201.8172778,-0.10313539966467504,-0.3531418754814891,-0.41997850301724793,-0.49417862317576067,-65049.95465637089
ON1_F3,r,5,175,-0.38391479498597536,-0.27263226975123467,33.714285714285715,-23013.825283308513,0.5806351308414162,0.5446469189267656,-10.213887194477932,-5.441769610417586,-24634.27896930854,13.0,51.0,7.0,66.0,5174.890283309001,-0.162317278849246,-0.44005009997722283,-0.5794526355357875,-0.6863007141108551,-31818.66880647355
ON1_F4,r,5,241,-0.2029117838439252,-0.2928904817447293,36.51452282157676,-27842.623607536243,0.769284248978845,0.6273562556320553,-10.23087722223011,-5.155144705843166,-27876.513733441243,11.0,56.0,7.0,63.0,7476.028607537,0.01272892202259969,-0.24457081283554713,-0.34610083317439533,-0.45563833950912347,-42220.32376684327
ON1_F5,vl,0.7,393,-0.25028009095144876,-0.28799585653577403,30.788804071246815,-14490.700015330132,0.5503772701925825,0.7242619411835126,-10.160302220729761,-3.1495961829990056,-19263.362982715444,14.0,72.0,7.0,78.0,10115.850015331,-0.004957441208552191,-0.2704957668197606,-0.32094668956711486,-0.36520673494236205,-24877.17065312216
ON1_F5,vl,0.9,792,-0.30519749661900825,-0.2853514227848627,31.060606060606062,-52740.05799936612,0.49715211681191807,0.5976360216184294,-10.213887194477932,-3.813408568847092,-54257.112595655155,18.0,81.0,7.0,56.0,20945.452999368004,-0.062064601623640844,-0.31528531248000174,-0.345187900592212,-0.37053494013023425,-67128.94121913915
ON1_F6,vh,1.3,320,-0.28754983196634365,-0.35196136581889714,30.9375,-23006.211884686243,0.6093828665681988,0.5970419693937207,-10.23087722223011,-4.570066249101455,-24028.843511314375,16.0,74.0,7.0,81.0,8349.826884687,-0.043562929043823216,-0.3178670047107244,-0.3906191293165786,-0.46485974970251054,-30412.52429027126
ON1_F6,vh,1.7,125,-0.28364030092653064,-0.36986674847545004,29.599999999999998,-7098.585202341755,0.6184373113714058,0.6200087075963777,-10.23087722223011,-4.477273284116433,-7611.243470271756,15.0,50.0,7.0,51.0,3073.355202342,-0.034368851879825794,-0.36160214426860837,-0.4931389770616097,-0.619133038648434,-11655.537405021765
ON2_F2,clow,0.15,315,-0.49568029190795587,-0.30462439060892066,31.428571428571427,-42682.81114848722,0.35362189236660047,0.3888173643273925,-10.213887194477932,-5.653272427927505,-44669.29379536926,10.0,79.0,7.0,107.0,8396.111148488,-0.2586158340141309,-0.5164249108497048,-0.5668900925348676,-0.6088567898667107,-51809.80868340426
ON2_F2,clow,0.25,486,-0.4785569791525677,-0.3398020666424124,30.45267489711934,-64459.60358779786,0.33765854442002013,0.3610536915889235,-10.213887194477932,-4.938371706887659,-64459.60358779784,13.0,81.0,7.0,79.0,12793.808587799002,-0.2383408852708127,-0.49195221015247237,-0.524273032438567,-0.5520364545064957,-73644.52972184986
ON2_F1,chigh,0.75,395,-0.24109443169777153,-0.29279382546574506,27.088607594936708,-26837.10638743994,0.6139784661698041,0.6471856679201818,-5.097540108850419,-3.1290162790900267,-27329.542413190993,22.0,81.0,7.0,97.0,11267.126387441,-0.0021250034177111637,-0.26656740024052045,-0.33654294417403774,-0.39291576792164645,-42067.62919704194
ON2_F1,chigh,0.85,237,-0.155413148759247,-0.3040981368432054,27.848101265822784,-11507.217547991393,0.7457188554043179,0.7357929728204013,-5.097540108850419,-3.246669032361145,-11895.210563300396,13.0,78.0,7.0,111.0,6637.887547992001,0.08474223911752954,-0.19757699758511377,-0.30745704279272884,-0.39244723224221084,-22458.272738651416
ON2_F3,r,3,331,-0.3398080621905986,-0.21779864152410416,38.670694864048336,-28577.054801116094,0.5761275425888267,0.6333040695382219,-10.213887194477932,-5.584447759043212,-36583.98015315517,13.0,67.0,7.0,81.0,9563.654801117002,-0.11375000603842082,-0.3692730207835735,-0.44900167966008536,-0.5062530238160988,-40371.18258617512
