id,kind,value,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash
ON0,exclude_year,2025,1380,-0.33295915832688894,-0.3041505464314079,29.492753623188406,-96327.36456899796,0.48105473008011024,0.5530337421209947,-10.23087722223011,-3.885387640360006,-96389.71141509786,22.0,69.0,6.0,2.0,35996.274569001005,-0.08154480136413916,-0.3403037662547151,-0.3598510279367978,-0.38042160459009033,-110970.08494170698
ON0,exclude_year,2026,1455,-0.337210813217729,-0.3016453367017046,29.553264604810998,-104172.98405442406,0.4837302051065624,0.5193613954777981,-10.23087722223011,-4.176172018980358,-106198.61640766698,22.0,72.0,6.0,1.0,35517.099054427,-0.08755029944193278,-0.3441794968403996,-0.36512640271226765,-0.3855518062479932,-120323.37201295613
ON1_F1,stage,U,104,-0.5924379006199245,-0.49375535210011895,29.807692307692307,-24990.90938545666,0.38424148067851416,0.3693462555527465,-10.23087722223011,-4.602872316260144,-25053.25623155666,13.0,32.0,7.0,32.0,3418.939385457,-0.3630492998458325,-0.6505480528145612,-0.8101967462604165,-0.9352423366357737,-34392.10858391869
ON1_F1,stage,R,73,-0.3255960616598739,-0.28799585653577403,30.136986301369863,-7854.1489434958185,0.46403033332255533,0.3348681225411485,-4.537453228723166,-3.5092795956976133,-8160.682260931912,10.0,37.0,7.0,43.0,1945.583943496,-0.0779798066029537,-0.40199231116426515,-0.5570840723888573,-0.6619009165647847,-10757.302082795824
ON1_F1,stage,D,74,-0.13784929163396534,-0.2676607505767613,32.432432432432435,642.973202426178,0.6732088980520455,1.1150546369047984,-2.0134149578490024,-1.7691061508817607,-3065.477686999907,11.0,34.0,7.0,38.0,1837.606797574,0.11606616969542283,-0.18298053447295645,-0.32894192969868014,-0.4335573549801563,-3483.939923965852
ON1_F1,stage,C,90,-0.2570006711712521,-0.3045196840008403,26.666666666666668,-7737.55836472473,0.5818789716602905,0.5115171714915716,-4.340364230482233,-3.8451567811146887,-9140.45092127983,16.0,34.0,7.0,38.0,2399.183364725,-0.014098156073877686,-0.3699473660624494,-0.5338398234734066,-0.6421301069801274,-13252.093259767757
ON1_F1,stage,UNKNOWN,0,,,,,,,,,,,,,,,,,,,
ON1_F1,exclude_year,2020,282,-0.32999676984655635,-0.3548211303614641,29.78723404255319,-35298.22849735112,0.5139158071953634,0.46662456230639043,-4.537453228723166,-3.6239091084936077,-35332.11862325614,14.0,69.0,6.0,90.0,8083.553497352001,-0.09368212478270353,-0.3660296949141429,-0.4484417512115508,-0.5134223727348065,-46708.750902020154
ON1_F1,exclude_year,2021,287,-0.354799052595415,-0.31469250372013924,30.313588850174217,-37770.49972405112,0.5161456423283668,0.4618451375966499,-10.23087722223011,-4.119084118879144,-37866.73669605613,12.0,69.0,6.0,92.0,8343.149724052,-0.12018596166389854,-0.3902887526889141,-0.47158370242466263,-0.5358091132925005,-49181.02212872016
ON1_F1,exclude_year,2022,289,-0.34848726105492805,-0.33905723859379727,31.141868512110726,-38139.75307170108,0.5205977868253594,0.46133284388381607,-10.23087722223011,-4.119084118879144,-38235.99004370609,11.0,69.0,6.0,91.0,8559.808071702,-0.11762344743156081,-0.3837085889549289,-0.46433836068220036,-0.5279735295054219,-49550.27547637013
ON1_F1,exclude_year,2023,306,-0.36661174819540343,-0.34920969866606916,28.75816993464052,-38056.0647693011,0.4553665159436752,0.43908225832975895,-10.23087722223011,-3.9986006253636774,-38152.3017413061,14.0,69.0,6.0,85.0,8707.229769302001,-0.12586091115045173,-0.39992934466209434,-0.4701998779605147,-0.5245231202202075,-49466.58717397011
ON1_F1,exclude_year,2024,299,-0.3467541819675584,-0.30434342849032453,30.434782608695656,-36625.11108900114,0.4455918870825264,0.4165194331097697,-10.23087722223011,-3.5849162544025788,-36721.34806100616,14.0,69.0,6.0,88.0,8687.526089002,-0.09828041859680844,-0.3660147925628443,-0.4281464828204151,-0.47971230142696164,-46736.290564126175
ON1_F1,exclude_year,2025,284,-0.35465020812250647,-0.3491142970204448,28.169014084507044,-27340.75099297429,0.45127937303417553,0.4442517686486872,-10.23087722223011,-3.7376159017399613,-27436.987964979322,14.0,69.0,6.0,89.0,7735.475992975,-0.1019929039493626,-0.3905155981658557,-0.45742792176359937,-0.5149568170607803,-35346.094393948326
ON1_F1,exclude_year,2026,299,-0.3347664977004746,-0.3435028653250498,28.762541806020064,-26407.452803126354,0.4922438503410596,0.47397893470398883,-10.23087722223011,-4.060248912949445,-27417.470227785383,14.0,72.0,6.0,96.0,7491.137803127001,-0.083636682752288,-0.3687598590153932,-0.44644373741943055,-0.507226393019444,-37064.25377627736
ON1_F2,stage,U,64,-0.039300562797147776,-0.2834223205053411,39.0625,2265.290089553211,0.9365282904878598,1.1725472510616106,-4.66817809846285,-3.5249896349910013,-4049.323855136947,7.0,27.0,7.0,37.0,1933.5349104470001,0.18330171928153047,-0.12833916890231012,-0.3315736285897819,-0.5109774131259489,-7460.030156937819
ON1_F2,stage,R,128,-0.22150946288286982,-0.27587063387483013,30.46875,-8691.622589212722,0.5975740543842576,0.5409709438018844,-4.58529445540711,-2.8810799675244754,-8691.622589212717,11.0,53.0,7.0,58.0,3458.4275892130004,0.0251240350586701,-0.28368091416089863,-0.39236921644729483,-0.4846016018220788,-13136.838930523749
ON1_F2,stage,D,131,-0.5414376779266488,-0.4242624946891752,29.00763358778626,-17158.742195470717,0.3657198434838452,0.35310606398124383,-10.213887194477932,-6.479668263452003,-17194.78533127072,13.0,33.0,7.0,38.0,3174.0021954710005,-0.29933491233656406,-0.6177843390914006,-0.7218648240263704,-0.8169014552648235,-22470.51911797974
ON1_F2,stage,C,52,-0.09426354451276509,-0.17789433741131996,36.53846153846153,615.6372663551323,0.8066472541955348,1.082597830859909,-3.6148485893187856,-2.593994200142483,-4160.882218129902,10.0,26.0,7.0,26.0,1383.037733645,0.14393229201900476,-0.16391251389142275,-0.36047730120860205,-0.548589676432347,-5622.388517050892
ON1_F2,stage,UNKNOWN,0,,,,,,,,,,,,,,,,,,,
ON1_F2,exclude_year,2020,323,-0.28501515233025226,-0.29255673124918347,30.959752321981426,-20512.61184497517,0.575080560284504,0.6654211894446376,-10.213887194477932,-4.304003347309308,-24731.24992982034,14.0,68.0,6.0,80.0,8635.606844976,-0.050526425582909304,-0.3150419952675856,-0.3871420422887111,-0.44220072386706416,-32130.89198035619
ON1_F2,exclude_year,2021,322,-0.2741807761615768,-0.2922048516668174,35.40372670807454,-20642.716779375172,0.6122225978565983,0.6752724661342056,-10.213887194477932,-4.646202895220592,-24861.35486422034,13.0,68.0,6.0,82.0,8727.611779376,-0.04164400868213916,-0.3042674087150118,-0.37645894375131367,-0.4335745725963355,-32260.996914756182
ON1_F2,exclude_year,2022,323,-0.2744717871542026,-0.2768576561017002,33.43653250773993,-21204.663803875144,0.6039854264908548,0.6675097007679799,-10.213887194477932,-4.646202895220592,-25423.30188872032,14.0,69.0,6.0,78.0,8914.903803876,-0.045476732800567285,-0.3044658867214241,-0.37643290093064824,-0.43336563570874254,-32822.94393925616
ON1_F2,exclude_year,2023,318,-0.285521941245128,-0.28863960600823524,31.446540880503143,-20754.700910875174,0.5527590922081498,0.64624500613461,-5.966708952003329,-3.7201312626864063,-24973.338995720347,14.0,68.0,6.0,84.0,8705.735910876,-0.046724234797987894,-0.3160239923957153,-0.3750646506242589,-0.42459085075286773,-32372.981046256198
ON1_F2,exclude_year,2024,316,-0.24267904123386308,-0.28730746445427524,32.594936708860764,-16445.54732902525,0.6041116221916345,0.6965624197676534,-10.213887194477932,-4.236911852925193,-20664.185413870415,14.0,68.0,6.0,82.0,8681.167329026,0.004882694003978122,-0.27323874699489475,-0.34642396229916206,-0.40401913539511314,-28063.827464406273
ON1_F2,exclude_year,2025,318,-0.3228960054048164,-0.28863960600823524,30.81761006289308,-17741.37911434931,0.5044053142260906,0.646519675589755,-10.213887194477932,-4.454139015665577,-21960.01719919448,14.0,68.0,6.0,84.0,8276.539114350002,-0.07480602952746632,-0.3481236421708467,-0.40172154070291205,-0.45481386943083174,-27627.003443770347
ON1_F2,exclude_year,2026,330,-0.30614226940723577,-0.28730746445427524,31.212121212121215,-20515.004790175342,0.5222332458224171,0.539384709100385,-10.213887194477932,-4.497847543565294,-20515.00479017535,14.0,71.0,6.0,89.0,7752.4497901760005,-0.05807625198089236,-0.33559445950723066,-0.4023651504664557,-0.45279994565937914,-27839.137331421374
ON1_F3,stage,U,34,-0.28216529136392204,-0.58832542619808,38.23529411764706,-5634.454957904854,0.7256379691874227,0.604853492031771,-4.66817809846285,-4.583247004092607,-6564.3785177048585,5.0,16.0,6.0,18.0,1150.8849579050002,-0.07299099669067824,-0.4595076220667097,-0.958265355767049,-1.4104645803774252,-12241.396269345893
ON1_F3,stage,R,110,-0.28014992461538635,-0.2712363166719822,30.909090909090907,-11657.220662870694,0.630389277873233,0.5913300507481595,-4.58529445540711,-3.756520510619722,-12224.822054020775,7.0,34.0,7.0,35.0,3410.735662871,-0.054876388938078356,-0.35312620694604846,-0.5124861990398082,-0.6453245458967029,-19794.680701658715
ON1_F3,stage,D,88,-0.5947578463194632,-0.46078595738624933,29.545454545454547,-9942.10437620382,0.4163502921128993,0.5055533910522286,-10.213887194477932,-6.81409768454391,-12668.427622362833,13.0,28.0,7.0,31.0,2132.739376204,-0.36601007747700914,-0.7094519396506189,-0.8889696515497338,-1.032093978162699,-17065.38708902684
ON1_F3,stage,C,5,-0.05955453266251949,0.2925614939901564,60.0,-768.6503324679911,0.900022341593119,0.5668421426890904,-2.9058393309932398,-2.9058393309932398,-1756.2598424549972,1.0,4.0,4.0,5.0,161.390332468,0.1340208936079157,-0.410802504861189,,,
ON1_F3,stage,UNKNOWN,0,,,,,,,,,,,,,,,,,,,
ON1_F3,exclude_year,2020,203,-0.4514046733754403,-0.48226075840266,30.049261083743843,-27878.188507047435,0.5215617337681104,0.5476632865670084,-10.213887194477932,-5.308240845310556,-28459.08896916447,10.0,49.0,6.0,60.0,5983.208507048001,-0.2358903069435963,-0.500092955290621,-0.6298244497777096,-0.7330984693960271,-40282.58469195347
ON1_F3,exclude_year,2021,223,-0.38066189580093396,-0.29151529378081786,33.6322869955157,-26927.369348747387,0.5813064588916369,0.5764701614534546,-10.213887194477932,-5.276190954327947,-28333.338520564426,10.0,53.0,6.0,66.0,6529.824348748,-0.16072512916940293,-0.4246451848517989,-0.5433253908650296,-0.6427991063371972,-39331.765533653415
ON1_F3,exclude_year,2022,226,-0.387718333248333,-0.3512362372296884,32.743362831858406,-27498.73286294737,0.569688459034263,0.5700910104648815,-10.213887194477932,-5.276190954327947,-28904.702034764414,12.0,53.0,6.0,67.0,6637.212862948,-0.168237596065742,-0.431146540389397,-0.5483333744755269,-0.6465414361126759,-39903.12904785339
ON1_F3,exclude_year,2023,182,-0.3564796585998906,-0.3545144833865925,33.51648351648351,-23225.118324797455,0.5758797049167527,0.5720241939556379,-5.776249335468189,-4.228949565706063,-24631.087496614484,9.0,48.0,6.0,60.0,5499.703324798001,-0.13669466308102973,-0.410292409605918,-0.5377757232821836,-0.6286844542585803,-35629.514509703484
ON1_F3,exclude_year,2024,185,-0.3623173699106521,-0.35101860376136257,34.054054054054056,-22084.634418697504,0.6046545328053776,0.6006286011981038,-10.213887194477932,-5.5355880233113615,-23490.60359051453,10.0,46.0,6.0,58.0,5738.609418698,-0.13165296856839384,-0.41528446579870504,-0.5588113659913269,-0.6803275446839163,-34489.030603603525
ON1_F3,exclude_year,2025,197,-0.3936234334272152,-0.3575750960751708,29.949238578680205,-18187.177533194525,0.527305329812217,0.5774107862793249,-10.213887194477932,-5.016702384213135,-19593.146705011564,10.0,48.0,6.0,60.0,5417.017533195,-0.1630764629071178,-0.4347861287478989,-0.5378181728503897,-0.6243519448951962,-25984.699159718555
ON1_F3,exclude_year,2026,206,-0.4110705148747048,-0.3545144833865925,30.582524271844658,-22213.360981252503,0.5334563357287095,0.519385271435376,-10.213887194477932,-5.410297588316076,-23521.919674373537,10.0,51.0,6.0,62.0,5328.925981253,-0.18073713708672998,-0.4588495333545381,-0.580316746336225,-0.680747089546061,-32516.203120240512
ON1_F4,stage,U,151,-0.3856654816274923,-0.35472572871583974,32.450331125827816,-23425.735182818542,0.6123114000539484,0.5868497630378868,-10.23087722223011,-5.735290689146229,-23425.73518281854,7.0,30.0,7.0,32.0,4997.295182819,-0.17044056007026112,-0.4268776856044872,-0.5740705027962311,-0.7214720889387042,-38945.67711215056
ON1_F4,stage,R,35,-0.13430084406080023,-0.31469250372013924,37.142857142857146,-1912.281640527916,0.8126225009960358,0.6933681153694662,-3.874407134905013,-3.403712181337528,-2722.9064112999736,5.0,16.0,6.0,17.0,969.6766405280001,0.10275581438833464,-0.2904548071995383,-0.6791111625275874,-0.9849905058575135,-5303.139253677922
ON1_F4,stage,D,21,-0.3019089083624783,-0.2076147586385157,42.857142857142854,-4240.405759372935,0.6527972986817303,0.3225962408132021,-5.717791951694962,-4.400914554415378,-4325.034955972937,5.0,15.0,6.0,13.0,567.940759373,-0.084429817200805,-0.4748409255612215,-1.0415714711214719,-1.6594638477179908,-5967.684870922943
ON1_F4,stage,C,88,-0.0359708225804625,-0.33717902416992296,37.5,-6099.873532832709,0.9475205230011094,0.7006013748626847,-4.340364230482233,-3.7670198567496582,-11616.129881887799,7.0,28.0,7.0,31.0,2521.8735328330004,0.18154007288633284,-0.14897342024397722,-0.4004040798453877,-0.5583366714301776,-12665.684292866723
ON1_F4,stage,UNKNOWN,0,,,,,,,,,,,,,,,,,,,
ON1_F4,exclude_year,2020,264,-0.18308792461230458,-0.3098057313816678,37.121212121212125,-31220.08392735215,0.7848070057496104,0.6300122687661566,-8.310725936842765,-4.585104640674912,-32407.6188711072,12.0,55.0,6.0,61.0,8243.923927353,0.029882903314146565,-0.22102839266841717,-0.3131786440942846,-0.41624180930077953,-47542.68630592416
ON1_F4,exclude_year,2021,279,-0.24668619443891346,-0.31469250372013924,35.842293906810035,-35205.77182185212,0.7218466910585789,0.6030533616759821,-10.23087722223011,-5.077434364378427,-35239.661947757115,12.0,59.0,6.0,66.0,8671.206821853,-0.031462859884812656,-0.2828082856928134,-0.37081571157382526,-0.46920318108998676,-51528.37420042414
ON1_F4,exclude_year,2022,287,-0.2463370559995415,-0.33905723859379727,35.88850174216028,-35515.89960605211,0.7181152155830166,0.6022255247036712,-10.23087722223011,-4.961489479445258,-35549.789731957106,12.0,60.0,6.0,67.0,8899.734606053,-0.030190750465177447,-0.28144751834270526,-0.3669389779951762,-0.46241495500584123,-51838.501984624134
ON1_F4,exclude_year,2023,228,-0.26570635636105683,-0.33717902416992296,33.771929824561404,-31758.640268402207,0.6894462588766525,0.5903282750990859,-10.23087722223011,-5.097251293544908,-31792.530394307214,12.0,54.0,6.0,62.0,7288.775268403,-0.055532392164047775,-0.3100277727950056,-0.4177339275188912,-0.5181661699711722,-48081.24264697423
ON1_F4,exclude_year,2024,236,-0.37461814739903687,-0.37077397681240964,33.05084745762712,-38380.72972465227,0.5631256608948508,0.5063344419272021,-10.23087722223011,-4.872802648208169,-38414.61985055726,12.0,53.0,6.0,61.0,7772.489724653001,-0.15111647177536314,-0.4008767995791251,-0.5005331674222426,-0.596349736882341,-53900.671653984304
ON1_F4,exclude_year,2025,224,-0.22541002811346186,-0.3468914836548185,35.267857142857146,-22963.538270996392,0.7381162245920612,0.6126303924720133,-10.23087722223011,-4.846366952919591,-22997.42839690139,12.0,53.0,6.0,60.0,6632.808270997,0.003211878212809105,-0.2703457465092409,-0.3777427492640072,-0.4851515389168425,-33080.8870844564
ON1_F4,exclude_year,2026,252,-0.1877263755220231,-0.3156867916739439,35.317460317460316,-19025.113074005356,0.7748911768004375,0.6856015960010625,-10.23087722223011,-5.031709509929113,-19025.11307400534,12.0,56.0,6.0,62.0,6831.778074006,0.03783247604654475,-0.2274992103812555,-0.32423118766931625,-0.42833786426351805,-32990.03382395237
ON1_F5,stage,U,111,-0.3232198151581555,-0.38310236970956596,27.927927927927925,-12525.236118097668,0.5225945589155532,0.4648453017810266,-4.106739751266177,-3.2706905885296926,-13014.50470979777,12.0,30.0,7.0,33.0,3195.416118098,-0.09388976276698147,-0.377809427601498,-0.48950411026027035,-0.5994586969571057,-17888.4147789797
ON1_F5,stage,R,214,-0.18488842783866594,-0.2735319397697446,30.373831775700932,-5040.511515974553,0.6392078254722031,0.8284228033397137,-3.801017980458542,-2.5566682017427222,-7800.6325486065925,21.0,50.0,7.0,43.0,5788.736515975001,0.06140987083864494,-0.22178586106526424,-0.30309842135956866,-0.37695789328830565,-15300.796201769575
ON1_F5,stage,D,201,-0.39013485009042176,-0.300015879155465,31.343283582089555,-13993.227989050556,0.3714211150868704,0.4806102889972737,-10.160302220729761,-3.9942892013255147,-14261.785612201698,8.0,38.0,7.0,39.0,4785.182989051,-0.1441237362652052,-0.4090304024101056,-0.47631228205652437,-0.5392862723121512,-20289.083097910592
ON1_F5,stage,C,77,-0.27565890240267715,-0.2892190988569496,32.467532467532465,-5674.062869863832,0.40792138445220877,0.3631516485794584,-2.9058393309932398,-2.328042631647167,-5674.062869863832,9.0,23.0,7.0,24.0,1821.4778698640002,-0.02076305733276131,-0.3127305594737857,-0.40865862158522925,-0.500026130734997,-8011.703806653849
ON1_F5,stage,UNKNOWN,0,,,,,,,,,,,,,,,,,,,
ON1_F5,exclude_year,2020,500,-0.2980239431454785,-0.2965046579505443,29.2,-33320.324649186754,0.5056830539679964,0.5947118217323873,-10.160302220729761,-3.327882577717895,-34420.37216958981,15.0,67.0,6.0,62.0,13030.349649188001,-0.060025257889802036,-0.31400047379191587,-0.35389739672901105,-0.3903473780154609,-43961.23334988078
ON1_F5,exclude_year,2021,512,-0.2841428479012647,-0.27753130425433786,32.8125,-33326.48589188675,0.5298271974925458,0.6028399352111153,-10.160302220729761,-3.4300483258983316,-34453.736475389815,11.0,66.0,6.0,59.0,13464.575891888002,-0.04665586387669843,-0.29971703126198496,-0.3385569584488535,-0.37448400310220276,-43967.39459258075
ON1_F5,exclude_year,2022,506,-0.2844660390522831,-0.2757295907417612,31.620553359683797,-34158.58136703671,0.5292908836719071,0.5969288308581872,-10.160302220729761,-3.4300483258983316,-35285.83195053978,14.0,66.0,6.0,60.0,13645.596367038,-0.052028230013693076,-0.3002259021977863,-0.3395350410550429,-0.3759065467586968,-44799.49006773073
ON1_F5,exclude_year,2023,523,-0.31898243061840736,-0.28799585653577403,30.019120458891013,-35535.56880553674,0.45181524946002194,0.5625526209980639,-10.160302220729761,-3.36554849319355,-36662.8193890398,15.0,67.0,6.0,59.0,13740.178805538002,-0.07414707544052268,-0.3304778712012194,-0.36384976028165916,-0.3972593038894938,-46176.47750623076
ON1_F5,exclude_year,2024,510,-0.2714072357551051,-0.27753130425433786,31.56862745098039,-28614.60950078682,0.4864662688403224,0.596941553246051,-10.160302220729761,-3.141305876506986,-29741.860084289903,15.0,66.0,6.0,61.0,13562.984500788001,-0.018583512498477166,-0.2870175934863073,-0.3184127225474384,-0.35163497975078317,-39255.51820148084
ON1_F5,exclude_year,2025,516,-0.27705213391022054,-0.2907423441560114,29.26356589147287,-29484.66585988689,0.48516535430716784,0.5573016028661307,-5.966708952003329,-2.6942027462428793,-30611.91644338997,15.0,66.0,6.0,60.0,13086.285859888001,-0.024533382330609237,-0.2924915843633021,-0.3289455556935739,-0.36363240186958695,-37625.57862124991
ON1_F5,exclude_year,2026,551,-0.29742441443632966,-0.28878332623944164,29.219600725952816,-28957.994883598967,0.4614434520174175,0.5336922146736257,-10.160302220729761,-3.096022416217461,-31763.669654972124,15.0,70.0,6.0,62.0,13014.909883600001,-0.04708459804111131,-0.31191839491608075,-0.3480734288691188,-0.3808785902345843,-38381.853725425986
ON1_F6,stage,U,63,-0.0780277542231047,-0.23576116336550224,39.682539682539684,-2750.7549165128894,0.8939413618078489,0.7529540731869291,-10.23087722223011,-4.9711142286114605,-2750.75491651289,5.0,23.0,7.0,22.0,1656.1449165129998,0.17477170247555568,-0.16956607141714114,-0.4551665379010773,-0.6637987326614376,-6953.262467442899
ON1_F6,stage,R,30,-0.3599048459618661,-0.25274204728225735,26.666666666666668,-3536.5028968039296,0.436835266726053,0.32877898590264976,-3.874407134905013,-3.1728257518185603,-3536.5028968039296,7.0,17.0,6.0,17.0,790.1528968040001,-0.11174033941733036,-0.4751766321731143,-0.750220977597069,-0.9560442159329172,-5219.041898853938
ON1_F6,stage,D,38,-0.35591008266824964,-0.4963300376419282,21.052631578947366,-2242.5999655619244,0.595553322890691,0.6026175441688195,-5.261079058846291,-5.238348166446559,-2242.5999655619244,13.0,18.0,6.0,20.0,814.0249655620003,-0.0984501382370285,-0.6191408490509342,-0.9538153250756755,-1.193487802463012,-5363.822734661937
ON1_F6,stage,C,61,-0.26198148676607247,-0.36986674847545004,31.147540983606557,-2592.2815345958347,0.5674132540902893,0.6729802895138591,-4.340364230482233,-3.1545798697227907,-4627.398189509947,13.0,24.0,7.0,26.0,1529.0665345960003,-0.027448327540145666,-0.35713203209366867,-0.5250608392028994,-0.6703945562460629,-6007.924681545856
ON1_F6,stage,UNKNOWN,0,,,,,,,,,,,,,,,,,,,
ON1_F6,exclude_year,2020,171,-0.16804827561850957,-0.2918529720844513,32.16374269005848,-8017.318929874613,0.7437920266564916,0.686473783724097,-5.261079058846291,-3.84523860471973,-8748.190393393626,19.0,55.0,6.0,62.0,4225.8289298750005,0.07698150253932577,-0.2242346082603306,-0.340882886383814,-0.4498335855792904,-13315.885786354627
ON1_F6,exclude_year,2021,159,-0.21561578877666096,-0.2918529720844513,33.9622641509434,-9712.11343147463,0.7201124486221016,0.6556586027572671,-10.23087722223011,-4.930404373150134,-10442.984894993642,19.0,52.0,6.0,55.0,4010.9034314749993,0.02457836357896954,-0.27637049803152003,-0.4116541432412983,-0.537582786751413,-15164.466147324649
ON1_F6,exclude_year,2022,164,-0.1650159818129378,-0.2849608899930388,34.146341463414636,-9457.832619474613,0.7653311650595402,0.6629860422187632,-10.23087722223011,-4.40116770262045,-10188.704082993623,12.0,51.0,6.0,58.0,4228.517619475,0.07236674657234826,-0.22359662141602998,-0.35329841925152605,-0.47324380407657946,-14910.18533532463
ON1_F6,exclude_year,2023,157,-0.2831880883814839,-0.3716812051493693,29.936305732484076,-10400.065931324629,0.6089595854445587,0.6021442499460986,-10.23087722223011,-4.592298904352025,-11130.937394843637,19.0,53.0,6.0,61.0,3990.710931325,-0.040640034984236274,-0.3451548599319491,-0.4705797246248375,-0.5829979937339871,-15852.418647174647
ON1_F6,exclude_year,2024,156,-0.370289143366099,-0.3031348636553126,28.205128205128204,-13991.19688782467,0.5064771991143519,0.46756700104801735,-10.23087722223011,-4.930404373150134,-14722.068351343682,19.0,52.0,6.0,57.0,4038.471887825,-0.11297386412567056,-0.43321764282969377,-0.5619869055612421,-0.6589998142991592,-18965.954222604683
ON1_F6,exclude_year,2025,167,-0.22660946125003828,-0.29208490282373295,30.538922155688624,-6647.3987322806615,0.6508416149170491,0.6932260288567711,-10.23087722223011,-4.07236358689606,-7516.150798549813,19.0,53.0,6.0,60.0,4152.268732281001,0.028276268616653603,-0.26169354181062376,-0.37791131733724914,-0.4810271261799749,-11250.99174021067
ON1_F6,exclude_year,2026,178,-0.23122968281391038,-0.30794705602104494,29.775280898876407,-8506.909348593654,0.6741764274972013,0.644297194206357,-10.23087722223011,-4.680450018398491,-8506.90934859365,19.0,56.0,6.0,61.0,4089.634348594,0.021348602802850333,-0.2855509142054639,-0.4061890819916005,-0.517713144948497,-13838.158196243665
ON1_F7,stage,U,230,-0.4149408385757884,-0.43351799057278034,30.0,-32262.620098684292,0.5160850834639485,0.521947489026128,-10.23087722223011,-4.720846860273549,-32324.966944784283,11.0,38.0,7.0,29.0,6956.675098685,-0.1845207486293031,-0.44206357199717483,-0.5443694187678251,-0.6428648709475706,-47458.22339421431
ON1_F7,stage,R,172,-0.4324470859559974,-0.3253968858399572,31.976744186046513,-20098.557180154603,0.4329566514575111,0.45547104935752075,-7.757659565589339,-4.367403497994738,-20958.92439339762,12.0,50.0,7.0,42.0,4700.0621801550005,-0.18749014106823683,-0.47985475809273886,-0.5941438111656121,-0.6867226250900723,-28446.16161249661
