id,kind,value,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash
ON0,stage,U,417,-0.37469611117154344,-0.38310236970956596,30.215827338129497,-50346.13984274377,0.5415037952573837,0.5599110664071165,-10.23087722223011,-4.6814640408808055,-50408.48668884375,18.0,39.0,7.0,26.0,12562.079842745,-0.1447286156267469,-0.3895299121958062,-0.4472972532430285,-0.5101056359810335,-67788.23697993279
ON0,stage,R,450,-0.2766128184918148,-0.27753130425433786,32.22222222222222,-24618.242050397028,0.537866610955862,0.6418342524056652,-7.757659565589339,-3.433497965271998,-27324.622580129046,11.0,67.0,7.0,46.0,12109.532050398,-0.02838038273058363,-0.29432078657181165,-0.3392402432085232,-0.38246670433090607,-35590.07997708206
ON0,stage,D,445,-0.3878282770086814,-0.29989612218103073,31.011235955056183,-34712.452241494015,0.42174079331436737,0.4970515317022885,-10.213887194477932,-4.697682269158233,-36134.28115957105,13.0,46.0,7.0,25.0,10869.022241495,-0.14207269345264895,-0.4098360620323296,-0.4497877265053381,-0.48801927202441875,-43851.82830867104
ON0,stage,C,311,-0.2600615064698636,-0.30265289152641567,29.260450160771708,-22574.636473739236,0.5495719466410608,0.5575390315093902,-4.340364230482233,-3.2003947533684833,-22574.636473739232,23.0,38.0,7.0,32.0,8245.67647374,-0.014627783602976558,-0.2924980118912028,-0.3626582689069324,-0.4158404256106171,-31257.323864422273
ON0,stage,UNKNOWN,0,,,,,,,,,,,,,,,,,,,
ON0,exclude_year,2020,1380,-0.31999439143265407,-0.30147389303918737,30.434782608695656,-116933.99898187442,0.5318042145788116,0.5823973025185349,-10.213887194477932,-4.183433668641885,-116933.99898187445,22.0,69.0,6.0,1.0,37587.323981878,-0.08276355009052287,-0.3273295977891283,-0.3495314733228614,-0.37131248850656245,-134896.5185725944
ON0,exclude_year,2021,1380,-0.33104753832152284,-0.3042731922549674,33.11594202898551,-122270.83220877439,0.541508359415682,0.5802788304962445,-10.23087722223011,-4.417018653409804,-122333.17905487439,16.0,69.0,6.0,2.0,38150.432208778,-0.09587899403519985,-0.3383907600129418,-0.3606248134731442,-0.38244631529972944,-140233.3517994944
ON0,exclude_year,2022,1381,-0.32434955952089817,-0.28785424631137074,32.22302679217958,-123863.12320182432,0.5434759828585308,0.5770194623884078,-10.23087722223011,-4.3574258838304685,-123925.47004792427,22.0,69.0,6.0,2.0,38951.463201828,-0.09313741296627491,-0.331682606429352,-0.35388100097400593,-0.3756619918127559,-141825.64279254433
ON0,exclude_year,2023,1381,-0.3280511965608946,-0.2930533153861994,30.267921795800145,-116056.88557727443,0.4992210125666825,0.5686947787547463,-10.23087722223011,-4.010462676803339,-116119.23242337441,22.0,69.0,6.0,2.0,37935.505577278,-0.08687363524906389,-0.3353869258150295,-0.35623119066712366,-0.37754556852331794,-134019.40516799438
ON0,exclude_year,2024,1381,-0.32989997960349304,-0.2918529720844513,30.62997827661115,-113883.63505707464,0.47493759900650273,0.5508250578045013,-10.23087722223011,-3.876004052183339,-113945.98190317459,22.0,69.0,6.0,2.0,38579.765057078,-0.07988999662781973,-0.336938768192692,-0.35614927909729055,-0.3769514466995537,-131846.15464779464
