id,window,kind,value,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,matched_base_mean,matched_base_cash,excluded
ON0,main2020,slip,0.0,1623,-0.22941888893814638,-0.1932364999671674,35.05853357979051,-94198.74393200003,0.6199893056132092,0.6618420155113026,-10.141061913283412,-4.041063592456215,-94563.90774799997,14.0,81.0,7.0,1.0,43798.743932,-0.08681121024773295,-0.23566705371676963,-0.254573331806828,-0.2731062235607305,-112514.60148800004,,,
ON0,old2020_2023,slip,0.0,970,-0.2480794134712457,-0.20285470854418247,32.371134020618555,-36756.72410000002,0.4757000069081477,0.47651574719944023,-10.141061913283412,-3.1730055037376754,-37113.55389999999,14.0,48.0,4.0,1.0,22526.7241,-0.07057361695814651,-0.25636638054764915,-0.27956015483743973,-0.2995656052398782,-41969.45370000003,,,
ON0,recent2024,slip,0.0,653,-0.20169957990735565,-0.16303585968038087,39.05053598774885,-57442.01983200001,0.7471321985647097,0.7242987401913737,-10.070416246953814,-4.66581760271256,-57918.05414800003,12.0,33.0,3.0,1.0,21272.019832,-0.11093137179581691,-0.21720081297774843,-0.2613929665391312,-0.3069225529492439,-75757.87738800001,,,
ON0,main2020,slip,5.0,1623,-0.3291354026252871,-0.2929934367456236,30.80714725816389,-132251.47060837405,0.5090866642638987,0.5637751005358459,-10.23087722223011,-4.1369749560615015,-132313.8174544739,22.0,81.0,7.0,1.0,43786.310608378,-0.08681121024773295,-0.3353773203668226,-0.3542646935121834,-0.372779049930421,-150213.99019909409,,,
ON0,old2020_2023,slip,5.0,970,-0.34777703776664354,-0.30260205649846444,26.804123711340207,-49881.0424637486,0.3600864378122192,0.3721443178106321,-10.23087722223011,-3.269784589965508,-50035.447195948545,22.0,48.0,4.0,1.0,22520.51746375,-0.07057361695814651,-0.35605571876477915,-0.3792262954668477,-0.39921172968915736,-54990.95950794862,,,
ON0,recent2024,slip,5.0,653,-0.3014441528747272,-0.2628229667598431,36.75344563552833,-82370.42814462543,0.6491074139923896,0.6318245305087803,-10.160302220729761,-4.761104537259932,-82370.42814462549,12.0,33.0,3.0,1.0,21265.793144627998,-0.11093137179581691,-0.3169298880388683,-0.36107785144222765,-0.4065619033002648,-100332.94773534549,,,
ON0,main2020,slip,10.0,1623,-0.42875232846175193,-0.3926507514112222,26.74060382008626,-170304.19728475175,0.421471310977758,0.4821182889468217,-10.320602827996373,-4.232790520331151,-170348.11837695187,29.0,81.0,7.0,1.0,43773.877284756,-0.08681121024773295,-0.43498800541149035,-0.4538564925061052,-0.47235233214388667,-187913.3789101918,,,
ON0,old2020_2023,slip,10.0,970,-0.44737510327660224,-0.40224980697814866,21.34020618556701,-63005.360827498545,0.27748489759754996,0.2948575078325573,-10.320602827996373,-3.366467022015185,-63083.52429189855,29.0,48.0,4.0,1.0,22514.3108275,-0.07057361695814651,-0.4556455064773467,-0.4787929088076295,-0.49875834689971826,-68012.46531589855,,,
ON0,recent2024,slip,10.0,653,-0.4010890948164154,-0.3625104140749814,34.76263399693721,-107298.8364572532,0.5650781994008899,0.5519814777062155,-10.250098421866722,-4.856296295685408,-107298.83645725329,12.0,33.0,3.0,1.0,21259.566457256,-0.11093137179581691,-0.4165593475446832,-0.46066316491811377,-0.5061017277278178,-124908.01808269329,,,
ON0,main2020,slip,20.0,1623,-0.6276880127433824,-0.5916671107331885,21.5033887861984,-246409.6506375121,0.29618821684412727,0.35701732680628173,-10.499785466998494,-4.42413482441528,-246416.72022191223,69.0,81.0,7.0,1.0,43749.01063751201,-0.08681121024773295,-0.6339112268079756,-0.6527419983697685,-0.6712008600009256,-263312.1563323921,,,
