id,window,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash
ON0,all,2006,-0.1545650661408471,-0.20390707594143515,38.783649052841476,-38918.477989017374,0.720580283274331,0.8575884490819903,-10.250413190279678,-3.861723231724261,-43653.795297785844,17,100,9,1,53472.122989022,0.09409064580766333,-0.15953484645751048,-0.1786101356106624,-0.1953195870388152,-56538.85520411137
ON0,main2020,1623,-0.15587879799524765,-0.20390574382977858,38.87861983980284,-31494.609243117982,0.7253291098487736,0.8715822284532538,-10.200745196903522,-3.889855348872354,-40429.460135886395,17,81,7,1,43829.449243122006,0.08681121024773308,-0.16202289372074988,-0.18455210238449998,-0.2036030909194396,-49114.98645821202
ON0,old2020_2023,970,-0.2070606187207833,-0.27349671309562124,32.98969072164948,-21445.230041248575,0.5482952101255751,0.6569636478298,-8.235700377192982,-2.837596113065708,-28733.71070014893,17,48,4,1,22544.70504125,0.07057361695814657,-0.21739798207216632,-0.24809021817648316,-0.27218767413273126,-28329.63338679858
ON0,recent2024,653,-0.07985067226206298,-0.1097734818718191,47.626339969372125,-10049.379201869408,0.8905545526784342,0.9450058022202212,-10.200745196903522,-4.869772641049577,-18692.79266484868,9,33,3,1,21284.744201872,0.11093137179581719,-0.09496450995964535,-0.1372294436226396,-0.17690806796905414,-27669.756416963413
ON0,2018,139,-0.09457657908544982,-0.1368561648793434,43.16546762589928,-1627.3965355997693,0.8109149011261675,0.8520386588900825,-10.250413190279678,-4.9435415028866805,-4886.306832199991,9,7,1,1,3520.1165356,0.1793982589415317,-0.13027298766231718,-0.23551880170495182,-0.3292132135251641,-5233.996984299784
ON0,2019,244,-0.1800003649154708,-0.26064154688541646,35.65573770491803,-5796.472210299625,0.6310858541345099,0.6596672954951474,-3.9767216105873695,-2.935894379687473,-6015.364939299649,14,12,1,1,6122.5572103,0.09391345600503671,-0.2206584442825232,-0.287631475224597,-0.34233915503577994,-9579.608815199634
ON0,2020,243,-0.16188136098602365,-0.27457146892655265,36.21399176954733,-4343.1186884996105,0.6642426833173913,0.7489359391847153,-5.4392016374207,-2.6428783335419186,-8930.946010699698,10,12,1,1,6204.6336885,0.10979792225164203,-0.20284471413059402,-0.27964038950151243,-0.32628429055285757,-9235.827309799617
ON0,2021,243,-0.24797840043463126,-0.2857830605564446,23.456790123456788,-7462.097640399648,0.23857358015988175,0.25424517935551433,-2.8571236783575564,-1.3764448366939466,-7468.434728999669,17,12,1,1,5637.337640399999,0.035315154170760525,-0.25483781065466254,-0.2772231476831866,-0.29856593581169505,-8244.364740099658
ON0,2022,242,-0.2554614137461261,-0.2922503756566879,28.512396694214875,-5989.946493449734,0.3103588322352234,0.3041110596298741,-2.854933342492619,-1.6590196165860758,-6001.427883649732,13,12,1,1,4836.446493450001,0.050710028618367674,-0.2757392339752529,-0.30041997620374367,-0.32456571300562964,-6834.25911469974
ON0,2023,242,-0.16293890912139722,-0.20191658032244786,43.80165289256198,-3650.0672188995823,0.7515425480002657,0.8627966833801981,-8.235700377192982,-4.447044312214673,-6350.720555599851,11,12,1,1,5866.2872189,0.08645497501286514,-0.20431975301306002,-0.3005127820557298,-0.37460311191614853,-9405.837838849595
