id,start,end_exclusive,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash
ON0,2020-01-01,2021-01-01,243,-0.3810473180402405,-0.2761177419572468,32.92181069958848,-15317.471626499617,0.3612858590490043,0.33862729155798793,-10.23087722223011,-3.6944417550104256,-15379.818472599622,15.0,12.0,1.0,1.0,6198.9866265,-0.10979792225164207,-0.4029160162322294,-0.45375575563559395,-0.4974440199586951,-17718.177437599636
ON1_F1,2020-01-01,2021-01-01,59,-0.4348114077159353,-0.31454116668287535,28.8135593220339,-4641.414993899915,0.3504652306352078,0.30568054797641847,-10.23087722223011,-4.975035786821485,-4703.761839999917,9.0,12.0,1.0,16.0,1517.7599939000002,-0.16459714180419502,-0.4856126796009553,-0.629697097012278,-0.7696144569368559,-5851.114488099921
ON1_F2,2020-01-01,2021-01-01,52,-0.2815114074693868,-0.13123050746088394,40.38461538461539,-2456.825583799924,0.5217215398013848,0.48089448621631997,-5.966708952003329,-4.195902792875933,-2476.3730854999326,11.0,12.0,1.0,16.0,1313.3955838000002,-0.008868698967196682,-0.35321851378710994,-0.5261834079743978,-0.6802370343023065,-3878.213439999936
ON1_F3,2020-01-01,2021-01-01,34,-0.04151253112578899,-0.20387322085063692,44.11764705882353,-124.24182239992601,0.9274929311686009,0.9590569623768904,-4.58529445540711,-4.158939910875158,-949.3105320999355,5.0,9.0,1.0,12.0,872.5418224000001,0.23026039085121006,-0.19159405159690582,-0.48142788012959076,-0.7469958127266693,-2211.004610499942
ON1_F4,2020-01-01,2021-01-01,31,-0.7776233752556029,-0.4751301374365419,19.35483870967742,-4458.212188199957,0.17620675192632596,0.14080606544258462,-10.23087722223011,-6.277110143893835,-4458.212188199957,8.0,10.0,1.0,12.0,812.8621882000001,-0.510537331908775,-0.8872662331512974,-1.1231948603496331,-1.3711327108143914,-5179.8054757999635
ON1_F5,2020-01-01,2021-01-01,103,-0.2531494351502082,-0.2038791739033975,36.89320388349515,-3912.7138437998556,0.40696415305475314,0.390520913174699,-5.966708952003329,-2.525289721848099,-3952.776767399866,11.0,11.0,1.0,8.0,2560.463843800001,0.021018944012691564,-0.288724929756921,-0.3497442613077307,-0.40994598580019276,-5027.774756899858
ON1_F6,2020-01-01,2021-01-01,21,-0.7848615522985879,-0.4783264303868168,23.809523809523807,-3104.8203835999657,0.3058428171835903,0.2947311303670834,-10.23087722223011,-6.455846201307726,-3117.272344099969,9.0,7.0,1.0,7.0,563.5603835999999,-0.5200420520828845,-1.0696635121345708,-1.4840022013635852,-2.067089850570649,-4402.321607099977
ON1_F7,2020-01-01,2021-01-01,107,-0.5030402967170957,-0.3469055183787996,28.037383177570092,-8898.806927299845,0.29448190296240795,0.2800979687590514,-10.23087722223011,-4.503052225666689,-8961.153773399848,15.0,12.0,1.0,5.0,2729.8019273,-0.23220712076396077,-0.5541178244636822,-0.6424706015750286,-0.734218213010178,-10788.452128299854
ON1_F8,2020-01-01,2021-01-01,52,-0.49932548910605135,-0.20387895302777448,42.30769230769231,-4424.624688299925,0.33420503761296394,0.30382326369730495,-10.23087722223011,-5.428935218043626,-4424.624688299922,5.0,12.0,1.0,1.0,1321.9896883000001,-0.22806048946832783,-0.5583644665711744,-0.7255408684587661,-0.8784849207767286,-5620.47307229993
ON2_F1,2020-01-01,2021-01-01,50,-0.22574794636434492,-0.2038753188523703,32.0,-1944.0621938999109,0.47401236413742376,0.42934822746106993,-2.037492647965486,-1.8559334176502051,-2024.207478999935,8.0,12.0,1.0,16.0,1292.1071939,0.044820264036575796,-0.2840493040213642,-0.4053211776014812,-0.5136698942004937,-2899.887750499919
ON2_F2,2020-01-01,2021-01-01,51,-0.37773011340688717,-0.35434709151512106,33.33333333333333,-2968.986884299921,0.33100322284219036,0.3142212682880532,-2.5520249325944544,-2.230598002010199,-2968.986884299921,10.0,12.0,1.0,16.0,1289.0718843000002,-0.1055300884873021,-0.4162651751989819,-0.5553685134499791,-0.673974544165115,-3860.649800199926
