year,id,passed,last_exit,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash
2022,ON1_F1,False,2021-12-27,113,-0.37645581515331983,-0.33905723859379727,27.43362831858407,-6810.558761099827,0.2908617085589055,0.2726441674070272,-10.23087722223011,-3.223689856347331,-6872.90560719983,9.0,24.0,2.0,29.0,2775.9237611000003,-0.10041991968211078,-0.4022425845887532,-0.4721640348907196,-0.5404007346550146,-8054.250880599833
2022,ON1_F2,False,2021-12-17,105,-0.3147701967186663,-0.2748836116479601,26.666666666666668,-4783.546233199849,0.34153573736257475,0.3360820006966347,-5.966708952003329,-2.929547828751731,-4783.54623319985,14.0,24.0,2.0,30.0,2534.7862332,-0.03650485104970815,-0.35025405452110053,-0.43142897641848554,-0.4945498200815655,-6204.93408939986
2022,ON1_F3,False,2021-12-01,48,-0.19938329266999513,-0.27437500585424074,33.33333333333333,-1199.3028030999026,0.6547203887434829,0.7090524191023115,-4.58529445540711,-3.4223524674039454,-2024.371512799912,8.0,14.0,2.0,18.0,1198.4678031,0.07528495985643903,-0.3081186317570391,-0.5144274538056064,-0.6864966182979738,-3286.065591199919
2022,ON1_F4,False,2021-12-14,47,-0.5898385769157221,-0.4173474033496153,21.27659574468085,-4930.736481899933,0.22349220981595844,0.18736868804688653,-10.23087722223011,-4.9524942728690124,-4930.736481899934,8.0,16.0,2.0,19.0,1198.4414818999996,-0.31885298288397107,-0.6572625103620472,-0.8296096573955596,-0.9649026294211215,-5951.404837499942
2022,ON1_F5,False,2021-12-31,193,-0.28743902155224954,-0.277612876932539,27.979274611398964,-7794.940409999716,0.3044763318360906,0.2988357708834939,-5.966708952003329,-2.2167841151892476,-7822.143473099728,14.0,23.0,2.0,20.0,4664.30041,-0.00973480202521561,-0.30651709465790966,-0.3457792052048959,-0.3793913032278373,-9043.51567939972
2022,ON1_F6,False,2021-12-14,54,-0.5077320354040137,-0.38002646437055543,20.37037037037037,-4514.846265599912,0.2621721281134546,0.2683998251469581,-10.23087722223011,-5.0716516444782735,-4514.846265599911,12.0,17.0,2.0,21.0,1342.0462655999997,-0.23307201967245547,-0.6099756142686378,-0.746476933521583,-0.8444833259538094,-6091.493736899922
2022,ON1_F7,False,2021-12-29,210,-0.40916454924538304,-0.3414176969509635,26.190476190476193,-12977.517497999695,0.26102600595748804,0.2583710277455035,-10.23087722223011,-3.3132046246645896,-13039.864344099702,20.0,24.0,2.0,12.0,5124.957498,-0.13254976396292947,-0.4346207319901986,-0.4766616097764664,-0.5190251277335698,-14894.037469299705
2022,ON1_F8,False,2021-12-27,103,-0.4011015664897487,-0.20388749713400164,32.038834951456316,-6403.810499799855,0.28546871123686335,0.2706064552004494,-10.23087722223011,-3.751884109436435,-6403.810499799852,10.0,24.0,2.0,1.0,2504.3204998000006,-0.12399413097518808,-0.4296580755888171,-0.5045811911478719,-0.5722047888885142,-7599.658883799861
2022,ON2_F1,False,2021-12-24,93,-0.2900923078038979,-0.2833077298027401,24.731182795698924,-4010.6004839998463,0.31483918592403715,0.3027143498037444,-2.037492647965486,-1.6927172643908974,-4073.1104900998507,11.0,24.0,2.0,34.0,2296.1604840000005,-0.01427419053679867,-0.32184351309339243,-0.38557545795013526,-0.4413874578990181,-4966.426040599854
2022,ON2_F2,False,2021-12-30,110,-0.3010018052559289,-0.3290220160039626,28.18181818181818,-4688.38639049983,0.3225768171687724,0.32079439704347723,-2.5520249325944544,-1.9981922081057473,-4688.386390499833,11.0,24.0,2.0,29.0,2648.4813905000005,-0.022394892672204868,-0.31797450967293617,-0.3785895890985473,-0.44275152052767264,-5619.5194417998355
2022,ON2_F3,False,2021-12-01,52,-0.14917278780692544,-0.06836079978829872,46.15384615384615,-1497.0664045999133,0.6861017364764039,0.6220544016379215,-5.247721537451792,-3.927397857773474,-1993.1131370999879,6.0,17.0,2.0,20.0,1293.3564046,0.1262256312809648,-0.21828501922930624,-0.3584946481687922,-0.500150478758948,-2812.344944799923
2022,ON2_F4,False,2021-12-13,49,-0.23001502517877925,-0.2851850810685609,36.734693877551024,-1996.437506599929,0.5867161530496076,0.558868619161108,-2.6808151803853426,-2.4358069255874235,-2340.054932499935,7.0,16.0,2.0,19.0,1257.7675066,0.04149427049966711,-0.33712320579544275,-0.5285081895403065,-0.6717249491223677,-3938.0054430999385
2022,ON2_F5,False,2021-12-31,192,-0.3669384791174854,-0.2882097113667331,24.479166666666664,-10128.697834199718,0.25032235006325726,0.23876987648501374,-5.966708952003329,-2.770418590640751,-10128.697834199715,17.0,23.0,2.0,20.0,4614.8478342,-0.08892523922512148,-0.3865326649491711,-0.4264426638332004,-0.4620813894415083,-11331.937953099723
2022,ON2_F6,False,2021-12-14,52,-0.36167650110813526,-0.32980309847379313,19.230769230769234,-2830.1720598999304,0.24615853891638345,0.2464165862195345,-2.6808151803853426,-2.122679232049689,-2830.1720598999304,14.0,16.0,2.0,22.0,1274.1770599,-0.08515795201387674,-0.4010979256072643,-0.505329833422448,-0.5940107792814281,-3596.031213099937
2022,ON2_F7,False,,0,,,,,,,,,,,,,,,,,,,
2023,ON1_F1,False,2022-12-20,165,-0.3669069746631516,-0.33905723859379727,25.454545454545453,-8610.449180649774,0.2512084816315521,0.24623870445065307,-10.23087722223011,-2.587509735988074,-8672.79602674978,14.0,36.0,3.0,43.0,3817.4291806500005,-0.0817203949789536,-0.38445922671362937,-0.43121162172057853,-0.47768006434586663,-9854.141300149779
2023,ON1_F2,False,2022-12-30,157,-0.3254456738581663,-0.28842356619769227,26.11464968152866,-6548.319858099798,0.30565051104650853,0.30861485374950953,-5.966708952003329,-2.600371346541664,-6644.716909849803,14.0,35.0,3.0,48.0,3568.8848581000007,-0.03774033423700671,-0.34917001160555516,-0.40360720090758717,-0.4483286763305151,-7969.70771429981
2023,ON1_F3,False,2022-10-12,59,-0.2541123641953852,-0.2768576561017002,30.508474576271187,-1703.0002695998926,0.5726596565535096,0.6469718691307483,-4.58529445540711,-3.4223524674039454,-2528.068979299902,9.0,19.0,3.0,23.0,1417.0052696000002,0.026754165480641648,-0.3431690884818758,-0.5100483695001673,-0.6574478882660675,-3789.763057699909
2023,ON1_F4,False,2022-12-05,55,-0.5357311777044117,-0.3923479449357734,20.0,-5093.1329913999225,0.2400015552867576,0.19809976764758558,-10.23087722223011,-4.9524942728690124,-5214.448337149924,12.0,21.0,3.0,25.0,1355.4929913999997,-0.2592530113868738,-0.5921643913955159,-0.7465603422572279,-0.8602349879303992,-6146.112298049931
2023,ON1_F5,False,2022-12-30,290,-0.29683102085754004,-0.28889199064793836,26.89655172413793,-10825.244940649609,0.2756817588576931,0.2764298938275128,-5.966708952003329,-1.9738815060466375,-10879.71848459962,15.0,35.0,3.0,31.0,6612.5999406500005,-0.009933060864094814,-0.30953822513294493,-0.339632417511718,-0.36443996065105,-12127.811585449617
2023,ON1_F6,False,2022-12-01,82,-0.5557714222381759,-0.3967822618222798,18.29268292682927,-6179.152959599879,0.2107310847024309,0.2353800532317897,-10.23087722223011,-4.509634977190668,-6210.583964899878,19.0,28.0,3.0,32.0,1902.9179596000004,-0.27086684950845824,-0.6232646205919937,-0.7197963229578564,-0.7991593197524867,-7785.357312699888
2023,ON1_F7,False,2022-12-23,319,-0.39228678613732915,-0.3121156174758957,25.391849529780565,-16725.461840649576,0.2392089094163469,0.24328798310524408,-10.23087722223011,-2.998869299795703,-16820.02935219958,20.0,36.0,3.0,14.0,7297.521840650001,-0.10557236330915731,-0.40896434723971403,-0.4360845842052648,-0.46310362338060773,-18641.981811949583
2023,ON1_F8,False,2022-12-26,153,-0.44713657319773553,-0.3016453367017046,28.104575163398692,-9003.0547833998,0.2280475067295035,0.2322950527107836,-10.23087722223011,-3.7260110858352826,-9067.496114299796,14.0,36.0,3.0,1.0,3505.1597834000004,-0.16099126679810033,-0.46660235566361025,-0.5192602781311416,-0.5675223112391048,-10198.903167399807
2023,ON2_F1,False,2022-12-19,140,-0.31807983756486463,-0.28949259408830164,22.142857142857142,-5715.809063799793,0.2447482677191049,0.25312056586782694,-2.037492647965486,-1.6218666759231959,-5791.440365399801,17.0,35.0,3.0,50.0,3234.6740638,-0.032262529089828504,-0.339296372934609,-0.38237880388765816,-0.4195677662826384,-6671.634620399801
