date,code,open,high,low,close,preclose,volume,amount,adjustflag,tradestatus,pctChg,signal_close,chain_return_error_pct,action_ratio,stage,stage_v3,ordinal,vr,r3,r5,clv,upper,bias20,decelerate,gap,rt_cash,rt_pct,pt_cash,pt_pct,extra_cash_needed,exit_date,next_open,next_close,dividend_today,dividend,exit0935close,exit0935open,cash,net,fee,gross,price_only,event,calendar_days
2019-06-06,sh.601138,13.03,13.03,12.75,12.83,13.08,22934315,294883039.0,3,1,-1.911315,93.17356572258532,1.5290522181743427e-08,1.0,D,D,241,0.5944480467565078,-4.385964912280704,-4.035216434336042,0.1249999999999981,0.2916666666666623,-2.913341992948615,False,-0.3822629969419067,163.78791600000153,1.257006262471232,-236.01218599999663,-1.8112984343821688,0.0,2019-06-10,11.55,11.68,0.0,0.0,,,-1314.2218377999986,-10.234040128153762,22.031837799999998,-9.976617303195635,-9.976617303195635,False,4.0
2020-01-23,sh.601138,20.5,20.78,19.4,20.0,20.85,74880577,1503553341.0,3,1,-4.0767,146.85571859765184,3.860911271846845e-05,1.0,U,U,398,1.7158644957650893,9.794628751974766,11.4973262032086,0.9375000000000006,0.0624999999999994,13.299823393560684,False,-1.6786570743405391,448.8552525000037,2.1895378170731883,-550.6450024999964,-2.686073182926812,0.0,2020-02-03,18.0,18.0,0.0,0.0,18.0,18.0,-2047.75102,-10.23087722223011,28.751019999999997,-9.999999999999998,-9.999999999999998,False,11.0
2023-10-20,sh.601138,16.56,16.72,16.07,16.17,16.53,80467844,1310063587.59,3,1,-2.1779,132.7252664036253,4.156079854800154e-05,1.0,D,D,1302,0.8579778691353167,-5.109070034443175,-11.839999999999996,0.0819672131147553,0.8360655737704952,-10.82699465932997,True,0.1814882032667775,355.03184195000205,2.143912089070061,-424.7732594499943,-2.5650559145531058,0.0,2023-10-23,14.55,14.55,0.0,0.0,14.55,14.55,-1652.9385706000005,-10.213887194477932,17.5785706,-10.018552875695741,-10.018552875695741,False,3.0
2025-04-03,sh.601138,19.65,19.88,19.01,19.05,20.0,127476448,2469083191.12,3,1,-4.75,160.72481396064097,1.7763568394002505e-15,1.0,D,D,1654,0.5818596429954119,0.1001001001001089,-1.8645731108930308,0.3076923076923035,0.6923076923076965,-3.4399517199758534,True,-1.750000000000007,560.4429154999979,2.852126796437648,-639.2572404999949,-3.253217508905826,0.0,2025-04-07,17.15,17.15,0.0,0.0,17.15,17.15,-1937.0327219999986,-10.160302220729761,18.932722,-9.973753280839903,-9.973753280839903,False,4.0
2023-10-23,sh.601138,14.55,14.55,14.55,14.55,16.17,23786500,346093575.0,3,1,-10.0186,119.42811540957008,4.712430425790615e-05,1.0,D,D,1303,0.8002502544169336,-6.423611111111116,-9.563758389261734,0.1538461538461563,0.2461538461538469,-12.195916594265864,False,-10.01855287569574,-32.11236250000109,-0.2207035223367772,-32.11236250000109,-0.2207035223367772,32.11236250000109,2023-10-24,13.31,13.76,0.0,0.0,13.45,13.45,-1270.8602786999984,-8.726985135136818,16.930278700000002,-8.522336769759454,-8.522336769759454,False,1.0
2025-10-10,sh.601138,68.31,69.99,65.46,66.41,68.45,184283841,12406938350.18,3,1,-2.9803,571.2873393510989,2.2425127819136748e-05,1.0,U,U,1779,0.8924327595276892,5.51872976722676,-0.2622759726067292,0.3737113402061867,0.6262886597938132,10.462020107476544,False,-0.2045288531774991,1778.913927630014,2.604177906060626,-2020.136823630001,-2.957307603030304,0.0,2025-10-13,61.0,63.48,0.0,0.0,63.28,63.28,-5522.715557307001,-8.310725936842765,49.010557307,-8.146363499472963,-8.146363499472963,False,3.0
2024-04-19,sh.601138,22.41,22.5,21.44,22.05,22.9,188598619,4146330680.52,3,1,-3.7118,180.98899964130703,9.606986907773065e-06,1.0,R,R,1423,1.1699556833611393,2.967625899280568,7.76470588235294,0.7281105990783409,0.2718894009216591,0.251723760534106,True,-2.139737991266366,316.1260042999968,1.4106470517625915,-403.6940892999996,-1.801401558679159,0.0,2024-04-22,20.38,20.84,0.0,0.0,20.32,20.32,-1711.8242133499964,-7.757659565589339,20.60921335,-7.573696145124719,-7.573696145124719,False,3.0
2024-03-13,sh.601138,25.54,26.98,24.09,24.35,24.8,492039964,12619421138.93,3,1,-1.8145,199.8676708057065,1.612903225090001e-05,1.0,U,U,1398,1.2611618904081316,9.685979655019894,9.010989010989,0.517730496453901,0.1560283687943254,25.57279931137495,True,2.9838709677419306,1141.7924909500002,4.470604898003133,-1237.6128184499996,-4.84578237451057,0.0,2024-03-14,22.77,22.85,0.0,0.0,22.97,22.97,-1625.4105153999976,-6.670425540886715,21.850515400000003,-6.4887063655030826,-6.4887063655030826,False,1.0
2020-03-12,sh.601138,16.25,16.34,15.83,16.1,16.54,67976365,1090709840.0,3,1,-2.6602,118.21885347110974,1.7654171692527143e-05,1.0,D,D,427,0.7404036932525384,-2.6486168334314275,-1.312649164677837,0.03076923076923,0.7692307692307667,-8.517699115044286,True,-1.7533252720677073,107.2596257499971,0.6600592353845975,-192.5904507499993,-1.18517200461538,0.0,2020-03-13,15.18,15.65,0.0,0.0,15.24,15.22,-961.4380191999994,-5.966708952003329,25.798019200000006,-5.714285714285728,-5.714285714285728,False,1.0
2025-04-08,sh.601138,16.29,16.64,15.44,15.44,17.15,214740384,3376376511.7,3,1,-9.9708,130.2672507901468,4.548104956114685e-05,1.0,D,D,1656,0.4240216537294007,-14.335664335664344,-14.164164164164172,0.5,0.0,-15.984911575956495,True,-5.014577259475217,815.6767767500003,5.007223921117252,-883.898444249998,-5.426018687845292,0.0,2025-04-09,14.58,16.33,0.0,0.0,15.58,15.58,-892.5965592999984,-5.776249335468189,17.5865593,-5.569948186528495,-5.569948186528495,False,1.0
