id,year,increment_cash,sales,buys,end_missing,tax,fees
S2_F6,2022,-1812.9186893499368,60,61,0,100.0,1209.14368935
S2_F6,2023,-61.922208949887136,54,54,0,110.0,1251.2272089500002
S2_F6,2024,-798.8793095998954,51,51,0,116.0,1109.7393096
S2_F6,2025,-7220.962739904933,35,35,100,0.0,713.7522399050001
S2_F6,2026,-242.4000000000069,0,0,100,0.0,0.0
S2_F7,2020,0.0,0,0,0,0.0,0.0
S2_F7,2021,0.0,0,0,0,0.0,0.0
S2_F7,2022,0.0,0,0,0,0.0,0.0
S2_F7,2023,0.0,0,0,0,0.0,0.0
S2_F7,2024,0.0,0,0,0,0.0,0.0
S2_F7,2025,0.0,0,0,0,0.0,0.0
S2_F7,2026,0.0,0,0,0,0.0,0.0
