entry,exit,days,sale_cash,final_cash,restored
2020-01-06,2020-01-07,1,17867.801129,1771.482549799999,True
2020-01-13,2020-01-14,1,18576.7222911,1683.5066543999965,True
2020-01-16,2020-01-17,1,18377.0261891,1635.959459400001,True
2020-02-04,2020-02-05,1,17987.618790200002,1449.1348680000046,True
2020-02-28,2020-03-02,1,17049.0471108,1184.1858058000034,True
2020-03-09,2020-03-10,1,16150.414651800002,1341.2906978000046,True
2020-03-11,2020-03-12,1,16509.867635399998,1587.7081707000016,True
2020-03-13,2020-03-16,1,15621.2199815,1515.7743954000034,True
2020-03-19,2020-03-20,1,13484.471690100001,1308.1323487000045,True
2020-03-23,2020-03-24,1,12495.9759852,1042.4782064000046,True
2020-03-27,2020-03-30,1,13045.1402657,1235.9415437000043,True
2020-03-31,2020-04-01,1,13184.9275371,1279.0413495000066,True
2020-04-09,2020-04-10,1,13923.803114500002,1250.5955246000103,True
2020-04-13,2020-04-14,1,13125.018706500001,1083.7084983000113,True
2020-04-16,2020-04-17,1,14023.6511655,874.9651216000129,True
2020-04-23,2020-04-24,1,13933.787919600001,836.4937016000149,True
2020-04-27,2020-04-28,1,13923.803114500002,738.0114760000179,True
2020-04-30,2020-05-06,1,14662.6786919,958.1864236000201,True
2020-05-13,2020-05-14,1,14153.453631800001,1029.3235147000214,True
2020-05-18,2020-05-19,1,13464.502079900001,941.7846592000242,True
2020-05-20,2020-05-21,1,13823.955063500001,873.5219839000274,True
2020-05-22,2020-05-25,1,13234.8515626,846.4834140000276,True
2020-05-26,2020-05-27,1,13474.486885,748.9189634000286,True
2020-05-28,2020-05-29,1,13434.5476646,771.4984940000304,True
2020-07-20,2020-07-21,1,15241.766997900002,800.2573379000332,True
2020-07-22,2020-07-23,1,15331.660633600002,949.0294198000356,True
2020-07-24,2020-07-27,1,14133.4840216,840.1136991000349,True
2020-07-28,2020-07-29,1,14183.4080471,791.1272040000367,True
2020-07-30,2020-07-31,1,14263.2864879,761.9879491000374,True
2020-08-03,2020-08-04,1,14862.3747939,711.6145940000388,True
2020-08-05,2020-08-06,1,14582.800251100001,631.796698600041,True
2020-08-07,2020-08-10,1,14273.271293,702.6890497000422,True
2020-08-11,2020-08-12,1,14133.4840216,443.6953275000433,True
2020-08-21,2020-08-24,1,14772.511548,343.47952690004604,True
2020-08-28,2020-08-31,1,14722.5875225,213.35010100004547,True
2020-09-02,2020-09-03,1,14742.557132700002,103.19028530004653,True
2020-09-04,2020-09-07,1,14143.4688267,224.37377190004736,True
2020-09-09,2020-09-10,1,13883.8638941,95.95752600004744,True
2020-09-14,2020-09-15,1,13823.955063500001,77.72085120005067,True
2020-09-16,2020-09-17,1,13574.334936000001,80.00445160005256,True
2020-09-18,2020-09-21,1,13794.0006482,51.82376170005409,True
2020-09-22,2021-05-24,158,13534.395715600001,2.164501630055838,True
2021-06-02,2021-07-14,29,12196.431832200002,2.2626120300578805,True
2021-07-22,2021-07-28,4,11687.2067721,240.40710755005853,True
2021-08-23,2021-08-24,1,11971.705340400002,50.79432645006091,True
2021-08-25,2021-08-26,1,11956.7965098,36.371516650062404,True
2021-08-30,2021-10-27,35,11487.5106701,0.8984316800629131,True
2021-10-29,2021-11-01,1,11327.7537885,17.776107180063264,True
2021-11-09,2021-11-29,14,11567.3891109,2.1502624100633057,True
2021-12-03,2022-01-27,38,11227.9057375,1.2251277800633034,True
2022-01-28,2022-03-15,27,11088.118466099999,2.586563170061936,True
2022-03-22,2022-08-08,93,10169.5163969,242.72317122506217,True
2022-08-19,2022-08-22,1,9455.6296076,258.5434316750616,True
2022-08-24,2022-08-25,1,9350.85603185,279.6462169250626,True
2022-08-26,2022-08-29,1,9340.871126799999,350.7946974250626,True
2022-08-30,2022-08-31,1,9181.112646,342.22549752506166,True
2022-09-02,2022-09-05,1,9290.946601550002,323.4290525750639,True
2022-09-06,2022-09-07,1,9420.7503672,304.3700726250645,True
2022-09-23,2022-09-26,1,8671.88248845,366.8665180750668,True
2022-09-29,2022-09-30,1,8362.350431900002,309.9278079250689,True
2022-10-12,2022-10-13,1,8292.45609655,343.1763632250695,True
2022-10-14,2022-10-17,1,8422.2598622,316.13178322507156,True
2022-10-18,2022-10-19,1,8482.1692925,298.97113327507395,True
2022-10-20,2022-10-21,1,8482.1692925,271.80538327507384,True
2022-10-24,2022-10-25,1,8272.48628645,135.0076277250737,True
2022-11-04,2022-11-07,1,8671.88248845,107.4581727250752,True
2022-11-08,2022-11-09,1,8701.837203600002,109.8634328750777,True
2022-11-10,2024-01-08,283,8601.988153100001,1.1641300200785736,True
2024-01-09,2024-01-10,1,13171.68146345,81.17472807008016,True
2024-01-15,2024-01-16,1,12702.156043600002,131.88430847008203,True
2024-01-31,2024-02-01,1,13291.560294050001,281.74823687008393,True
2024-03-26,2024-03-27,1,23701.03875115,595.8681711700883,True
2024-03-28,2024-03-29,1,23421.32147975,860.3881352200879,True
2024-04-01,2024-04-02,1,23281.462844050002,884.9984630700892,True
2024-04-03,2024-04-08,1,21892.8663896,1061.7977441700896,True
2024-04-09,2024-04-10,1,21862.896681950002,1218.6324176700946,True
2024-04-11,2024-04-12,1,21223.54291875,626.0572274200968,True
2024-04-16,2024-04-22,4,21782.977461550003,99.66769753010067,True
2024-04-24,2024-04-25,1,22212.5432712,636.1642604301051,True
2024-04-26,2024-04-29,1,24380.35212455,238.88866118010992,True
2024-05-09,2024-05-10,1,24190.5439761,412.19251728011295,True
2024-05-13,2024-05-15,2,23970.76612,12.54103554011408,True
2024-05-16,2024-05-17,1,25549.170722900002,343.85963244011873,True
2024-05-20,2024-05-21,1,26188.524486100003,574.1545888401233,True
2024-05-22,2024-05-24,2,25399.32218465,30.257443890124705,True
2024-05-29,2024-05-30,1,24180.55407355,193.57139744012602,True
2024-05-31,2024-06-03,1,22881.866742050002,148.75392494013067,True
2024-06-05,2024-09-04,64,23671.0690435,77.45942723013172,True
2024-09-06,2024-09-09,1,18284.2610818,217.4741183801343,True
2024-09-10,2024-09-11,1,18795.9965991,278.92342388013276,True
2024-09-12,2024-09-13,1,18815.976404200002,220.28113378013586,True
2024-09-19,2024-09-20,1,18825.96630675,31.557345530134626,True
2024-09-24,,477,,,False
