window,n,raw_price_gap_cash,raw_price_gap_mean_pct,economic_gross_cash,economic_gross_mean_pct,missed_dividend_cash,slippage_cash,fees_cash,net_cash,net_mean_pct
full,2006,61270.000000000015,0.10141301304619844,57441.000000000015,0.09226005399802954,3829.0,43653.154999995386,53472.122989022,-39684.277989017384,-0.15639565795048094
main2020,1623,53359.99999999999,0.09532448631605092,49659.999999999985,0.08468289123065362,3700.0,38065.15999999598,43829.449243122006,-32234.609243117986,-0.1580071170123271
early2020_2023,970,15430.00000000002,0.0796013936693606,13930.000000000022,0.06831667278034306,1500.0,13130.524999998597,22544.70504125,-21745.23004124857,-0.20931756289858683
recent2024,653,37929.99999999998,0.11868038197805644,35729.99999999998,0.10899411925025737,2200.0,24934.63499999739,21284.744201872,-10489.379201869411,-0.0817879248076228
