id,window,kind,value,n,years,months,mean,median,win,cash,mean_cash,pf,pf_cash,worst,worst_cash,tail5,tail5_cash,longest_loss,fee,max_extra_cash,need_extra_n,excluded,matched_own_base,matched_own_cash,paired_S0_n,paired_S0,increment,unresolved,sell_restricted,delayed,max_missing_days
S0,early2020_2023,slip,20.0,970,4.0,48.0,-0.5090546522839442,-0.5741984537615205,19.27835051546392,-61118.14786500003,-63.008399860824774,0.25514797597918687,0.3267751862919672,-8.547493816464234,-1279.4157432000002,-3.1413118104635878,-537.6956946775512,64.0,22526.047865,1279.415743200003,780.0,,,,,,,,,,
S0,recent2024,slip,20.0,653,3.0,33.0,-0.3815348881761337,-0.4095720050590225,39.05053598774885,-85274.562311488,-130.58891625036446,0.5773007618180395,0.6208506312231401,-10.515676301707023,-4566.7357151760025,-5.176710092836362,-2346.4921623958785,10.0,21266.022311488,4566.735715175993,397.0,,,,,,,,,,
S0,main2020,quantity,100.0,1623,7.0,81.0,-0.7057984722858096,-0.8499769038705518,22.55083179297597,-17651.91191515958,-10.87610099516918,0.29269576101895806,0.49429269800257325,-10.558029833664133,-442.9294596099995,-4.2942723100089655,-157.4497789756092,118.0,18811.39591516,442.92945960999987,1253.0,,,,,,,,,,
S0,main2020,quantity,500.0,1623,7.0,81.0,-0.21734446787855272,-0.2830365989514968,36.47566235366605,-23346.82210715749,-14.384979733307143,0.6431339248073457,0.8168282829976011,-10.240443489876924,-2174.7083713220004,-3.929537758795691,-747.2660274097352,21.0,29144.2421071595,2174.708371321998,1028.0,,,,,,,,,,
S0,main2020,quantity,1000.0,1623,7.0,81.0,-0.1580071170123271,-0.2039058190314309,38.817005545286506,-32234.609243117986,-19.861127075242134,0.7222344842433968,0.8688022870445579,-10.200745196903522,-4348.957669794001,-3.889855348872354,-1489.7142897971535,17.0,43829.449243122006,4348.957669793992,990.0,,,,,,,,,,
S0,main2020,benchmark_dividend_tax,0.0,1623,7.0,81.0,-0.1580071170123271,-0.2039058190314309,38.817005545286506,-32234.609243117986,-19.861127075242134,0.7222344842433968,0.8688022870445579,-10.200745196903522,-4348.957669794001,-3.889855348872354,-1489.7142897971535,17.0,43829.449243122006,4348.957669793992,990.0,,,,,,,,,,
S0,main2020,benchmark_dividend_tax,0.1,1623,7.0,81.0,-0.15694295750378737,-0.20390574382977858,38.87861983980284,-31864.609243117986,-19.633154185531723,0.7237046472811182,0.8701778517439414,-10.200745196903522,-4348.957669794001,-3.889855348872354,-1489.3118507727631,17.0,43829.449243122006,4348.957669793992,990.0,,,,,,,,,,
S0,main2020,benchmark_dividend_tax,0.2,1623,7.0,81.0,-0.15587879799524765,-0.20390574382977858,38.87861983980284,-31494.609243117986,-19.40518129582131,0.7253291098487736,0.8715822284532538,-10.200745196903522,-4348.957669794001,-3.889855348872354,-1488.9094117483728,17.0,43829.449243122006,4348.957669793992,990.0,,,,,,,,,,
S0,main2020,unified_fee,1.0,1623,7.0,81.0,-0.13003395467103857,-0.17905499999998467,39.92606284658041,-26218.350064717983,-16.154251426197156,0.7636043205363496,0.8915785023846948,-10.200745196903522,-4348.957669794001,-3.8768239983744714,-1488.8917939447144,17.0,37813.190064722,4348.957669793992,972.0,,,,,,,,,,
S0,main2020,sell1455,5.0,1619,7.0,81.0,-0.1835981173555818,-0.20446843832018707,37.86287831995059,-42213.467941659015,-26.073791193118602,0.6863863860563231,0.8307563781321349,-10.121428781262404,-4698.556892738998,-3.9837789297522455,-1489.473677212217,19.0,43701.002941663,4698.556892738998,1003.0,4.0,-0.15675654733408056,-32146.949886575003,1619.0,-0.1835981173555818,0.0,,,,
S0,main2020,buy0935,5.0,1619,7.0,81.0,-0.19767294673021227,-0.20390836589270425,42.43360098826436,-44115.925028421916,-27.248872778518788,0.7252306392749355,0.8577076658865821,-10.261024273954112,-6646.684821776996,-4.616046408447735,-1782.9886714270924,16.0,43711.020028426006,6646.684821777002,927.0,4.0,-0.15827077653720545,-32589.264622942985,1619.0,-0.19767294673021227,0.0,,,,
S0,main2020,joint,5.0,1616,7.0,81.0,-0.22371425368312425,-0.25056005191090736,41.76980198019802,-53845.195681134945,-33.320046832385486,0.6954421859298833,0.8288720097158411,-10.4631478579622,-6616.719174095995,-4.667873652597259,-1785.0489191564395,13.0,43606.39568113901,6616.719174095997,936.0,7.0,-0.1584587950277596,-33162.31132445,1616.0,-0.22371425368312425,0.0,,,,
S0,main2020,conservative_repurchase,0.0,1623,7.0,81.0,-0.17473982881224046,-0.20390574382977925,38.50893407270487,-36600.11081561807,-22.55090007123726,0.6927198357627544,0.8510010267160624,-10.161026657602216,-4348.957669793998,-3.8893709764418496,-1489.5922763819096,17.0,43691.710815622006,4348.957669793992,989.0,,,,,,,0.0,6.0,1.0,2.0
S1_F1,main2020,slip,0.0,341,7.0,81.0,-0.0385711653843848,-0.10199884259259259,43.10850439882698,12043.04896399998,35.31685913196475,0.9213904547754036,1.2744749192227827,-10.095768161969033,-4189.111794,-3.909130643024584,-1340.0513426666666,14.0,9616.951036,4189.111793999997,193.0,,,,,,,,,,
S1_F1,early2020_2023,slip,0.0,200,4.0,48.0,-0.12609581218318364,-0.11236370653721463,36.0,-1666.0748000000006,-8.330374000000003,0.6775368305845876,0.848393862414635,-5.584716026241799,-1191.7784,-2.778179589290197,-458.79483,14.0,4716.0748,1191.7783999999992,127.0,,,,,,,,,,
S1_F1,recent2024,slip,0.0,141,3.0,33.0,0.08557726979121638,0.11283736263736263,53.191489361702125,13709.123763999978,97.22782811347503,1.1354104100892077,1.4168530189404154,-10.095768161969033,-4189.111794,-5.083100295808781,-1984.2032032500001,7.0,4900.876236,4189.111793999997,66.0,,,,,,,,,,
S1_F1,main2020,slip,5.0,341,7.0,81.0,-0.1384753084010654,-0.20189097164350003,39.002932551319645,3535.490901752922,10.368008509539361,0.7482835526669829,1.0731578924535836,-10.200745196903522,-4265.148596750993,-4.01099676849547,-1390.6724977205504,16.0,9614.179098248002,4265.148596750994,208.0,,,,,,,,,,
S1_F1,early2020_2023,slip,5.0,200,4.0,48.0,-0.2260164308521388,-0.2123123404806337,31.0,-4357.276122399714,-21.78638061199857,0.5066322085033957,0.6570980619602691,-5.687383954076843,-1213.6877357999983,-2.8794339405795055,-475.2806939949989,16.0,4714.7611224,1213.6877357999983,138.0,,,,,,,,,,
S1_F1,recent2024,slip,5.0,141,3.0,33.0,-0.014303503505925935,0.012972253846172222,50.35460992907801,7892.767024152636,55.977071093281104,0.9789852645434796,1.2215837374001395,-10.200745196903522,-4265.148596750993,-5.18556997868058,-2034.8714939676202,7.0,4899.417975848,4265.148596750994,70.0,,,,,,,,,,
S1_F1,main2020,slip,10.0,341,7.0,81.0,-0.23837945141775657,-0.3017831006944285,34.60410557184751,-4972.067160495073,-14.580842112888778,0.6112716555878344,0.9062000850451646,-10.305722231838008,-4341.185399502001,-4.112862893966362,-1441.2936527744382,22.0,9611.407160496,4341.185399501992,223.0,,,,,,,,,,
S1_F1,early2020_2023,slip,10.0,200,4.0,48.0,-0.3259370495211038,-0.31226097442405276,27.0,-7048.477444799678,-35.24238722399839,0.3840462377762822,0.5148590927360799,-5.790051881911887,-1235.5970715999965,-2.980688291868817,-491.7665579899981,22.0,4713.4474448,1235.5970715999938,146.0,,,,,,,,,,
S1_F1,recent2024,slip,10.0,141,3.0,33.0,-0.11418427680307978,-0.08689285494503816,45.39007092198582,2076.4102843046076,14.726314073082323,0.8441123349522642,1.053962956020882,-10.305722231838008,-4341.185399502001,-5.288039661552386,-2086.1557962649945,7.0,4897.959715696001,4341.185399501992,77.0,,,,,,,,,,
S1_F1,main2020,slip,20.0,341,7.0,81.0,-0.43818773745115097,-0.5015673587963064,28.739002932551323,-21987.18328499201,-64.47854335774782,0.4155815674383504,0.651311069620475,-10.515676301707023,-4493.259005004001,-4.316595144908162,-1542.5359628822205,34.0,9605.863284992001,4493.259005004002,243.0,,,,,,,,,,
S1_F1,early2020_2023,slip,20.0,200,4.0,48.0,-0.5257782868590481,-0.5121582423109337,20.5,-12430.880089600023,-62.15440044800012,0.2289896366233686,0.32583587615442294,-5.995387737582006,-1279.4157432000002,-3.1831969944474663,-524.7382859800006,34.0,4710.8200896,1279.415743200003,159.0,,,,,,,,,,
S1_F1,recent2024,slip,20.0,141,3.0,33.0,-0.31394582339739624,-0.2866230725274789,40.42553191489361,-9556.303195391987,-67.77519996731905,0.6289168532845855,0.7858184796435155,-10.515676301707023,-4493.259005004001,-5.492979027296009,-2190.620344029999,9.0,4895.043195392001,4493.259005004002,84.0,,,,,,,,,,
S1_F1,main2020,quantity,100.0,341,7.0,81.0,-0.673203293728967,-0.7878156919707967,23.16715542521994,-2669.371046614907,-7.828067585380959,0.30731239065715765,0.6172422932364858,-10.558029833664133,-434.4552623150006,-4.433977804378339,-147.6116553816661,105.0,3984.3380466149997,434.45526231500025,262.0,,,,,,,,,,
S1_F1,main2020,quantity,500.0,341,7.0,81.0,-0.1960668262723271,-0.25043366174540016,36.36363636363637,290.2440522484608,0.8511555784412339,0.6676651861644655,1.0115528608043312,-10.240443489876924,-2132.5742983754967,-4.052916934584209,-698.0800309261363,22.0,6284.590947752001,2132.574298375497,217.0,,,,,,,,,,
S1_F1,main2020,quantity,1000.0,341,7.0,81.0,-0.1384753084010654,-0.20189097164350003,39.002932551319645,3535.490901752922,10.368008509539361,0.7482835526669829,1.0731578924535836,-10.200745196903522,-4265.148596750993,-4.01099676849547,-1390.6724977205504,16.0,9614.179098248002,4265.148596750994,208.0,,,,,,,,,,
S1_F1,main2020,benchmark_dividend_tax,0.0,341,7.0,81.0,-0.1384753084010654,-0.20189097164350003,39.002932551319645,3535.490901752922,10.368008509539361,0.7482835526669829,1.0731578924535836,-10.200745196903522,-4265.148596750993,-4.01099676849547,-1390.6724977205504,16.0,9614.179098248002,4265.148596750994,208.0,,,,,,,,,,
S1_F1,main2020,benchmark_dividend_tax,0.1,341,7.0,81.0,-0.13752600125447967,-0.20189097164350003,39.002932551319645,3619.490901752922,10.614342820389801,0.7495770402929661,1.0750264647409782,-10.200745196903522,-4265.148596750993,-4.01099676849547,-1388.2719684483282,16.0,9614.179098248002,4265.148596750994,208.0,,,,,,,,,,
S1_F1,main2020,benchmark_dividend_tax,0.2,341,7.0,81.0,-0.1365766941078939,-0.20189097164350003,39.002932551319645,3703.4909017529226,10.860677131240243,0.7508750075240123,1.0769015554586931,-10.200745196903522,-4265.148596750993,-4.01099676849547,-1388.2719684483282,16.0,9614.179098248002,4265.148596750994,208.0,,,,,,,,,,
S1_F1,main2020,unified_fee,1.0,341,7.0,81.0,-0.10958365503363575,-0.15193264078071458,40.17595307917888,4850.005275402923,14.222889370683058,0.7934405573067909,1.1021536355658836,-10.200745196903522,-4265.148596750993,-3.9970021601104,-1390.0800163316615,14.0,8299.664724597998,4265.148596750994,204.0,,,,,,,,,,
S1_F1,main2020,sell1455,5.0,341,7.0,81.0,-0.15528147482324622,-0.20373253950721498,38.41642228739003,3046.689362783947,8.934572911389875,0.7226813968345395,1.0637541458237358,-10.121428781262404,-4235.182949069992,-4.004627700784894,-1294.1441428618264,20.0,9613.225637217001,4235.182949069989,210.0,0.0,-0.1384753084010654,3535.490901752922,1616.0,-0.18641916286816843,0.0311376880449222,,,,
S1_F1,main2020,buy0935,5.0,341,7.0,81.0,-0.2500059251916782,-0.2772100732600573,40.17595307917888,-7491.208319311074,-21.96835284255447,0.6721586228300295,0.8909136915512818,-9.922715421794353,-6646.684821776996,-5.057281940689809,-1894.330837376438,10.0,9615.368319312001,6646.684821777002,203.0,0.0,-0.1384753084010654,3535.490901752922,1616.0,-0.19788910696604986,-0.05211681822562833,,,,
S1_F1,main2020,joint,5.0,341,7.0,81.0,-0.2668120916138591,-0.297591069316511,41.348973607038126,-7980.009858280052,-23.401788440703964,0.6549867296414237,0.8831131099877826,-9.843399006153234,-6616.719174095995,-5.124017745562082,-1842.086777669161,16.0,9614.414858281001,6616.719174095997,199.0,0.0,-0.1384753084010654,3535.490901752922,1613.0,-0.22419601919100135,-0.042616072422857754,,,,
S1_F1,main2020,conservative_repurchase,0.0,341,7.0,81.0,-0.13759679690880414,-0.20188999941174487,39.002932551319645,3590.3727668028614,10.52895239531631,0.7494804226982227,1.0743779980784718,-10.161026657602216,-4265.148596750993,-4.00879018297873,-1390.1166588288838,16.0,9586.572233198,4265.148596750994,207.0,,,,,,,0.0,1.0,1.0,2.0
S1_F2,main2020,slip,0.0,375,7.0,80.0,-0.09866221754058893,-0.10399848714069591,42.13333333333333,-5973.586440000007,-15.92956384000002,0.8193268978184481,0.8927689189973724,-9.72754011022659,-3809.85525,-3.942085473570438,-1463.2361956842105,8.0,9953.586440000001,3809.8552499999932,216.0,,,,,,,,,,
S1_F2,early2020_2023,slip,0.0,214,4.0,47.0,-0.14482313929293966,-0.188962319175353,36.44859813084112,-3783.4385999999877,-17.679619626168165,0.6768725551938319,0.7278325452182624,-8.131769230769232,-1205.1282,-3.319833660684522,-588.1310363636363,8.0,4813.4386,1205.1281999999992,135.0,,,,,,,,,,
S1_F2,recent2024,slip,0.0,161,3.0,33.0,-0.03730546440392395,-0.002543026706231466,49.68944099378882,-2190.1478400000155,-13.603402732919351,0.9448303329949701,0.9476122148741407,-9.72754011022659,-3809.85525,-4.330372959040432,-1961.2407004444447,6.0,5140.1478400000005,3809.8552499999932,81.0,,,,,,,,,,
S1_F2,main2020,slip,5.0,375,7.0,80.0,-0.19859589285825993,-0.20391066490165152,38.4,-14781.231213723104,-39.41661656992828,0.672305586483418,0.7558552209986754,-9.83232226178813,-3886.711772625,-4.0439609146622475,-1519.3984765355217,10.0,9950.796213724,3886.711772625,230.0,,,,,,,,,,
S1_F2,early2020_2023,slip,5.0,214,4.0,47.0,-0.2447487401899926,-0.2889123191753412,30.8411214953271,-6603.051351499692,-30.855380147194822,0.5246514064507631,0.5805756632202675,-8.235700377192982,-1220.5307959,-3.4213615183677435,-606.9576707272711,10.0,4812.1463515,1220.5307959000002,147.0,,,,,,,,,,
S1_F2,recent2024,slip,5.0,161,3.0,33.0,-0.13724987218129847,-0.10246857022749321,48.4472049689441,-8178.179862223412,-50.79614821256778,0.811263971614376,0.8174503812741604,-9.83232226178813,-3886.711772625,-4.432467377458753,-2020.2535325368833,6.0,5138.649862224001,3886.711772625,83.0,,,,,,,,,,
S1_F2,main2020,slip,10.0,375,7.0,80.0,-0.29852956817594056,-0.30382284266262083,34.4,-23588.875987446965,-62.90366929985857,0.5543208328872168,0.6408818452494109,-9.937104413349662,-3963.5682952499856,-4.145836355754068,-1575.5607573868351,11.0,9948.005987448,3963.568295249992,245.0,,,,,,,,,,
S1_F2,early2020_2023,slip,10.0,214,4.0,47.0,-0.34467434108705536,-0.3888623191753372,26.168224299065418,-9422.664102999683,-44.03114066822282,0.4122781992394096,0.46812280892209457,-8.33963152361672,-1235.933391799998,-3.5228893760509745,-625.7843050909066,11.0,4810.854103,1235.9333917999975,157.0,,,,,,,,,,
S1_F2,recent2024,slip,10.0,161,3.0,33.0,-0.23719427995868242,-0.20239411374875496,45.3416149068323,-14166.211884447286,-87.98889369221916,0.6961574016583569,0.7046841225051422,-9.937104413349662,-3963.5682952499856,-4.534561795877085,-2079.2663646293254,10.0,5137.151884448,3963.568295249992,88.0,,,,,,,,,,
S1_F2,main2020,slip,20.0,375,7.0,80.0,-0.49839691881131526,-0.5036471981845732,26.93333333333333,-41204.16553489601,-109.8777747597227,0.38556369705382926,0.46398422345674945,-10.146668716472755,-4117.2813405,-4.3495872379377225,-1691.1779250341049,28.0,9942.425534896001,4117.281340499991,273.0,,,,,,,,,,
S1_F2,early2020_2023,slip,20.0,214,4.0,47.0,-0.5445255428811938,-0.5887623191753524,16.355140186915886,-15061.889606000002,-70.38266171028039,0.2714377007794535,0.3197103651062096,-8.547493816464234,-1266.7385835999994,-3.725945091417454,-663.4375738181817,28.0,4808.269606,1266.7385835999994,178.0,,,,,,,,,,
S1_F2,recent2024,slip,20.0,161,3.0,33.0,-0.43708309551346425,-0.4022452007912965,40.993788819875775,-26142.275928896008,-162.374384651528,0.5121175166042092,0.5223477692158229,-10.146668716472755,-4117.2813405,-4.7387506327137565,-2197.292028814222,10.0,5134.155928896,4117.281340499991,95.0,,,,,,,,,,
S1_F2,main2020,quantity,100.0,375,7.0,80.0,-0.746005905384012,-0.8801089163144561,21.866666666666667,-4811.653910099909,-12.831077093599758,0.28014451687395897,0.43138915924396115,-10.383455146050208,-396.58937687499997,-4.447121994197193,-160.34302032710485,58.0,4328.6104101,396.5893768750002,292.0,,,,,,,,,,
S1_F2,main2020,quantity,500.0,375,7.0,80.0,-0.2578637339018712,-0.28729299729363217,36.266666666666666,-9059.341445543552,-24.158243854782807,0.6010117309656146,0.7109859784941547,-9.893559248928364,-1943.3558863125,-4.085069618719429,-761.7645709568923,11.0,6644.123945544001,1943.3558863125,238.0,,,,,,,,,,
S1_F2,main2020,quantity,1000.0,375,7.0,80.0,-0.19859589285825993,-0.20391066490165152,38.4,-14781.231213723104,-39.41661656992828,0.672305586483418,0.7558552209986754,-9.83232226178813,-3886.711772625,-4.0439609146622475,-1519.3984765355217,10.0,9950.796213724,3886.711772625,230.0,,,,,,,,,,
S1_F2,main2020,benchmark_dividend_tax,0.0,375,7.0,80.0,-0.19859589285825993,-0.20391066490165152,38.4,-14781.231213723104,-39.41661656992828,0.672305586483418,0.7558552209986754,-9.83232226178813,-3886.711772625,-4.0439609146622475,-1519.3984765355217,10.0,9950.796213724,3886.711772625,230.0,,,,,,,,,,
S1_F2,main2020,benchmark_dividend_tax,0.1,375,7.0,80.0,-0.19694202720259674,-0.20390684564313905,38.666666666666664,-14666.231213723104,-39.10994990326161,0.6743139953268369,0.7575555644308907,-9.83232226178813,-3886.711772625,-4.0439609146622475,-1519.3984765355217,10.0,9950.796213724,3886.711772625,230.0,,,,,,,,,,
S1_F2,main2020,benchmark_dividend_tax,0.2,375,7.0,80.0,-0.19528816154693351,-0.20390684564313905,38.666666666666664,-14551.231213723104,-38.80328323659494,0.6770490179388718,0.7594566056516481,-9.83232226178813,-3886.711772625,-4.0439609146622475,-1519.3984765355217,10.0,9950.796213724,3886.711772625,230.0,,,,,,,,,,
S1_F2,main2020,unified_fee,1.0,375,7.0,80.0,-0.17328042396619803,-0.19507844827584953,39.733333333333334,-13575.632537073103,-36.20168676552827,0.7054653269222598,0.772626988628168,-9.83232226178813,-3886.711772625,-4.022598374987271,-1518.3568923249952,8.0,8745.197537074,3886.711772625,225.0,,,,,,,,,,
S1_F2,main2020,sell1455,5.0,373,7.0,80.0,-0.22662890424392024,-0.28024779635258584,35.924932975871315,-17564.164712584065,-47.088913438563175,0.6398477519798679,0.7175393206858436,-9.83232226178813,-3976.608715668002,-4.161839096096349,-1548.7435962292586,17.0,9906.734712585001,3976.6087156680005,238.0,2.0,-0.18995398682445844,-13958.80241752311,1616.0,-0.18641916286816843,-0.04020974137575181,,,,
S1_F2,main2020,buy0935,5.0,373,7.0,80.0,-0.15092279375707104,-0.13285340767043957,45.84450402144772,-7314.868529783135,-19.61090758654996,0.7804233017910381,0.8878788183316275,-10.261024273954112,-4246.944142796993,-4.269436040140148,-1648.295262789574,8.0,9908.853529784,4246.944142796987,201.0,2.0,-0.19258926149155323,-14099.025793223109,1616.0,-0.19788910696604986,0.046966313208978816,,,,
S1_F2,main2020,joint,5.0,372,7.0,80.0,-0.18561429348720243,-0.20189185244434266,43.81720430107527,-10788.568979344087,-29.001529514365824,0.738106471866053,0.8389654312987675,-10.4631478579622,-4336.841085839995,-4.362543700563176,-1675.1059851434165,11.0,9888.628979345,4336.8410858399875,208.0,3.0,-0.19005617776419137,-13937.303055073105,1613.0,-0.22419601919100135,0.03858172570379892,,,,
S1_F2,main2020,conservative_repurchase,0.0,375,7.0,80.0,-0.23356344049249078,-0.20391066490165216,37.86666666666667,-16814.126149223142,-44.83766973126171,0.6146071625674179,0.7222774575780087,-9.83232226178813,-3886.7117726249944,-4.0439609146622475,-1519.3984765355221,10.0,9914.341149224001,3886.711772625,230.0,,,,,,,0.0,2.0,0.0,1.0
S1_F3,main2020,slip,0.0,295,7.0,65.0,-0.09438818522111243,-0.032670470756062796,48.13559322033898,8318.173458000001,28.197198162711867,0.8755556745122671,1.1288393411714388,-10.095768161969033,-4276.364988,-5.362052191331779,-1956.3981344,7.0,9081.826542,4276.364988000001,152.0,,,,,,,,,,
S1_F3,early2020_2023,slip,0.0,122,4.0,32.0,-0.0854671541773457,-0.04506805574147395,45.08196721311475,710.3111000000001,5.822222131147542,0.8652763714940794,1.0563037066585153,-6.062323767476086,-1191.7784,-4.429323904776877,-776.0305285714288,7.0,3139.6888999999996,1191.7783999999992,66.0,,,,,,,,,,
S1_F3,recent2024,slip,0.0,173,3.0,33.0,-0.1006793169398381,0.025761664074650085,50.28901734104046,7607.862358,43.97608299421965,0.8809915608498803,1.1464552625825346,-10.095768161969033,-4276.364988,-5.719781203573774,-2539.0262928888897,7.0,5942.137642,4276.364988000001,86.0,,,,,,,,,,
S1_F3,main2020,slip,5.0,295,7.0,65.0,-0.1943363517975946,-0.13254914265334097,44.40677966101695,-732.6370309461045,-2.483515359139337,0.7609050968421521,0.989391765482516,-10.200745196903522,-4348.957669794001,-5.464645762454164,-2008.8090134513288,10.0,9079.127030947002,4348.957669793992,164.0,,,,,,,,,,
S1_F3,early2020_2023,slip,5.0,122,4.0,32.0,-0.18537704510909392,-0.1449601246813966,40.16393442622951,-1288.041136449815,-10.557714233195204,0.7322840330668732,0.9059712917741153,-6.165217137601177,-1213.6877357999983,-4.531407384320284,-794.9048487357134,10.0,3138.7561364499993,1213.6877357999983,73.0,,,,,,,,,,
S1_F3,recent2024,slip,5.0,173,3.0,33.0,-0.20065447558948526,-0.0741550149688743,47.398843930635834,555.4041055037087,3.210428355512767,0.7764740790438482,1.01003174267184,-10.200745196903522,-4348.957669794001,-5.8225699763462035,-2599.4860824799966,7.0,5940.370894497,4348.957669793992,91.0,,,,,,,,,,
S1_F3,main2020,slip,10.0,295,7.0,65.0,-0.29428451837408515,-0.2324278145506321,41.01694915254237,-9783.447519892863,-33.16422888099276,0.661964322207259,0.8674539537478896,-10.305722231838008,-4421.550351587986,-5.567239333576552,-2064.0118532266597,12.0,9076.427519894,4421.550351587997,174.0,,,,,,,,,,
S1_F3,early2020_2023,slip,10.0,122,4.0,32.0,-0.28528693604084976,-0.24485219362130817,36.885245901639344,-3286.393372899768,-26.937650597539083,0.6218469699879665,0.7786343213157981,-6.268110507726253,-1235.5970715999965,-4.633490863863687,-813.7791688999977,12.0,3137.8233729000003,1235.5970715999938,77.0,,,,,,,,,,
S1_F3,recent2024,slip,10.0,173,3.0,33.0,-0.30062963423914124,-0.1740716940124411,43.93063583815029,-6497.054146993097,-37.55522628319709,0.6843723455691972,0.889816373991774,-10.305722231838008,-4421.550351587986,-5.925358749118635,-2659.9458720711027,7.0,5938.604146994001,4421.550351587997,97.0,,,,,,,,,,
S1_F3,main2020,slip,20.0,295,7.0,65.0,-0.4941808515270822,-0.43218515834522736,35.59322033898305,-27885.06849778803,-94.52565592470519,0.5026278131100895,0.6675086914638457,-10.515676301707023,-4566.7357151760025,-5.772426475821353,-2175.87852272,20.0,9071.028497788,4566.735715175993,190.0,,,,,,,,,,
S1_F3,early2020_2023,slip,20.0,122,4.0,32.0,-0.4851067179043775,-0.444636331501158,30.327868852459016,-7283.097845800017,-59.69752332622965,0.45209287541235177,0.5782914531502804,-6.47389724797646,-1279.4157432000002,-4.837657822950537,-851.5278092285724,20.0,3135.9578458,1279.415743200003,85.0,,,,,,,,,,
S1_F3,recent2024,slip,20.0,173,3.0,33.0,-0.5005799515384695,-0.3739050520995323,39.30635838150289,-20601.97065198801,-119.08653556062433,0.532119351948893,0.6906453383225661,-10.515676301707023,-4566.7357151760025,-6.130936294663524,-2780.8654512533344,10.0,5935.0706519880005,4566.735715175993,105.0,,,,,,,,,,
S1_F3,main2020,quantity,100.0,295,7.0,65.0,-0.6058677413770596,-0.5365903846153636,32.20338983050847,-2674.2245235498976,-9.06516787644033,0.44795323298667145,0.6865725896223334,-10.558029833664133,-442.9294596099995,-5.8564511555450185,-209.32486015633296,43.0,3508.87352355,442.92945960999987,200.0,,,,,,,,,,
