id,window,kind,value,n,years,months,mean,median,win,cash,mean_cash,pf,pf_cash,worst,worst_cash,tail5,tail5_cash,longest_loss,fee,max_extra_cash,need_extra_n,excluded,matched_own_base,matched_own_cash,paired_S0_n,paired_S0,increment,unresolved,sell_restricted,delayed,max_missing_days
S0,main2020,slip,0.0,1623,7.0,81.0,-0.0580934296466741,-0.1039983007646559,42.329020332717185,5818.091068000031,3.5847757658657,0.8858650681160605,1.0258970658747333,-10.095768161969033,-4276.364988,-3.788048642906387,-1437.4110652195122,17.0,43841.908932000006,4276.364988000001,932.0,,,,,,,,,,
S0,early2020_2023,slip,0.0,970,4.0,48.0,-0.10940519977014894,-0.17439845376152247,37.52577319587629,-8620.924099999982,-8.887550618556682,0.7229153805306346,0.8419903569866997,-8.131769230769232,-1205.1282,-2.7363575472664294,-465.15053469387755,17.0,22550.9241,1205.1281999999992,602.0,,,,,,,,,,
S0,recent2024,slip,0.0,653,3.0,33.0,0.01812772964853352,-0.009840640809443519,49.464012251148546,14439.015168000016,22.1118149586524,1.026715550308731,1.0848841077946398,-10.095768161969033,-4276.364988,-4.76746015712066,-2108.6679959999997,9.0,21290.984832000002,4276.364988000001,330.0,,,,,,,,,,
S0,main2020,slip,5.0,1623,7.0,81.0,-0.1580071170123271,-0.2039058190314309,38.817005545286506,-32234.609243117986,-19.861127075242134,0.7222344842433968,0.8688022870445579,-10.200745196903522,-4348.957669794001,-3.889855348872354,-1489.7142897971535,17.0,43829.449243122006,4348.957669793992,990.0,,,,,,,,,,
S0,early2020_2023,slip,5.0,970,4.0,48.0,-0.2093175628985868,-0.27434845376152195,32.88659793814433,-21745.230041248575,-22.41776292912224,0.5450913848453748,0.6535488144393702,-8.235700377192982,-1220.5307959,-2.837596113065708,-483.0146618571411,17.0,22544.70504125,1220.5307959000002,648.0,,,,,,,,,,
S0,recent2024,slip,5.0,653,3.0,33.0,-0.0817879248076228,-0.1097734818718191,47.626339969372125,-10489.379201869411,-16.063367843597874,0.8880152275883197,0.942658823293578,-10.200745196903522,-4348.957669794001,-4.869772641049577,-2167.380320235328,9.0,21284.744201872,4348.957669793992,342.0,,,,,,,,,,
S0,main2020,slip,10.0,1623,7.0,81.0,-0.2579208043779901,-0.3038133372982059,34.62723351817621,-70287.30955423955,-43.30702991635216,0.5920799662116741,0.7375450245282659,-10.305722231838008,-4421.550351587986,-3.9916620548383284,-1542.5670871106274,21.0,43816.989554244,4421.550351587997,1057.0,,,,,,,,,,
S0,early2020_2023,slip,10.0,970,4.0,48.0,-0.309229926027035,-0.3742984537615086,28.350515463917525,-34869.53598249847,-35.94797523968914,0.41632761056886003,0.5124093089166201,-8.33963152361672,-1235.933391799998,-2.9388346788649944,-501.2304126448955,21.0,22538.485982500002,1235.9333917999975,692.0,,,,,,,,,,
S0,recent2024,slip,10.0,653,3.0,33.0,-0.1817035792637887,-0.20970632293422536,43.95099540581929,-35417.773571741076,-54.23855064585157,0.7683874345834117,0.8195669542482639,-10.305722231838008,-4421.550351587986,-4.9720851249785,-2227.084267622174,9.0,21278.503571744,4421.550351587997,365.0,,,,,,,,,,
S0,main2020,slip,20.0,1623,7.0,81.0,-0.45774817910932913,-0.5036283738317868,27.23351817621688,-146392.71017648804,-90.1988355985755,0.4067682022703928,0.5362834207313933,-10.515676301707023,-4566.7357151760025,-4.195275466770295,-1650.932277643707,64.0,43792.070176488,4566.735715175993,1177.0,,,,,,,,,,
