date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
2020-01-02,5514.0,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23844.0,23844.0,23894.0,23844.0,23844.0,23894.0,0.0,0.0
2020-01-03,23701.3148922,0,0,0,0.0,23.5751078,0.0,0.0,0,1000,0,24004.0,24004.0,23701.3148922,24004.0,24004.0,23734.0,-32.68510779999997,0.0
2020-01-06,5676.949512100004,0,1000,1000,0.0,5.3603801,0.0,0.0,1000,0,0,23701.3148922,23686.949512100004,23576.949512100004,23524.0,23524.0,23414.0,162.94951210000363,0.0
2020-01-07,5676.949512100004,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23596.949512100004,23596.949512100004,23536.949512100004,23434.0,23434.0,23374.0,162.94951210000363,0.0
2020-01-08,5676.949512100004,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23296.949512100004,23296.949512100004,23196.949512100004,23134.0,23134.0,23034.0,162.94951210000363,0.0
2020-01-09,5676.949512100004,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23326.949512100004,23326.949512100004,23976.949512100004,23164.0,23164.0,23814.0,162.94951210000363,0.0
2020-01-10,23674.553107400003,0,0,0,0.0,23.3814047,0.0,0.0,0,1000,0,24086.949512100004,24086.949512100004,23674.553107400003,23924.0,23924.0,23544.0,130.55310740000277,0.0
2020-01-13,5640.182527200006,0,1000,1000,0.0,5.3605802,0.0,0.0,1000,0,0,23674.553107400003,23660.182527200006,24250.182527200006,23534.0,23534.0,24124.0,126.182527200006,0.0
2020-01-14,5640.182527200006,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24290.182527200006,24290.182527200006,24030.182527200006,24164.0,24164.0,23904.0,126.182527200006,0.0
2020-01-15,5640.182527200006,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23990.182527200006,23990.182527200006,24340.182527200006,23864.0,23864.0,24214.0,126.182527200006,0.0
2020-01-16,5640.182527200006,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24290.182527200006,24290.182527200006,24050.182527200006,24164.0,24164.0,23924.0,126.182527200006,0.0
2020-01-17,24596.327412100007,0,0,0,0.0,24.3601151,0.0,0.0,0,1000,0,24050.182527200006,24050.182527200006,24596.327412100007,23924.0,23924.0,24504.0,92.32741210000677,0.0
2020-01-20,5701.509623300008,0,1000,1000,0.0,5.3777888,0.0,0.0,1000,0,0,24596.327412100007,24581.509623300008,25041.509623300008,24394.0,24394.0,24854.0,187.50962330000766,0.0
2020-01-21,5701.509623300008,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24901.509623300008,24901.509623300008,24791.509623300008,24714.0,24714.0,24604.0,187.50962330000766,0.0
2020-01-22,5701.509623300008,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24601.509623300008,24601.509623300008,26551.509623300008,24414.0,24414.0,26364.0,187.50962330000766,0.0
2020-01-23,25666.119823300007,0,0,0,0.0,25.3898,0.0,0.0,0,1000,0,26201.509623300008,26201.509623300008,25666.119823300007,26014.0,26014.0,25514.0,152.11982330000683,0.0
2020-02-03,7651.759643300007,0,1000,1000,0.0,5.36018,0.0,0.0,1000,0,0,25666.119823300007,25651.759643300007,25651.759643300007,23514.0,23514.0,23514.0,2137.759643300007,0.0
2020-02-04,7651.759643300007,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24751.759643300007,24751.759643300007,25671.759643300007,22614.0,22614.0,23534.0,2137.759643300007,0.0
2020-02-05,7651.759643300007,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25811.759643300007,25811.759643300007,26341.759643300007,23674.0,23674.0,24204.0,2137.759643300007,0.0
2020-02-06,7651.759643300007,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26191.759643300007,26191.759643300007,26571.759643300007,24054.0,24054.0,24434.0,2137.759643300007,0.0
2020-02-07,26917.433486300008,0,0,0,0.0,24.676157000000003,0.0,0.0,0,1000,0,27551.759643300007,27551.759643300007,26917.433486300008,25414.0,25414.0,24814.0,2103.4334863000076,0.0
2020-02-10,8002.605297300008,0,1000,1000,0.0,5.378189,0.0,0.0,1000,0,0,26917.433486300008,26902.605297300008,26912.605297300008,24414.0,24414.0,24424.0,2488.605297300008,0.0
2020-02-11,8002.605297300008,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26812.605297300008,26812.605297300008,27232.605297300008,24324.0,24324.0,24744.0,2488.605297300008,0.0
2020-02-12,8002.605297300008,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,27082.605297300008,27082.605297300008,27152.605297300008,24594.0,24594.0,24664.0,2488.605297300008,0.0
2020-02-13,8002.605297300008,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,27112.605297300008,27112.605297300008,26422.605297300008,24624.0,24624.0,23934.0,2488.605297300008,0.0
2020-02-14,26319.722655800007,0,0,0,0.0,23.7076415,0.0,0.0,0,1000,0,26262.605297300008,26262.605297300008,26319.722655800007,23774.0,23774.0,23864.0,2455.7226558000075,0.0
2020-02-17,7865.13367140001,0,1000,1000,0.0,5.3689844,0.0,0.0,1000,0,0,26319.722655800007,26305.13367140001,27055.13367140001,23954.0,23954.0,24704.0,2351.13367140001,0.0
2020-02-18,7865.13367140001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,27065.13367140001,27065.13367140001,26715.13367140001,24714.0,24714.0,24364.0,2351.13367140001,0.0
2020-02-19,7865.13367140001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26515.13367140001,26515.13367140001,26355.13367140001,24164.0,24164.0,24004.0,2351.13367140001,0.0
2020-02-20,7865.13367140001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26455.13367140001,26455.13367140001,26675.13367140001,24104.0,24104.0,24324.0,2351.13367140001,0.0
2020-02-21,27430.35166740001,0,0,0,0.0,24.982004000000003,0.0,0.0,0,1000,0,26535.13367140001,26535.13367140001,27430.35166740001,24184.0,24184.0,25114.0,2316.3516674000093,0.0
2020-02-24,7665.0814699000075,0,1000,1000,0.0,5.3951975,0.0,0.0,1000,0,0,27430.35166740001,27415.081469900008,27805.081469900008,25264.0,25264.0,25654.0,2151.0814699000075,0.0
2020-02-25,7665.0814699000075,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,27315.081469900008,27315.081469900008,27625.081469900008,25164.0,25164.0,25474.0,2151.0814699000075,0.0
