id,buffer,mode,settlement,initial,final,hold_final,return_pct,hold_return_pct,increment_cash,increment_pct,mdd_pct,hold_mdd_pct,relative_mdd_cash,completed,sales,skip_t1,skip_missing,sale_blocked,failed_restore_days,max_consecutive_deficit_days,insufficient_cash_windows,max_extra_cash_required,terminal_missing,terminal_cash,terminal_cash_gap,terminal_receivable,terminal_tax_reserve,missed_rise_cash,avoided_fall_cash,fees,dividend_tax
S0,0.0,nominal,ex_date_close_scenario,18380.0,60830.25959762506,67770.0,230.95897495987518,268.71599564744287,-6939.7404023749405,-37.75702068756768,-61.57190193607749,-57.697841726618705,-8993.256040334942,48,49,48,1526,0,1527,330,1527,5781.420442374936,100,3167.259597625063,3248.008004409936,0.0,0.0,69047.99999999999,63798.0,1043.3639023750002,45.0
S0,0.0,conservative,ex_date_close_scenario,18380.0,59316.22550943507,67770.0,222.7215751329438,268.71599564744287,-8453.77449056493,-45.99442051449908,-61.4459329662251,-57.697841726618705,-10790.46287180492,56,57,56,1510,0,1511,349,48756,7295.45453056492,100,1653.2255094350803,4762.042092599919,0.0,0.0,69647.0,63201.0,1302.6924905649998,63.0
S0,0.0,conservative,receivable_locked,18380.0,61620.94145389504,67770.0,235.26083489605568,268.71599564744287,-6149.058546104963,-33.455160751387176,-58.34539691637104,-57.697841726618705,-8485.746927344968,30,31,30,1562,0,1563,927,51199,7262.192646634959,100,852.9414538950414,5562.326148139958,3105.0,0.0,68111.00000000001,63124.0,750.5760461049998,45.0
S0,0.1,nominal,ex_date_close_scenario,20218.0,59354.212244510265,69608.0,193.57113584187488,244.28726877040262,-10253.787755489735,-50.71613292852772,-64.49859830507015,-53.02362482369535,-14514.441879689773,182,183,182,1258,0,1259,349,1259,7257.467795489728,100,1691.2122445102723,4724.055357524727,0.0,0.0,71372.0,68030.00000000001,4356.585255490002,130.0
S0,0.1,conservative,ex_date_close_scenario,20218.0,59316.39084940514,69608.0,193.38406790684112,244.28726877040262,-10291.609150594857,-50.903200863561466,-64.55177431299002,-53.02362482369535,-11924.609150594857,108,109,108,1405,1,1406,349,43612,7295.289190594854,100,1653.3908494051466,4761.8767526298525,0.0,0.0,70231.00000000001,64102.00000000001,2662.7856505950003,45.0
S0,0.1,conservative,receivable_locked,20218.0,61440.02048953511,69608.0,203.88772623174953,244.28726877040262,-8167.979510464887,-40.399542538653115,-62.51493174988041,-53.02362482369535,-9800.97951046488,88,89,88,1445,1,1446,927,45543,7263.113610994881,100,852.0204895351189,5563.24711249988,2925.0,0.0,68697.00000000001,64094.00000000001,2262.279010465,45.0
S0,0.3,nominal,ex_date_close_scenario,23894.0,60828.899576435404,73284.0,154.5781349980556,206.7046120364945,-12455.100423564596,-52.12647703843892,-70.5214787050548,-45.63040509786072,-16715.75454776464,259,260,259,1104,0,1105,330,1105,5782.780463564592,100,3165.8995764354077,3249.3680255995914,0.0,0.0,70886.00000000001,68312.0,6235.704423565007,85.0
S0,0.3,conservative,ex_date_close_scenario,23894.0,59359.27398169535,73284.0,148.4275298472225,206.7046120364945,-13924.726018304653,-58.277082189272,-69.57702061570512,-45.63040509786072,-15557.726018304646,225,226,225,1171,1,1172,349,32226,7252.406058304644,100,1696.2739816953563,4718.993620339643,0.0,0.0,70440.0,65133.00000000003,5483.993518305004,45.0
S0,0.3,conservative,receivable_locked,23894.0,61440.23746589531,73284.0,157.13667642879096,206.7046120364945,-11843.762534104688,-49.56793560770356,-67.82897502307306,-45.63040509786072,-13476.76253410468,200,201,200,1221,1,1222,927,34417,7262.89663463468,100,852.2374658953204,5563.030136139679,2925.0,0.0,68875.00000000001,64908.00000000003,5001.880034105,45.0
S1_F1,0.0,nominal,ex_date_close_scenario,18380.0,60786.04313160004,67770.0,230.718406591948,268.71599564744287,-6983.9568683999605,-37.997589055494885,-61.35596468422383,-57.697841726618705,-8981.328362359956,37,38,7,296,0,1428,340,1428,5825.6369083999525,100,3123.0431316000468,3292.2244704349523,0.0,0.0,67087.0,61596.00000000001,912.4498683999997,108.0
S1_F1,0.0,conservative,ex_date_close_scenario,18380.0,60803.18008555503,67770.0,230.81164355579455,268.71599564744287,-6966.819914444968,-37.904352091648356,-61.37490038811173,-57.697841726618705,-8962.190368384963,34,35,7,299,0,1441,340,45892,5808.49995444496,100,3140.180085555039,3275.08751647996,0.0,0.0,67318.0,61733.0,845.9759144449998,108.0
S1_F1,0.0,conservative,receivable_locked,18380.0,61747.869287520014,67770.0,235.9514107046791,268.71599564744287,-6022.130712479986,-32.7645849427638,-57.50749598311571,-57.697841726618705,-8017.501166419981,15,16,2,323,0,1545,952,50312,7360.264813009981,100,754.8692875200195,5660.39831451498,3330.0,0.0,67528.0,62223.0,427.58671248,85.5
S1_F1,0.1,nominal,ex_date_close_scenario,20218.0,60792.854807615215,69608.0,200.6867880483491,244.28726877040262,-8815.145192384785,-43.60048072205354,-65.96822795050119,-53.02362482369535,-13027.25752778479,152,153,27,161,0,807,340,807,5818.825232384777,100,3129.854807615222,3285.412794419777,0.0,0.0,63382.0,60243.000000000015,3523.826692385,199.5
S1_F1,0.1,conservative,ex_date_close_scenario,20218.0,60801.85939766021,69608.0,200.73132553991599,244.28726877040262,-8806.140602339787,-43.555943230486626,-65.96822795050119,-53.02362482369535,-13018.252937739799,152,153,27,161,0,808,340,15395,5809.820642339779,100,3138.8593976602206,3276.4082043747785,0.0,0.0,63382.0,60252.000000000015,3523.8266023399997,199.5
S1_F1,0.1,conservative,receivable_locked,20218.0,61618.20759465518,69608.0,204.76905527082388,244.28726877040262,-7989.792405344822,-39.51821349957871,-64.73322590476644,-53.02362482369535,-12201.90474074482,124,125,22,194,0,986,958,22758,7384.9265058748115,100,730.2075946551886,5685.0600073798105,3225.0,0.0,64174.0,60943.00000000001,2964.007905345,150.0
