case,date,exit_date,close,next_open,dividend,sale_value,buy_value,fee,cash,net,extra_cash
ordinary_profit,2020-01-03,2020-01-06,18.22,18.01,0.0,18210.89,18019.004999999997,28.935487900000002,162.94951210000204,0.8943441937431506,0.0
ordinary_loss,2020-01-02,2020-01-03,18.38,18.49,0.0,18370.81,18499.245,29.108211100000005,-157.54321109999768,-0.8571447829162007,157.54321109999728
corporate,2019-06-19,2019-06-20,11.84,11.75,0.129,11834.08,11755.875,22.305879100000002,-73.10087910000007,-0.6174060734797303,0.0
corporate,2020-06-29,2020-06-30,15.22,15.19,0.2,15212.390000000001,15197.595,25.820589700000003,-211.0255896999981,-1.3865019034165447,11.025589699997
corporate,2021-07-26,2021-07-27,11.62,11.43,0.25,11614.19,11435.715,22.075188100000002,-93.60018809999963,-0.8055093640275356,0.0
corporate,2022-08-04,2022-08-05,9.89,9.41,0.5,9885.055,9414.705,20.0780526,-49.728052599999614,-0.5028114519716846,0.0
corporate,2023-07-27,2023-07-28,22.68,22.3,0.55,22668.66,22311.149999999998,33.1184581,-225.60845809999796,-0.9947462879188622,0.0
corporate,2024-08-14,2024-08-15,21.38,20.74,0.58,21369.31,20750.37,21.105851800000003,17.834148200002346,0.08341509915810265,0.0
corporate,2025-07-30,2025-07-31,33.28,33.26,0.64,33263.36,33276.63,27.2970799,-680.5670798999968,-2.044973196814894,40.56707989999995
corporate,2026-01-15,2026-01-16,60.79,61.2,0.33,60759.605,61230.6,48.117178307,-849.1121783069954,-1.3967958188961924,519.1121783069975
corporate,2026-07-31,2026-08-03,56.7,55.53,0.65,56671.65,55557.765,44.653981941000005,419.23101805900205,0.739384511567905,0.0
limit_buy,2018-06-08,2018-06-11,19.83,21.81,0.0,19820.085000000003,21820.905,30.652904800000005,-2031.472904799996,-10.244442283408958,2031.4729047999936
limit_buy,2018-06-11,2018-06-12,21.81,23.99,0.0,21799.095,24001.995,32.715116800000004,-2235.615116799998,-10.250413190279678,2235.6151167999997
limit_buy,2024-09-30,2024-10-08,25.19,27.71,0.0,25177.405000000002,27723.855,23.1177151,-2569.5677150999973,-10.200745196903522,2569.567715099998
