id,sort,k,delete,status,n,years,months,mean,median,win,cash,mean_cash,pf,pf_cash,worst,worst_cash,tail5,tail5_cash,longest_loss,fee,max_extra_cash,need_extra_n
S0,net,1,best,diagnostic_only,1622.0,7.0,81.0,-0.16415252489505316,-0.2039060419799644,38.77928483353884,-33820.86109371798,-20.851332363574585,0.711609084431702,0.8623461016011282,-10.200745196903522,-4348.957669794001,-3.889855348872354,-1489.7142897971535,993.0,43811.061093722004,4348.957669793992,990.0
S0,net,1,worst,diagnostic_only,1622.0,7.0,81.0,-0.15181553989772084,-0.20390578143060473,38.84093711467324,-29665.04152801796,-18.289174801490727,0.7303034601105138,0.877984572852196,-9.83232226178813,-4348.957669794001,-3.7933637476025055,-1467.8518158716533,992.0,43806.331528022005,4348.957669793992,989.0
S0,net,1,both,diagnostic_only,1621.0,7.0,81.0,-0.15796091929850253,-0.2039058190314309,38.80320789636027,-31251.293378617964,-19.279021208277584,0.7195593507986089,0.8714601526206532,-9.83232226178813,-4348.957669794001,-3.7933637476025055,-1467.8518158716533,992.0,43787.943378622,4348.957669793992,989.0
S0,net,5,best,diagnostic_only,1618.0,7.0,81.0,-0.18668699840719466,-0.2039065930052324,38.62793572311496,-44136.230511224974,-27.278263603970935,0.6728282860618789,0.8203616349783052,-10.200745196903522,-4348.957669794001,-3.9096214639741924,-1498.4761034532912,993.0,43691.165511229,4348.957669793992,990.0
S0,net,5,worst,diagnostic_only,1618.0,7.0,81.0,-0.13300197649453824,-0.20390555466837657,38.93695920889987,-22366.034957949974,-13.82326017178614,0.7560112472860077,0.9051588719411472,-6.168734283395747,-4348.957669794001,-3.5406199219065257,-1423.8193850818095,988.0,43701.519957954006,4348.957669793992,985.0
S0,net,5,both,diagnostic_only,1613.0,7.0,81.0,-0.16169324890266407,-0.2039058190314309,38.74767513949163,-34267.65622605692,-21.2446721798245,0.7042944678663735,0.8546911341897454,-6.168734283395747,-4348.957669794001,-3.5406199219065257,-1423.8193850818095,988.0,43563.236226061,4348.957669793992,985.0
S0,cash,1,best,diagnostic_only,1622.0,7.0,81.0,-0.16301980127356527,-0.2039060419799644,38.77928483353884,-37529.19082492503,-23.13760223484897,0.713599106836143,0.8472528713420117,-10.200745196903522,-4348.957669794001,-3.889855348872354,-1489.7142897971535,993.0,43777.735824929005,4348.957669793992,990.0
S0,cash,1,worst,diagnostic_only,1622.0,7.0,81.0,-0.1543013666014865,-0.20390578143060473,38.84093711467324,-27885.651573323994,-17.192140304145497,0.7270926122545517,0.8844577577770985,-10.200745196903522,-4265.148596750993,-3.842534612401381,-1446.151938375385,992.0,43773.10157332801,4265.148596750994,989.0
S0,cash,1,both,diagnostic_only,1621.0,7.0,81.0,-0.15931485711432902,-0.2039058190314309,38.80320789636027,-33180.23315513099,-20.468990225250458,0.718399148768906,0.8625200301975404,-10.200745196903522,-4265.148596750993,-3.842534612401381,-1446.151938375385,992.0,43721.388155135006,4265.148596750994,989.0
S0,cash,5,best,diagnostic_only,1618.0,7.0,81.0,-0.1744482319219639,-0.2039065930052324,38.62793572311496,-49854.98645821202,-30.812723398153288,0.6942769045603541,0.7970857920625046,-10.200745196903522,-4348.957669794001,-3.9096214639741924,-1498.4761034532912,993.0,43562.166458216,4348.957669793992,990.0
S0,cash,5,worst,diagnostic_only,1618.0,7.0,81.0,-0.14109771902282836,-0.20390555466837657,38.93695920889987,-13006.421479397977,-8.038579406302828,0.7449477053489586,0.942568065614866,-10.200745196903522,-3118.429601099998,-3.7023348775950846,-1308.2686013959824,988.0,43554.691479402005,3118.429601100004,985.0
S0,cash,5,both,diagnostic_only,1613.0,7.0,81.0,-0.15753738234201303,-0.2039058190314309,38.74767513949163,-30626.798694491998,-18.987475942028517,0.7161109005627521,0.8647624716887011,-10.200745196903522,-3118.429601099998,-3.7023348775950846,-1308.2686013959824,988.0,43287.408694496,3118.429601100004,985.0
S1_F1,net,1,best,diagnostic_only,340.0,7.0,81.0,-0.16756273607283326,-0.20189341549265793,38.82352941176471,1585.2408817529213,4.662473181626239,0.696302488177826,1.0328024834918408,-10.200745196903522,-4265.148596750993,-4.114681590747893,-1432.5420308119951,208.0,9583.429118248001,4265.148596750994,208.0
S1_F1,net,1,worst,diagnostic_only,340.0,7.0,81.0,-0.10888039696429364,-0.2018904855276264,39.11764705882353,6105.058616852926,17.956054755449784,0.7913129272368614,1.13342265034175,-5.850509810869557,-4265.148596750993,-3.646893919765584,-1321.3257202276418,207.0,9591.061383148,4265.148596750994,207.0
S1_F1,net,1,both,diagnostic_only,339.0,7.0,81.0,-0.1379663276338048,-0.20189097164350003,38.93805309734513,4154.808596852927,12.25607255708828,0.7363427382554273,1.09080102410885,-5.850509810869557,-4265.148596750993,-3.646893919765584,-1321.3257202276418,207.0,9560.311403148,4265.148596750994,207.0
S1_F1,net,5,best,diagnostic_only,336.0,7.0,81.0,-0.2184178771458919,-0.2018966165475995,38.095238095238095,-4388.3202597330965,-13.06047696349136,0.6087878514651357,0.9091949970924093,-10.200745196903522,-4265.148596750993,-4.114681590747893,-1432.5420308119951,208.0,9458.730259734,4265.148596750994,208.0
S1_F1,net,5,worst,diagnostic_only,336.0,7.0,81.0,-0.04164772225381307,-0.19862255374963983,39.58333333333333,14892.608640403909,44.32324000120211,0.9093476333254632,1.402832411524248,-3.8157785390844943,-1932.5882208599883,-2.802550135908272,-948.721804274877,203.0,9450.386359597002,1932.5882208599942,203.0
S1_F1,net,5,both,diagnostic_only,331.0,7.0,81.0,-0.12133523031280227,-0.20189097164350003,38.670694864048336,6968.797478917913,21.05376881848312,0.739826219558095,1.188500051377195,-3.8157785390844943,-1932.5882208599883,-2.802550135908272,-948.721804274877,203.0,9294.937521083,1932.5882208599942,203.0
S1_F1,cash,1,best,diagnostic_only,340.0,7.0,81.0,-0.1510909927592011,-0.20189341549265793,38.82352941176471,485.0258180669334,1.4265465237262749,0.7261565450938529,1.0100363620276207,-10.200745196903522,-4265.148596750993,-4.114681590747893,-1432.5420308119951,208.0,9556.544181934001,4265.148596750994,208.0
S1_F1,cash,1,worst,diagnostic_only,340.0,7.0,81.0,-0.12192819664484622,-0.2018904855276264,39.11764705882353,7800.63949850393,22.943057348540968,0.772006405602663,1.177038976379871,-10.200745196903522,-2569.5677150999973,-3.907849913376638,-1221.5856683658185,207.0,9555.085501497,2569.567715099998,207.0
S1_F1,cash,1,both,diagnostic_only,339.0,7.0,81.0,-0.13453228387201416,-0.20189097164350003,38.93805309734513,4750.1744148179205,14.012313908017465,0.7491779049328411,1.1078073171034895,-10.200745196903522,-2569.5677150999973,-3.907849913376638,-1221.5856683658185,207.0,9497.450585183,2569.567715099998,207.0
S1_F1,cash,5,best,diagnostic_only,336.0,7.0,81.0,-0.20685894235858932,-0.2018966165475995,38.095238095238095,-7407.397179897111,-22.04582494016997,0.6294912653614925,0.8467229639937109,-10.200745196903522,-4265.148596750993,-4.114681590747893,-1432.5420308119951,208.0,9358.097179898,4265.148596750994,208.0
S1_F1,cash,5,worst,diagnostic_only,336.0,7.0,81.0,-0.05870527436720861,-0.19862255374963983,39.58333333333333,15899.027599921901,47.318534523577085,0.8767938047955469,1.442090110219091,-5.850509810869557,-1389.5304955559914,-3.139687636502443,-889.5206890091131,203.0,9404.927400079001,1389.5304955559914,203.0
S1_F1,cash,5,both,diagnostic_only,331.0,7.0,81.0,-0.12691690832357944,-0.20189097164350003,38.670694864048336,4956.139518271855,14.973231173026752,0.7376001245446321,1.1378109605838258,-5.850509810869557,-1389.5304955559914,-3.139687636502443,-889.5206890091131,203.0,9148.845481729,1389.5304955559914,203.0
S1_F2,net,1,best,diagnostic_only,374.0,7.0,80.0,-0.22535642858453697,-0.20391072423061157,38.23529411764706,-16367.483064323103,-43.763323701398676,0.6291407968043541,0.7296547575930541,-9.83232226178813,-3886.711772625,-4.0439609146622475,-1519.3984765355217,231.0,9932.408064324001,3886.711772625,230.0
S1_F2,net,1,worst,diagnostic_only,374.0,7.0,80.0,-0.17283726620336717,-0.20390875527239527,38.50267379679144,-13175.612988373097,-35.228911733617906,0.7027073010743944,0.7764468571866114,-8.235700377192982,-3886.711772625,-3.6432168735198145,-1483.7890613795742,230.0,9932.292988374002,3886.711772625,229.0
S1_F2,net,1,both,diagnostic_only,373.0,7.0,80.0,-0.19960048801294547,-0.20391066490165152,38.337801608579085,-14761.864838973102,-39.576045144700004,0.657590596012526,0.7495326189793937,-8.235700377192982,-3886.711772625,-3.6432168735198145,-1483.7890613795742,230.0,9913.904838974002,3886.711772625,229.0
S1_F2,net,5,best,diagnostic_only,370.0,7.0,80.0,-0.29232882789253034,-0.2045957208865103,37.567567567567565,-20464.711747673115,-55.31003175046788,0.5240724159375199,0.6619799491179883,-9.83232226178813,-3886.711772625,-4.0439609146622475,-1519.3984765355217,231.0,9847.641747674003,3886.711772625,230.0
S1_F2,net,5,worst,diagnostic_only,370.0,7.0,80.0,-0.11123630836176962,-0.2039012865365643,38.91891891891892,-4327.574808111101,-11.696148130030004,0.7877924262583313,0.9136026997281651,-3.9972458218321183,-2509.0027597529984,-2.86220405859717,-1190.1064694167844,226.0,9777.539808112,2509.002759752999,225.0
S1_F2,net,5,both,diagnostic_only,365.0,7.0,80.0,-0.2050565495677904,-0.20391066490165152,38.082191780821915,-10011.055342061125,-27.427548882359247,0.6140961616071104,0.8001355972391532,-3.9972458218321183,-2509.0027597529984,-2.86220405859717,-1190.1064694167844,226.0,9674.385342062002,2509.002759752999,225.0
S1_F2,cash,1,best,diagnostic_only,374.0,7.0,80.0,-0.2102543889796833,-0.20391072423061157,38.23529411764706,-17342.746273332115,-46.3709793404602,0.6539935618648556,0.7135461251531146,-9.83232226178813,-3886.711772625,-4.0439609146622475,-1519.3984765355217,231.0,9902.526273333002,3886.711772625,230.0
S1_F2,cash,1,worst,diagnostic_only,374.0,7.0,80.0,-0.185270527963496,-0.20390875527239527,38.50267379679144,-10894.519441098106,-29.129731125930764,0.6879937856849293,0.8077081931899948,-9.83232226178813,-2899.1747127869926,-3.88795581553498,-1363.7315062598373,230.0,9890.959441099003,2899.1747127869894,229.0
S1_F2,cash,1,both,diagnostic_only,373.0,7.0,80.0,-0.19692455526783256,-0.20391066490165152,38.337801608579085,-13456.034500707116,-36.07515951932203,0.6692544513789648,0.7624966203761316,-9.83232226178813,-2899.1747127869926,-3.88795581553498,-1363.7315062598373,230.0,9842.689500708002,2899.1747127869894,229.0
S1_F2,cash,5,best,diagnostic_only,370.0,7.0,80.0,-0.2566772773787523,-0.2045957208865103,37.567567567567565,-23385.297229346128,-63.203506025259806,0.5821151222502263,0.6137400097876616,-9.83232226178813,-3886.711772625,-4.0439609146622475,-1519.3984765355217,231.0,9722.887229347001,3886.711772625,230.0
S1_F2,cash,5,worst,diagnostic_only,370.0,7.0,80.0,-0.14598783669752838,-0.2039012865365643,38.91891891891892,-2174.002374915144,-5.875682094365255,0.7388120420761413,0.9546474964668712,-9.83232226178813,-1605.6182253500017,-3.53894434724089,-1076.7605518801543,226.0,9702.037374916,1605.6182253500028,225.0
S1_F2,cash,5,both,diagnostic_only,365.0,7.0,80.0,-0.2041441983188393,-0.20391066490165152,38.082191780821915,-10778.068390538152,-29.528954494625076,0.6396996705659531,0.775155542421491,-9.83232226178813,-1605.6182253500017,-3.53894434724089,-1076.7605518801543,226.0,9474.128390539001,1605.6182253500028,225.0
S1_F3,net,1,best,diagnostic_only,294.0,7.0,65.0,-0.22816487714384495,-0.1367306790092812,44.21768707482993,-2682.887050946112,-9.125466159680654,0.7202369341741447,0.9611530760551315,-10.200745196903522,-4348.957669794001,-5.464645762454164,-2008.8090134513288,164.0,9048.377050947001,4348.957669793992,164.0
