id,other,intersection
S1_F6,S1_F4,84
S1_F6,S1_F5,0
S1_F6,S1_F6,603
S1_F6,S1_F7,224
S1_F6,S1_F8,121
S1_F6,S2_F1,115
S1_F6,S2_F2,151
S1_F6,S2_F3,44
S1_F6,S2_F4,87
S1_F6,S2_F5,28
S1_F6,S2_F6,365
S1_F6,S2_F7,0
S1_F7,S0,764
S1_F7,S1_F1,265
S1_F7,S1_F2,65
S1_F7,S1_F3,218
S1_F7,S1_F4,55
S1_F7,S1_F5,128
S1_F7,S1_F6,224
S1_F7,S1_F7,764
S1_F7,S1_F8,160
S1_F7,S2_F1,135
S1_F7,S2_F2,209
S1_F7,S2_F3,218
S1_F7,S2_F4,46
S1_F7,S2_F5,104
S1_F7,S2_F6,247
S1_F7,S2_F7,0
S1_F8,S0,342
S1_F8,S1_F1,67
S1_F8,S1_F2,90
S1_F8,S1_F3,80
S1_F8,S1_F4,37
S1_F8,S1_F5,41
S1_F8,S1_F6,121
S1_F8,S1_F7,160
S1_F8,S1_F8,342
S1_F8,S2_F1,64
S1_F8,S2_F2,100
S1_F8,S2_F3,62
S1_F8,S2_F4,60
S1_F8,S2_F5,44
S1_F8,S2_F6,121
S1_F8,S2_F7,0
S2_F1,S0,310
S2_F1,S1_F1,49
S2_F1,S1_F2,93
S2_F1,S1_F3,42
S2_F1,S1_F4,59
S2_F1,S1_F5,35
S2_F1,S1_F6,115
S2_F1,S1_F7,135
S2_F1,S1_F8,64
S2_F1,S2_F1,310
S2_F1,S2_F2,0
S2_F1,S2_F3,101
S2_F1,S2_F4,23
S2_F1,S2_F5,67
S2_F1,S2_F6,84
S2_F1,S2_F7,0
S2_F2,S0,411
S2_F2,S1_F1,97
S2_F2,S1_F2,76
S2_F2,S1_F3,78
S2_F2,S1_F4,56
S2_F2,S1_F5,49
S2_F2,S1_F6,151
S2_F2,S1_F7,209
S2_F2,S1_F8,100
S2_F2,S2_F1,0
S2_F2,S2_F2,411
S2_F2,S2_F3,29
S2_F2,S2_F4,109
S2_F2,S2_F5,36
S2_F2,S2_F6,148
S2_F2,S2_F7,0
S2_F3,S0,294
S2_F3,S1_F1,103
S2_F3,S1_F2,34
S2_F3,S1_F3,170
S2_F3,S1_F4,11
S2_F3,S1_F5,82
S2_F3,S1_F6,44
S2_F3,S1_F7,218
S2_F3,S1_F8,62
S2_F3,S2_F1,101
S2_F3,S2_F2,29
S2_F3,S2_F3,294
S2_F3,S2_F4,0
S2_F3,S2_F5,98
S2_F3,S2_F6,22
S2_F3,S2_F7,0
S2_F4,S0,244
S2_F4,S1_F1,17
S2_F4,S1_F2,96
S2_F4,S1_F3,8
S2_F4,S1_F4,125
S2_F4,S1_F5,32
S2_F4,S1_F6,87
S2_F4,S1_F7,46
S2_F4,S1_F8,60
S2_F4,S2_F1,23
S2_F4,S2_F2,109
S2_F4,S2_F3,0
S2_F4,S2_F4,244
S2_F4,S2_F5,27
S2_F4,S2_F6,90
S2_F4,S2_F7,0
S2_F5,S0,190
S2_F5,S1_F1,53
S2_F5,S1_F2,42
S2_F5,S1_F3,60
S2_F5,S1_F4,21
S2_F5,S1_F5,71
S2_F5,S1_F6,28
S2_F5,S1_F7,104
S2_F5,S1_F8,44
S2_F5,S2_F1,67
S2_F5,S2_F2,36
S2_F5,S2_F3,98
S2_F5,S2_F4,27
S2_F5,S2_F5,190
S2_F5,S2_F6,0
S2_F5,S2_F7,0
S2_F6,S0,599
S2_F6,S1_F1,101
S2_F6,S1_F2,167
S2_F6,S1_F3,46
S2_F6,S1_F4,108
S2_F6,S1_F5,5
S2_F6,S1_F6,365
S2_F6,S1_F7,247
S2_F6,S1_F8,121
S2_F6,S2_F1,84
S2_F6,S2_F2,148
S2_F6,S2_F3,22
S2_F6,S2_F4,90
S2_F6,S2_F5,0
S2_F6,S2_F6,599
S2_F6,S2_F7,0
S2_F7,S0,0
S2_F7,S1_F1,0
S2_F7,S1_F2,0
S2_F7,S1_F3,0
S2_F7,S1_F4,0
S2_F7,S1_F5,0
S2_F7,S1_F6,0
S2_F7,S1_F7,0
S2_F7,S1_F8,0
S2_F7,S2_F1,0
S2_F7,S2_F2,0
S2_F7,S2_F3,0
S2_F7,S2_F4,0
S2_F7,S2_F5,0
S2_F7,S2_F6,0
S2_F7,S2_F7,0
