id,window,kind,n,years,months,mean,median,win,cash,mean_cash,pf,pf_cash,worst,worst_cash,tail5,tail5_cash,longest_loss,fee,max_extra_cash,need_extra_n
S0,full,hit,2006,9.0,100.0,-0.1563956579504809,-0.20390732375152887,38.733798604187434,-39684.277989017384,-19.78279062264077,0.7178791298122753,0.8550352782460378,-10.250413190279678,-4348.957669794001,-3.861723231724261,-1373.298851651559,17.0,53472.122989022,4348.957669793992,1225.0
S0,full,nonhit,0,,,,,,,,,,,,,,,,,
S0,full,valid_S0,2006,9.0,100.0,-0.1563956579504809,-0.20390732375152887,38.733798604187434,-39684.277989017384,-19.78279062264077,0.7178791298122753,0.8550352782460378,-10.250413190279678,-4348.957669794001,-3.861723231724261,-1373.298851651559,17.0,53472.122989022,4348.957669793992,1225.0
S0,main2020,hit,1623,7.0,81.0,-0.1580071170123271,-0.2039058190314309,38.817005545286506,-32234.609243117986,-19.861127075242134,0.7222344842433968,0.8688022870445579,-10.200745196903522,-4348.957669794001,-3.889855348872354,-1489.7142897971535,17.0,43829.449243122006,4348.957669793992,990.0
S0,main2020,nonhit,0,,,,,,,,,,,,,,,,,
S0,main2020,valid_S0,1623,7.0,81.0,-0.1580071170123271,-0.2039058190314309,38.817005545286506,-32234.609243117986,-19.861127075242134,0.7222344842433968,0.8688022870445579,-10.200745196903522,-4348.957669794001,-3.889855348872354,-1489.7142897971535,17.0,43829.449243122006,4348.957669793992,990.0
S0,early2020_2023,hit,970,4.0,48.0,-0.2093175628985868,-0.27434845376152195,32.88659793814433,-21745.230041248575,-22.41776292912224,0.5450913848453748,0.6535488144393702,-8.235700377192982,-1220.5307959,-2.837596113065708,-483.0146618571411,17.0,22544.70504125,1220.5307959000002,648.0
S0,early2020_2023,nonhit,0,,,,,,,,,,,,,,,,,
S0,early2020_2023,valid_S0,970,4.0,48.0,-0.2093175628985868,-0.27434845376152195,32.88659793814433,-21745.230041248575,-22.41776292912224,0.5450913848453748,0.6535488144393702,-8.235700377192982,-1220.5307959,-2.837596113065708,-483.0146618571411,17.0,22544.70504125,1220.5307959000002,648.0
S0,recent2024,hit,653,3.0,33.0,-0.0817879248076228,-0.1097734818718191,47.626339969372125,-10489.379201869411,-16.063367843597874,0.8880152275883197,0.942658823293578,-10.200745196903522,-4348.957669794001,-4.869772641049577,-2167.380320235328,9.0,21284.744201872,4348.957669793992,342.0
S0,recent2024,nonhit,0,,,,,,,,,,,,,,,,,
S0,recent2024,valid_S0,653,3.0,33.0,-0.0817879248076228,-0.1097734818718191,47.626339969372125,-10489.379201869411,-16.063367843597874,0.8880152275883197,0.942658823293578,-10.200745196903522,-4348.957669794001,-4.869772641049577,-2167.380320235328,9.0,21284.744201872,4348.957669793992,342.0
S0,2018,hit,139,1.0,7.0,-0.09457657908544981,-0.1368561648793434,43.16546762589928,-1627.3965355997698,-11.707888745322085,0.8109149011261675,0.8520386588900825,-10.250413190279678,-2235.615116799998,-4.9435415028866805,-894.428819214284,9.0,3520.1165356,2235.6151167999997,79.0
S0,2018,nonhit,0,,,,,,,,,,,,,,,,,
