id,window,universe,hit,nonhit,unknown,ci_low,ci_high,increment,inc_low,inc_high,bootstrap_valid
S1_F6,early2020_2023,970,371,599,0,-0.3839749283740187,-0.22404396353892775,-0.08823150050145431,-0.18328682877290617,-0.008729849476024025,2000.0
S1_F6,recent2024,653,232,421,0,-0.2313754962495725,0.14379120193590714,0.03999498273029119,-0.14538483819574036,0.23719030735245597,2000.0
S1_F6,2018,139,66,52,21,,,,,,
S1_F6,2019,244,107,137,0,,,,,,
S1_F6,2020,243,103,140,0,,,,,,
S1_F6,2021,243,91,152,0,,,,,,
S1_F6,2022,242,97,145,0,,,,,,
S1_F6,2023,242,80,162,0,,,,,,
S1_F6,2024,242,93,149,0,,,,,,
S1_F6,2025,243,87,156,0,,,,,,
S1_F6,2026,168,52,116,0,,,,,,
S1_F7,full,2006,938,1066,2,,,,,,
S1_F7,main2020,1623,764,859,0,-0.23497302437224574,-0.012641651122201369,0.032219853230024686,-0.049032976231526575,0.11494107857984835,2000.0
S1_F7,early2020_2023,970,433,537,0,-0.31435424879287555,-0.07907082997956412,0.00044332445055217384,-0.10043316845642167,0.10709709150287373,2000.0
S1_F7,recent2024,653,331,322,0,-0.21880189972313935,0.17289384589111823,0.06469147682671632,-0.059855863035573685,0.18929611403866914,2000.0
S1_F7,2018,139,55,82,2,,,,,,
S1_F7,2019,244,119,125,0,,,,,,
S1_F7,2020,243,107,136,0,,,,,,
S1_F7,2021,243,103,140,0,,,,,,
S1_F7,2022,242,109,133,0,,,,,,
S1_F7,2023,242,114,128,0,,,,,,
S1_F7,2024,242,121,121,0,,,,,,
S1_F7,2025,243,126,117,0,,,,,,
S1_F7,2026,168,84,84,0,,,,,,
S1_F8,full,2006,422,1584,0,,,,,,
S1_F8,main2020,1623,342,1281,0,-0.2839071523504464,0.07592137152071,0.04407473334850483,-0.09872956116136852,0.20109300725055826,2000.0
S1_F8,early2020_2023,970,204,766,0,-0.3404575664081405,0.055025816672535775,0.05587359596885874,-0.10668227168864565,0.23121117921453713,2000.0
S1_F8,recent2024,653,138,515,0,-0.36069691371787993,0.25355332420772725,0.026263968580356997,-0.237838540843818,0.3085307654967263,2000.0
S1_F8,2018,139,29,110,0,,,,,,
S1_F8,2019,244,51,193,0,,,,,,
S1_F8,2020,243,52,191,0,,,,,,
S1_F8,2021,243,52,191,0,,,,,,
S1_F8,2022,242,50,192,0,,,,,,
S1_F8,2023,242,50,192,0,,,,,,
S1_F8,2024,242,51,191,0,,,,,,
S1_F8,2025,243,53,190,0,,,,,,
S1_F8,2026,168,34,134,0,,,,,,
S2_F1,full,2006,310,1309,387,,,,,,
S2_F1,main2020,1623,310,1309,4,-0.4251900742499805,-0.04751292931511845,-0.07163201333450861,-0.2300670812261766,0.09265545816921204,2000.0
S2_F1,early2020_2023,970,177,791,2,-0.44184813847859256,-0.1597438488263539,-0.06047380874129152,-0.19511712335881257,0.048211480571119035,2000.0
S2_F1,recent2024,653,133,518,2,-0.6051391348282749,0.18177499102364464,-0.09544547488829203,-0.46623681558487856,0.22963144812470662,2000.0
S2_F1,2018,139,0,0,139,,,,,,
S2_F1,2019,244,0,0,244,,,,,,
S2_F1,2020,243,50,192,1,,,,,,
S2_F1,2021,243,44,199,0,,,,,,
S2_F1,2022,242,46,196,0,,,,,,
S2_F1,2023,242,37,204,1,,,,,,
S2_F1,2024,242,42,199,1,,,,,,
S2_F1,2025,243,51,191,1,,,,,,
S2_F1,2026,168,40,128,0,,,,,,
S2_F2,full,2006,411,1208,387,,,,,,
S2_F2,main2020,1623,411,1208,4,-0.17465636504427695,0.14200194171446143,0.14622346398386077,0.016209669237090617,0.2763871063017314,2000.0
S2_F2,early2020_2023,970,234,734,2,-0.338834405738077,-0.025728448266345842,0.027828988421024214,-0.10315509287656824,0.17368577267823535,2000.0
S2_F2,recent2024,653,177,474,2,-0.039736360844108184,0.5192096709145461,0.29327626999254075,0.0810286606798251,0.5716750544378327,2000.0
S2_F2,2018,139,0,0,139,,,,,,
S2_F2,2019,244,0,0,244,,,,,,
S2_F2,2020,243,51,191,1,,,,,,
S2_F2,2021,243,59,184,0,,,,,,
S2_F2,2022,242,57,185,0,,,,,,
S2_F2,2023,242,67,174,1,,,,,,
S2_F2,2024,242,68,173,1,,,,,,
S2_F2,2025,243,63,179,1,,,,,,
S2_F2,2026,168,46,122,0,,,,,,
S2_F3,full,2006,294,1328,384,,,,,,
S2_F3,main2020,1623,294,1328,1,-0.4158624341151902,0.005623596129809515,-0.057472731424673296,-0.23426762734128942,0.13742675947601776,2000.0
S2_F3,early2020_2023,970,124,846,0,-0.40998706235832544,0.019794505520986373,0.0022347702757608556,-0.18494951978975008,0.21437763674593624,2000.0
S2_F3,recent2024,653,170,482,1,-0.5822176476981403,0.10508629612883659,-0.14259509739654247,-0.4450290399522909,0.14762125275844273,2000.0
S2_F3,2018,139,0,0,139,,,,,,
S2_F3,2019,244,0,0,244,,,,,,
S2_F3,2020,243,32,211,0,,,,,,
S2_F3,2021,243,17,226,0,,,,,,
S2_F3,2022,242,8,234,0,,,,,,
S2_F3,2023,242,67,175,0,,,,,,
S2_F3,2024,242,57,184,1,,,,,,
S2_F3,2025,243,70,173,0,,,,,,
S2_F3,2026,168,43,125,0,,,,,,
S2_F4,full,2006,244,1378,384,,,,,,
S2_F4,main2020,1623,244,1378,1,-0.3463164605220424,0.2543540535363466,0.10891603724061771,-0.15702881120382264,0.37805117256648696,2000.0
S2_F4,early2020_2023,970,120,850,0,-0.6225771396999237,0.31320168195442416,0.03575869184476893,-0.3753861390197326,0.4764043030387159,2000.0
S2_F4,recent2024,653,124,528,1,-0.30696611188189693,0.4282297450509521,0.1512077173105942,-0.1833958127952062,0.4702835015092544,2000.0
S2_F4,2018,139,0,0,139,,,,,,
S2_F4,2019,244,0,0,244,,,,,,
S2_F4,2020,243,34,209,0,,,,,,
S2_F4,2021,243,18,225,0,,,,,,
S2_F4,2022,242,11,231,0,,,,,,
S2_F4,2023,242,57,185,0,,,,,,
S2_F4,2024,242,52,189,1,,,,,,
S2_F4,2025,243,40,203,0,,,,,,
S2_F4,2026,168,32,136,0,,,,,,
S2_F5,full,2006,190,1392,424,,,,,,
S2_F5,main2020,1623,190,1392,41,-0.28665406618400174,0.2081056938171873,0.10192182684963647,-0.11594425534166518,0.35657157346470925,2000.0
S2_F5,early2020_2023,970,119,831,20,-0.41142170537134665,-0.03226820721883328,-0.015353298878876542,-0.1632245729360488,0.17027235733320084,2000.0
S2_F5,recent2024,653,71,561,21,-0.2883016094293743,0.7915719766689584,0.3096094857986025,-0.2050654324902804,0.8443203492474313,2000.0
S2_F5,2018,139,0,0,139,,,,,,
S2_F5,2019,244,0,0,244,,,,,,
S2_F5,2020,243,18,205,20,,,,,,
S2_F5,2021,243,34,209,0,,,,,,
S2_F5,2022,242,30,212,0,,,,,,
S2_F5,2023,242,37,205,0,,,,,,
S2_F5,2024,242,32,189,21,,,,,,
S2_F5,2025,243,25,218,0,,,,,,
S2_F5,2026,168,14,154,0,,,,,,
S2_F6,full,2006,599,983,424,,,,,,
S2_F6,main2020,1623,599,983,41,-0.2899293121376337,-0.06981216665087084,-0.022245024758006243,-0.10867730832650732,0.0650851369993274,2000.0
S2_F6,early2020_2023,970,371,579,20,-0.3442974570967133,-0.08821976871505054,0.0010439771942271636,-0.08038469526976554,0.09286227930327193,2000.0
S2_F6,recent2024,653,228,404,21,-0.3179936307987976,0.08358808760172058,-0.052157806653820166,-0.24349146567229396,0.14328542634855004,2000.0
S2_F6,2018,139,0,0,139,,,,,,
S2_F6,2019,244,0,0,244,,,,,,
S2_F6,2020,243,102,121,20,,,,,,
S2_F6,2021,243,91,152,0,,,,,,
S2_F6,2022,242,96,146,0,,,,,,
S2_F6,2023,242,82,160,0,,,,,,
S2_F6,2024,242,85,136,21,,,,,,
S2_F6,2025,243,87,156,0,,,,,,
S2_F6,2026,168,56,112,0,,,,,,
S2_F7,full,2006,0,0,2006,,,,,,
S2_F7,main2020,1623,0,0,1623,,,,,,
S2_F7,early2020_2023,970,0,0,970,,,,,,
S2_F7,recent2024,653,0,0,653,,,,,,
S2_F7,2018,139,0,0,139,,,,,,
S2_F7,2019,244,0,0,244,,,,,,
S2_F7,2020,243,0,0,243,,,,,,
S2_F7,2021,243,0,0,243,,,,,,
S2_F7,2022,242,0,0,242,,,,,,
S2_F7,2023,242,0,0,242,,,,,,
S2_F7,2024,242,0,0,242,,,,,,
S2_F7,2025,243,0,0,243,,,,,,
S2_F7,2026,168,0,0,168,,,,,,
