entry,exit,days,sale_cash,final_cash,restored
2020-01-02,2020-03-04,38,18347.071773800002,1.5420705400024417,True
2020-03-11,2020-03-12,1,16509.867635399998,247.95954344000165,True
2020-03-25,2020-03-26,1,13524.4109105,350.39711984000314,True
2020-04-03,2020-04-13,5,13933.787919600001,7.770216850004999,True
2020-04-15,2020-04-16,1,13843.924673700001,89.54475305000597,True
2020-04-17,2020-04-27,6,13963.742334900002,7.992387670009521,True
2020-04-29,2020-05-22,14,14213.3624624,0.9691480400094861,True
2020-05-27,2020-07-24,40,13454.5172748,33.42208699001071,True
2020-07-30,2020-09-04,26,14245.2864879,3.294272310012275,True
2020-09-09,2021-05-24,167,13883.8638941,0.9461477200136414,True
2021-05-26,2021-05-28,2,12535.9152056,0.35082812001496677,True
2021-06-01,2021-07-02,22,12406.1127393,1.0211635300158832,True
2021-07-06,2021-07-07,1,12206.4166373,6.098878930017236,True
2021-07-16,2021-07-28,8,11467.5410599,204.67126405001795,True
2021-08-02,2021-08-03,1,11742.054823100001,85.56396865001989,True
2021-08-11,2021-08-12,1,11757.1004078,71.54905885002154,True
2021-08-17,2021-08-18,1,11996.7357302,47.03946895002264,True
2021-08-19,2021-08-27,6,11826.9940435,0.8677538800245657,True
2021-09-02,2022-03-07,119,11727.1459925,9.928589360024716,True
2022-03-14,2022-03-15,1,10159.5315918,1.1805196300249463,True
2022-03-17,2022-04-12,16,10089.6379561,1.5798949900247408,True
2022-04-28,2022-08-08,68,9400.686404200002,364.43502182502823,True
2022-08-10,2022-08-11,1,9505.55413285,260.09310667502905,True
2022-08-12,2022-08-15,1,9650.403183350001,240.56964172503103,True
2022-08-18,2022-08-19,1,9590.49375305,301.2081471750298,True
2022-08-23,2022-08-24,1,9420.7503672,292.1542672750311,True
2022-09-06,2022-09-07,1,9420.7503672,273.0952873250317,True
2022-09-28,2022-09-29,1,8542.0787228,135.7522667750327,True
2022-10-13,2022-10-14,1,8332.395716750001,48.85884147503384,True
2022-10-18,2022-10-19,1,8482.1692925,31.698191525036236,True
2022-11-02,2024-01-08,289,8641.9277733,17.96655914503617,True
2024-01-12,2024-01-15,1,12842.014679300002,48.4531744450378,True
2024-01-19,2025-04-09,291,14180.661621000001,36.61925196003972,True
2025-04-10,2025-04-11,1,17936.8649798,309.48264351004036,True
2025-04-22,,340,,,False
