name,url,status,sha256,error
sse_2026_attachment1.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/stocks/exchange/c/10816482/files/982290258b184b4b9c2b56a625202a9c.docx,captured,6c0ffbb11664654442ff0907c8ab109349c1b7665b6745998d34c1219ec98aa1,
sse_2026_attachment2.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/stocks/exchange/c/10816482/files/f6bd756cdd8248f49b7795f62e73237f.docx,captured,f4a0d0976a01e3e95f82460170900993824b70d91183e42d09e13ba10a9958c5,
sse_2026_attachment3.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/stocks/exchange/c/10816482/files/959da0158c65434daa8a43a6e32be7ba.docx,captured,fc922c433438b2636cb631eab25cca405209712acbb6aaded768c45456ff8888,
sse_2026_attachment4.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/stocks/exchange/c/10816482/files/982290258b184b4b9c2b56a625202a9c.docx,captured,6c0ffbb11664654442ff0907c8ab109349c1b7665b6745998d34c1219ec98aa1,
sse_2026_attachment5.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/stocks/exchange/c/10816482/files/f6bd756cdd8248f49b7795f62e73237f.docx,captured,f4a0d0976a01e3e95f82460170900993824b70d91183e42d09e13ba10a9958c5,
sse_2026_attachment6.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/stocks/exchange/c/10816482/files/959da0158c65434daa8a43a6e32be7ba.docx,captured,fc922c433438b2636cb631eab25cca405209712acbb6aaded768c45456ff8888,
sse_2026_attachment7.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/stocks/exchange/c/10816482/files/982290258b184b4b9c2b56a625202a9c.docx,captured,6c0ffbb11664654442ff0907c8ab109349c1b7665b6745998d34c1219ec98aa1,
sse_2026_attachment8.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/stocks/exchange/c/10816482/files/f6bd756cdd8248f49b7795f62e73237f.docx,captured,f4a0d0976a01e3e95f82460170900993824b70d91183e42d09e13ba10a9958c5,
sse_2026_attachment9.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/stocks/exchange/c/10816482/files/959da0158c65434daa8a43a6e32be7ba.docx,captured,fc922c433438b2636cb631eab25cca405209712acbb6aaded768c45456ff8888,
sse_2026_attachment10.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/stocks/exchange/c/10816482/files/982290258b184b4b9c2b56a625202a9c.docx,captured,6c0ffbb11664654442ff0907c8ab109349c1b7665b6745998d34c1219ec98aa1,
sse_2026_attachment11.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/stocks/exchange/c/10816482/files/f6bd756cdd8248f49b7795f62e73237f.docx,captured,f4a0d0976a01e3e95f82460170900993824b70d91183e42d09e13ba10a9958c5,
