model,year,variant,rule,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,good_n,good_pct,bad_pct,recall_pct,ci_low,ci_high,increment,inc_low,inc_high,p_mean,p_inc
case_classifier,2022,diagnostic_best_leaf,range1450 > 4.35417008,9,0.38032307279844246,0.6536793216735965,77.77777777777779,313.476730000007,4.071763067473341,3.768870351802916,-0.8253130403684771,-0.8253130403684771,-79.31172524999891,1.0,5.0,1.0,6.0,179.76326999999998,0.6900953068120849,0.28550439263826144,-0.16556721876723776,,-71.41403944999573,1,11.11111111111111,0.0,20.0,,,,,,,
case_classifier,2022,economic_gate,NONE,0,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,
case_classifier,2023,diagnostic_best_leaf,range1450 > 4.35417008,121,-0.22589878749456577,-0.4658091591535021,32.231404958677686,-6401.703601549793,0.7266947287532198,0.6761487904783158,-5.717791951694962,-3.748066179031493,-8077.372614899857,8.0,11.0,1.0,8.0,3335.4886015499997,0.024507783976134526,-0.29173348446891034,-0.4713955012412365,-0.6376413752707817,-11343.044484949794,25,20.66115702479339,33.88429752066116,71.42857142857143,,,,,,,
case_classifier,2023,economic_gate,NONE,0,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,
case_classifier,2024,diagnostic_best_leaf,prev_vol20 > 3.18161917 AND prev_market20 <= 0.367358148,61,-0.31810775854147044,-0.5191396197082897,34.42622950819672,-4498.486681949857,0.6439287951129206,0.6135968686207139,-4.059992406745124,-3.472539988908242,-4785.984604649915,8.0,9.0,1.0,8.0,1280.7716819500001,-0.11619905153392647,-0.4257801760006187,-0.6521833852746816,-0.8800057018198068,-7770.145784399871,15,24.59016393442623,36.0655737704918,30.612244897959183,,,,,,,
case_classifier,2024,economic_gate,NONE,0,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,
case_classifier,2025,diagnostic_best_leaf,prev_vol20 > 3.18147087 AND prev_r3 > 9.7309103,30,-0.510778917284427,-0.7753078267321822,20.0,-3460.483780538868,0.5446174920869841,0.7713197382462312,-4.340364230482233,-3.9776064099005097,-5503.511092451918,5.0,7.0,1.0,10.0,1187.578780539,-0.3277300823413091,-0.7282597459811904,-1.3275401365236492,-1.6414705202260707,-14930.943160901887,4,13.333333333333334,46.666666666666664,9.523809523809524,,,,,,,
case_classifier,2025,economic_gate,NONE,0,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,
case_classifier,2026,diagnostic_best_leaf,prev_vol20 > 2.56433344 AND prev_r1 <= -5.06116557,10,0.15472351158808087,0.3117476282631355,50.0,1409.8704955810617,1.26982340536525,1.4183226742648773,-1.7359404431210887,-1.7359404431210887,-2193.42713347999,3.0,5.0,1.0,7.0,503.66450441899997,0.3341559999334466,-0.04582705017683317,-1.1468501880230688,,-3370.294230544975,4,40.0,30.0,10.526315789473685,,,,,,,
case_classifier,2026,economic_gate,NONE,0,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,
case_classifier,combined2022,diagnostic_best_leaf,yearly_frozen,231,-0.24714957275038166,-0.4658091591535021,33.76623376623377,-12637.326838457448,0.7072320317488685,0.7473812599351584,-5.717791951694962,-3.807583518440944,-17834.70534585159,9.0,37.0,5.0,38.0,6487.266838457999,-0.019057077887676546,-0.28159050502071725,-0.3880286471058801,-0.49485246457642834,-25399.704341981473,49,21.21212121212121,34.63203463203463,28.994082840236686,-0.43619102002812027,-0.06373237042889306,0.05712494231444634,-0.12685551382174523,0.23739945291776815,0.9940029985007496,0.2818590704647676
case_classifier,old2022_2023,diagnostic_best_leaf,yearly_frozen,130,-0.18392958178197277,-0.36043851937686067,35.38461538461539,-6088.226871549785,0.7635542022296297,0.6937609745318534,-5.717791951694962,-3.748066179031493,-8077.372614899856,8.0,16.0,2.0,14.0,3515.25187155,0.07058692017246959,-0.24484581768281588,-0.41007176391037964,-0.5612940416655899,-11029.567754949789,26,20.0,31.538461538461537,65.0,-0.37223505770698295,0.004637413671620093,0.14572158077148845,-0.01662065850597035,0.3130349466547874,0.9725137431284357,0.04297851074462768
case_classifier,recent2024,diagnostic_best_leaf,yearly_frozen,101,-0.32852183835328425,-0.5191396197082897,31.683168316831683,-6549.099966907662,0.6465626544931035,0.7827442566996308,-4.340364230482233,-3.6729175779989363,-10186.390081351814,8.0,21.0,3.0,25.0,2972.0149669080006,-0.13444044172746852,-0.3932294296268913,-0.603374224669603,-0.7609351159213849,-19152.36059004769,23,22.77227722772277,38.613861386138616,17.829457364341085,-0.6937836731769484,0.026304992824614574,-0.043036177496630135,-0.40538824939348517,0.29162451650496246,0.9615192403798101,0.6346826586706646
case_classifier,combined2022,economic_gate,yearly_frozen,0,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,1.0,1.0
case_classifier,old2022_2023,economic_gate,yearly_frozen,0,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,1.0,1.0
case_classifier,recent2024,economic_gate,yearly_frozen,0,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,1.0,1.0
return_regressor,2022,diagnostic_best_leaf,prev_vol20 <= 3.51903284 AND today_gap <= -0.519480914,41,-0.2754934584011606,-0.30130244937667,31.70731707317073,-1162.441988549964,0.2688125528596618,0.23697685076388622,-1.562323861056031,-1.3232988730859534,-1333.6832057999723,10.0,12.0,1.0,18.0,811.34198855,0.0323628085112811,-0.307410924511865,-0.39712180370090716,-0.49728997137252373,-1415.8225854999678,1,2.4390243902439024,7.317073170731707,20.0,,,,,,,
return_regressor,2022,economic_gate,NONE,0,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,
return_regressor,2023,diagnostic_best_leaf,today_gap <= 0.359716877 AND range1450 > 3.82157898,98,-0.0335299521830901,-0.28137066193838195,33.6734693877551,-1257.8037786498255,0.9488479962233998,0.9007477029731309,-3.874407134905013,-3.3291655453198765,-4367.388079099888,7.0,11.0,1.0,8.0,2649.75877865,0.21539627861691066,-0.11299175426154248,-0.3026793045544865,-0.4721644935576018,-5926.159465699832,23,23.46938775510204,26.53061224489796,65.71428571428571,,,,,,,
return_regressor,2023,economic_gate,NONE,0,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,
return_regressor,2024,diagnostic_best_leaf,prev_r20 <= -16.1565018,17,0.4533182498135479,0.7217097884444075,52.94117647058824,1711.3595472000366,1.9026760926563493,2.0080656215494397,-2.158169389146864,-2.158169389146864,-734.7734253499889,3.0,5.0,1.0,7.0,349.0604528,0.6568982163636856,0.2948613814435307,-0.3458522558523593,-1.1657060660848801,-843.4125791499747,7,41.1764705882353,29.411764705882355,14.285714285714286,,,,,,,
return_regressor,2024,economic_gate,NONE,0,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,
return_regressor,2025,diagnostic_best_leaf,prev_r20 <= -16.1565018,12,0.2535430820481715,-0.24711403362745143,25.0,-1227.3116346189477,1.3461824501397175,0.7094108113579282,-2.4712443687321075,-2.4712443687321075,-2761.278714462959,4.0,3.0,1.0,2.0,456.48163461900003,0.4435371156005545,-0.5764646626284571,-1.2094353933341677,-2.200845858346501,-4140.407843554967,2,16.666666666666668,33.33333333333333,4.761904761904762,,,,,,,
return_regressor,2025,economic_gate,prev_r20 <= -16.1565018,12,0.2535430820481715,-0.24711403362745143,25.0,-1227.3116346189477,1.3461824501397175,0.7094108113579282,-2.4712443687321075,-2.4712443687321075,-2761.278714462959,4.0,3.0,1.0,2.0,456.48163461900003,0.4435371156005545,-0.5764646626284571,-1.2094353933341677,-2.200845858346501,-4140.407843554967,2,16.666666666666668,33.33333333333333,4.761904761904762,,,,,,,
return_regressor,2026,diagnostic_best_leaf,prev_r20 <= -16.1565018,9,0.3805616087601201,-0.791948501682267,44.44444444444444,1608.03585156605,1.4538249304359994,1.3471400026707703,-3.084037157135793,-3.084037157135793,-3270.496705964984,3.0,1.0,1.0,2.0,429.494148434,0.560504071377927,-0.3241344471200138,-1.6887836583872762,,-4154.783172443982,4,44.44444444444444,33.33333333333333,10.526315789473685,,,,,,,
return_regressor,2026,economic_gate,NONE,0,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,
