window,feature,good_n,other_n,good_median,other_median,bad_median,standardized_difference,good_vs_bad,p,q_descriptive
main2020,prev_r1,189,1434,-0.08984725965859308,-0.05960524595878258,0.13745704467351683,0.001375361411903316,-0.09474130773680828,0.9261967936502449,0.9261967936502448
main2020,prev_r3,189,1434,0.3427859146151402,-0.07703251779599407,-0.15071590052749828,0.26223551686696844,0.19406067042741051,0.05273658203963312,0.11506163354101773
main2020,prev_r5,189,1434,1.0614772224679658,-0.20424836601306562,0.0,0.24743305504563237,0.09770375629329764,0.04096318169671777,0.10923515119124738
main2020,prev_r20,189,1434,4.70716997648255,-0.18657557524576762,2.0236087689713855,0.26951282646336483,-0.025488889447951496,0.015760056379657834,0.0472801691389735
main2020,prev_bias20,189,1434,1.396865915053569,-0.3449744523311593,0.6382520976262684,0.2757910981483257,0.03970229563194697,0.009286095632846141,0.0318380421697582
main2020,prev_vol20,189,1434,3.693509490100147,2.3569805749028294,3.5668204582920597,0.8226714109492532,0.16424131436030615,1.4553060691975975e-26,3.4927345660742337e-25
main2020,prev_intraday,189,1434,-0.1481481481481417,0.0,0.1948051948051921,-0.04236755375282224,-0.18021601812631516,0.5625432906939591,0.6136835898479555
main2020,prev_clv,189,1431,0.4610778443113775,0.4827586206896556,0.5089414182939345,-0.07426751349163814,-0.12294632890335275,0.3289127963729066,0.43855039516387545
main2020,prev_volume_ratio,189,1434,0.9775020222410487,0.9076360207313385,0.9399940932618392,0.12952826306845963,0.04899451014470202,0.07585549006048076,0.1517109801209615
main2020,prev_market1,189,1434,0.08038270694925576,0.03624132416346626,0.050516135134293094,0.059351456048566606,0.061948638572819924,0.5280437188228547,0.6034785357975482
main2020,prev_market20,189,1434,-0.33540441329011905,0.24532560417327431,0.08679293338653693,-0.034860877082337476,-0.005833330278025898,0.3177747340426589,0.43855039516387545
main2020,prev_relative20,189,1434,3.4950377331405047,-0.8908424647952384,0.6492443089896494,0.30590878936824273,-0.02637252910783969,0.00299361098772815,0.01436933274109512
main2020,today_gap,189,1434,-0.12229922543823823,0.0,0.0,-0.12911244273673353,-0.17480269446607286,0.04992720034221739,0.11506163354101773
main2020,return1450,189,1434,-0.05455537370430141,-0.10701598884148011,0.0,0.11384215960827244,0.061822392413520486,0.4561162255120733,0.5761468111731453
main2020,range1450,189,1434,4.185267857142857,2.8031805425631378,3.8787878787878824,0.5914437564082353,0.07510393449662076,5.45937045449271e-16,6.551244545391252e-15
main2020,clv1450,189,1431,0.5147058823529409,0.4523809523809536,0.47005880665519384,0.11633227917955466,0.10739749714642471,0.138655432710713,0.23769502750407945
main2020,volume_ratio1450,188,1415,0.9819669398255872,0.8962613457926356,0.9542422371265353,0.07793737653120328,-0.023577775549219752,0.1294976876025016,0.23769502750407945
main2020,morning_return,189,1434,0.14336917562725038,0.0,0.0,0.24741291389174885,0.2510190839191471,0.15534037627715225,0.24854460204344359
main2020,afternoon_return,189,1434,-0.09045680687471691,-0.07993686840449543,0.0,-0.00973001454487526,-0.07873090465650161,0.8961461083646247,0.9261967936502448
main2020,tail_return,189,1434,-0.0606060606060721,0.0,0.0,-0.10468488124837325,-0.1961228811451604,0.2188446780750709,0.32826701711260636
main2020,tail_volume_ratio,188,1415,0.8890903618534347,0.8824785783716572,0.8977506138024293,-0.0892195853572372,-0.12226899226672062,0.5106662849012484,0.6034785357975482
main2020,breakout_distance,189,1434,-1.757631822386696,-1.3037373484987291,-1.9129386955866745,-0.3045390049641666,-0.01832371157852378,0.0003959389268697383,0.00237563356121843
main2020,breakdown_distance,189,1434,1.8881626724764011,1.0075024135846489,1.5112922397690687,0.4258430878662898,0.12409085837104829,1.7462425905245538e-07,1.396994072419643e-06
main2020,known_gapdays,189,1434,1.0,1.0,1.0,0.3167102990763703,0.20756171769882725,0.005071677479824004,0.020286709919296014
