model,scope,node,rule,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,good_n,good_pct,bad_pct,recall_pct
case_classifier,ALL_DATA_IN_SAMPLE,2,prev_vol20 <= 2.56433344 AND prev_market20 <= 5.40599442,727,-0.34535205596763363,-0.2913132761131236,24.484181568088033,-39289.353828421845,0.23538902629633784,0.27989624424015846,-10.16030222072976,-2.356562492174406,-40735.44870637982,22,50,7,17,16417.468828423,-0.0712329068305502,-0.3504957579921708,-0.36621057858546174,-0.37926229855453814,-43994.15973804788,15,2.063273727647868,10.31636863823934,7.9787234042553195
case_classifier,ALL_DATA_IN_SAMPLE,3,prev_vol20 <= 2.56433344 AND prev_market20 > 5.40599442,53,-0.24799773477359308,-0.3361012679597751,28.30188679245283,-1566.9305990499336,0.42105932616075564,0.4153538639746813,-1.450918835710791,-1.2878586634976485,-1738.869076499947,10,13,4,8,1147.22059905,0.04672194939985254,-0.2964352156166755,-0.4237676668199897,-0.5188454070353798,-2424.0448578999412,5,9.433962264150944,5.660377358490567,2.6595744680851063
case_classifier,ALL_DATA_IN_SAMPLE,5,prev_vol20 > 2.56433344 AND prev_r1 <= -5.06116557,56,0.3704035767866814,0.4531323667399283,55.35714285714286,5519.699129174216,1.5336077545035822,1.39471516056375,-4.66817809846285,-3.959240790594022,-3463.3108353329603,4,31,5,40,1880.1458708260002,0.5787837088764369,0.20652676411932847,-0.09307494486365155,-0.3578234341176822,-3211.1257826498263,22,39.285714285714285,30.357142857142854,11.702127659574469
case_classifier,ALL_DATA_IN_SAMPLE,6,prev_vol20 > 2.56433344 AND prev_r1 > -5.06116557,763,-0.3296161552740881,-0.3423402522851356,35.38663171690695,-90070.46384697653,0.6143828571240182,0.5976168185204365,-10.213887194477932,-4.604282450751814,-90070.46384697648,10,50,6,10,23687.293846979002,-0.11891756918983662,-0.3429033879898615,-0.37852662131587284,-0.41751826206496334,-108032.98343769654,146,19.134993446920053,32.241153342070774,77.65957446808511
return_regressor,ALL_DATA_IN_SAMPLE,1,prev_r20 <= -16.1565018,78,0.3718299972097938,-0.2207230640188966,44.871794871794876,4331.566004297194,1.6516236949125025,1.3231359754450527,-3.732585366343206,-2.8615090703394923,-4392.716817720903,5,16,5,16,2126.453995703,0.5964832812625988,0.2547936559593875,-0.00599263773730763,-0.1982586139534895,-3733.2296010698324,26,33.333333333333336,24.358974358974358,13.829787234042554
return_regressor,ALL_DATA_IN_SAMPLE,3,prev_r20 > -16.1565018 AND tail_volume_ratio <= 0.432379827,48,0.5402704655121556,0.033966756585170205,50.0,8962.698924287104,2.241805602063246,2.8984041236583877,-4.968700963406322,-3.7432198703943005,-1236.5945859499975,11,31,7,33,1301.6260757129999,0.7811750556214393,0.43267307303779395,0.11923082642807166,-0.2471439442040603,1167.3956783600943,14,29.166666666666668,10.416666666666668,7.446808510638298
return_regressor,ALL_DATA_IN_SAMPLE,4,prev_r20 > -16.1565018 AND tail_volume_ratio > 0.432379827,1473,-0.373323199546838,-0.3043434284903245,29.531568228105908,-138701.31407385838,0.43700076838715673,0.4991672608946976,-10.213887194477932,-3.9199767933200085,-138701.31407385832,22,80,7,6,39704.049073862,-0.1301115927703289,-0.3802312011594008,-0.39706437308310943,-0.41661411119909947,-155993.9438024154,148,10.047522063815343,21.52070604209097,78.72340425531915
