model,variant,window,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,good_n,good_pct,bad_pct,recall_pct
case_classifier,diagnostic,main2022,231,-0.20943188368685295,0.0013025402843724835,50.21645021645021,-11816.671757541462,0.7355216833959526,0.7502978287404396,-8.235700377192982,-5.403694931490797,-13382.04557302147,6,37,5,38,6498.611757542001,0.019057077887676733,-0.2331250254934583,-0.3041775930324969,-0.3777723680512035,-18867.93174160047,52,22.51082251082251,28.13852813852814,
case_classifier,diagnostic,recent2024,101,-0.05996583717241244,0.12406293275863073,54.45544554455446,-6177.685266591693,0.9198469709015206,0.783689588937067,-6.5883444585987085,-4.986567408029835,-10788.465644639895,6,21,3,25,2972.6002665920005,0.1344404417274688,-0.10009254761639777,-0.23852439743610676,-0.396428147222908,-12901.4705964507,28,27.722772277227723,27.722772277227726,
return_regressor,diagnostic,main2022,177,-0.4992734955992906,-0.24471415175196184,39.548022598870055,-16361.84928194664,0.4021083846688105,0.4917292918147278,-9.83232226178813,-5.631801924479381,-16437.158339646638,15,32,5,37,4701.824281947,-0.24841786531757296,-0.5214166460625752,-0.599206880381611,-0.67513092556634,-21438.68918258266,21,11.864406779661017,27.11864406779661,
