model,window,scenario,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,good_n,good_pct,bad_pct,recall_pct
case_classifier,main2020,entry_blocked,3,3.218803834251736,3.5025632776615727,100.0,3350.8898790010076,,,2.371191695722454,2.371191695722454,0.0,0,3,2,3,109.88012099900001,3.4511010593911933,2.9368774866920133,,,,3,100.0,0.0,
case_classifier,main2020,entry_not_blocked,53,0.20917337353394236,0.1508987899899679,52.83018867924528,2168.809250173207,1.2851945380307026,1.155092129367989,-4.66817809846285,-3.959240790594022,-3463.31083533296,4,31,5,39,1770.265749827,0.41619970790390337,0.03274154853476652,-0.2610466134176777,-0.5089752371372115,-5463.46676763484,19,35.84905660377358,32.075471698113205,
case_classifier,old2020_2023,entry_blocked,2,2.9368774866920133,2.9368774866920133,100.0,1319.4277121500008,,,2.371191695722454,2.371191695722454,0.0,0,2,1,2,66.07728785,3.192302790875501,2.371191695722454,,,,2,100.0,0.0,
case_classifier,old2020_2023,entry_not_blocked,14,-0.3144391759603025,0.19040702978037619,57.14285714285714,-1227.211593899976,0.6545868793081548,0.5284804684052216,-4.66817809846285,-4.66817809846285,-1556.5654690999936,2,9,2,11,378.3215939,-0.060369263917827896,-0.5410128494056797,-1.2935520282265223,-2.959736323682399,-2444.471610699987,3,21.428571428571427,28.57142857142857,
case_classifier,recent2024,entry_blocked,1,3.782656529371181,3.782656529371181,100.0,2031.4621668510067,,,3.782656529371181,3.782656529371181,0.0,0,1,1,1,43.80283314900001,3.968697596422577,,,,,1,100.0,0.0,
case_classifier,recent2024,entry_not_blocked,39,0.3971368528395686,0.1508987899899679,51.28205128205128,3396.020844073185,1.5927918307681916,1.2983851852973438,-2.6242498179121085,-2.547747093322108,-3463.3108353329594,3,22,3,28,1391.944155927,0.5872757490706788,0.16065023650663407,-0.2193161461543236,-0.5486600643173726,-4236.255173734865,16,41.02564102564103,33.33333333333333,
return_regressor,main2020,entry_blocked,14,1.9541159547517135,2.8775437885748123,71.42857142857143,8229.166455751038,4.819375668364113,5.197312552341729,-4.968700963406322,-4.968700963406322,-1236.5945859499975,2,11,4,11,442.048544249,2.1773209400168656,1.673867342670525,0.7279518398163991,-1.790713047234864,858.6371303680248,10,71.42857142857143,14.285714285714285,
return_regressor,main2020,entry_not_blocked,34,-0.041901206527662216,-0.11487324071431229,41.17647058823529,733.5324685360661,0.8961664787978155,1.2657152948270776,-4.66817809846285,-3.030688099423823,-1869.3196716999753,11,25,7,25,859.577531464,0.20629145616449893,-0.1328823880223734,-0.32087699130533026,-0.5145757142373555,-1947.0947854189455,4,11.764705882352942,8.823529411764707,
return_regressor,old2020_2023,entry_blocked,7,2.361006149587811,3.150980099185972,71.42857142857143,2828.2622033500134,10.472746252089344,7.169124159636315,-1.5927805493137297,-1.5927805493137297,-458.4544142999948,2,5,1,5,204.06279665,2.615947643278129,1.821615855884587,-0.8723469734803364,,-458.45441429999465,5,71.42857142857143,14.285714285714285,
return_regressor,old2020_2023,entry_not_blocked,22,-0.35538312862613436,-0.24077329672739675,27.27272727272727,-1285.863501549967,0.323299246100991,0.3345801999668403,-4.66817809846285,-3.030688099423823,-1869.3196716999753,11,16,4,17,522.1335015499999,-0.07698849390510981,-0.4289624051317049,-0.6739100111684837,-0.9243964120250588,-1919.5087870999762,1,4.545454545454546,9.090909090909092,
return_regressor,recent2024,entry_blocked,7,1.5472257599156154,2.6041074779636526,71.42857142857143,5400.904252401026,2.9989413073055315,4.595508130353572,-4.968700963406322,-4.968700963406322,-1236.5945859499975,1,6,3,6,237.985747599,1.7386942367556035,1.09279087329517,-2.7090791209893914,,-1502.1254455819894,5,71.42857142857143,14.285714285714285,
return_regressor,recent2024,entry_not_blocked,12,0.5328156506528702,0.44957823813318076,66.66666666666666,2019.395970086033,3.9509497173018993,3.4383358592964517,-1.0156774775951658,-1.0156774775951658,-622.6434367689872,2,9,3,8,337.44402991400005,0.725638031292115,0.3121190931851485,-0.12762099311890118,-0.9905064601330626,-548.7060707189772,3,25.0,8.333333333333332,
