date,exit_date,open,close,next_open,net,cash,gross,stage,dividend,exit0935close,exit0935open,prev_r1,prev_r3,prev_r5,prev_r20,prev_bias20,prev_vol20,prev_intraday,prev_clv,prev_volume_ratio,prev_market1,prev_market20,prev_relative20,today_gap,return1450,range1450,clv1450,volume_ratio1450,morning_return,afternoon_return,tail_return,tail_volume_ratio,breakout_distance,breakdown_distance,known_gapdays,model_valid,entry_blocked_proxy,exit_blocked_proxy
2020-04-13,2020-04-14,13.44,13.15,13.28,0.7064593894181618,92.98304130000167,0.9885931558935246,D,0.0,13.3,13.31,-2.3655913978494536,-3.7455830388692712,-2.5751072961373356,-15.40372670807455,-0.28917603133352676,3.511351411505064,-2.295552367288378,0.27272727272727126,0.6180918129250856,-1.0358598219698756,-4.339149130749953,-11.064577577324597,-1.3215859030836996,-3.524229074889862,2.936857562408226,0.25000000000000333,0.5986826077441528,-1.4880952380952328,-0.7552870090634434,0.381970970206269,0.41284632923199,-2.232142857142849,0.7668711656441785,1.0,True,False,False
2020-07-27,2020-07-28,14.23,14.01,14.15,0.721807279948563,101.2138764000019,0.9992862241256396,R,0.0,14.26,14.25,-5.473965287049398,-8.230719377835394,-4.259634888438146,-7.54801158592665,-9.6074050430897,3.099550155240518,-5.093833780160861,0.09999999999999964,0.7486802892272655,-3.8597758353993816,7.290290934823895,-14.838302520750545,0.4943502824858781,-1.2711864406779627,3.1779661016949228,0.2888888888888899,0.44611825188327486,-1.8271257905832727,0.07158196134573469,-0.14285714285714457,0.3678765530783714,-2.237762237762242,0.9386281588447787,1.0,True,False,False
2020-07-28,2020-07-29,14.15,14.21,14.22,-0.2038791739033975,-28.996489899998327,0.0703729767769223,R,0.0,14.15,14.15,-1.0593220338983023,-8.7890625,-8.371484630477433,-6.724367509986662,-10.27570527394408,3.0823602403118944,-1.5460295151089265,0.355555555555555,0.4499505128395423,0.26459220505308245,8.229243640183782,-14.953611150170442,0.9992862241256395,1.2847965738757905,2.069950035688788,0.37931034482758536,0.37551546182355244,0.35335689045936647,-0.07042253521126751,0.14114326040930436,0.2719964063221609,-1.2526096033402934,0.78125,1.0,True,False,False
2020-07-30,2020-07-31,14.51,14.29,14.28,-0.3435028653250498,-49.12926009999804,-0.0699790062981042,R,0.0,14.53,14.53,2.1111893033075146,2.4717514124293904,-5.533854166666641,-5.90142671854732,-6.519778379074848,3.108576304814878,2.0393811533051975,0.9166666666666649,0.5593345932061459,2.0629652086190386,8.875505166754172,-14.776931885301492,0.0,-1.3783597518952417,1.8607856650585897,0.0740740740740787,0.43133992131260507,-1.2405237767057153,-0.13956734124214165,-0.6249999999999978,0.367096883273988,-1.717032967032972,0.13995801259623075,1.0,True,False,False
2020-08-27,2020-08-28,14.6,14.65,14.56,-0.8848482556368519,-129.74192089999775,-0.6143344709897636,R,0.0,14.52,14.52,-3.644797879390327,-1.7567567567567721,-2.0875420875420603,0.206753962784334,-1.5338773575322318,2.1614484277978905,-3.5809018567639295,0.11290322580644935,0.9600749059536228,-1.299489702046619,1.06802681918432,-0.8612728563999861,0.4126547455295837,0.5502063273727709,1.650618982118296,0.7499999999999981,0.4958729663177424,-0.2054794520547909,0.34317089910775866,0.0684462696783017,0.3984731000133751,-0.4087193460490468,1.2465373961218829,1.0,True,False,False
2021-02-08,2021-02-09,13.15,13.25,13.3,0.0972761074862596,12.900650500000364,0.3773584905660376,R,0.0,13.3,13.29,-2.2928994082840104,-3.576642335766389,-7.557732680195894,-7.233146067415708,-9.542233026329273,2.8049548400310873,-2.2205773501110193,0.08823529411765044,0.4230285184077624,-0.15781045679963412,-2.066472383105933,-5.1666736843097745,-0.4542013626040897,0.2271006813020282,2.4224072672218036,0.3750000000000028,0.3138067231165397,1.520912547528508,-0.8239700374531811,-0.07547169811320531,0.24555983244905016,-1.4880952380952328,0.9146341463414753,1.0,True,False,False
2021-02-18,2021-02-19,14.12,13.96,13.89,-0.7755728910132123,-108.36505569999927,-0.5014326647564515,R,0.0,13.97,13.97,3.083700440528614,6.283118849356484,5.8025621703089225,-7.509881422924947,-2.7936441998130723,2.777032393527935,3.9230199851961522,0.8358208955223863,0.6908281631649245,1.4319177885654844,1.5682595354182371,-9.078140958343184,0.5698005698005604,-0.5698005698005604,4.202279202279201,0.23728813559322137,0.5859176470547687,-1.4164305949008416,0.287356321839094,-0.28571428571427804,0.3953311928718643,-3.1228313671061714,1.013024602026058,1.0,True,False,False
2021-03-17,2021-03-18,13.45,13.55,13.57,-0.1302577400452723,-17.66561479999949,0.1476014760147581,R,0.0,13.55,13.55,1.1261261261261035,-1.4630577907827402,-3.0935251798561048,-1.1013215859031478,-2.306353350739798,1.521176040752783,0.9745127436281864,0.9473684210526331,0.5567201709203335,0.7832814650619024,-4.350106244253826,3.2487846583506785,-0.14847809948033142,0.44543429844097204,1.7817371937639213,0.7499999999999981,0.5199742792837634,0.5947955390334547,0.0,-0.14760147601476925,0.32110540983960306,-0.44150110375276164,1.348314606741563,1.0,True,False,False
2021-03-18,2021-03-19,13.57,13.52,13.52,-0.277667419551396,-37.5740399999968,0.0,D,0.0,13.56,13.56,0.5939123979213035,0.14781966001478075,-1.310997815003645,-3.4900284900285294,-1.551204272169171,1.3479519564575981,0.743494423791824,0.833333333333337,0.5160863446848739,-0.034307846379988405,-5.732751167687344,2.242722677658815,0.14760147601475815,-0.3690036900369065,1.4760147601476092,0.3000000000000009,0.4710739576751495,-0.5895357406042745,0.0741289844329085,-0.07401924500369805,0.3781314911390416,-1.026392961876832,0.44642857142858094,1.0,True,False,False
2021-08-24,2021-08-25,12.15,12.05,12.03,-0.4522376395235185,-54.54558519999905,-0.1659751037344503,C,0.0,12.03,12.04,1.3468013468013407,-1.7142857142857348,-1.8744906275468654,5.892700087950775,2.2201468777858,2.0953406733646904,0.6688963210702115,0.7307692307692295,0.7490115722684054,1.4529749042827333,0.27949142550633965,5.6132086624444355,0.9136212624584861,0.0,1.8272425249169342,0.2727272727272683,0.6238357577641555,-0.9876543209876631,0.08312551953448821,-0.16583747927032544,0.4147486340396673,-1.3114754098360715,0.5008347245408995,1.0,True,False,False
