model,scope,node,rule,training_economic_gate
case_classifier,ALL_DATA_IN_SAMPLE,5,prev_vol20 > 2.56433344 AND prev_r1 <= -5.06116557,False
return_regressor,ALL_DATA_IN_SAMPLE,3,prev_r20 > -16.1565018 AND tail_volume_ratio <= 0.432379827,True
