window,threshold,total,rate_pct,model_valid_good,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,good_n,good_pct,bad_pct,recall_pct
all,0.5,2006,16.899302093718845,292,339,1.7558944088783883,1.2973771435588577,100.0,175463.37532004097,,,0.5006289911102976,0.5254176110251645,0.0,0,83,9,99,10068.15467996,1.9867047222321852,1.7321093178568887,1.64360506014753,1.5797221038423344,157500.85572932096,213,62.83185840707964,0.0,
all,1.0,2006,10.618145563310069,188,213,2.3514374329494654,1.8063146559490453,100.0,152698.47953916065,,,1.001205186027017,1.0300737436731153,0.0,0,68,9,79,6621.55546084,2.5758105874311745,2.316325085113636,2.185442589892969,2.0952538954314797,134735.95994844064,213,100.0,0.0,
all,2.0,2006,4.336989032901296,72,87,3.6533655861072853,3.121864523454016,100.0,93340.06668386224,,,2.037857882429146,2.0537177089499643,0.0,0,44,9,55,2650.6383161380004,3.88203292388813,3.581948265316146,3.311691359400429,3.1470542018920544,75377.54709314223,87,100.0,0.0,
main2020,0.5,1623,18.11460258780037,292,294,1.7459254098986916,1.3136304355848523,100.0,162525.6897626409,,,0.5006289911102976,0.5274606941015716,0.0,0,66,7,76,8925.29023736,1.9692725769616422,1.7184532946623547,1.6411368680565521,1.571113455751012,144563.17017192088,189,64.28571428571429,0.0,
main2020,1.0,1623,11.645101663585953,188,189,2.299972529526502,1.7605005625074903,100.0,141951.51731176063,,,1.001205186027017,1.0308876890208392,0.0,0,55,7,64,5994.8676882400005,2.517298872331724,2.2601040048210823,2.150441806731723,2.053569603371961,123988.99772104062,189,100.0,0.0,
main2020,2.0,1623,4.497843499691928,72,73,3.647783319999276,3.150980099185972,100.0,84696.55590146221,,,2.037857882429146,2.0462453339689337,0.0,0,36,7,44,2275.709098538,3.8664237190404624,3.5624017664694696,3.3422745105599314,3.161624337825701,66734.0363107422,73,100.0,0.0,
old2020_2023,0.5,970,11.649484536082474,111,113,1.4470013491441303,1.059807872463612,100.0,26129.506410350168,,,0.5006471707632026,0.5099482496972515,0.0,0,33,4,37,2782.1435896499997,1.7178418760046401,1.391400782177321,1.2490879996428048,1.1418603746149503,21019.58936615016,60,53.097345132743364,0.0,
old2020_2023,1.0,970,6.185567010309279,59,60,2.082634811555697,1.4723786969541974,100.0,20775.7325546501,,,1.001205186027017,1.0177132518290612,0.0,0,23,4,26,1551.3524453500002,2.349994572869083,1.9878614210833052,1.751789821845054,1.5811710965078984,15665.815510450093,60,100.0,0.0,
old2020_2023,2.0,970,2.1649484536082473,20,21,3.4849967231180137,3.121864523454016,100.0,12467.772618350033,,,2.0436598056584194,2.1136868014188948,0.0,0,12,4,12,564.69238165,3.7539913997530956,3.275533316802575,2.7859551683509025,2.480490665230127,7357.855574150027,21,100.0,0.0,
recent2024,0.5,653,27.71822358346095,181,181,1.9325465086018154,1.4702859289229726,100.0,136396.1833522907,,,0.5006289911102976,0.5588548839181733,0.0,0,33,3,39,6143.146647709999,2.1262431250729197,1.8888647937932408,1.7764517167588745,1.6679219067956443,118433.66376157071,129,71.2707182320442,0.0,
recent2024,1.0,653,19.754977029096477,129,129,2.4010598402105976,1.835116549286531,100.0,121175.78475711052,,,1.007710376469934,1.040507753187061,0.0,0,32,3,38,4443.51524289,2.5951148255701613,2.3432926891642323,2.198397608708067,2.0601718268259965,103213.26516639053,129,100.0,0.0,
recent2024,2.0,653,7.9632465543644715,52,52,3.713524061047477,3.203587110680428,100.0,72228.78328311218,,,2.037857882429146,2.047107176739105,0.0,0,24,3,32,1711.016716888,3.911829078752668,3.5942744313788926,3.318464580151109,3.0601661709427477,54266.26369239217,52,100.0,0.0,
2020,0.5,243,13.991769547325102,32,34,1.2821486912194846,1.0001727551400974,100.0,6523.757507400057,,,0.5006471707632026,0.5047128248618851,0.0,0,10,1,12,870.0524926,1.558041715155903,1.1721781168800425,0.9721959980679151,0.8451290472860397,4123.051696300041,17,50.0,0.0,
2020,1.0,243,6.995884773662551,16,17,1.8572658763416088,1.5490229761978491,100.0,4776.796219700031,,,1.0227697520328591,1.0227697520328591,0.0,0,7,1,9,438.0087803,2.1343657237800753,1.6663963908366424,1.3478456950262014,1.180508790172833,2376.090408600015,17,100.0,0.0,
2020,2.0,243,1.646090534979424,3,4,3.3573523999000963,3.0032847967820477,100.0,2056.867292200009,,,2.5116623616152247,2.5116623616152247,0.0,0,3,1,2,103.30270780000001,3.639533431851321,2.8394106517264404,,,,4,100.0,0.0,
2021,0.5,243,3.7037037037037037,9,9,0.9866257333138173,0.7404209130871403,100.0,1173.9853201000153,,,0.5356501097537549,0.5356501097537549,0.0,0,4,1,7,215.7596799,1.2694631055188064,0.826110041344708,0.6080568870479435,,316.06154460000687,3,33.333333333333336,0.0,
2021,1.0,243,1.2345679012345678,3,3,1.570773778603548,1.3817621942803422,100.0,625.2560774000046,,,1.059807872463612,1.059807872463612,0.0,0,2,1,3,73.37392260000001,1.8530038924346421,1.220785033371977,,,,3,100.0,0.0,
2021,2.0,243,0.411522633744856,1,1,2.27075126906669,2.27075126906669,100.0,265.70239800000166,,,2.27075126906669,2.27075126906669,0.0,0,1,1,1,22.457602,2.566295979469646,,,,,1,100.0,0.0,
2022,0.5,242,5.785123966942149,14,14,0.9930013221741169,0.9674243971289712,100.0,1303.2850577500146,,,0.5143921085705371,0.5143921085705371,0.0,0,7,1,8,275.67994225,1.3073809462602042,0.8968251626736359,0.7784620177584293,0.625612762703091,632.7828659500077,5,35.714285714285715,0.0,
2022,1.0,242,2.0661157024793386,5,5,1.3791720701223549,1.1865914226835432,100.0,654.1870260500065,,,1.001205186027017,1.001205186027017,0.0,0,4,1,5,98.77297395,1.6939974352058094,1.1631422387328507,,,,5,100.0,0.0,
2022,2.0,242,0.4132231404958678,1,1,2.2432913956803717,2.2432913956803717,100.0,228.8224276000021,,,2.2432913956803717,2.2432913956803717,0.0,0,1,1,1,20.8575724,2.5515210991167825,,,,,1,100.0,0.0,
2023,0.5,242,23.140495867768596,56,56,1.7345794078850407,1.2539741011781407,100.0,17128.478525100083,,,0.5057588266280797,0.5226839216433153,0.0,0,12,1,10,1420.6514749,1.9895395084984204,1.6265851271297362,1.368398470282771,1.1666597924541684,12187.13764170008,35,62.5,0.0,
2023,1.0,242,14.462809917355372,35,35,2.336468203117487,1.5813530388184178,100.0,14719.49323150006,,,1.0291648174273078,1.05839491373957,0.0,0,10,1,9,941.1967684999998,2.5910416632728777,2.1794741841083902,1.8142754083990356,1.5322516288176602,9778.152348100055,35,100.0,0.0,
2023,2.0,242,6.198347107438017,15,15,3.682765261408723,3.150980099185972,100.0,9916.38050055002,,,2.0436598056584194,2.0436598056584194,0.0,0,7,1,8,418.07449945,3.9438579059215537,3.3976581479788615,2.789335406398987,2.354276506492059,4975.039617150016,15,100.0,0.0,
2024,0.5,242,25.619834710743802,62,62,2.218583031814763,1.7594290374117953,100.0,30298.663552650152,,,0.5894700688907577,0.6559143584411309,0.0,0,12,1,13,1347.50144735,2.4214454912973973,2.0943752917765583,1.8545562079439704,1.6729285260175997,23076.10425535014,49,79.03225806451613,0.0,
2024,1.0,242,20.24793388429752,49,49,2.5996963983541823,1.9673527208327053,100.0,28109.878218950133,,,1.087625010051832,1.1523746037861111,0.0,0,11,1,12,1072.99678105,2.8026378096321767,2.449788923858534,2.1714245318101346,1.9698784333270463,20887.318921650116,49,100.0,0.0,
2024,2.0,242,9.50413223140496,23,23,3.7624945140569555,3.250442785748469,100.0,18791.074294000064,,,2.0464391249008327,2.212122091305294,0.0,0,10,1,13,499.6457060000001,3.9686463098546914,3.4882781204165765,3.0386072057556084,2.767500707977679,11568.514996700047,23,100.0,0.0,
2025,0.5,243,26.337448559670783,64,64,1.8981116872639299,1.3886367565158086,100.0,49802.16426560828,,,0.5006289911102976,0.5375066739351292,0.0,0,12,1,19,2081.100734392,2.0928007861956393,1.7792939636730227,1.525206564330021,1.316490405190595,33960.65655387425,42,65.625,0.0,
2025,1.0,243,17.28395061728395,42,42,2.509403862257563,1.8297235230859226,100.0,45048.88059772321,,,1.007710376469934,1.0523622840939464,0.0,0,12,1,17,1467.8194022769999,2.7031924610941696,2.3417398522274775,1.9973784196053344,1.7189467534443204,29207.372885989193,42,100.0,0.0,
2025,2.0,243,7.407407407407407,18,18,3.8584141252714965,3.3549199854155036,100.0,30191.860400962065,,,2.037857882429146,2.037857882429146,0.0,0,7,1,10,654.2295990380001,4.054634973490897,3.533401528317403,2.9199610434974357,2.382848518785943,14350.35268922804,18,100.0,0.0,
2026,0.5,168,32.73809523809524,55,55,1.650174947264032,1.3565328971248656,100.0,56295.3555340323,,,0.5015555350301655,0.5547265866330454,0.0,0,9,1,7,2714.5444659680006,1.8323842702043434,1.569286889698529,1.378037305850598,1.2378271894697153,41852.00491617028,38,69.0909090909091,0.0,
2026,1.0,168,22.61904761904762,38,38,2.025174569815644,1.729420838444844,100.0,48017.02594043718,,,1.0216071360922152,1.022995004905761,0.0,0,9,1,9,1902.6990595630002,2.2080651700162917,1.9172568539781971,1.669662934727352,1.4964012528432111,33573.675322575175,38,100.0,0.0,
2026,2.0,168,6.5476190476190474,11,11,3.374038463297446,3.1239632377127906,100.0,23245.848588150056,,,2.057024522887337,2.057024522887337,0.0,0,7,1,9,557.14141185,3.5593470405131584,3.109629304047071,2.542777714880007,2.057024522887337,8802.497970288043,11,100.0,0.0,
