model,scope,kind,value,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,good_n,good_pct,bad_pct,recall_pct,excluded
case_classifier,ALL_DATA_IN_SAMPLE,slip,0.0,56,0.4708159580080808,0.5536357224187809,57.14285714285714,7529.285123999998,1.7236861038736622,1.5760346035862076,-4.572798079476946,-3.8631516156562316,-3086.9793900000004,4.0,31.0,5.0,40.0,1880.714876,0.5787837088764369,0.306775062988025,0.006872962722369082,-0.2581413539672153,-1453.640036000004,22,39.285714285714285,28.57142857142857,,
case_classifier,ALL_DATA_IN_SAMPLE,slip,0.001,56,0.2700914915219441,0.35272939708518564,53.57142857142857,3510.1131343482357,1.3654581787156086,1.2354270631973852,-4.763462853394223,-4.055233987642364,-3893.7611644079516,4.0,31.0,5.0,40.0,1879.576865652,0.5787837088764369,0.10637859760373225,-0.1929230204624984,-0.4574059469695356,-4968.611529299783,22,39.285714285714285,33.92857142857143,,
case_classifier,ALL_DATA_IN_SAMPLE,slip,0.002,56,0.06976760838424154,0.15222401483540327,51.78571428571429,-509.0588553039913,1.083756314288142,0.9698330551256515,-4.953747141413013,-4.24693302269708,-4978.122468840007,4.0,31.0,5.0,40.0,1878.438855304,0.5787837088764369,-0.0936179378685955,-0.3923202733988663,-0.6562728668978635,-8483.5830226,18,32.142857142857146,35.714285714285715,,
case_classifier,ALL_DATA_IN_SAMPLE,exit0935close,0.0,56,0.38461204051751324,0.14278864586886691,50.0,2992.4127485022073,1.5304249523951021,1.203519855218732,-5.145162588553366,-3.926650331544772,-4964.611737538875,4.0,31.0,5.0,40.0,1878.697251498,0.5930561907170515,0.23766408998355007,-0.10000849044483806,-0.3815421115159065,-4800.82948852981,22,39.285714285714285,32.142857142857146,,0.0
case_classifier,ALL_DATA_IN_SAMPLE,exit0935open,0.0,56,0.37278629417835013,0.15695167942455868,50.0,2712.752428612227,1.510009710032875,1.1825159401024257,-5.361973720412687,-3.993080038064877,-5064.497229808861,4.0,31.0,5.0,40.0,1878.4975713880003,0.581207192212639,0.225623330074584,-0.10152607220020869,-0.3904177032827457,-4970.609000307797,23,41.07142857142857,32.142857142857146,,0.0
return_regressor,ALL_DATA_IN_SAMPLE,slip,0.0,48,0.6408609864882516,0.1340507593772805,56.25,10067.994202000002,2.650253411428093,3.349673218308835,-4.873621625338765,-3.646914553445688,-1212.3255,5.0,31.0,7.0,33.0,1302.0057980000001,0.7811750556214393,0.5331559637539979,0.21940013731770294,-0.14734114461974487,2041.9801880000014,14,29.166666666666668,8.333333333333332,,
return_regressor,ALL_DATA_IN_SAMPLE,slip,0.001,48,0.4397804067694049,-0.06601730286178321,47.91666666666667,7857.403646574112,1.907387736353414,2.516055354541733,-5.063685336193252,-3.8394289974924316,-1260.8636718999992,15.0,31.0,7.0,33.0,1301.246353426,0.7811750556214393,0.3322905372658214,0.019161555885956423,-0.34684707006687654,292.8111687200902,14,29.166666666666668,12.5,,
return_regressor,ALL_DATA_IN_SAMPLE,slip,0.002,48,0.2391010745799261,-0.2656861899402554,47.91666666666667,5646.813091148016,1.40679975373505,1.9209010925235221,-5.2533697544654885,-4.031559258009133,-1451.6410804000013,15.0,31.0,7.0,33.0,1300.486908852,0.7811750556214393,0.13182592979161317,-0.1806774630269163,-0.5459548973009614,-1456.357850559998,12,25.0,16.666666666666664,,
return_regressor,ALL_DATA_IN_SAMPLE,exit0935close,0.0,48,0.09944395612279196,-0.20288905842688237,45.83333333333333,4028.6172732501245,1.1309480581652775,1.542340463759203,-5.145162588553366,-4.705123425345249,-3713.6311786499737,9.0,31.0,7.0,33.0,1298.17772675,0.33948575570812434,-0.09406446513243573,-0.3918962848600871,-0.6987816596457964,-2262.8472673228953,15,31.25,25.0,,0.0
return_regressor,ALL_DATA_IN_SAMPLE,exit0935open,0.0,48,0.09942889418477785,-0.20288905842688237,45.83333333333333,4228.437085364112,1.1302983824358106,1.564686816126096,-5.361973720412687,-4.789594812751148,-3723.6060886999744,9.0,31.0,7.0,33.0,1298.2579146360001,0.33946517227212863,-0.09407984753721628,-0.3942302059086,-0.7131450840356947,-2362.683932018904,15,31.25,27.083333333333332,,0.0
case_classifier,diagnostic_best_leaf_WF,slip,0.0,231,-0.1473534800739341,-0.3662250992902471,35.4978354978355,-6905.198987999992,0.811008340740923,0.85066735755802,-5.623461941497058,-3.7113425665828306,-13964.183368000013,9.0,37.0,5.0,38.0,6489.198988,-0.019057077887676546,-0.18182889382888065,-0.28837363669014693,-0.39530447483677483,-19958.177271999997,50,21.645021645021647,31.601731601731604,,
case_classifier,diagnostic_best_leaf_WF,slip,0.001,231,-0.34684599341086314,-0.5652937672957599,32.467532467532465,-18369.454688915313,0.6190362429916224,0.6590630511311657,-5.812027747099212,-3.903728345932677,-22011.813475703515,9.0,37.0,5.0,38.0,6485.334688916,-0.019057077887676546,-0.3812524785919749,-0.4875841265050307,-0.5943010302774729,-30841.231411963352,48,20.77922077922078,37.66233766233766,,
case_classifier,diagnostic_best_leaf_WF,slip,0.002,231,-0.54594041537654,-0.7639652237401119,31.16883116883117,-29833.710389832013,0.4777121252597552,0.5162399969901033,-6.00021725756174,-4.095730203289741,-31416.887199476027,9.0,37.0,5.0,38.0,6481.470389832,-0.019057077887676546,-0.5802781093597137,-0.6863970881015402,-0.7929004847707198,-41724.285551928006,38,16.450216450216452,43.722943722943725,,
case_classifier,diagnostic_best_leaf_WF,exit0935close,0.0,229,-0.12441367216343625,-0.3313613867786997,42.35807860262008,-6080.659157713437,0.8718690328119792,0.8912042510878182,-7.31882114826869,-5.092521389910049,-19287.581353585687,6.0,37.0,5.0,38.0,6420.174157714001,0.10419753017769771,-0.16747596621174554,-0.3151639584211145,-0.4277062196712967,-22002.018826990476,63,27.510917030567686,36.681222707423586,,2.0
case_classifier,diagnostic_best_leaf_WF,exit0935open,0.0,229,-0.12663669942171388,-0.3644967879802782,41.92139737991266,-6290.446291673386,0.8705073752156552,0.8882327727278491,-7.31882114826869,-5.119013856651454,-19217.76219262968,6.0,37.0,5.0,38.0,6420.066291674,0.10196941510206817,-0.16970874358957724,-0.31569227951545403,-0.4281286940361645,-22161.86321481543,64,27.94759825327511,37.117903930131,,2.0
case_classifier,economic_gate_WF,slip,0.0,0,,,,,,,,,,,,,,,,,,,,0,,,,
case_classifier,economic_gate_WF,slip,0.001,0,,,,,,,,,,,,,,,,,,,,0,,,,
case_classifier,economic_gate_WF,slip,0.002,0,,,,,,,,,,,,,,,,,,,,0,,,,
case_classifier,economic_gate_WF,exit0935close,0.0,0,,,,,,,,,,,,,,,,,,,,0,,,,0.0
case_classifier,economic_gate_WF,exit0935open,0.0,0,,,,,,,,,,,,,,,,,,,,0,,,,0.0
return_regressor,diagnostic_best_leaf_WF,slip,0.0,177,0.09773563198961423,-0.19264182514701658,40.11299435028249,3316.4905099999946,1.1850331222435688,1.1476538325306818,-3.778233054506819,-2.8684320583767864,-3681.9975000000004,10.0,32.0,5.0,37.0,4697.50949,0.24841786531757307,0.044353077716196475,-0.097310698747657,-0.19704889060933345,-5041.434334000005,37,20.903954802259886,19.774011299435028,,
return_regressor,diagnostic_best_leaf_WF,slip,0.001,177,-0.10223669190137859,-0.3920572998798361,32.7683615819209,-3972.814516105586,0.8443957176116543,0.8535425959176913,-3.970485157143914,-3.062501731319126,-7157.2028957415905,10.0,32.0,5.0,37.0,4694.764516106,0.24841786531757307,-0.1555124722929978,-0.2968926922212055,-0.39643091752556675,-11988.31708595361,36,20.338983050847457,24.858757062146893,,
return_regressor,diagnostic_best_leaf_WF,slip,0.002,177,-0.3018099936840006,-0.5910749158894381,29.37853107344633,-11262.119542212009,0.6197034766033561,0.6477242282039241,-4.16235360222374,-3.2561841146048045,-14335.59697748402,20.0,32.0,5.0,37.0,4692.019542212,0.24841786531757307,-0.35497921326340004,-0.49607644351377633,-0.5954151020868798,-18954.762007884012,29,16.384180790960453,33.33333333333333,,
return_regressor,diagnostic_best_leaf_WF,exit0935close,0.0,176,0.122490336642838,-0.24183281397842188,42.61363636363637,3507.8431275123717,1.179784160306977,1.1268656848999528,-5.223398551464728,-3.645840785179099,-6368.319006549937,7.0,32.0,5.0,37.0,4682.376872488001,0.3736829425242288,0.06779719930450516,-0.08764600252552542,-0.22032558005969435,-6954.074667179648,45,25.568181818181817,29.545454545454547,,1.0
return_regressor,diagnostic_best_leaf_WF,exit0935open,0.0,176,0.11098853705457304,-0.2677346439969584,42.61363636363637,3038.4146171833827,1.160378804844065,1.107841631972024,-5.10840162880731,-3.7118412702576347,-6198.575620699944,7.0,32.0,5.0,37.0,4682.040382817,0.36215605141842466,0.05622967514716436,-0.09736414578252776,-0.22962195835155386,-7353.58333291965,45,25.568181818181817,30.113636363636363,,1.0
return_regressor,economic_gate_WF,slip,0.0,12,0.353846685297742,-0.14731122735681032,25.0,-676.6192139999982,1.5376853426748702,0.8224602459331016,-2.373666824328639,-2.373666824328639,-2350.2961099999998,4.0,3.0,1.0,2.0,456.61921399999994,0.4435371156005543,-0.4769913600489314,-1.110595364936218,-2.102997645779886,-3783.804694,2,16.666666666666668,33.33333333333333,,
return_regressor,economic_gate_WF,slip,0.001,12,0.15333967239383198,-0.3468171509686012,25.0,-1778.0040552379323,1.1900996548941836,0.616476428093558,-2.568724433071224,-2.568724433071224,-3294.4907209379344,4.0,3.0,1.0,2.0,456.34405523800007,0.4435371156005543,-0.6758385989361467,-1.3081766883879933,-2.2985963340777777,-4517.904109109956,2,16.666666666666668,33.33333333333333,,
return_regressor,economic_gate_WF,slip,0.002,12,-0.0467671660321654,-0.5459249157172941,25.0,-2879.3888964760054,0.9510223104128561,0.47272204083335656,-2.76339270526945,-2.76339270526945,-4361.654527876008,4.0,3.0,1.0,2.0,456.06889647599996,0.4435371156005543,-0.8742889676978423,-1.5053636696333879,-2.493804660203368,-5272.896640220004,2,16.666666666666668,41.66666666666667,,
return_regressor,economic_gate_WF,exit0935close,0.0,12,0.511906634830977,-0.3643828854312525,41.66666666666667,890.248621598066,1.5863967459222263,1.1662163542677628,-3.335336669416381,-3.335336669416381,-2683.8103035689755,2.0,3.0,1.0,2.0,457.86137840200007,0.7023613499838387,-0.2112608819921601,-1.4965196127728984,-3.035538876918122,-5355.96286851496,4,33.333333333333336,41.66666666666667,,0.0
return_regressor,economic_gate_WF,exit0935open,0.0,12,0.4795719420567049,-0.41315539056182116,33.33333333333333,710.4520288660589,1.524630868094791,1.1265917320442385,-3.6312489041018465,-3.6312489041018465,-2843.6270912009813,4.0,3.0,1.0,2.0,457.747971134,0.6699684498675437,-0.24653509229136586,-1.5371539491097594,-3.2011281086400434,-5575.70824486297,4,33.333333333333336,41.66666666666667,,0.0
