date,code,open,high,low,close,preclose,volume,amount,adjustflag,tradestatus,pctChg,signal_close,chain_return_error_pct,action_ratio,stage,stage_v3,ordinal,vr,r3,r5,clv,upper,bias20,decelerate,gap,rt_cash,rt_pct,pt_cash,pt_pct,extra_cash_needed,exit_date,next_open,next_close,dividend_today,dividend,exit0935close,exit0935open,cash,net,fee,gross,price_only,event,calendar_days,model,variant
2022-01-14,sh.601138,11.47,11.48,11.29,11.34,11.55,47841809,543378765.04,3,1,-1.8182,86.23117516665944,1.8181818170148745e-05,1.0,R,R,877,1.885923467731512,-3.428093645484942,-2.8595458368376736,0.1904761904761907,0.0714285714285741,-3.452311293153876,True,-0.6926406926406892,96.90263565000298,0.8448355331299301,-162.96743064999885,-1.4208145653879585,0.0,2022-01-17,11.34,11.42,0.0,0.0,11.46,11.46,-33.12793000000015,-0.2918529720844513,21.78793,0.0,0.0,False,3.0,return_regressor,diagnostic_best_leaf
2022-02-14,sh.601138,11.27,11.3,11.18,11.26,11.33,17463488,195957195.93,3,1,-0.6178,85.62284236125093,2.8773168582740816e-05,1.0,D,D,893,0.5829340917216878,0.3542958370239546,1.9801980198020264,0.4375000000000014,0.0624999999999986,-1.267918609210894,True,-0.5295675198587868,-22.754664949999416,-0.2019047466725768,-42.74467005000123,-0.3792783500443765,22.754664949999416,2022-02-15,11.23,11.24,0.0,0.0,11.26,11.26,-62.91918529999898,-0.5582467661496807,21.6741853,-0.2664298401420906,-0.2664298401420906,False,1.0,return_regressor,diagnostic_best_leaf
2022-02-22,sh.601138,11.34,11.34,11.19,11.27,11.4,21150212,237674229.73,3,1,-1.1404,85.69888396192701,4.912280701407923e-05,1.0,C,R,899,0.9377539898793454,1.1535048802129744,1.2433392539964672,0.9444444444444456,0.0555555555555544,0.3167898627244314,False,-0.5263157894736858,37.134570350001525,0.3274653470017771,-102.79546534999848,-0.9064855850969884,0.0,2022-02-23,11.27,11.34,0.0,0.0,11.31,11.31,-32.985165000000435,-0.2923993693820229,21.715165,0.0,0.0,False,1.0,return_regressor,diagnostic_best_leaf
2022-03-04,sh.601138,11.13,11.17,11.07,11.14,11.2,26259755,291625488.0,3,1,-0.5357,84.71034315313814,1.4285714272754824e-05,1.0,R,R,907,0.8368390404492919,0.2685765443151133,-2.220446049250313e-14,0.3846153846153793,0.3846153846153793,-0.4975124378109541,True,-0.6249999999999867,-42.482135049998405,-0.3816903418688087,-22.4921299499984,-0.2020856239892039,42.482135049998405,2022-03-07,11.08,10.82,0.0,0.0,11.02,11.03,-92.62886059999876,-0.830693039822305,21.518860600000004,-0.5385996409335791,-0.5385996409335791,False,3.0,return_regressor,diagnostic_best_leaf
2022-03-07,sh.601138,11.08,11.09,10.77,10.82,11.14,49534677,536874992.0,3,1,-2.8725,82.27701193150402,3.141831238506754e-05,1.0,R,R,908,1.2045736326091876,-0.2685765443151355,-0.5357142857142949,0.7000000000000053,0.2999999999999946,-1.0437486120364214,True,-0.5385996409335791,227.7565413000011,2.0555644521660748,-291.9835912999989,-2.6352309684115425,0.0,2022-03-08,10.77,10.6,0.0,0.0,10.82,10.78,-81.99141550000007,-0.7570329882387079,21.1964155,-0.4621072088724642,-0.4621072088724642,False,1.0,return_regressor,diagnostic_best_leaf
2022-03-11,sh.601138,10.23,10.33,10.0,10.28,10.35,36551996,370637056.0,3,1,-0.6763,78.17076549499642,2.850241545748755e-05,1.0,D,D,912,0.911226432113927,-4.343807763401131,-7.589285714285721,0.0,0.0476190476190464,-6.802935482418626,False,-1.159420289855062,-80.68498524999738,-0.788709533235556,19.2650402500008,0.1883190640273783,80.68498524999738,2022-03-14,10.15,10.18,0.0,0.0,10.23,10.23,-160.7685262999983,-1.562323861056031,20.5535263,-1.2645914396887117,-1.2645914396887117,False,3.0,return_regressor,diagnostic_best_leaf
2022-03-14,sh.601138,10.15,10.33,10.11,10.18,10.28,17106557,175546316.0,3,1,-0.9728,77.41034948823575,3.7354085606566834e-05,1.0,D,D,913,1.426712150836856,-3.0188679245283123,-7.719928186714542,0.8484848484848464,0.1515151515151536,-6.993576404596036,True,-1.2645914396887117,-60.51322514999724,-0.5961894103448004,-0.5432098500008742,-0.0053518211822746,60.51322514999724,2022-03-15,10.19,9.75,0.0,0.0,10.09,10.08,-20.777304899999493,-0.203893091877513,20.5923049,0.0982318271119719,0.0982318271119719,False,1.0,return_regressor,diagnostic_best_leaf
2022-03-28,sh.601138,10.09,10.26,9.98,10.24,10.22,20872259,211340237.4,3,1,0.1957,77.86659909229216,5.283757344126672e-06,1.0,D,D,923,0.8265633601047333,0.2944062806673475,0.1960784313725705,0.1818181818181855,0.0454545454545443,-2.5553012967200472,True,-1.2720156555773077,-180.4532557500009,-1.7884366278493644,119.39682075000276,1.1833183424182632,180.4532557500009,2022-03-29,10.24,10.08,0.0,0.0,10.19,10.19,-30.884479999997964,-0.30130244937667,20.64448,0.0,0.0,False,1.0,return_regressor,diagnostic_best_leaf
2022-04-01,sh.601138,10.07,10.21,10.02,10.18,10.15,25710266,260120647.1,3,1,0.2956,77.41034948823577,3.34975369483681e-05,1.0,D,D,927,0.5928112294275273,-0.87890625,-2.309913378248329,0.1111111111111089,0.8888888888888911,-1.3029949436017207,True,-0.7881773399014746,-140.39246554999818,-1.394165497020836,79.49759055,0.7894497571996028,140.39246554999818,2022-04-06,10.15,10.2,0.0,0.0,10.24,10.25,-60.716525299999056,-0.5958270396983177,20.5515253,-0.2946954813359492,-0.2946954813359492,False,5.0,return_regressor,diagnostic_best_leaf
2022-04-15,sh.601138,10.04,10.08,9.97,10.04,10.1,13265136,133030005.68,3,1,-0.5941,76.34576707877085,4.0594059405374416e-05,1.0,C,R,935,0.5436571100986086,1.7119838872104776,0.3976143141153132,0.4545454545454472,0.2727272727272683,-0.4042993787594873,False,-0.5940594059405946,-30.27577999999905,-0.3015515936254886,-30.27577999999905,-0.3015515936254886,30.27577999999905,2022-04-18,10.0,9.98,0.0,0.0,9.95,9.95,-70.41580039999862,-0.7006393301981658,20.3958004,-0.3984063745019806,-0.3984063745019806,False,3.0,return_regressor,diagnostic_best_leaf
2022-04-25,sh.601138,9.6,9.66,9.1,9.11,9.72,37458548,352098242.31,3,1,-6.2757,69.27389821589665,2.016460906695272e-05,1.0,D,D,941,1.0524238750149444,-1.718907987866536,-3.1872509960159445,0.2000000000000035,0.5500000000000032,-3.379721669980118,False,-1.2345679012345734,460.8627024500023,4.800653150520857,-518.6475474499996,-5.402578619270829,0.0,2022-04-26,9.17,9.19,0.0,0.0,9.11,9.11,31.328985600000586,0.3435294745888645,19.5310144,0.658616904500553,0.658616904500553,False,1.0,return_regressor,diagnostic_best_leaf
2022-04-27,sh.601138,9.09,9.39,9.09,9.37,9.19,22122775,205728981.71,3,1,1.9587,71.25097983347437,4.929270946774089e-05,1.0,D,D,943,1.3861986539566713,-6.032719836400824,-7.077856420626915,0.3513513513513494,0.6486486486486506,-7.587108451908109,False,-1.088139281828071,-308.50005639999955,-3.393840004400435,251.22008639999865,2.763697320131998,308.50005639999955,2022-04-28,9.31,9.42,0.0,0.0,9.35,9.34,-89.01894559999833,-0.949042171519794,19.6789456,-0.640341515474907,-0.640341515474907,False,1.0,return_regressor,diagnostic_best_leaf
2022-04-28,sh.601138,9.31,9.42,9.27,9.42,9.37,19064750,178394040.4,3,1,0.5336,71.6311878368547,1.792956243551469e-05,1.0,D,D,944,0.9867271361756416,-3.6008230452674983,-4.87309644670052,0.933333333333329,0.066666666666671,-5.363094636905375,False,-0.640341515474907,-138.85764554999795,-1.4914892110633509,81.03241055000022,0.8703803496240625,138.85764554999795,2022-04-29,9.46,9.52,0.0,0.0,9.44,9.45,10.821683100001309,0.1147592745209012,19.7383169,0.424628450106157,0.424628450106157,False,1.0,return_regressor,diagnostic_best_leaf
2022-05-06,sh.601138,9.43,9.45,9.17,9.19,9.6,25253699,234539370.27,3,1,-4.2708,69.88223102130517,3.3333333334439885e-05,1.0,D,D,947,1.392939917932345,2.454642475987168,5.37870472008779,0.5833333333333308,0.4166666666666691,-2.1057461887523887,True,-1.7708333333333326,211.0785162000005,2.2383723881230173,-268.68160619999946,-2.8492216988335044,0.0,2022-05-09,9.19,9.21,0.0,0.0,9.21,9.21,-28.55920499999869,-0.3104367047247339,19.369205,0.0,0.0,False,3.0,return_regressor,diagnostic_best_leaf
