model,year,node,rule,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,good_n,good_pct,bad_pct,recall_pct
case_classifier,2022,2,range1450 <= 4.35417008 AND prev_vol20 <= 2.47448337,344,-0.30703554532860466,-0.2863956706039657,22.093023255813954,-13957.726270499497,0.18599480080614442,0.18694870584863624,-2.5520249325944544,-1.5407686398260223,-13983.036812299508,22,20,2,4,8112.261270500001,-0.0263448629496303,-0.3145509587816522,-0.333774149997052,-0.3501056348225292,-14949.490722299506,4,1.1627906976744187,6.395348837209303,21.05263157894737
case_classifier,2022,3,range1450 <= 4.35417008 AND prev_vol20 > 2.47448337,75,-0.5486429792313783,-0.3863728112953524,30.666666666666664,-6649.0324374998845,0.28152441753486357,0.2565431166870394,-5.966708952003329,-4.116299835902294,-6649.032437499883,9,8,2,4,1925.9574375,-0.27875910588863595,-0.6016726277984847,-0.7049903262535662,-0.8258940001275565,-7782.370175799892,6,8.0,29.333333333333332,31.57894736842105
case_classifier,2022,4,range1450 > 4.35417008,46,-0.07073887550111249,-0.2400007833072858,41.30434782608695,-852.2283345999236,0.8596437267325244,0.7778844186419716,-2.6808151803853426,-2.4358069255874235,-1506.578967099991,6,14,2,17,1190.2383346,0.2003194911691233,-0.13077793004179503,-0.3351639644382132,-0.5502992472058259,-2442.2681975999362,9,19.565217391304348,17.391304347826086,47.36842105263158
case_classifier,2023,2,range1450 <= 4.35417008 AND prev_vol20 <= 2.47448337,577,-0.3375422344316355,-0.3025512214705132,21.49046793760832,-22615.397811749237,0.1715045682348261,0.1730603825570298,-5.261079058846291,-1.6852847577046852,-22700.199499849252,22,32,3,4,12770.42781175,-0.04683829302717905,-0.3420705217640979,-0.3559235738221508,-0.3686792382533525,-23695.117124349246,8,1.3864818024263432,7.452339688041594,33.333333333333336
case_classifier,2023,3,range1450 <= 4.35417008 AND prev_vol20 > 2.47448337,75,-0.5486429792313783,-0.3863728112953524,30.666666666666664,-6649.0324374998845,0.28152441753486357,0.2565431166870394,-5.966708952003329,-4.116299835902294,-6649.032437499883,9,8,2,4,1925.9574375,-0.27875910588863595,-0.6016726277984847,-0.7049903262535662,-0.8258940001275565,-7782.370175799892,6,8.0,29.333333333333332,25.0
case_classifier,2023,4,range1450 > 4.35417008,55,0.0030712614933601384,-0.2038700480563376,47.27272727272727,-538.7516045999164,1.0069519616777145,0.8636100692106983,-2.6808151803853426,-2.4358069255874235,-1506.578967099991,6,19,3,23,1370.0016046,0.2804646246379715,-0.045594429568422135,-0.20637629773561525,-0.3677591555568069,-2128.791467599929,10,18.181818181818183,14.545454545454545,41.666666666666664
case_classifier,2024,2,prev_vol20 <= 3.18161917 AND prev_market20 <= 5.40599442,675,-0.3320194611756504,-0.2892190988569496,24.296296296296298,-27483.899682149087,0.21807685454517792,0.223017935998914,-10.213887194477932,-2.096500870287029,-27891.262761249058,22,41,4,10,14828.77968215,-0.04701714928744675,-0.335840397165051,-0.3468138751138716,-0.35826303076299043,-28623.994938899094,10,1.4814814814814814,9.185185185185185,16.949152542372882
case_classifier,2024,3,prev_vol20 <= 3.18161917 AND prev_market20 > 5.40599442,69,-0.16260367284784996,-0.3098494160407358,30.434782608695656,-1303.6502447499197,0.5821218291633552,0.6098561796133478,-1.450918835710791,-1.203457331721256,-1804.412336699938,10,15,4,11,1565.71524475,0.12627175556188894,-0.1983883043465932,-0.29674871950424975,-0.4092115967151504,-2400.425587749926,9,13.043478260869565,4.3478260869565215,15.254237288135593
case_classifier,2024,5,prev_vol20 > 3.18161917 AND prev_market20 <= 0.367358148,144,-0.13244299286985242,-0.36043851937686067,39.58333333333333,-5468.983539099747,0.8358162715195594,0.7564792332372627,-5.717791951694962,-3.965269578217713,-5893.521140399763,7,13,2,8,3842.8685391,0.11694222656284772,-0.18703535540339525,-0.3339562289956814,-0.4715075501510342,-10410.32442249975,38,26.38888888888889,32.63888888888889,64.40677966101696
case_classifier,2024,6,prev_vol20 > 3.18161917 AND prev_market20 > 0.367358148,59,-0.9102286799024359,-0.6987950534600043,20.33898305084746,-10415.021975149895,0.12690499150707965,0.11768508828604789,-5.966708952003329,-4.865659141598765,-10490.504489299903,13,10,2,9,1647.23697515,-0.6576410576586614,-0.9668048932752789,-1.1118132995570131,-1.2546488139285417,-11576.6145238499,2,3.389830508474576,40.67796610169492,3.389830508474576
case_classifier,2025,2,prev_vol20 <= 3.18147087 AND prev_vol20 <= 2.36832547,666,-0.3222133983232758,-0.3005992857788503,23.123123123123122,-25890.595916699116,0.20689737845070472,0.20268584454500183,-5.261079058846291,-1.6648276309363494,-25923.526722799103,22,39,5,7,14576.7459167,-0.03431322072864984,-0.32611259331183207,-0.33808835189812037,-0.3499448704143293,-27006.930064699118,11,1.6516516516516517,7.807807807807808,10.185185185185185
case_classifier,2025,3,prev_vol20 <= 3.18147087 AND prev_vol20 > 2.36832547,175,-0.4515733782310626,-0.2205152799946575,30.857142857142854,-16105.795585599675,0.40499896910688393,0.3846423412343919,-10.213887194477932,-5.558537711255731,-16616.54330039969,11,22,4,17,3866.5705856000004,-0.22346150288779001,-0.48161841414076434,-0.5681124103972411,-0.6379210067800797,-19698.311829599686,17,9.714285714285714,21.714285714285715,15.74074074074074
case_classifier,2025,5,prev_vol20 > 3.18147087 AND prev_r3 <= 9.7309103,298,-0.3789254833432119,-0.536708980447795,33.22147651006711,-25037.366334299368,0.567689307353129,0.5371999818695831,-6.670425540886715,-4.378877668623785,-25037.366334299357,9,26,3,13,7381.0013343,-0.14980093567159894,-0.40604060230876743,-0.48288299992453204,-0.5524064299512454,-30516.224805449387,58,19.463087248322147,35.90604026845637,53.7037037037037
case_classifier,2025,6,prev_vol20 > 3.18147087 AND prev_r3 > 9.7309103,50,0.38977654997880107,-0.1512947556867312,48.0,3984.08304405012,1.4115784975731915,1.40346990545837,-4.308875072754563,-3.9061180714524757,-4575.864523499973,7,15,2,15,1263.5019559500001,0.6143807405016166,0.197828006628464,-0.24267251026037312,-0.6677944673669771,-2503.8991494998927,22,44.0,38.0,20.37037037037037
case_classifier,2026,2,prev_vol20 <= 2.56433344 AND prev_market20 <= 5.40599442,699,-0.3379352339220879,-0.2913132761131236,23.89127324749642,-31142.107650299004,0.21656186430036964,0.2258808355705523,-10.16030222072976,-2.1261107667460855,-31184.438693448985,22,47,6,15,15245.027650299999,-0.05997820722956639,-0.3432746477441057,-0.35725168129540225,-0.3685096548798784,-33168.13310154902,11,1.5736766809728182,9.298998569384835,7.382550335570469
case_classifier,2026,3,prev_vol20 <= 2.56433344 AND prev_market20 > 5.40599442,53,-0.24799773477359308,-0.3361012679597751,28.30188679245283,-1566.9305990499336,0.42105932616075564,0.4153538639746813,-1.450918835710791,-1.2878586634976485,-1738.869076499947,10,13,4,8,1147.22059905,0.04672194939985254,-0.2964352156166755,-0.4237676668199897,-0.5188454070353798,-2424.0448578999412,5,9.433962264150944,5.660377358490567,3.3557046979865772
case_classifier,2026,5,prev_vol20 > 2.56433344 AND prev_r1 <= -5.06116557,46,0.4172905474820292,0.4531323667399283,56.52173913043478,4109.8286335931525,1.5792532378323798,1.3872187945612924,-4.66817809846285,-3.959240790594022,-3463.3108353329603,4,26,4,33,1376.481366407,0.631963645603174,0.2180385980151613,-0.1535135927787082,-0.4981043704379058,-4107.476268603876,18,39.130434782608695,30.434782608695656,12.080536912751677
case_classifier,2026,6,prev_vol20 > 2.56433344 AND prev_r1 > -5.06116557,632,-0.35296670141923436,-0.35123623722968833,34.01898734177215,-69856.82945221633,0.5921771402334595,0.5496316305965309,-10.213887194477932,-4.756555255450959,-69856.82945221629,10,42,5,9,17044.334452217998,-0.13567022398299058,-0.36904946191933674,-0.4117456384020206,-0.458525521359318,-85448.08870576334,115,18.196202531645568,31.80379746835443,77.18120805369128
return_regressor,2022,2,prev_vol20 <= 3.51903284 AND today_gap <= -0.519480914,54,0.0029254874289254117,-0.1287004783511156,42.592592592592595,-60.03073009991874,1.0110113177668107,0.9699960760193286,-1.4007293352721315,-1.2814974744654888,-958.2103979999354,9,19,2,20,1310.1257301000003,0.2807982826413032,-0.06070895648250042,-0.17456333245522582,-0.2687785175941268,-1191.7252182999262,4,7.407407407407407,7.4074074074074066,21.05263157894737
return_regressor,2022,3,prev_vol20 <= 3.51903284 AND today_gap > -0.519480914,364,-0.32512879838669784,-0.28860344621856693,21.978021978021978,-15741.938276099461,0.19910736995772152,0.20772865572272123,-2.5520249325944544,-1.6354068725252757,-15741.938276099463,21,22,2,2,8660.7332761,-0.04554583870506817,-0.33056666325373396,-0.34988031141857434,-0.3704075295157724,-16816.64332389947,8,2.197802197802198,8.241758241758241,42.10526315789474
return_regressor,2022,4,prev_vol20 > 3.51903284,47,-0.6773092131244367,-0.6700590235472289,31.914893617021278,-5657.018036399923,0.33809275884791423,0.2996331140235871,-5.966708952003329,-4.7615295912512146,-5688.032352099924,7,4,1,2,1257.5980364,-0.4114742803516258,-0.7492293825147421,-1.0060880822355056,-1.2646124338104463,-7184.078168699936,7,14.893617021276595,38.297872340425535,36.8421052631579
