model,year,node,rule,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,good_n,good_pct,bad_pct,recall_pct
return_regressor,2023,2,today_gap <= 0.359716877 AND range1450 <= 3.82157898,514,-0.32032165974934784,-0.29642435789033217,22.37354085603113,-20402.498586799324,0.21611587628447154,0.21446677183772417,-5.966708952003329,-1.824426450687581,-20497.92457784933,20,35,3,8,11519.9785868,-0.03116639750122255,-0.32537248417199116,-0.3408089353052679,-0.3565236650062294,-21505.80907469933,13,2.529182879377432,7.782101167315175,54.166666666666664
return_regressor,2023,3,today_gap <= 0.359716877 AND range1450 > 3.82157898,50,0.12333457310783684,0.12384851904456175,54.0,664.3309107000689,1.3759249270546183,1.268640728949553,-2.3032625308193677,-1.7060202722454407,-904.2998367999678,6,20,3,18,1237.2040893,0.40131232352332885,0.05696280899300709,-0.10321331261630944,-0.2575874740764739,-880.9652567999392,9,18.0,10.0,37.5
return_regressor,2023,5,today_gap > 0.359716877 AND prev_intraday <= 0.550204307,97,-0.4018013313628192,-0.3510186037613625,27.835051546391753,-4976.6260217498475,0.2346823265295004,0.24731421155207167,-3.732585366343206,-2.369493210562122,-5115.942099749861,16,32,3,41,2250.69102175,-0.11741421092687204,-0.43339320542732357,-0.4981590598536126,-0.5607904661502681,-5966.66854864986,2,2.0618556701030926,14.432989690721648,8.333333333333334
return_regressor,2023,6,today_gap > 0.359716877 AND prev_intraday > 0.550204307,46,-0.8323443419414317,-0.6068305165723313,8.695652173913043,-5088.388155999936,0.025269597178674188,0.01848714393062068,-5.261079058846291,-3.4217457682630648,-5088.388155999938,16,24,3,35,1058.513156,-0.5470431100841963,-0.8653670900217659,-0.9577696728137529,-1.0707266385626804,-5182.993767999943,0,0.0,30.434782608695656,0.0
return_regressor,2024,1,prev_r20 <= -16.1565018,40,0.37071895180286163,-0.1490271538743603,47.5,2239.482240150054,1.7552101179980666,1.7854131826663477,-3.732585366343206,-2.8841451687802824,-630.7811722999886,5,7,2,5,891.41775985,0.624786105767301,0.18344854417147907,-0.11711901111190959,-0.42494606609714847,-611.5679213499542,13,32.5,17.5,22.033898305084747
return_regressor,2024,3,prev_r20 > -16.1565018 AND prev_vol20 <= 4.38109159,833,-0.3135225082984231,-0.2920849028237329,25.930372148859544,-33805.16383719885,0.3319680280087897,0.36456987231862104,-10.213887194477932,-2.555980146983223,-34050.079173898775,22,46,4,7,18789.8388372,-0.031597672756125274,-0.32062691986105,-0.34353773719215386,-0.36275377676174686,-38345.804418648855,37,4.441776710684274,11.164465786314526,62.71186440677966
return_regressor,2024,4,prev_r20 > -16.1565018 AND prev_vol20 > 4.38109159,74,-0.8347646144202183,-0.9124652468649729,25.675675675675674,-13105.873844099855,0.23317748880789663,0.22562632781010794,-4.755861337887951,-4.208379644488415,-13105.873844099851,8,7,1,4,2203.3438441,-0.5899398545527952,-0.8889650135691803,-1.0319391999434187,-1.1991659837746131,-15041.887290149865,9,12.162162162162161,48.64864864864865,15.254237288135593
return_regressor,2025,1,prev_r20 <= -16.1565018,57,0.395353830156926,-0.079463532546931,49.122807017543856,3950.84178735009,1.7998975687489813,1.8685059184884334,-3.732585366343206,-2.6421532422358096,-734.7734253499893,5,12,3,12,1240.4782126500002,0.6343634019100823,0.26537327624139284,0.05730947448411987,-0.18669728693195609,438.2328911500821,20,35.08771929824562,21.052631578947366,18.51851851851852
return_regressor,2025,3,prev_r20 > -16.1565018 AND prev_r3 <= 9.7309103,1079,-0.3963284215021051,-0.3104367047247339,25.857275254865613,-70827.44667114825,0.3265355965299182,0.34442654710862336,-10.213887194477932,-3.5003076146906373,-70827.44667114814,22,59,5,7,24523.81667115,-0.13171906235830896,-0.4019666088630622,-0.4220719643975908,-0.44053044640804045,-76300.80576229829,66,6.116774791473587,17.05282669138091,61.111111111111114
return_regressor,2025,4,prev_r20 > -16.1565018 AND prev_r3 > 9.7309103,53,0.34061825416513153,-0.1869714996769144,45.28301886792453,3826.930091250127,1.3700286709585605,1.381483660492273,-4.308875072754563,-3.9061180714524757,-4575.864523499973,7,16,2,16,1323.5249087500001,0.5676631049064335,0.1587983133962817,-0.2574233956230182,-0.6546009005317946,-2661.052102299887,22,41.509433962264154,37.735849056603776,20.37037037037037
return_regressor,2026,1,prev_r20 <= -16.1565018,69,0.37069109135540346,-0.2185907752017896,44.927536231884055,2723.530152731144,1.6920119472740907,1.3104609183179294,-3.732585366343206,-2.599426023859884,-2761.2787144629588,5,15,4,14,1696.959847269,0.6011762216823383,0.23814789750046697,-0.009774874364274919,-0.22156311811960244,-2230.4099672618727,22,31.884057971014492,23.18840579710145,14.765100671140939
return_regressor,2026,3,prev_r20 > -16.1565018 AND breakout_distance <= -2.78006113,238,-0.7123192287644076,-0.4756767878923941,30.252100840336134,-48831.11528210141,0.31687650341404366,0.29964171133261774,-10.213887194477932,-6.16492629610827,-48831.11528210141,10,58,6,65,6424.005282102,-0.4869170162116184,-0.7412414081642885,-0.8470079012728876,-0.9137979171807699,-57080.880569567445,28,11.764705882352942,34.03361344537815,18.79194630872483
return_regressor,2026,4,prev_r20 > -16.1565018 AND breakout_distance > -2.78006113,1123,-0.27541042513349645,-0.2896593659072706,28.495102404274263,-52348.453938601844,0.5005162015329853,0.5977458909562922,-7.757659565589339,-3.158777774186932,-53398.45717336689,21,71,6,9,26692.098938604002,-0.019338082664732813,-0.28438606292251495,-0.30529037087129524,-0.3272964735372909,-67939.71319214889,99,8.815672306322352,16.562778272484415,66.44295302013423
