date,code,open,high,low,close,preclose,volume,amount,adjustflag,tradestatus,pctChg,signal_close,chain_return_error_pct,action_ratio,stage,stage_v3,ordinal,vr,r3,r5,clv,upper,bias20,decelerate,gap,rt_cash,rt_pct,pt_cash,pt_pct,extra_cash_needed,exit_date,next_open,next_close,dividend_today,dividend,exit0935close,exit0935open,cash,net,fee,gross,price_only,event,calendar_days,model,variant
2025-04-09,sh.601138,14.58,16.5,14.58,16.33,15.44,218935510,3439909983.46,3,1,5.7642,137.7761791064182,4.8704663210941135e-05,1.0,D,D,1657,2.5146273184973333,-22.800000000000008,-22.255790533736164,0.0,0.2916666666666676,-23.3118931134676,False,-5.569948186528495,-1783.0504637499962,-12.229427049039757,1716.074991250002,11.770061668381356,1783.0504637499962,2025-04-10,17.9,17.96,0.0,0.0,17.75,17.75,1533.597182850002,9.383628273491086,19.28781715,9.614206981016537,9.614206981016537,False,1.0,return_regressor,economic_gate
2025-04-10,sh.601138,17.9,17.96,17.5,17.96,16.33,253856136,4527281724.73,3,1,9.9816,151.5284860227355,2.8903857941742217e-05,1.0,D,D,1658,2.3692750465520582,-14.278215223097124,-18.43156843156844,0.9114583333333324,0.0885416666666675,-17.976794414586372,False,9.614206981016537,-97.2341253000003,-0.5432074039106163,22.735890300006982,0.1270161469274133,97.2341253000003,2025-04-11,17.65,17.8,0.0,0.0,17.72,17.74,-346.9816890500003,-1.9304473479608948,19.17668905,-1.726057906458811,-1.726057906458811,False,1.0,return_regressor,economic_gate
2025-04-17,sh.601138,17.22,17.65,17.2,17.4,17.5,77822578,1358456920.13,3,1,-0.5714,146.80376708216022,2.8571428578261227e-05,1.0,D,D,1663,1.143325286984987,-1.6853932584269704,7.1647274954072415,0.3978494623655926,0.0645161290322567,-8.271307264912476,True,-1.6000000000000014,-216.26189589999404,-1.255876282810651,143.64815090000596,0.8341936753775027,216.26189589999404,2025-04-18,17.4,17.56,0.0,0.0,17.44,17.4,-36.443650000001455,-0.209279393074329,19.04365,0.0,0.0,False,1.0,return_regressor,economic_gate
2025-04-18,sh.601138,17.4,17.65,17.35,17.56,17.4,54420200,952948033.33,3,1,0.9195,148.15368677946745,4.0229885051923375e-05,1.0,D,D,1664,0.7564892413935289,-2.901785714285732,-3.118040089086871,0.4444444444444436,0.5555555555555565,-7.921892363867311,False,0.0,-196.52525079999228,-1.1294554643677717,123.39479080000407,0.7091654643678394,196.52525079999228,2025-04-21,17.55,17.81,0.0,0.0,17.5,17.5,-46.67671254999666,-0.2656016287920884,19.121712550000005,-0.0569476082004416,-0.0569476082004416,False,3.0,return_regressor,economic_gate
2025-11-25,sh.601138,56.36,58.34,56.16,56.61,55.94,226214444,12916587347.77,3,1,1.1977,486.9835308035797,1.1834107972896746e-05,1.0,R,R,1811,1.875225307177588,-14.01782969566554,-13.858946720049282,0.1861111111111107,0.1111111111111107,-19.79698342604805,False,0.7508044333214281,-351.0767661749933,-0.6229183218151051,148.7983326750067,0.2640140750088834,351.0767661749933,2025-11-26,55.31,58.93,0.0,0.0,55.16,55.14,-1399.8744350099992,-2.4712443687321075,43.914435010000005,-2.296414061119933,-2.296414061119933,False,1.0,return_regressor,economic_gate
2025-11-26,sh.601138,55.31,61.1,55.02,58.93,56.61,281284286,16345298898.56,3,1,4.0982,506.9411671127884,1.5862921738829527e-05,1.0,R,R,1812,1.2692935837811932,-14.14922656960873,-12.53090234857851,0.2064220183486245,0.7935779816513755,-17.812395650343348,False,-2.296414061119933,-3721.371931673988,-6.728208157067416,3516.819499674005,6.358379135190751,3721.371931673988,2025-11-27,60.02,60.27,0.0,0.0,62.28,62.22,983.2347542430088,1.667402871945061,47.29024575700001,1.8496521296453403,1.8496521296453403,False,1.0,return_regressor,economic_gate
2025-11-27,sh.601138,60.02,63.45,59.91,60.27,58.93,275887464,17029728372.61,3,1,2.2739,518.4684225672452,1.5730527740398514e-05,1.0,R,R,1813,1.542760919939036,-2.8679742871270952,-9.422071933599764,0.6430921052631575,0.3569078947368425,-13.0640033635512,False,1.8496521296453403,-357.6301791749895,-0.5958516813978499,142.2449196750032,0.2369958675025044,357.6301791749895,2025-11-28,60.24,60.72,0.0,0.0,59.72,59.74,-137.88209618099012,-0.2286264384628145,47.627096181000006,-0.049776007964164,-0.049776007964164,False,1.0,return_regressor,economic_gate
2025-11-28,sh.601138,60.24,60.76,59.02,60.72,60.27,166778785,10007823545.25,3,1,0.7466,522.3395158168761,4.011946241611053e-05,1.0,R,R,1814,1.498776777970677,7.740436181623167,-8.59872611464968,0.1016949152542389,0.8983050847457611,-9.910987212352651,True,-0.049776007964164,-588.1725588959887,-0.9763820698804592,371.5876308960113,0.6168453368127678,588.1725588959887,2025-12-01,60.03,59.81,0.0,0.0,58.8,58.62,-797.9320926629928,-1.3132697323990794,47.557092663,-1.1363636363636354,-1.1363636363636354,False,3.0,return_regressor,economic_gate
2025-12-02,sh.601138,59.83,62.7,59.72,60.96,59.81,209127721,12795589249.57,3,1,1.9228,524.4040988833459,4.460792510707634e-05,1.0,R,R,1816,1.013265213293287,1.4932971321907296,6.918126564175897,0.8190045248868786,0.0814479638009048,-8.801890748294127,True,0.0334392242099967,-1237.8579906509894,-2.068958700737071,1021.5774561510104,1.7074669165151437,1237.8579906509894,2025-12-03,61.0,61.68,0.0,0.0,61.8,61.85,-69.19773109199593,-0.1134401159076019,48.217731092,0.0656167979002697,0.0656167979002697,False,1.0,return_regressor,economic_gate
2025-12-03,sh.601138,61.0,62.77,61.0,61.68,60.96,186593118,11572935737.26,3,1,1.1811,530.5978480827555,2.362204722272665e-06,1.0,R,R,1817,1.1470587028439998,1.144848183175684,7.684154742978255,0.4161073825503357,0.5838926174496644,-6.15185664141883,False,0.0656167979002697,-789.6624714359965,-1.294528641698355,569.9977974360035,0.9344226187475466,789.6624714359965,2025-12-04,60.88,61.4,0.0,0.0,62.68,62.77,-909.5250621599916,-1.473635485178249,48.24506216,-1.2970168612191912,-1.2970168612191912,False,1.0,return_regressor,economic_gate
2025-12-04,sh.601138,60.88,62.96,59.68,61.4,61.68,157077468,9625767960.78,3,1,-0.454,528.1891678385407,4.409857328308009e-05,1.0,D,D,1818,1.018056736643665,1.5810276679841806,4.666553538096019,0.3841807909604511,0.6158192090395489,-4.041818351535542,True,-1.2970168612191912,-629.3443298039922,-1.0337456140013013,410.3958758040006,0.6741062348948762,629.3443298039922,2025-12-05,61.99,61.12,0.0,0.0,61.4,61.34,479.3846343930076,0.7802531014630156,48.920365607,0.9609120521172798,0.9609120521172798,False,1.0,return_regressor,economic_gate
2025-12-05,sh.601138,61.99,62.26,60.0,61.12,61.4,130559029,7989114088.04,3,1,-0.456,525.7804875943259,2.6058631919789743e-05,1.0,D,D,1819,0.8606355336127629,2.6584183246948445,1.8748962999833865,0.5243902439024385,0.4756097560975615,-3.363394557501931,True,0.9609120521172798,759.5653667490143,1.2253030597661143,-979.9999772490004,-1.5809001084836267,0.0,2025-12-08,60.75,63.41,0.0,0.0,60.59,60.59,-479.0147373989977,-0.7832227518139406,48.079737399,-0.6053664921465973,-0.6053664921465973,False,3.0,return_regressor,economic_gate
