model,window,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,good_n,good_pct,bad_pct,recall_pct,ci_low,ci_high,increment,inc_low,inc_high,p_mean,p_inc
case_classifier,main2020,56,0.3704035767866814,0.4531323667399283,55.35714285714286,5519.699129174216,1.5336077545035822,1.39471516056375,-4.66817809846285,-3.959240790594022,-3463.3108353329603,4,31,5,40,1880.1458708260002,0.5787837088764369,0.20652676411932847,-0.09307494486365155,-0.3578234341176822,-3211.1257826498263,22,39.285714285714285,30.357142857142854,11.702127659574469,-0.2545099788226403,1.0444164928040554,0.6799528893605058,0.08525307174037139,1.3215758497787828,0.13493253373313344,0.018490754622688656
case_classifier,old2020_2023,16,0.09197540687123697,0.5287752826199495,62.5,92.21611825002495,1.1154691172389575,1.0354312989698535,-4.66817809846285,-4.66817809846285,-1074.9290100999965,2,9,2,12,444.39888175,0.34621474293133814,-0.13539711784811884,-0.9218939058016864,-2.1240982655913356,-2176.805123199987,5,31.25,25.0,8.474576271186441,-1.1685774436506253,1.0690400365707668,0.41804944230147245,-0.8112261839380227,1.3647344383808415,0.4472763618190905,0.21839080459770116
case_classifier,recent2024,40,0.48177484475285903,0.3607101190892441,52.5,5427.48301092419,1.7375670801357668,1.476875908090834,-2.6242498179121085,-2.547747093322108,-3463.3108353329603,3,22,3,28,1435.746989076,0.6718112952544762,0.2535221927339302,-0.15705915433641984,-0.4823537043644607,-3303.341900899853,17,42.5,32.5,13.178294573643411,-0.21505717588298434,1.3972225444206174,0.7672605056095132,0.08794242895604194,1.6264118757021069,0.14292853573213393,0.03798100949525238
return_regressor,main2020,48,0.5402704655121556,0.033966756585170205,50.0,8962.698924287104,2.241805602063246,2.8984041236583877,-4.968700963406322,-3.7432198703943005,-1236.5945859499975,11,31,7,33,1301.6260757129999,0.7811750556214393,0.43267307303779395,0.11923082642807166,-0.2471439442040603,1167.3956783600943,14,29.166666666666668,10.416666666666668,7.446808510638298,0.005750922415185407,1.1453143957229817,0.84981977808598,0.3302174743332103,1.436498348002323,0.038980509745127435,0.0024987506246876563
return_regressor,old2020_2023,29,0.3002970419772317,-0.151913397646943,37.93103448275862,1542.3987018000464,1.6548598224566309,1.6451219297051702,-4.66817809846285,-3.1304793238882898,-1074.9290100999965,11,18,4,20,726.1962982,0.5730305736908443,0.1111166537690202,-0.3984634490306512,-0.6947981124644682,-1744.3179158499613,6,20.689655172413794,10.344827586206897,10.169491525423728,-0.267267925370119,1.110524206280555,0.6263710774074672,0.0693884615706691,1.4238606518274615,0.1839080459770115,0.04547726136931534
return_regressor,recent2024,19,0.9065456909075658,0.5961247117435327,68.42105263157895,7420.300222487058,3.270892147124413,4.184252380488724,-4.968700963406322,-4.968700963406322,-1236.5945859499975,2,13,3,13,575.4297775130001,1.0988692648839264,0.7194740582003034,0.012260921212952509,-0.701278354867899,-70.88799938995646,8,42.10526315789474,10.526315789473683,6.2015503875969,-0.05257835628845408,1.8323316053541538,1.1920313517642198,0.2639494959534052,2.067658562913139,0.02798600699650175,0.00399800099950025
