date,cash,hold_cash,shares,receivable,hold_receivable,tax_reserve,fee,tax,payment,hold_payment,deposit,external,equity,hold_equity,relative,pool_ex_external,relative_cash_pool
2020-01-02,0.0,0.0,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36760.0,36760.0,0.0,0.0,0.0
2020-01-03,18174.573901279997,0.0,1000,0,0,0.0,23.56209872,0.0,0.0,0.0,0.0,0.0,36394.57390128,36440.0,-45.42609872000321,18174.573901279997,18174.573901279997
2020-01-06,137.6012690399948,0.0,2000,0,0,0.0,5.36063224,0.0,0.0,0.0,0.0,0.0,35937.601269039995,35800.0,137.6012690399948,137.6012690399948,137.6012690399948
2020-01-07,137.6012690399948,0.0,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35857.601269039995,35720.0,137.6012690399948,137.6012690399948,137.6012690399948
2020-01-08,137.6012690399948,0.0,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35177.601269039995,35040.0,137.6012690399948,137.6012690399948,137.6012690399948
2020-01-09,137.6012690399948,0.0,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36737.601269039995,36600.0,137.6012690399948,137.6012690399948,137.6012690399948
2020-01-10,18122.596737759995,0.0,1000,0,0,0.0,23.368531280000003,0.0,0.0,0.0,0.0,0.0,36152.596737759995,36060.0,92.59673775999545,18122.596737759995,18122.596737759995
2020-01-13,75.61190527999133,0.0,2000,0,0,0.0,5.36083248,0.0,0.0,0.0,0.0,0.0,37295.61190527999,37220.0,75.61190527999133,75.61190527999133,75.61190527999133
2020-01-14,18419.80861463999,0.0,1000,0,0,0.0,23.735290640000002,0.0,0.0,0.0,0.0,0.0,36809.80861463999,36780.0,29.808614639987354,18419.80861463999,18419.80861463999
2020-01-15,42.42117423998934,0.0,2000,0,0,0.0,5.3674404000000004,0.0,0.0,0.0,0.0,0.0,37442.42117423999,37400.0,42.42117423999298,42.42117423998934,42.42117423998934
2020-01-16,18406.57350807999,0.0,1000,0,0,0.0,23.75566616,0.0,0.0,0.0,0.0,0.0,36816.57350807999,36820.0,-3.4264919200068107,18406.57350807999,18406.57350807999
2020-01-17,0.0,30.88713376001033,2000,0,0,0.0,5.36864184,0.0,0.0,0.0,30.88713376001033,30.88713376001033,37980.0,38010.887133760014,-30.887133760013967,-30.88713376001033,-30.88713376001033
2020-01-20,0.0,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,38680.0,38710.887133760014,-30.887133760013967,-30.88713376001033,-30.88713376001033
2020-01-21,0.0,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,38180.0,38210.887133760014,-30.887133760013967,-30.88713376001033,-30.88713376001033
2020-01-22,0.0,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,41700.0,41730.887133760014,-30.887133760013967,-30.88713376001033,-30.88713376001033
2020-01-23,0.0,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,40000.0,40030.887133760014,-30.887133760013967,-30.88713376001033,-30.88713376001033
2020-02-03,0.0,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,36000.0,36030.887133760014,-30.887133760013967,-30.88713376001033,-30.88713376001033
2020-02-04,0.0,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,36040.0,36070.887133760014,-30.887133760013967,-30.88713376001033,-30.88713376001033
2020-02-05,0.0,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,37380.0,37410.887133760014,-30.887133760013967,-30.88713376001033,-30.88713376001033
2020-02-06,0.0,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,37840.0,37870.887133760014,-30.887133760013967,-30.88713376001033,-30.88713376001033
2020-02-07,0.0,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,38600.0,38630.887133760014,-30.887133760013967,-30.88713376001033,-30.88713376001033
2020-02-10,0.0,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,37820.0,37850.887133760014,-30.887133760013967,-30.88713376001033,-30.88713376001033
2020-02-11,0.0,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,38460.0,38490.887133760014,-30.887133760013967,-30.88713376001033,-30.88713376001033
2020-02-12,0.0,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,38300.0,38330.887133760014,-30.887133760013967,-30.88713376001033,-30.88713376001033
2020-02-13,18374.130146080002,30.88713376001033,1000,0,0,0.0,23.76585392,0.0,0.0,0.0,0.0,30.88713376001033,36794.13014608,36870.887133760014,-76.75698768001166,18343.243012319992,18343.243012319992
2020-02-14,86.85250784000164,30.88713376001033,2000,0,0,0.0,5.36563824,0.0,0.0,0.0,0.0,30.88713376001033,36786.85250784,36730.887133760014,55.96537407998403,55.96537407999131,55.96537407999131
2020-02-17,86.85250784000164,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,38466.85250784,38410.887133760014,55.96537407998403,55.96537407999131,55.96537407999131
2020-02-18,86.85250784000164,30.88713376001033,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.88713376001033,37786.85250784,37730.887133760014,55.96537407998403,55.96537407999131,55.96537407999131
2020-02-19,18530.827339600004,30.88713376001033,1000,0,0,0.0,23.837168240000004,0.0,0.0,0.0,0.0,30.88713376001033,37020.8273396,37010.887133760014,9.940205839986447,18499.940205839994,18499.940205839994
2020-02-20,0.0,117.74004032000812,2000,0,0,0.0,5.37224616,0.0,0.0,0.0,86.85290655999779,117.74004032000812,37620.0,37737.74004032001,-117.74004032000812,-117.74004032000812,-117.74004032000812
2020-02-21,0.0,117.74004032000812,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,117.74004032000812,39200.0,39317.74004032001,-117.74004032000812,-117.74004032000812,-117.74004032000812
2020-02-24,0.0,117.74004032000812,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,117.74004032000812,40280.0,40397.74004032001,-117.74004032000812,-117.74004032000812,-117.74004032000812
2020-02-25,0.0,117.74004032000812,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,117.74004032000812,39920.0,40037.74004032001,-117.74004032000812,-117.74004032000812,-117.74004032000812
2020-02-26,0.0,117.74004032000812,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,117.74004032000812,37420.0,37537.74004032001,-117.74004032000812,-117.74004032000812,-117.74004032000812
2020-02-27,0.0,117.74004032000812,2000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,117.74004032000812,37800.0,37917.74004032001,-117.74004032000812,-117.74004032000812,-117.74004032000812
2020-02-28,17037.10330592,117.74004032000812,1000,0,0,0.0,22.40069408,0.0,0.0,0.0,0.0,117.74004032000812,34117.10330592,34277.74004032001,-160.63673440001003,16919.363265599994,16919.363265599994
