date,minimum_old_shares,outstanding_before,bought_today
2024-09-27,1000,0,0
2024-09-30,2000,0,1
2024-10-08,2000,1,0
2024-10-09,3000,0,2
2024-10-15,1000,0,0
2024-10-21,1000,0,0
2024-11-08,1000,0,0
2024-11-12,1000,0,0
2024-11-20,1000,0,0
2024-11-28,1000,0,0
2024-12-06,1000,0,0
2024-12-09,2000,0,1
2024-12-20,1000,0,0
2024-12-25,1000,0,0
2024-12-27,1000,0,0
2025-01-08,1000,0,0
2025-01-15,1000,0,0
2025-01-17,1000,0,0
2025-01-23,1000,0,0
2025-01-27,1000,0,0
2025-02-07,1000,0,0
2025-02-11,1000,0,0
2025-02-13,1000,0,0
2025-02-24,1000,0,0
2025-03-05,1000,0,0
2025-03-11,1000,0,0
2025-03-17,1000,0,0
2025-03-25,1000,0,0
2025-04-10,1000,0,0
2025-04-11,2000,0,1
2025-04-22,1000,0,0
2025-04-23,2000,0,1
2025-04-30,1000,0,0
2025-05-07,1000,0,0
2025-05-13,1000,0,0
2025-05-19,1000,0,0
2025-05-30,1000,0,0
2025-06-05,1000,0,0
2025-06-06,2000,0,1
2025-06-19,1000,0,0
2025-06-26,1000,0,0
2025-07-04,1000,0,0
2025-07-09,1000,0,0
2025-07-16,1000,0,0
2025-07-18,1000,0,0
2025-07-29,1000,0,0
2025-07-30,2000,0,1
2025-08-05,1000,0,0
2025-08-06,2000,0,1
2025-08-13,1000,0,0
2025-08-14,2000,0,1
2025-08-20,1000,0,0
2025-08-26,1000,0,0
2025-08-29,1000,0,0
2025-09-01,2000,0,1
2025-09-11,1000,0,0
2025-09-12,2000,0,1
2025-09-23,1000,0,0
2025-10-16,1000,0,0
2025-10-22,1000,0,0
2025-10-27,1000,0,0
2025-10-28,2000,0,1
2025-10-30,1000,0,0
2025-11-04,1000,0,0
2025-11-06,1000,0,0
2025-11-07,2000,0,1
2025-11-11,1000,0,0
2025-12-01,1000,0,0
2025-12-02,2000,0,1
2025-12-10,1000,0,0
2025-12-18,1000,0,0
2025-12-24,1000,0,0
2026-01-12,1000,0,0
2026-01-16,1000,0,0
2026-01-22,1000,0,0
2026-01-23,2000,0,1
2026-02-02,1000,0,0
2026-02-26,1000,0,0
2026-03-10,1000,0,0
2026-03-11,2000,0,1
2026-03-17,1000,0,0
2026-03-19,1000,0,0
2026-03-25,1000,0,0
2026-03-31,1000,0,0
2026-04-02,1000,0,0
2026-04-09,1000,0,0
2026-04-15,1000,0,0
2026-04-20,1000,0,0
2026-04-22,1000,0,0
2026-04-23,2000,0,1
2026-05-12,1000,0,0
2026-05-14,1000,0,0
2026-05-20,1000,0,0
2026-05-21,2000,0,1
2026-05-25,1000,0,0
2026-05-26,2000,0,1
2026-05-29,1000,0,0
2026-06-03,1000,0,0
2026-06-10,1000,0,0
2026-06-16,1000,0,0
2026-06-18,1000,0,0
2026-06-23,1000,0,0
2026-06-25,1000,0,0
2026-07-10,1000,0,0
2026-07-15,1000,0,0
2026-07-22,1000,0,0
2026-07-28,1000,0,0
2026-08-05,1000,0,0
2026-08-06,2000,0,1
2026-08-17,1000,0,0
2026-08-18,2000,0,1
2026-08-27,1000,0,0
2026-09-01,1000,0,0
2026-09-08,1000,0,0
