scenario,event,n,increment,remaining
S1_F1_open_5_all,72,1,238.54719889999978,1522.8255679028152
S1_F1_open_5_all,73,5,-48.31596279998848,1809.6887296028035
S1_F1_open_5_all,74,7,-3995.9535757999874,5757.3263426028025
S1_F1_open_5_all,75,2,831.9032296500118,929.4695371528032
S1_F1_open_5_all,76,1,353.73000200000024,1407.6427648028148
S1_F1_open_5_all,77,1,-43.206537499998376,1804.5793043028134
S1_F1_open_5_all,78,2,-588.2334199999932,2349.606186802808
S1_F1_open_5_all,79,3,-202.39086284999212,1963.7636296528071
S1_F1_open_5_all,80,8,310.46945075002077,1450.9033160527943
S1_F1_open_5_all,81,1,364.9357045500001,1396.437062252815
S1_F1_open_5_all,82,3,-346.4339560999979,2107.806722902813
S1_F1_open_5_all,83,1,38.87072790000093,1722.502038902814
S1_F1_open_5_all,84,2,-364.4941614499985,2125.8669282528135
S1_F1_open_5_all,85,6,-1359.0405931499809,3120.413359952796
S1_F1_open_5_all,86,3,-160.90145019999545,1922.2742170028105
S1_F1_open_5_all,87,2,-183.65253799999846,1945.0253048028135
S1_F1_open_5_all,88,4,-278.4747378999891,2039.8475047028041
S1_F1_open_5_all,89,10,-2318.4926678839693,4079.8654346867843
S1_F1_open_5_all,90,2,1844.780556762009,-83.4077899591939
S1_F1_open_5_all,91,1,1944.4398499890085,-183.06708318619349
S1_F1_open_5_all,92,9,5180.595626691065,-3419.2228598882502
S1_F1_open_5_all,93,2,-276.28345186199294,2037.656218664808
S1_F1_open_5_all,94,1,1084.0128017399911,677.3599650628239
S1_F1_open_5_all,95,2,-1391.7448840589932,3153.117650861808
S1_F1_open_5_all,96,4,1171.2784710870183,590.0942957157968
S1_F1_open_5_all,97,1,-720.0980170739931,2481.470783876808
S1_F1_open_5_all,98,1,1547.3026574550095,214.07010934780556
S1_F1_open_5_all,99,12,-3255.5397160349457,5016.912482837761
S1_F1_open_5_all,100,13,1438.595201097094,322.7775657057209
S1_F1_open_5_all,101,4,515.3456797920298,1246.0270870107852
S1_F1_open_5_all,102,2,-130.0350796009734,1891.4078464037884
S1_F1_open_5_all,103,2,2260.993956701044,-499.6211898982292
S1_F1_open_5_all,104,3,547.5946182030093,1213.7781485998057
S1_F1_open_5_1000,0,1,-157.54321109999728,11428.950468545678
S1_F1_open_5_1000,1,5,1949.079106900008,9322.328150545673
S1_F1_open_5_1000,2,4,426.7480562000019,10844.659201245679
S1_F1_open_5_1000,3,1,246.41747289999876,11024.989784545682
S1_F1_open_5_1000,4,1,102.43757640000149,11168.969681045679
S1_F1_open_5_1000,5,1,-428.67422389999774,11700.081481345678
S1_F1_open_5_1000,6,6,-143.26990909999404,11414.677166545674
S1_F1_open_5_1000,7,3,-184.08419569999387,11455.491453145674
S1_F1_open_5_1000,8,7,-720.7323172999913,11992.139574745672
S1_F1_open_5_1000,9,1,-29.139254899999287,11300.54651234568
S1_F1_open_5_1000,10,2,78.18437660000563,11193.222880845675
S1_F1_open_5_1000,11,5,-334.9180913999935,11606.325348845674
S1_F1_open_5_1000,12,1,91.65736630000356,11179.749891145677
S1_F1_open_5_1000,13,5,-410.10568219999186,11681.512939645672
S1_F1_open_5_1000,14,1,-19.11365979999937,11290.52091724568
S1_F1_open_5_1000,15,11,-564.9512063999791,11836.35846384566
S1_F1_open_5_1000,16,6,172.0104390000124,11099.396818445668
S1_F1_open_5_1000,17,1,-57.645625199998904,11329.05288264568
S1_F1_open_5_1000,18,2,-48.57923469999696,11319.986492145677
S1_F1_open_5_1000,19,9,-336.0656749999853,11607.472932445666
S1_F1_open_5_1000,20,2,-31.17064959999516,11302.577907045676
S1_F1_open_5_1000,21,1,5.07771540000067,11266.32954204568
S1_F1_open_5_1000,22,2,-57.33159489999707,11328.738852345678
S1_F1_open_5_1000,23,1,-124.10729539999738,11395.514552845678
S1_F1_open_5_1000,24,3,-102.7081749999943,11374.115432445675
S1_F1_open_5_1000,25,2,-168.87763099999756,11440.284888445678
S1_F1_open_5_1000,26,9,-425.1888611999839,11696.596118645664
S1_F1_open_5_1000,27,3,-69.95964469999853,11341.366902145679
S1_F1_open_5_1000,28,1,-34.433209999999235,11305.84046744568
S1_F1_open_5_1000,29,1,-24.550379899998006,11295.957637345678
S1_F1_open_5_1000,30,2,-26.23505959999966,11297.64231704568
S1_F1_open_5_1000,31,4,18.361686500005817,11253.045570945675
S1_F1_open_5_1000,32,7,-174.86527959999512,11446.272537045676
S1_F1_open_5_1000,33,1,-69.13824309999836,11340.545500545679
S1_F1_open_5_1000,34,1,61.0222104500026,11210.385046995678
S1_F1_open_5_1000,35,3,-46.565989799995805,11317.973247245676
S1_F1_open_5_1000,36,4,-148.61424014999648,11420.021497595677
S1_F1_open_5_1000,37,8,-346.6375200499897,11618.04477749567
S1_F1_open_5_1000,38,1,-19.05897994999941,11290.46623739568
S1_F1_open_5_1000,39,1,-137.34302054999898,11408.75027799568
S1_F1_open_5_1000,40,2,-104.05407524999646,11375.461332695677
S1_F1_open_5_1000,41,3,-63.082454899997174,11334.489712345678
S1_F1_open_5_1000,42,4,-135.53950009999608,11406.946757545677
S1_F1_open_5_1000,43,1,-128.99391049999758,11400.401167945678
S1_F1_open_5_1000,44,1,-49.195450100000016,11320.60270754568
S1_F1_open_5_1000,45,1,20.73927524999999,11250.66798219568
S1_F1_open_5_1000,46,1,30.27989030000208,11241.127367145678
S1_F1_open_5_1000,47,1,40.08304035000219,11231.324217095678
S1_F1_open_5_1000,48,1,-163.02801564999936,11434.43527309568
S1_F1_open_5_1000,49,7,29.420231650006826,11241.987025795674
S1_F1_open_5_1000,50,1,-97.97190524999678,11369.379162695677
S1_F1_open_5_1000,51,2,-670.6147929000035,11942.022050345684
S1_F1_open_5_1000,52,2,623.8251087000026,10647.582148745678
S1_F1_open_5_1000,53,1,305.13713185000233,10966.270125595678
S1_F1_open_5_1000,54,1,209.7466919000035,11061.660565545677
S1_F1_open_5_1000,55,1,-1213.6877357999983,12485.094993245679
S1_F1_open_5_1000,56,2,381.48106730000654,10889.926190145674
S1_F1_open_5_1000,57,1,-239.41797849999784,11510.825235945678
S1_F1_open_5_1000,58,1,-72.39112019999811,11343.798377645679
S1_F1_open_5_1000,59,1,-104.53407034999873,11375.94132779568
S1_F1_open_5_1000,60,1,-162.78656314999898,11434.19382059568
S1_F1_open_5_1000,61,1,-53.70310259999678,11325.110360045677
S1_F1_open_5_1000,62,1,-32.1123624999982,11303.519619945679
S1_F1_open_5_1000,63,4,-344.29115359999196,11615.698411045672
S1_F1_open_5_1000,64,1,722.2874263000012,10549.11983114568
S1_F1_open_5_1000,65,3,1149.1790989000037,10122.228158545677
S1_F1_open_5_1000,66,1,161.33827855000345,11110.068978895677
S1_F1_open_5_1000,67,1,-827.6620738999954,12099.069331345676
S1_F1_open_5_1000,68,1,230.2949564000046,11041.112301045676
S1_F1_open_5_1000,69,1,-17.264167350000207,11288.67142479568
S1_F1_open_5_1000,70,6,709.7563100500083,10561.650947395672
S1_F1_open_5_1000,71,1,994.1019977000033,10277.305259745677
S1_F1_open_5_1000,72,1,238.54719889999978,11032.86005854568
S1_F1_open_5_1000,73,4,55.18707415000972,11216.22018329567
S1_F1_open_5_1000,74,5,-866.6122581499912,12138.019515595672
S1_F1_open_5_1000,75,2,831.9032296500118,10439.504027795669
S1_F1_open_5_1000,76,1,353.73000200000024,10917.67725544568
S1_F1_open_5_1000,77,1,-43.206537499998376,11314.613794945679
S1_F1_open_5_1000,78,1,-64.35655009999755,11335.763807545678
S1_F1_open_5_1000,79,3,-202.39086284999212,11473.798120295673
S1_F1_open_5_1000,80,8,310.46945075002077,10960.93780669566
S1_F1_open_5_1000,81,1,364.9357045500001,10906.47155289568
S1_F1_open_5_1000,82,3,-346.4339560999979,11617.841213545678
S1_F1_open_5_1000,83,1,38.87072790000093,11232.53652954568
S1_F1_open_5_1000,84,1,272.8633915499995,10998.543865895681
S1_F1_open_5_1000,85,5,-1301.3101530499844,12572.717410495665
S1_F1_open_5_1000,86,2,90.07177335000233,11181.335484095678
S1_F1_open_5_1000,87,2,-183.65253799999846,11455.059795445679
S1_F1_open_5_1000,88,4,-278.4747378999891,11549.88199534567
S1_F1_open_5_1000,89,6,1080.4392712310291,10190.967986214651
S1_F1_open_5_1000,90,1,54.38920363201032,11217.01805381367
S1_F1_open_5_1000,91,1,1944.4398499890085,9326.967407456672
S1_F1_open_5_1000,92,7,8875.465377552056,2395.941879893624
S1_F1_open_5_1000,93,1,-127.10570495399588,11398.512962399676
S1_F1_open_5_1000,94,1,1084.0128017399911,10187.39445570569
S1_F1_open_5_1000,95,2,-1391.7448840589932,12663.152141504674
S1_F1_open_5_1000,96,3,1390.895522133018,9880.511735312662
S1_F1_open_5_1000,97,1,-720.0980170739931,11991.505274519674
S1_F1_open_5_1000,98,1,1547.3026574550095,9724.104599990671
S1_F1_open_5_1000,99,10,-4378.297753952946,15649.705011398626
S1_F1_open_5_1000,100,11,2211.521015628081,9059.8862418176
S1_F1_open_5_1000,101,4,515.3456797920298,10756.06157765365
S1_F1_open_5_1000,102,1,122.20576889901713,11149.201488546663
S1_F1_open_5_1000,103,1,408.1728740310209,10863.23438341466
S1_F1_open_5_1000,104,3,547.5946182030093,10723.812639242671
S1_F1_open_6_all,0,1,-161.22837331999835,224.54280068260778
S1_F1_open_6_all,1,6,2067.841184560002,-2004.5267571973927
S1_F1_open_6_all,2,4,411.7575874400063,-348.4431600773969
S1_F1_open_6_all,3,1,243.1401274800046,-179.82570011739517
S1_F1_open_6_all,4,2,-150.148896839999,213.46332420260842
S1_F1_open_6_all,5,1,-431.50382867999906,494.8182560426085
S1_F1_open_6_all,6,7,-302.5129841199905,365.8274114825999
S1_F1_open_6_all,7,4,-344.1071801599992,407.4216075226086
S1_F1_open_6_all,8,9,-1022.472740079993,1085.7871674426024
S1_F1_open_6_all,9,1,-31.994825879999553,95.30925324260897
S1_F1_open_6_all,10,2,72.13341192000371,-8.818984557394288
S1_F1_open_6_all,11,7,-322.81650635999904,386.13093372260846
S1_F1_open_6_all,12,1,88.88575956000022,-25.571332197390802
S1_F1_open_6_all,13,5,-423.8488186399991,487.1632460026085
S1_F1_open_6_all,14,1,-21.966231759999573,85.280659122609
S1_F1_open_6_all,15,12,-540.857164479994,604.1715918426034
S1_F1_open_6_all,16,7,184.34606364000138,-121.03163627739195
S1_F1_open_6_all,17,2,-100.63295824000306,163.94738560261248
S1_F1_open_6_all,18,2,-54.31936163999853,117.63378900260795
S1_F1_open_6_all,19,10,-397.5490779999982,460.8635053626076
S1_F1_open_6_all,20,2,-36.18413952000083,99.49856688261025
S1_F1_open_6_all,21,2,-44.577971639997486,107.89239900260691
S1_F1_open_6_all,22,3,-88.32181175999904,151.63623912260846
S1_F1_open_6_all,23,2,-172.93941599999744,236.25384336260686
S1_F1_open_6_all,24,3,-159.83460999999988,223.1490373626093
S1_F1_open_6_all,25,2,-173.67323720000059,236.98766456261
S1_F1_open_6_all,26,9,-446.28631344000314,509.60074080261256
S1_F1_open_6_all,27,4,-103.43547951999608,166.7499068826055
S1_F1_open_6_all,28,1,-36.828011999999944,100.14243936260937
S1_F1_open_6_all,29,1,-26.956175879999137,90.27060324260856
S1_F1_open_6_all,30,2,-30.76479152000138,94.0792188826108
S1_F1_open_6_all,31,5,-25.850854200001777,89.1652815626112
S1_F1_open_6_all,32,7,-189.06217551999725,252.37660288260668
S1_F1_open_6_all,33,2,-142.17837995999798,205.4928073226074
S1_F1_open_6_all,34,1,59.1481525399995,4.166274822609921
S1_F1_open_6_all,35,5,-133.611585880004,196.9260132426134
S1_F1_open_6_all,36,5,-178.07478611999795,241.38921348260737
S1_F1_open_6_all,37,10,-495.25298727999325,558.5674146426027
S1_F1_open_6_all,38,2,-91.8096021800011,155.12402954261051
S1_F1_open_6_all,39,1,-139.06516465999994,202.37959202260936
S1_F1_open_6_all,40,2,-107.42739029999939,170.7418176626088
S1_F1_open_6_all,41,4,-47.45874758000173,110.77317494261115
S1_F1_open_6_all,42,5,-153.40184599999884,216.71627336260826
S1_F1_open_6_all,43,1,-130.87897259999954,194.19339996260896
S1_F1_open_6_all,44,1,-51.0965001200002,114.41092748260962
S1_F1_open_6_all,45,1,18.835230300001058,44.479197062608364
S1_F1_open_6_all,46,1,28.33086836000075,34.98355900260867
S1_F1_open_6_all,47,1,38.11502842000118,25.19939894260824
S1_F1_open_6_all,48,2,-199.86044278000008,263.1748701426095
S1_F1_open_6_all,49,8,-436.03458441999464,499.34901178260407
S1_F1_open_6_all,50,1,-101.73302630000035,165.04745366260977
S1_F1_open_6_all,51,2,-677.63331148,740.9477388426094
S1_F1_open_6_all,52,4,1288.1877252400081,-1224.8732978773987
S1_F1_open_6_all,53,2,261.79462440000134,-198.48019703739192
S1_F1_open_6_all,54,1,259.7911902800006,-196.47676291739117
S1_F1_open_6_all,55,1,-1273.0696029600003,1336.3840303226098
S1_F1_open_6_all,56,2,318.79700076000154,-255.48257339739212
S1_F1_open_6_all,57,1,-243.29501420000088,306.6094415626103
S1_F1_open_6_all,58,1,-75.33838423999987,138.6528116026093
S1_F1_open_6_all,59,1,-107.76426441999865,171.07869178260808
S1_F1_open_6_all,60,1,-165.7888157799989,229.10324314260833
S1_F1_open_6_all,61,1,-56.822323119999055,120.13675048260848
S1_F1_open_6_all,62,1,-35.02163500000097,98.33606236261039
S1_F1_open_6_all,63,4,-355.3883843199965,418.7028116826059
S1_F1_open_6_all,64,1,718.6663515600012,-655.3519241973918
S1_F1_open_6_all,65,3,1135.9564386799975,-1072.642011317388
S1_F1_open_6_all,66,1,156.2585542600027,-92.94412689739329
S1_F1_open_6_all,67,1,-832.642848679996,895.9572760426054
S1_F1_open_6_all,68,2,200.86788386000626,-137.55345649739684
S1_F1_open_6_all,69,1,-22.165940819999378,85.4803681826088
S1_F1_open_6_all,70,6,678.1812320600075,-614.866804697398
S1_F1_open_6_all,71,1,989.4131972399991,-926.0987698773897
S1_F1_open_6_all,72,1,234.4182386800021,-171.10381131739268
S1_F1_open_6_all,73,5,-67.81507535999845,131.12950272260787
S1_F1_open_6_all,74,7,-4031.0648909599913,4094.3793183226007
S1_F1_open_6_all,75,2,821.6588155800055,-758.344388217396
S1_F1_open_6_all,76,1,348.97120240000004,-285.6567750373906
S1_F1_open_6_all,77,1,-47.57544499999858,110.889872362608
S1_F1_open_6_all,78,2,-597.2271839999994,660.5416113626088
S1_F1_open_6_all,79,3,-215.86449542000264,279.17892278261206
S1_F1_open_6_all,80,8,276.3450008999898,-213.0305735373804
S1_F1_open_6_all,81,1,360.3358654600015,-297.0214380973921
S1_F1_open_6_all,82,3,-359.1287873199981,422.4432146826075
S1_F1_open_6_all,83,1,34.77775348000432,28.5366738826051
S1_F1_open_6_all,84,2,-371.6733737399991,434.9878011026085
S1_F1_open_6_all,85,6,-1381.3180517799956,1444.632479142605
S1_F1_open_6_all,86,3,-172.8624602399941,236.17688760260353
S1_F1_open_6_all,87,2,-192.03044559999762,255.34487296260704
S1_F1_open_6_all,88,4,-299.32752547999917,362.6419528426086
S1_F1_open_6_all,89,10,-2403.2494894607808,2466.56391682339
S1_F1_open_6_all,90,2,1820.8046337144115,-1757.490206351802
S1_F1_open_6_all,91,1,1930.476423586806,-1867.1619962241966
S1_F1_open_6_all,92,9,5052.418929229214,-4989.104501866605
S1_F1_open_6_all,93,2,-300.43741423439496,363.7518415970044
S1_F1_open_6_all,94,1,1071.0940796879877,-1007.7796523253783
S1_F1_open_6_all,95,2,-1416.5397300707991,1479.8541574334085
S1_F1_open_6_all,96,4,1122.1138369043983,-1058.799409541789
S1_F1_open_6_all,97,1,-731.2932420888028,794.6076694514122
S1_F1_open_6_all,98,1,1535.8805789459948,-1472.5661515833854
S1_F1_open_6_all,99,12,-3390.2191188419893,3453.5335462045987
S1_F1_open_6_all,100,13,1252.036975316456,-1188.7225479538465
S1_F1_open_6_all,101,4,465.718127750406,-402.40370038779656
S1_F1_open_6_all,102,2,-156.82936472119763,220.14379208380706
S1_F1_open_6_all,103,2,2234.3777164412095,-2171.0632890786
S1_F1_open_6_all,104,3,509.3832086435723,-446.06878128096287
S1_F1_open_6_1000,0,1,-161.22837331999835,10031.36021065422
S1_F1_open_6_1000,1,5,1930.473528280003,7939.658309054219
S1_F1_open_6_1000,2,4,411.7575874400063,9458.374249894216
S1_F1_open_6_1000,3,1,243.1401274800046,9626.991709854217
S1_F1_open_6_1000,4,1,99.74293168000077,9770.388905654221
S1_F1_open_6_1000,5,1,-431.50382867999906,10301.635666014221
S1_F1_open_6_1000,6,6,-160.24841091999224,10030.380248254214
S1_F1_open_6_1000,7,3,-192.32907483999952,10062.460912174221
S1_F1_open_6_1000,8,7,-742.3785007599945,10612.510338094216
S1_F1_open_6_1000,9,1,-31.994825879999553,9902.126663214221
S1_F1_open_6_1000,10,2,72.13341192000371,9797.998425414218
S1_F1_open_6_1000,11,5,-349.1289896799972,10219.26082701422
S1_F1_open_6_1000,12,1,88.88575956000022,9781.246077774222
S1_F1_open_6_1000,13,5,-423.8488186399991,10293.980655974221
S1_F1_open_6_1000,14,1,-21.966231759999573,9892.098069094222
S1_F1_open_6_1000,15,11,-595.8277676799953,10465.959605014217
S1_F1_open_6_1000,16,6,155.56468680000035,9714.567150534222
S1_F1_open_6_1000,17,1,-60.35627024000132,9930.488107574223
S1_F1_open_6_1000,18,2,-54.31936163999853,9924.45119897422
S1_F1_open_6_1000,19,9,-360.1836099999982,10230.31544733422
S1_F1_open_6_1000,20,2,-36.18413952000083,9906.315976854223
S1_F1_open_6_1000,21,1,2.636938480001845,9867.49489885422
S1_F1_open_6_1000,22,2,-61.970273880000605,9932.102111214223
S1_F1_open_6_1000,23,1,-126.47211447999871,9996.60395181422
S1_F1_open_6_1000,24,3,-109.83460999999988,9979.966447334222
S1_F1_open_6_1000,25,2,-173.67323720000059,10043.805074534223
S1_F1_open_6_1000,26,9,-446.28631344000314,10316.418150774225
S1_F1_open_6_1000,27,3,-76.81521363999673,9946.947050974219
S1_F1_open_6_1000,28,1,-36.828011999999944,9906.959849334222
S1_F1_open_6_1000,29,1,-26.956175879999137,9897.088013214221
S1_F1_open_6_1000,30,2,-30.76479152000138,9900.896628854223
S1_F1_open_6_1000,31,4,9.387183799997729,9860.744653534224
S1_F1_open_6_1000,32,7,-189.06217551999725,10059.19401285422
S1_F1_open_6_1000,33,1,-71.02529171999959,9941.157129054222
S1_F1_open_6_1000,34,1,59.1481525399995,9810.983684794222
S1_F1_open_6_1000,35,3,-52.163187760001165,9922.295025094223
S1_F1_open_6_1000,36,4,-156.3973481799967,10026.529185514219
S1_F1_open_6_1000,37,8,-362.1427640599959,10232.274601394218
S1_F1_open_6_1000,38,1,-20.945035940001617,9891.076873274224
S1_F1_open_6_1000,39,1,-139.06516465999994,10009.197001994222
S1_F1_open_6_1000,40,2,-107.42739029999939,9977.559227634221
S1_F1_open_6_1000,41,3,-68.33582588000172,9938.467663214224
S1_F1_open_6_1000,42,4,-143.01776011999937,10013.149597454221
S1_F1_open_6_1000,43,1,-130.87897259999954,10001.010809934221
S1_F1_open_6_1000,44,1,-51.0965001200002,9921.228337454222
S1_F1_open_6_1000,45,1,18.835230300001058,9851.29660703422
S1_F1_open_6_1000,46,1,28.33086836000075,9841.800968974221
S1_F1_open_6_1000,47,1,38.11502842000118,9832.01680891422
S1_F1_open_6_1000,48,1,-165.31387877999987,10035.445716114222
S1_F1_open_6_1000,49,7,6.612657980002041,9863.51917935422
S1_F1_open_6_1000,50,1,-101.73302630000035,9971.864863634222
S1_F1_open_6_1000,51,2,-677.63331148,10547.765148814222
S1_F1_open_6_1000,52,2,614.341890440006,9255.789946894216
S1_F1_open_6_1000,53,1,299.7248582200009,9570.406979114221
S1_F1_open_6_1000,54,1,204.7911902800006,9665.340647054221
S1_F1_open_6_1000,55,1,-1218.0696029600003,11088.201440294222
S1_F1_open_6_1000,56,2,373.79700076000154,9496.33483657422
S1_F1_open_6_1000,57,1,-243.29501420000088,10113.426851534223
S1_F1_open_6_1000,58,1,-75.33838423999987,9945.470221574222
S1_F1_open_6_1000,59,1,-107.76426441999865,9977.89610175422
S1_F1_open_6_1000,60,1,-165.7888157799989,10035.92065311422
S1_F1_open_6_1000,61,1,-56.822323119999055,9926.954160454221
S1_F1_open_6_1000,62,1,-35.02163500000097,9905.153472334223
S1_F1_open_6_1000,63,4,-355.3883843199965,10225.520221654218
S1_F1_open_6_1000,64,1,718.6663515600012,9151.46548577422
S1_F1_open_6_1000,65,3,1135.9564386799975,8734.175398654224
S1_F1_open_6_1000,66,1,156.2585542600027,9713.87328307422
S1_F1_open_6_1000,67,1,-832.642848679996,10702.774686014218
S1_F1_open_6_1000,68,1,225.08026768000127,9645.05156965422
S1_F1_open_6_1000,69,1,-22.165940819999378,9892.297778154221
S1_F1_open_6_1000,70,6,678.1812320600075,9191.950605274214
S1_F1_open_6_1000,71,1,989.4131972399991,8880.718640094223
S1_F1_open_6_1000,72,1,234.4182386800021,9635.71359865422
S1_F1_open_6_1000,73,4,39.56598898000084,9830.565848354221
S1_F1_open_6_1000,74,5,-891.1851297799913,10761.316967114213
S1_F1_open_6_1000,75,2,821.6588155800055,9048.473021754216
S1_F1_open_6_1000,76,1,348.97120240000004,9521.160634934222
S1_F1_open_6_1000,77,1,-47.57544499999858,9917.70728233422
S1_F1_open_6_1000,78,1,-68.87742011999944,9939.009257454221
S1_F1_open_6_1000,79,3,-215.86449542000264,10085.996332754225
S1_F1_open_6_1000,80,8,276.3450008999898,9593.786836434232
S1_F1_open_6_1000,81,1,360.3358654600015,9509.79597187422
S1_F1_open_6_1000,82,3,-359.1287873199981,10229.26062465422
S1_F1_open_6_1000,83,1,34.77775348000432,9835.354083854218
S1_F1_open_6_1000,84,1,269.3032898599995,9600.828547474222
S1_F1_open_6_1000,85,5,-1319.9385236599992,11190.070360994221
S1_F1_open_6_1000,86,2,82.19274802000655,9787.939089314215
S1_F1_open_6_1000,87,2,-192.03044559999762,10062.16228293422
S1_F1_open_6_1000,88,4,-299.32752547999917,10169.459362814221
S1_F1_open_6_1000,89,6,1029.1911370772214,8840.940700257
S1_F1_open_6_1000,90,1,42.60015795840445,9827.531679375817
S1_F1_open_6_1000,91,1,1930.476423586806,7939.655413747416
S1_F1_open_6_1000,92,7,8776.962395462411,1093.1694418718107
S1_F1_open_6_1000,93,1,-139.06671474479663,10009.198552079019
