scenario,event,n,increment,remaining
S0_open_5_all,0,1617,-38080.110815618085,-4.3655745685100555e-11
S0_open_5_1000,0,810,-29817.461984328023,7.275957614183426e-12
S0_open_10_all,0,1617,-76036.08889923965,1.4551915228366852e-11
S0_open_10_1000,0,810,-48830.972288657846,-7.275957614183426e-12
S0_open_11_all,0,1617,-83627.28451597165,-7.275957614183426e-11
S0_open_11_1000,0,810,-52633.67434952762,-7.275957614183426e-12
S0_open_12_all,0,1617,-91218.48013269539,-1.4551915228366852e-11
S0_open_12_1000,0,810,-56436.376410393335,5.093170329928398e-11
S1_F1_open_5_all,0,1,-157.54321109999728,1918.9159779028123
S1_F1_open_5_all,1,6,2090.2438538000097,-328.87108699719465
S1_F1_open_5_all,2,4,426.7480562000019,1334.6247106028131
S1_F1_open_5_all,3,1,246.41747289999876,1514.9552939028163
S1_F1_open_5_all,4,2,-144.7765806999978,1906.1493475028128
S1_F1_open_5_all,5,1,-428.67422389999774,2190.0469907028128
S1_F1_open_5_all,6,7,-282.6499200999933,2044.0226869028083
S1_F1_open_5_all,7,4,-333.02071679999244,2094.3934836028075
S1_F1_open_5_all,8,9,-994.564683399989,2755.937450202804
S1_F1_open_5_all,9,1,-29.139254899999287,1790.5120217028143
S1_F1_open_5_all,10,2,78.18437660000563,1683.1883902028094
S1_F1_open_5_all,11,7,-302.92545529999006,2064.298222102805
S1_F1_open_5_all,12,1,91.65736630000356,1669.7154005028115
S1_F1_open_5_all,13,5,-410.10568219999186,2171.478449002807
S1_F1_open_5_all,14,1,-19.11365979999937,1780.4864266028144
S1_F1_open_5_all,15,12,-506.8581703999789,2268.230937202794
S1_F1_open_5_all,16,7,203.5754197000133,1557.7973471028017
S1_F1_open_5_all,17,2,-95.21966519999478,1856.5924320028098
S1_F1_open_5_all,18,2,-48.57923469999696,1809.952001502812
S1_F1_open_5_all,19,10,-370.9883649999829,2132.361131802798
S1_F1_open_5_all,20,2,-31.17064959999516,1792.5434164028102
S1_F1_open_5_all,21,2,-39.70740969999861,1801.0801765028136
S1_F1_open_5_all,22,3,-81.33130979999623,1842.7040766028113
S1_F1_open_5_all,23,2,-168.21377999999459,1929.5865468028096
S1_F1_open_5_all,24,3,-152.7081749999943,1914.0809418028093
S1_F1_open_5_all,25,2,-168.87763099999756,1930.2503978028126
S1_F1_open_5_all,26,9,-425.1888611999839,2186.561628002799
S1_F1_open_5_all,27,4,-94.20409959999597,1855.576866402811
S1_F1_open_5_all,28,1,-34.433209999999235,1795.8059768028143
S1_F1_open_5_all,29,1,-24.550379899998006,1785.923146702813
S1_F1_open_5_all,30,2,-26.23505959999966,1787.6078264028147
S1_F1_open_5_all,31,5,-14.623478499996054,1775.996245302811
S1_F1_open_5_all,32,7,-174.86527959999512,1936.2380464028101
S1_F1_open_5_all,33,2,-138.38428329999806,1899.757050102813
S1_F1_open_5_all,34,1,61.0222104500026,1700.3505563528124
S1_F1_open_5_all,35,5,-124.28025489999527,1885.6530217028103
S1_F1_open_5_all,36,5,-168.33965509999507,1929.71242190281
S1_F1_open_5_all,37,10,-475.8706893999879,2237.243456202803
S1_F1_open_5_all,38,2,-88.04248514999927,1849.4152519528143
S1_F1_open_5_all,39,1,-137.34302054999898,1898.715787352814
S1_F1_open_5_all,40,2,-104.05407524999646,1865.4268420528115
S1_F1_open_5_all,41,4,-40.48523964999549,1801.8580064528105
S1_F1_open_5_all,42,5,-144.08850499999608,1905.461271802811
S1_F1_open_5_all,43,1,-128.99391049999758,1890.3666773028126
S1_F1_open_5_all,44,1,-49.195450100000016,1810.568216902815
S1_F1_open_5_all,45,1,20.73927524999999,1740.633491552815
S1_F1_open_5_all,46,1,30.27989030000208,1731.092876502813
S1_F1_open_5_all,47,1,40.08304035000219,1721.2897264528128
S1_F1_open_5_all,48,2,-195.36368564999793,1956.736452452813
S1_F1_open_5_all,49,8,-410.26847034999264,2171.6412371528077
S1_F1_open_5_all,50,1,-97.97190524999678,1859.3446720528118
S1_F1_open_5_all,51,2,-670.6147929000035,2431.9875597028185
S1_F1_open_5_all,52,4,1307.1961377000043,454.1766291028107
S1_F1_open_5_all,53,2,272.4232870000051,1488.94947980281
S1_F1_open_5_all,54,1,264.7466919000035,1496.6260749028115
S1_F1_open_5_all,55,1,-1268.6877357999983,3030.0605026028134
S1_F1_open_5_all,56,2,326.48106730000654,1434.8916995028085
S1_F1_open_5_all,57,1,-239.41797849999784,2000.7907453028129
S1_F1_open_5_all,58,1,-72.39112019999811,1833.7638870028131
S1_F1_open_5_all,59,1,-104.53407034999873,1865.9068371528138
S1_F1_open_5_all,60,1,-162.78656314999898,1924.159329952814
S1_F1_open_5_all,61,1,-53.70310259999678,1815.0758694028118
S1_F1_open_5_all,62,1,-32.1123624999982,1793.4851293028132
S1_F1_open_5_all,63,4,-344.29115359999196,2105.663920402807
S1_F1_open_5_all,64,1,722.2874263000012,1039.0853405028138
S1_F1_open_5_all,65,3,1149.1790989000037,612.1936679028113
S1_F1_open_5_all,66,1,161.33827855000345,1600.0344882528116
S1_F1_open_5_all,67,1,-827.6620738999954,2589.0348407028105
S1_F1_open_5_all,68,2,211.22228655001163,1550.1504802528034
S1_F1_open_5_all,69,1,-17.264167350000207,1778.6369341528152
S1_F1_open_5_all,70,6,709.7563100500083,1051.6164567528067
S1_F1_open_5_all,71,1,994.1019977000033,767.2707691028118
