date,clock,entry,buy_cost,sale_net,single_gap,cash_before,tax_reserve,receivable,deposit,cumulative_deposit,zero_capital_pool_before
2020-01-03,09:25,2020-01-02,18506.464021879998,18345.23564856,161.22837331999835,18345.23564856,0,0.0,161.22837331999835,161.22837331999835,18345.23564856
2020-01-13,09:25,2020-01-10,18036.172616239997,17995.80243436,40.37018187999638,17995.80243436,0,0.0,40.37018187999638,201.59855519999473,17834.574061040003
2020-01-15,09:25,2020-01-14,18366.3772202,18355.219454680002,11.157765519998065,18355.219454680002,0,0.0,11.157765519998065,212.7563207199928,18153.620899480007
2020-01-17,09:25,2020-01-16,18426.41442092,18375.187066919996,51.22735400000238,18375.187066919996,0,0.0,51.22735400000238,263.9836747199952,18162.430746200003
2020-01-21,09:25,2020-01-20,19216.9042304,19303.68103608,0.0,19303.68103608,0,0.0,0.0,263.9836747199952,19039.697361360006
2020-02-03,09:25,2020-01-23,18016.160216,19962.61224,0.0,20049.38904568,0,0.0,0.0,263.9836747199952,19785.405370960005
2020-02-12,09:25,2020-02-11,19096.82982896,19193.85916876,0.0,21227.087998439998,0,0.0,0.0,263.9836747199952,20963.104323720003
2020-02-19,09:25,2020-02-18,18666.5632238,18814.4745362,0.0,20944.73270568,0,0.0,0.0,263.9836747199952,20680.749030960003
2020-02-25,09:25,2020-02-24,19667.183235799996,20102.385525679998,0.0,22380.555007559997,0,0.0,0.0,263.9836747199952,22116.57133284
2020-03-02,09:25,2020-02-28,17315.726207599997,17047.340852960002,268.38535463999506,19760.712624720003,0,0.0,0.0,263.9836747199952,19496.728950000008
2020-03-12,09:25,2020-03-11,16265.075194999998,16508.215322480002,0.0,18953.20173960001,0,0.0,0.0,263.9836747199952,18689.218064880013
2020-03-26,09:25,2020-03-25,13423.314360919998,13523.057292599999,0.0,16211.18383720001,0,0.0,0.0,263.9836747199952,15947.200162480014
2020-04-07,09:25,2020-04-03,14363.897172199999,13932.39334352,431.50382867999906,16720.26281980001,0,0.0,0.0,263.9836747199952,16456.279145080014
2020-04-16,09:25,2020-04-15,13763.525165,13842.53908844,0.0,16198.90473604001,0,0.0,0.0,263.9836747199952,15934.921061320016
2020-04-20,09:25,2020-04-17,14073.71736872,13962.34476188,111.37260683999921,16397.724332920014,0,0.0,0.0,263.9836747199952,16133.740658200019
2020-04-22,09:25,2020-04-21,14073.71736872,14132.06946592,0.0,16456.076430120014,0,0.0,0.0,263.9836747199952,16192.092755400019
2020-04-24,09:25,2020-04-23,13973.655367519998,13932.39334352,41.26202399999784,16314.752404920015,0,0.0,0.0,263.9836747199952,16050.76873020002
2020-04-30,09:25,2020-04-29,14323.87237172,14211.93991488,111.93245683999885,16553.036952280017,0,0.0,0.0,263.9836747199952,16289.053277560022
2020-05-07,09:25,2020-05-06,14764.145176999999,14731.09783312,33.04734387999815,16960.26241368002,0,0.0,0.0,263.9836747199952,16696.278738960023
2020-05-21,09:25,2020-05-20,13893.60576656,13822.571476199999,71.03429036000125,16018.688712880019,0,0.0,0.0,263.9836747199952,15754.705038160024
2020-05-28,09:25,2020-05-27,13513.370162,13453.17064976,60.19951223999851,15578.25359608002,0,0.0,0.0,263.9836747199952,15314.269921360024
2020-06-02,09:25,2020-06-01,13913.618166799999,13852.52289456,61.09527223999976,15917.40632864002,0,0.0,0.0,263.9836747199952,15653.422653920024
2020-06-18,09:25,2020-06-17,14263.835170999999,14221.923721,41.911449999999604,16225.71188284002,0,0.0,0.0,263.9836747199952,15961.728208120025
2020-06-22,09:25,2020-06-19,14373.903372319997,14321.7617822,52.141590119998,16283.63849404002,0,0.0,0.0,263.9836747199952,16019.654819320025
2020-06-30,09:25,2020-06-29,15204.41798228,15190.352914639998,14.065067640001871,17100.088036360023,0,0.0,0.0,263.9836747199952,16836.104361640027
2020-07-03,09:25,2020-07-02,15664.7031878,15579.72135332,84.98183448000054,17475.39140740002,0,0.0,0.0,263.9836747199952,17211.407732680025
2020-07-10,09:25,2020-07-09,16695.341800159997,16687.92383264,7.417967519995727,18498.612052240023,0,0.0,0.0,263.9836747199952,18234.628377520028
2020-07-15,09:25,2020-07-14,16845.434801959997,16558.134353079997,287.30044887999975,18361.404605160023,0,0.0,0.0,263.9836747199952,18097.42093044003
2020-07-22,09:25,2020-07-21,15454.57298528,15400.01284316,54.560142119999,16915.982646360026,0,0.0,0.0,263.9836747199952,16651.99897164003
2020-07-31,09:25,2020-07-30,14293.85377136,14261.85894548,31.994825879999553,15723.268606560026,0,0.0,0.0,263.9836747199952,15459.284931840031
2020-08-14,09:25,2020-08-13,15024.306380119999,15140.43388404,0.0,16569.848719240028,0,0.0,0.0,263.9836747199952,16305.865044520033
2020-08-19,09:25,2020-08-18,15194.411782159998,15150.41769016,43.99409199999718,16695.96002928003,0,0.0,0.0,263.9836747199952,16431.976354560036
2020-08-31,09:25,2020-08-28,14854.200978079998,14721.114027,133.08695107999847,16222.662274120034,0,0.0,0.0,263.9836747199952,15958.678599400038
2020-09-03,09:25,2020-09-02,14854.200978079998,14741.08163924,113.11933883999882,16109.542935280035,0,0.0,0.0,263.9836747199952,15845.55926056004
2020-09-10,09:25,2020-09-09,14013.680167999999,13882.474312919998,131.20585508000113,15137.816270120034,0,0.0,0.0,263.9836747199952,14873.83259540004
