rule,window,bp,inventory_participation_price_fee_effect,tax_effect,total
S0,open,5,-7028.648831290888,-1234.0,-8262.648831290113
S0,open,10,-25971.116610582627,-1234.0,-27205.116610581783
S0,open,11,-29759.610166443643,-1234.0,-30993.61016644411
S0,open,12,-33548.103722301785,-1234.0,-34782.10372230213
S1_F1,open,5,-8381.034490642927,-1129.0,-9510.034490642865
S1_F1,open,6,-8677.81740997157,-1129.0,-9806.817409971613
S1_F1,open,7,-8974.600329300172,-1129.0,-10103.600329300258
S1_F1,open,10,-9864.949087285868,-1129.0,-10993.94908728583
S1_F1,open,11,-10161.732006614711,-1129.0,-11290.732006614693
S1_F1,open,12,-10458.514925943316,-1129.0,-11587.514925943324
S1_F1,post0935,5,-11092.63486601994,-1129.0,-12221.634866019827
S1_F1,post0935,6,-11389.689309623993,-1129.0,-12518.689309624024
S1_F1,post0935,7,-11686.743753227975,-1129.0,-12815.743753228016
S1_F1,post0935,10,-12577.907084039876,-1129.0,-13706.90708403985
S1_F1,post0935,11,-12874.961527644095,-1129.0,-14003.961527644075
S1_F1,post0935,12,-13172.01597124811,-1129.0,-14301.015971248198
S2_F2,open,5,6651.225248656063,-740.0,5911.225248656192
S2_F2,open,10,5259.327157312056,-740.0,4519.32715731216
S2_F2,open,11,4980.947539043104,-740.0,4240.947539043074
S2_F2,open,12,4702.567920774343,-740.0,3962.5679207742924
