window,old10bp,direct_extra1bp,fixed_old11bp,old_truncated11bp,corrected1000stock11bp,corrected_allstock11bp,cash_truncation_effect,inventory_and_tax_effect,old2025sales,oldstress2025sales,new1000_2025,newall2025
open,4265.030156890658,-1401.275420112099,2863.754736778559,-12463.685939725226,2863.75473677837,-8426.977269836323,-15327.440676503786,-11290.732006614882,46,2,46,57
post0935,1091.254101440718,-1401.5924806570542,-310.3383792163363,-12588.024386571224,-310.33837921672966,-14314.299906860804,-12277.686007354887,-14003.961527644467,46,2,46,57
