scenario,single_gap_max,single_gap_date,single_gap_entry,peak_deposit,peak_date,first_deposit,days_first_to_peak,days_first_to_cutoff,retained_deposit_yuan_days,unreturned,withdrawals,terminal_receivable,terminal_tax_reserve,incremental_pool_deficit_excluding_hold_dividends,incremental_pool_peak_date
S1_F1_post0935_7_1000,3704.074966336797,2026-05-13,2026-05-12,4089.050041209917,2023-04-06,2020-01-03,1189,2443,6466652.30689042,4089.050041209917,0.0,0,0.0,5039.050041209917,2023-04-06
S1_F1_post0935_10_all,6733.923253008004,2025-10-29,2025-10-28,11457.822806221491,2025-10-29,2020-01-03,2126,2443,11742986.378835153,11457.822806221491,0.0,0,0.0,19617.82280622149,2025-10-29
S1_F1_post0935_10_1000,3743.773461623983,2026-05-13,2026-05-12,5246.152930299781,2023-04-06,2020-01-03,1189,2443,8584558.625403484,5246.152930299781,0.0,0,0.0,6196.152930299781,2023-04-06
S1_F1_post0935_11_all,6749.369648308799,2025-10-29,2025-10-28,12487.490686644718,2025-10-29,2020-01-03,2126,2443,12817239.044131106,12487.490686644718,0.0,0,0.0,20647.490686644713,2025-10-29
S1_F1_post0935_11_1000,3757.006293386396,2026-05-13,2026-05-12,5631.853893330213,2023-04-06,2020-01-03,1189,2443,9297791.909372687,5631.853893330213,0.0,0,0.0,6581.853893330213,2023-04-06
S1_F1_post0935_12_all,6764.816043609608,2025-10-29,2025-10-28,13517.158567066825,2025-10-29,2020-01-03,2126,2443,13893631.159951536,13517.158567066825,0.0,0,0.0,21677.15856706683,2025-10-29
S1_F1_post0935_12_1000,3770.2391251488007,2026-05-13,2026-05-12,6017.554856360146,2023-04-06,2020-01-03,1189,2443,10011962.49584894,6017.554856360146,0.0,0,0.0,6967.554856360146,2023-04-06
S2_F2_open_5_all,3438.487468817992,2026-07-31,2026-07-30,5170.5146864497165,2023-07-18,2020-03-02,1233,2384,9068208.95430379,5170.5146864497165,0.0,0,0.0,7371.16273494971,2023-08-28
S2_F2_open_5_1000,3438.487468817992,2026-07-31,2026-07-30,5698.609987549704,2023-12-27,2020-03-02,1395,2384,9526702.386796106,5698.609987549704,0.0,0,0.0,7198.609987549704,2023-12-27
S2_F2_open_10_all,3493.944261635996,2026-07-31,2026-07-30,7593.632472899728,2023-07-18,2020-01-17,1278,2429,13452399.56259791,7593.632472899728,0.0,0,0.0,9970.72325109971,2023-09-26
S2_F2_open_10_1000,3493.944261635996,2026-07-31,2026-07-30,9118.655467577157,2026-06-01,2020-01-17,2327,2429,13907288.32677031,9118.655467577157,0.0,0,0.0,12168.655467577162,2026-06-01
S2_F2_open_11_all,3505.035620199611,2026-07-31,2026-07-30,8078.256030190203,2023-07-18,2020-01-17,1278,2429,14332014.289397918,8078.256030190203,0.0,0,0.0,10512.482806210237,2023-09-26
S2_F2_open_11_1000,3505.035620199611,2026-07-31,2026-07-30,10491.359408136364,2026-06-01,2020-01-17,2327,2429,14864068.81096378,10491.359408136364,0.0,0,0.0,13541.359408136363,2026-06-01
S2_F2_open_12_all,3516.1269787632045,2026-07-31,2026-07-30,8562.87958748013,2023-07-18,2020-01-17,1278,2429,15211937.33493964,8562.87958748013,0.0,0,0.0,11116.962910055692,2026-06-01
S2_F2_open_12_1000,3516.1269787632045,2026-07-31,2026-07-30,11864.063348694011,2026-06-01,2020-01-17,2327,2429,15904013.127745068,11864.063348694011,0.0,0,0.0,14914.063348694013,2026-06-01
