date,stage,clv,vr,open,close,rt_pct,rt_cash,later_open
2018-10-23,D,0.9035087719298251,2.3297622697108498,12.55,12.19,2.588357584063768,324.8388768000028,
2018-12-06,C,0.8679245283018895,1.540522981951877,12.15,11.96,1.2803290201646216,155.55997595000153,
2019-01-16,C,0.8064516129032245,1.509617103885157,12.3,12.12,1.1809101699187063,145.25195090000088,
2019-02-14,U,1.0,3.64280775215213,14.3,13.86,2.806612253146879,401.3455522000037,
2019-02-19,U,0.933333333333331,2.573293902363444,13.97,13.92,0.0845603811739722,11.813085250003924,
2019-02-25,U,0.9795918367346944,1.869895051731344,14.45,15.16,-5.1871548688581335,-749.5438785500003,
2019-02-26,U,0.8190476190476194,2.8748289187718847,15.18,15.1,0.2594518471673532,39.38479040000422,
2019-03-07,U,0.8731343283582077,2.036493210970627,16.75,17.19,-2.8898568788059555,-484.0510271999975,
2019-04-17,U,0.9500000000000028,1.6866520472946394,16.61,17.91,-8.092756782059013,-1344.206901500002,
2019-04-18,U,1.0,3.785537845019896,18.4,19.61,-6.835738619836961,-1257.775906050001,
2019-04-19,U,0.95,4.850672646348274,18.53,17.89,3.199703552077717,592.9050682000009,
2019-06-12,D,0.8571428571428575,2.759707939210823,12.01,11.91,0.5478501706910829,65.79680549999905,
2019-07-02,C,1.0,2.148894031535842,13.5,13.3,1.2062129703703866,162.8387510000022,
2019-08-14,R,0.8673469387755111,1.990491404854128,13.82,13.69,0.6668365459479206,92.15681065000264,
2019-08-16,U,0.9238095238095236,1.9490775905014188,14.25,14.36,-1.0444489512280597,-148.83397554999848,
2019-09-25,R,1.0,2.3681103126641108,15.48,15.34,0.6383045264858126,98.80954070000378,
2019-11-11,U,0.8695652173913044,1.5708248307898387,15.82,15.58,1.252679590391916,198.1739112000011,
2019-12-16,U,0.9166666666666684,2.0618281530575038,18.82,19.15,-2.009433005579155,-378.17529164999695,
2020-01-23,U,0.9375000000000006,1.7158644957650893,20.5,20.0,2.1895378170731883,448.8552525000037,20.64
2020-02-24,U,0.924528301886794,1.7081008811437597,19.75,20.14,-2.2282735541771954,-440.0840269499961,19.8
2020-06-29,U,1.0,3.665589935515035,15.49,15.22,1.47744122885733,228.85564635000043,15.25
2020-07-03,U,0.8599999999999994,1.7654930016432333,15.65,15.91,-1.928036909265168,-301.7377762999988,15.63
2020-08-13,R,0.8602150537634419,2.2849776821449588,15.27,15.17,0.3877749541584968,59.21323550000247,15.08
2021-01-06,C,1.0,1.5991379649881514,13.96,13.87,0.3714447023639297,51.85368045000458,13.87
2021-01-13,C,0.9583333333333344,2.0391632170430585,14.48,15.18,-5.107730410911589,-739.5993634999982,14.8
2021-01-14,C,0.833333333333333,3.271891405045969,15.15,15.67,-3.702050347194694,-560.8606275999962,15.7
2021-01-19,U,0.9263157894736858,1.7225090212062593,15.86,15.1,4.529371587641881,718.3583338000022,15.69
2021-03-31,C,0.8904109589041093,2.418337865811784,14.3,14.37,-0.7616402122377435,-108.91455034999731,14.38
2021-06-08,D,0.8387096774193576,1.7236655887593004,12.56,12.51,0.1167243650477863,14.660580250001964,12.48
2021-08-03,C,0.8289473684210539,1.9977000262645197,11.85,11.83,-0.1174757375527438,-13.920874900000143,11.81
2021-08-17,C,0.9302325581395324,1.8821048595977343,12.27,12.02,1.755079350040761,215.34823625000135,12.18
2021-10-11,U,0.869565217391303,1.8037025103459337,12.12,12.13,-0.367008581270642,-44.48144005000182,12.18
2021-11-16,C,0.8499999999999951,1.7016353753441713,11.87,11.81,0.2195377868576383,26.05913530000167,11.87
2021-11-22,C,0.8749999999999983,1.5182261660470986,11.92,11.86,0.2177698011745167,25.9581603000024,11.9
2021-12-10,C,0.8529411764705861,1.7994314927745343,11.75,11.89,-1.4791534102127637,-173.8005256999997,11.87
2022-06-01,C,0.906250000000002,1.6448890542885344,9.35,9.37,-0.5229147069518585,-48.89252509999877,9.42
2022-08-08,U,0.9629629629629636,1.5159125400725348,9.59,9.62,-0.6192106897809984,-59.38230514999775,9.64
