model,window,n,predicted_down_pct,actual_down_pct,brier,logloss,auc,baseline_brier,baseline_logloss,brier_improvement
P6,full_2020,1624,49.82702704208806,48.830049261083744,0.2513824208951733,0.6964159552722595,0.5318225204595566,0.25041718432941473,0.6939823531489464,-0.0009652365657585871
P6,primary,654,50.855218454796834,48.1651376146789,0.24700939069906286,0.6872793563084318,0.5773563702767243,0.2505080286305257,0.694163926450814,0.0034986379314628224
P6,2024,242,50.76010704639366,52.892561983471076,0.2486842028219895,0.6904991714467932,0.5315241228070176,0.25025151340762813,0.6936503447092711,0.0015673105856386371
P6,2025,243,52.51446214735337,44.03292181069959,0.24780199432979538,0.6891406462985997,0.6020478284771853,0.25152786785343617,0.6962046284070811,0.003725873523640788
P6,2026,169,48.605637055639065,47.337278106508876,0.24347147817825668,0.6799924407398267,0.5862359550561798,0.24940895024457294,0.6919650874335388,0.005937472066316257
P9,full_2020,1624,49.49156934570311,48.830049261083744,0.2520412509567927,0.6976864004620318,0.530974243645132,0.25041718432941473,0.6939823531489464,-0.0016240666273779625
P9,primary,654,50.76688958218131,48.1651376146789,0.24786338119843154,0.6891509682878116,0.5683195205319099,0.2505080286305257,0.694163926450814,0.0026446474320941382
P9,2024,242,50.30536587618792,52.892561983471076,0.24684384297799564,0.6868385462430872,0.5718887061403509,0.25025151340762813,0.6936503447092711,0.0034076704296324978
P9,2025,243,52.903949692379996,44.03292181069959,0.2505067307881318,0.6948809881266598,0.5771028037383178,0.25152786785343617,0.6962046284070811,0.0010211370653043783
P9,2026,169,48.35495544059618,47.337278106508876,0.2455225190626229,0.6842232245835702,0.5779494382022472,0.24940895024457294,0.6919650874335388,0.003886431181950034
A8,full_2020,1624,49.880351985257235,48.830049261083744,0.25170589408479926,0.6977547610704342,0.5333051080225135,0.25041718432941473,0.6939823531489464,-0.0012887097553845317
A8,primary,654,50.77329397438815,48.1651376146789,0.2473912445611312,0.688040262961697,0.5712131853724774,0.2505080286305257,0.694163926450814,0.0031167840693944737
A8,2024,242,50.55938725646666,52.892561983471076,0.24937210952945063,0.6917197487398191,0.5192571271929824,0.25025151340762813,0.6936503447092711,0.0008794038781775038
A8,2025,243,52.44370821001544,44.03292181069959,0.24835904869200962,0.6903879815502169,0.5984744365035733,0.25152786785343617,0.6962046284070811,0.003168819161426556
A8,2026,169,48.67776004823179,47.337278106508876,0.24316316334138707,0.6793956997941475,0.5887640449438202,0.24940895024457294,0.6919650874335388,0.006245786903185863
A12,full_2020,1624,49.51283462623412,48.830049261083744,0.2531529445550808,0.7003288234341789,0.5290015068674002,0.25041718432941473,0.6939823531489464,-0.002735760225666073
A12,primary,654,50.55863390588555,48.1651376146789,0.2494637840751345,0.6926765107952821,0.561314791403287,0.2505080286305257,0.694163926450814,0.0010442445553911772
A12,2024,242,49.827770681900745,52.892561983471076,0.24809263482912358,0.6897557372714375,0.5582510964912281,0.25025151340762813,0.6936503447092711,0.0021588785785045528
A12,2025,243,52.810281495353365,44.03292181069959,0.25375124163934026,0.7017899136321795,0.565351841671248,0.25152786785343617,0.6962046284070811,-0.0022233737859040925
A12,2026,169,48.367619325788795,47.337278106508876,0.2452623990421916,0.683755033300633,0.5824438202247191,0.24940895024457294,0.6919650874335388,0.004146551202381332
