scope,window,n,down_pct,baseline_down_pct,lift_pp,down_ci_low,down_ci_high,lift_ci_low,lift_ci_high,net_RT_win_pct,net_RT_mean_pct,net_RT_cash,mean_net_winner_pct,mean_net_loser_pct,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high
candidate,full_2020,62,58.06451612903226,48.830049261083744,9.234466867948521,46.478873239436616,70.91055718475073,-2.300870705751968,21.58417717226784,54.83870967741935,0.26102591841550005,10783.08288787022,2.318641556288936,-2.2375073561451013,0.26102591841550005,0.295491244610784,54.83870967741935,10783.08288787022,1.2583168992130311,1.862078341835847,-10.90774674562256,-4091.7942350999538,40,58.0,-0.19444865245450546,-515.0376543538432,0.1613112331261055,9353.124487740206,62.0,0.0,0.26102591841550005,10783.08288787022,0.24777006644997612,8535.032863176186,-0.47504966665255793,1.0507149044215451
old_UR_volume,full_2020,82,46.34146341463415,48.830049261083744,-2.4885858464495927,35.99887640449438,60.25684931506849,-12.611998375017665,11.167369292214483,43.90243902439025,-0.4403370401397671,752.2857615701689,2.1562656568039023,-2.4724608899217695,-0.4403370401397671,-0.4630892141837255,43.90243902439025,752.2857615701689,0.6825233353657919,1.038482927435797,-10.90774674562256,-8402.773188749916,30,48.0,-0.8211608240367178,-10228.27650664783,-0.5403876578502357,-909.665908859794,82.0,0.0,-0.4403370401397671,752.2857615701689,-0.2210040225535399,4367.624559884183,-1.1700117137993684,0.5417429206848575
candidate_overlap_old_UR,full_2020,28,53.57142857142857,48.830049261083744,4.741379310344829,37.93103448275862,73.91706924315616,-10.819033348958683,25.446695355471856,53.57142857142857,0.15409118577185493,5753.368754842083,2.5989990791709965,-2.6669563835348478,0.15409118577185493,0.5537671367517185,53.57142857142857,5753.368754842083,1.1244447452779145,1.9714431072123404,-10.90774674562256,-2847.0587170499866,19,27.0,-0.9176214874186424,-3558.4538263379422,0.05433193988254687,5162.762409684097,28.0,0.0,0.15409118577185493,5753.368754842083,0.15980343352400453,4874.240446888069,-0.9957208055420506,1.7205419584461805
candidate_outside_old_UR,full_2020,34,61.76470588235294,48.830049261083744,12.934656621269202,44.827586206896555,78.125,-3.6072239303039444,29.131660279549187,55.88235294117647,0.3490898158867372,5029.7141330281365,2.0973066698030984,-1.865318199073988,0.3490898158867372,0.21865379401607749,55.88235294117647,5029.7141330281365,1.4242012165731754,1.7637276384832656,-5.107730410911589,-2839.1262382439963,23,31.0,-0.3565620042133031,-2053.7121996159212,0.24941182756197744,4190.362078056109,34.0,0.0,0.3490898158867372,5029.7141330281365,0.32021317591842324,3660.792416288118,-0.6177967532937937,1.2202837925338388
high_volume_without_highCLV,full_2020,112,48.214285714285715,48.830049261083744,-0.615763546798026,38.39193982387476,58.333333333333336,-9.793151211059449,8.59504939958949,43.75,-0.5355290605546138,-8024.064870632813,1.5637621271473117,-2.1683110954338884,-0.5355290605546138,-0.29951640224866927,43.75,-8024.064870632813,0.5609247837115864,0.6476585861002374,-12.229427049039757,-10588.676530099841,54,87.0,-0.7447336082640877,-13701.848021370803,-0.6356289509369234,-10065.722835265817,112.0,0.0,-0.5355290605546138,-8024.064870632813,-0.38629229836363327,-4678.148797566824,-1.0212072916277006,0.0046996888135231955
candidate_stage_U,full_2020,21,47.61904761904761,48.830049261083744,-1.2110016420361247,30.76923076923077,70.0,-18.34533962958575,20.309117673498736,47.61904761904761,-0.011456700220658467,4000.426804492062,2.758545391639158,-2.529640420093219,-0.011456700220658467,-0.367008581270642,47.61904761904761,4000.426804492062,0.9913537583975539,1.8397566345246448,-10.90774674562256,-1924.805477487961,13,20.0,-1.3675833626784268,-3656.254053337961,-0.11129319099907166,3555.876408984079,21.0,0.0,-0.011456700220658467,4000.426804492062,0.10465563382289292,3790.701927388045,-1.2136405116481692,1.7399791332118466
candidate_stage_R,full_2020,7,71.42857142857143,48.830049261083744,22.59852216748769,33.33333333333333,100.0,-17.37323321302933,53.011731266071656,71.42857142857143,0.650734843749395,1752.9419503500208,2.279906454234675,-3.4221941824638056,0.650734843749395,0.7265464680488039,71.42857142857143,1752.9419503500208,1.6655297249915686,2.51284729059757,-3.76286333553386,-1158.7038303499978,6,7.0,-3.4221941824638056,-1158.703830349998,0.5512073325274023,1606.8860007000194,7.0,0.0,0.650734843749395,1752.9419503500208,0.32524683262733917,1083.538519500023,-1.610097007494367,3.4114401191341943
candidate_stage_D,full_2020,3,33.33333333333333,48.830049261083744,-15.49671592775041,0.0,100.0,-50.21829073743724,52.64719316052468,33.33333333333333,-0.4951356838702392,-269.47363330000053,0.1167243650477863,-0.801065708329252,-0.4951356838702392,-0.5432074039106163,33.33333333333333,-269.47363330000053,0.07285567453089038,0.05159737740425958,-1.0589240127478876,-284.13421355000247,2,2.0,,,-0.5952335126344598,-317.6484665999992,3.0,0.0,-0.4951356838702392,-269.47363330000053,-0.8163769355819627,-409.29228899999896,-0.801065708329252,0.1167243650477863
candidate_stage_C,full_2020,31,64.51612903225806,48.830049261083744,15.686079771174322,47.61904761904761,80.64826302729526,-1.2582877428645014,31.326161555805914,58.06451612903226,0.43078905779870275,5299.187766328137,2.207339020067282,-2.029049351496255,0.43078905779870275,0.3714447023639297,58.06451612903226,5299.187766328137,1.5062795609151785,1.8409261417727623,-5.107730410911589,-2839.1262382439963,21,29.0,-0.34057273348365674,-1784.2385663159203,0.3311516991938906,4508.0105446561065,31.0,0.0,0.43078905779870275,5299.187766328137,0.43020576735394456,4070.0847052881163,-0.5587354909650429,1.4087907399588726
candidate,primary,30,70.0,48.1651376146789,21.834862385321095,54.282738095238095,86.21081504702191,5.838195674889826,38.05966918854421,66.66666666666666,1.354564401329552,13849.687084720164,2.9263481828319473,-1.7890031616752389,1.354564401329552,1.113218706524942,66.66666666666666,13849.687084720164,3.2714846407445006,3.1814857136252335,-4.650157583560376,-2839.1262382439963,19,28.0,0.5347900763287501,2551.566542496102,1.255363035354568,12862.841381440154,30.0,0.0,1.354564401329552,13849.687084720164,1.1796646852770418,10952.848116776124,0.47013511924165946,2.5259664227837426
