model,month,feature,logistic_coef,net_return_coef
P6,2020-01,intercept,0.02759090880306362,-0.45195982777211197
P6,2020-01,clv,-0.012235560928345709,-0.10690739494852315
P6,2020-01,logvolume,-0.02173890657094147,-0.20853437925693555
P6,2020-01,intraday1,0.07026344663555954,-0.05699007974516749
P6,2020-01,ret5,0.122896412727188,-0.02892120541558089
P6,2020-01,market1,0.08827925181483381,0.11413122300803287
P6,2020-01,relative5,-0.003210352381900452,0.23394493194074295
P6,2020-02,intercept,0.03712165754025094,-0.48146932510561935
P6,2020-02,clv,0.023698383426893555,-0.08371850790061919
P6,2020-02,logvolume,-0.020266049068448304,-0.1929157674504153
P6,2020-02,intraday1,0.071914804317947,-0.005878458299588793
P6,2020-02,ret5,0.13500157492378903,-0.0054998024228930225
P6,2020-02,market1,0.09224431586055468,0.127171606571721
P6,2020-02,relative5,-0.016371580005987676,0.17341468908626806
P6,2020-03,intercept,-0.006322353576264225,-0.4946249843468923
P6,2020-03,clv,0.028491453891047968,-0.041102560638829756
P6,2020-03,logvolume,-0.07048208327300469,-0.1972436535719667
P6,2020-03,intraday1,0.06989040968678545,-0.08155914123634252
P6,2020-03,ret5,0.1637409313004477,0.04821972678709057
P6,2020-03,market1,0.12521935304687629,0.19805591963777192
P6,2020-03,relative5,-0.04110440531215815,0.1354489978398719
P6,2020-04,intercept,0.032748817155777335,-0.42728073839378455
P6,2020-04,clv,0.040694232084443324,-0.0029374276357572123
P6,2020-04,logvolume,-0.04636342503133813,-0.1299117493593801
P6,2020-04,intraday1,0.05184408168452289,-0.09364564795031631
P6,2020-04,ret5,0.1061327454082956,-0.0872020522779809
P6,2020-04,market1,0.13399008719827685,0.2065285869771157
P6,2020-04,relative5,-0.0492790663518099,0.1254312568511489
P6,2020-05,intercept,0.017426957120044367,-0.44197269603203404
P6,2020-05,clv,0.040697312376378615,0.029325152484768212
P6,2020-05,logvolume,-0.06436269978197035,-0.14338641777605274
P6,2020-05,intraday1,0.04712842097895847,-0.11230122030143169
P6,2020-05,ret5,0.13672578257267248,-0.05197899185797596
P6,2020-05,market1,0.10900563754117823,0.18698842245403502
P6,2020-05,relative5,-0.05935241298987818,0.11754353197263902
P6,2020-06,intercept,0.025564123169301015,-0.4218590144620459
P6,2020-06,clv,0.042797570647399696,0.043577674391545466
P6,2020-06,logvolume,-0.07486586443897308,-0.1525839986639024
P6,2020-06,intraday1,0.055490801530893516,-0.10639526797882523
P6,2020-06,ret5,0.14555610618457365,-0.01198276218720227
P6,2020-06,market1,0.0838618603770163,0.15708926949419802
P6,2020-06,relative5,-0.06020691882186123,0.07834144654522608
P6,2020-07,intercept,0.024694016164622128,-0.4417684558121912
P6,2020-07,clv,0.04675932943966822,0.04151313253570291
P6,2020-07,logvolume,-0.05232309727708732,-0.14470177839159837
P6,2020-07,intraday1,0.06560564247576825,-0.062083809205955284
P6,2020-07,ret5,0.1571132472120161,-0.007977244787493377
P6,2020-07,market1,0.05272987174678033,0.11699311900878848
P6,2020-07,relative5,-0.0639959332096412,0.07863260669265615
