model,window,bin,predicted_pct,n,down_pct,baseline_down_pct,lift_pp,down_ci_low,down_ci_high,lift_ci_low,lift_ci_high,net_RT_win_pct,net_RT_mean_pct,net_RT_cash,mean_net_winner_pct,mean_net_loser_pct
P6,full_2020,"[0,0.4)",35.79289483776259,100,41.0,48.830049261083744,-7.830049261083744,31.45904102430102,49.53292463345623,-16.925044129802167,0.05955927173366394,35.0,-0.5848737398141168,-18483.80450858469,1.2565681972386218,-1.57641939822713
P6,full_2020,"[0.4,0.5)",46.321432517707414,722,46.67590027700831,48.830049261083744,-2.1541489840754324,42.73957820045334,50.46047521964952,-5.150683900341369,0.8272486728272547,42.38227146814405,-0.5017317168274329,-101083.96727247327,1.6081275368835821,-2.0536954947975548
P6,full_2020,"[0.5,0.55)",52.18528094072029,516,51.93798449612403,48.830049261083744,3.1079352350402933,47.970246838390715,55.72815533980583,-0.26198592756387273,6.463782349087293,48.25581395348838,-0.3504877851003328,-36076.48465371779,1.4578943931237363,-2.036956558050869
P6,full_2020,"[0.55,0.6)",57.14541548149571,209,51.674641148325364,48.830049261083744,2.844591887241621,45.26738141650422,58.12990330231708,-3.6575171990192974,8.954843264142117,45.45454545454545,-0.32654073437614933,-6643.445260809266,1.8958425269631902,-2.178526785492266
P6,full_2020,"[0.6,0.65)",62.08587651905554,51,56.86274509803921,48.830049261083744,8.032695836955472,43.097290640394085,72.22517730496452,-4.8454364348614725,22.94985339069806,54.90196078431373,-0.508557117704023,-5101.6415865237595,1.9936650895380954,-3.554740674346603
P6,full_2020,"[0.65,1)",71.47506351053437,26,38.46153846153847,48.830049261083744,-10.368510799545277,25.855263157894743,71.88311688311677,-24.08434369783747,23.498281484092693,38.46153846153847,-2.089639815864339,-13485.633121403927,2.1464284255941353,-4.737182466775884
P6,primary,"[0,0.4)",37.38269492457144,29,31.03448275862069,48.1651376146789,-17.130654856058207,17.387556221889056,43.47826086956522,-31.02487769427113,-4.683415968561541,27.586206896551722,-0.7089415117631332,-12965.332700584782,1.436724855546391,-1.5263382231191425
P6,primary,"[0.4,0.5)",46.48829122665805,268,43.28358208955223,48.1651376146789,-4.881555525126663,36.32648700505844,49.65283764367816,-9.809949405486385,-0.6830764112520061,41.417910447761194,-0.7379738830734349,-81862.9541165239,1.8430245713493052,-2.5627562298309132
P6,primary,"[0.5,0.55)",52.09666373961499,199,53.266331658291456,48.1651376146789,5.101194043612556,46.389366170294004,60.22860025488529,0.071992972202075,10.14817205329254,51.256281407035175,-0.4989264700228634,-24134.676808068278,1.775966569141827,-2.891082036979548
P6,primary,"[0.55,0.6)",57.30298616673416,110,54.54545454545454,48.1651376146789,6.380316930775642,46.937872494130396,62.602005926601315,-2.2887951423459687,14.734762208334258,48.18181818181818,-0.282478826543299,-599.5865963594345,2.563505414314589,-2.9287448750602834
