id,window,losing_direction,large,losing_mean,opposite_direction,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
ALL,full_2020,rt,False,-0.46188634996464484,pt,1624,-0.02264276303879377,-0.2501825668818339,44.45812807881773,17268.195778521127,0.9762493779692782,1.041286673991199,-11.579930701011715,-31458.581763999035,1
ALL,full_2020,pt,False,-0.02264276303879377,rt,1624,-0.46188634996464484,-0.27872974652163557,44.51970443349754,-180874.9764035127,0.6065708123034808,0.6516607517508339,-12.332728137168736,-182534.37460460298,1
ALL,primary,rt,True,-0.6024282179441639,pt,654,0.21989924785540438,-0.10998986366487085,48.62385321100918,40694.60562051965,1.203643951560964,1.138182193115426,-8.464638457150821,-21429.77732568878,1
ALL,2024,rt,True,-0.5493237546948151,pt,242,0.15079459107132462,-0.4381227081802064,43.80165289256198,4087.3006283005616,1.137908074551722,1.0685032324952985,-6.616509748118867,-8120.8508591997315,1
ALL,2025,rt,True,-0.838457905978554,pt,243,0.45507970592058017,0.1484225832080536,53.086419753086425,44549.06961056096,1.4582793325717265,1.428278532918387,-8.464638457150821,-13613.047410212945,1
ALL,2026,rt,False,-0.33909132986123836,pt,169,-0.01930503834631404,-0.0387882765751092,49.112426035502956,-7941.764618341885,0.9837106265489337,0.9392900662399306,-7.467996327810795,-21429.77732568876,1
ALL,2026,pt,False,-0.01930503834631404,rt,169,-0.33909132986123836,-0.3195731659275936,44.37869822485207,-29756.313932155965,0.749939630331979,0.7914751197131981,-11.91543918827798,-34023.931948241516,1
weak,full_2020,rt,True,-0.5317702397907725,pt,717,0.04627133163325866,-0.1264211356060264,47.140864714086476,16790.47295608084,1.0548449054033358,1.1065419926748064,-9.053460822066311,-17159.95766319282,49
weak,primary,rt,True,-0.6222440561192537,pt,278,0.23753224389174016,0.05892862915054655,50.35971223021583,18105.34500258015,1.2516422667318816,1.1663079737407536,-8.464638457150821,-17159.957663192818,20
weak,2024,rt,True,-0.7675247392672245,pt,108,0.36241139511439535,-0.1285089445587695,47.22222222222222,7411.251599500241,1.4193547268027327,1.379605118124143,-4.712952096710849,-2937.57472199997,8
weak,2025,rt,True,-0.6874455553087758,pt,75,0.2989298177629293,0.2259667318919068,56.00000000000001,9431.09875907232,1.349419228385187,1.3809038383045256,-8.464638457150821,-9893.035621511988,8
weak,2026,rt,False,-0.40560799065404285,pt,95,0.04709259786662475,-0.0495857942060835,49.473684210526315,1262.9946440075862,1.042642394151692,1.0195561481008601,-7.313733019285691,-17159.957663192825,4
notweak,full_2020,rt,False,-0.4066418637404623,pt,907,-0.07712060855132033,-0.3792783500443765,42.33737596471885,477.722822440297,0.9258496598558038,1.0018327699039795,-11.579930701011715,-32404.019593748733,49
notweak,full_2020,pt,False,-0.07712060855132033,rt,907,-0.4066418637404623,-0.1185316658333315,47.4090407938258,-92818.58910443557,0.6588002638626983,0.6968602510713052,-12.332728137168736,-102966.6882933588,49
notweak,primary,rt,True,-0.5877771461019432,pt,376,0.2068620858923689,-0.25456932509940833,47.340425531914896,22589.26061793948,1.1752627572458587,1.1216875658697123,-8.278709473963682,-18801.73403348365,20
notweak,2024,rt,False,-0.3734602745916793,pt,134,-0.019762236067866763,-0.5427707035635312,41.04477611940299,-3323.9509711996798,0.9845389622536372,0.9171956466078837,-6.616509748118867,-13547.78936904975,8
notweak,2024,pt,False,-0.019762236067866763,rt,134,-0.3734602745916793,0.15352447541468234,55.223880597014926,-8842.571688799646,0.7391117144985621,0.789543674032314,-10.105854526435447,-16390.110804349726,8
notweak,2025,rt,True,-0.9058741339561336,pt,168,0.5247894774195314,0.09619436857824035,51.78571428571429,35117.970851488644,1.497710028037333,1.4430779317023723,-8.278709473963682,-12296.797099748925,6
notweak,2026,rt,False,-0.2536983193839892,pt,74,-0.10454524699805981,-0.0231339266328153,48.64864864864865,-9204.759262349475,0.9188830833683642,0.8610222995156374,-7.467996327810795,-18801.734033483674,7
notweak,2026,pt,False,-0.10454524699805981,rt,74,-0.2536983193839892,-0.335255577899381,44.5945945945946,-8205.009064649525,0.8154664902241416,0.8760478322514789,-10.70066262246178,-21488.679165338828,7
highCLV,full_2020,rt,False,-0.28638093643927287,pt,341,-0.19737824132697054,-0.5451187731034454,38.41642228739003,-16472.43141484714,0.8231993851675481,0.8610333780328261,-9.726414434224296,-30678.35206089574,105
highCLV,full_2020,pt,False,-0.19737824132697054,rt,341,-0.28638093643927287,-0.013956033620672,49.853372434017594,-19729.982962151,0.7484941266256052,0.8330988423122779,-12.332728137168736,-32234.387792618436,105
