id,kind,timing,window,n,down_pct,baseline_down_pct,lift_pp,down_ci_low,down_ci_high,lift_ci_low,lift_ci_high,net_RT_win_pct,net_RT_mean_pct,net_RT_cash,mean_net_winner_pct,mean_net_loser_pct,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high
ALL,condition,previous_close,full_2020,1624,48.830049261083744,48.830049261083744,0.0,46.545291605798404,51.127586421804885,0.0,0.0,44.51970443349754,-0.46188634996464484,-180874.9764035127,1.5995498809156976,-2.116068808262633,-0.46188634996464484,-0.27872974652163557,44.51970443349754,-180874.9764035127,0.6065708123034808,0.6516607517508339,-12.332728137168736,-182534.37460460298,1,1,-0.49106176999369633,-207283.75225109363,-0.5619575670866231,-218968.89839702967,1620,4,-0.4584885332613334,-178589.23534559674,-0.4200551036578031,-167581.45273572282,-0.6235386127987813,-0.3198896466312798
ALL,condition,previous_close,primary,654,48.1651376146789,48.1651376146789,0.0,44.634334161231166,52.011922503725785,0.0,0.0,45.412844036697244,-0.6024282179441639,-133261.92975551414,1.972319566485154,-2.7444452823013274,-0.6024282179441639,-0.284612086036379,45.412844036697244,-133261.92975551414,0.5978757517904338,0.6529948765409168,-12.332728137168736,-136408.69907645448,1,1,-0.6650152387515675,-159670.70560309512,-0.7026088765011063,-158229.87390103107,651,3,-0.5954486545640061,-131117.73406314818,-0.5138008993792559,-118741.01996142427,-0.8806597953455312,-0.35202576988980533
ALL,condition,previous_close,2024,242,52.892561983471076,52.892561983471076,0.0,45.22821576763486,60.0,0.0,0.0,50.82644628099173,-0.5493237546948151,-25225.373183299358,1.7383089865305184,-2.913851714112597,-0.5493237546948151,0.0527184701029188,50.82644628099173,-25225.373183299358,0.6166201018389167,0.6573217306632825,-11.124780081111952,-29934.51526094946,1,1,-0.6740964751980713,-32187.409889349357,-0.6494738297775637,-30586.124566599374,242,0,-0.5493237546948151,-25225.373183299358,-0.4948480306803395,-24036.574779849405,-1.0082910738620716,-0.15448546915515637
ALL,condition,previous_close,2025,243,44.03292181069959,44.03292181069959,0.0,39.269473684210524,49.17355371900827,0.0,0.0,40.74074074074074,-0.838457905978554,-78280.24264005882,2.0212418325946904,-2.804501476247659,-0.838457905978554,-0.5531564553884558,40.74074074074074,-78280.24264005882,0.49549047189951884,0.533276518971412,-12.332728137168736,-81999.10308659288,1,1,-1.0059695908262039,-101767.92426912882,-0.9387564294950067,-87363.1099841189,240,3,-0.822476211410306,-76136.04694769284,-0.6149344396038041,-56717.56668637086,-1.3916138372151798,-0.39202681787075766
ALL,condition,previous_close,2026,169,47.337278106508876,47.337278106508876,0.0,42.56659676918297,51.92307692307693,0.0,0.0,44.37869822485207,-0.33909132986123836,-29756.313932155965,2.2915195263461676,-2.437982970452254,-0.33909132986123836,-0.3195731659275936,44.37869822485207,-29756.313932155965,0.749939630331979,0.7914751197131981,-11.91543918827798,-34023.931948241516,1,1,-0.5530633531700553,-54136.311172064,-0.43914630803707955,-40280.639350312806,169,0,-0.33909132986123836,-29756.313932155965,-0.3973189145937306,-37986.878495204,-0.6918270845438466,0.042163723528736916
weak,condition,previous_close,full_2020,717,44.90934449093445,48.830049261083744,-3.9207047701492916,41.13031514612153,48.30149744307458,-6.560277604514683,-1.3954717385067077,40.86471408647141,-0.5317702397907725,-88056.38729907713,1.5165054126355637,-1.947206009038217,-0.5317702397907725,-0.3816903418688087,40.86471408647141,-88056.38729907713,0.5381877736029271,0.5867036913468963,-12.229427049039757,-88092.175407982,49,94,-0.5854419382257062,-108359.59749559918,-0.6318763116161853,-104592.24614415619,716,1,-0.5311148517947987,-87914.84193352713,-0.4903099333878808,-86127.20890117521,-0.7163602198387876,-0.3480956866460474
weak,condition,previous_close,primary,278,44.96402877697842,48.1651376146789,-3.2011088377004837,38.63508477053493,50.33789529325244,-7.911997247516602,0.5349198404676366,42.44604316546763,-0.6222440561192537,-57355.797960577795,1.8104077425130187,-2.416324757610554,-0.6222440561192537,-0.45776223334733,42.44604316546763,-57355.797960577795,0.5525646773671576,0.614150395241065,-12.229427049039757,-58369.09312278287,20,33,-0.7509402422952972,-77659.00815709983,-0.7224340662404823,-67928.26066715684,278,0,-0.6222440561192537,-57355.797960577795,-0.567980097727563,-55967.10136022583,-1.008965360693796,-0.30350896187229254
weak,condition,previous_close,2024,108,48.148148148148145,52.892561983471076,-4.744413835322931,38.095238095238095,57.27320075757576,-11.704199097671859,1.5339307851804915,45.370370370370374,-0.7675247392672245,-16382.801494499712,1.4701092447407185,-2.625898725985685,-0.7675247392672245,-0.2978608997572866,45.370370370370374,-16382.801494499712,0.4649601198354608,0.48149498789054984,-11.124780081111952,-17360.308547799716,8,15,-0.9645512579492276,-20196.701622199744,-0.8677822967282942,-18623.25278899974,108,0,-0.7675247392672245,-16382.801494499712,-0.6488496309781197,-14155.053225849744,-1.3053754048136617,-0.4334176361131842
weak,condition,previous_close,2025,75,37.333333333333336,44.03292181069959,-6.699588477366253,21.873579545454547,49.29671361502347,-21.4046290817816,2.5855771411364374,36.0,-0.6874455553087758,-19421.69159857164,1.9515178607447063,-2.1718624768388595,-0.6874455553087758,-0.5958516813978499,36.0,-19421.69159857164,0.5054320005871821,0.5210161698581512,-12.229427049039757,-20681.13051882165,8,11,-1.0895400830588728,-32936.1744536877,-0.787667231559371,-22089.732101143698,75,0,-0.6874455553087758,-19421.69159857164,-0.7061498787039446,-21569.243215606657,-1.364460438079122,-0.26891130330064816
weak,condition,previous_close,2026,95,47.368421052631575,47.337278106508876,0.031142946122703075,36.0,54.09836065573771,-7.023607019073204,4.886458366342387,44.21052631578947,-0.40560799065404285,-21551.304867506446,2.116709009146046,-2.404425235778642,-0.40560799065404285,-0.3087562926377102,44.21052631578947,-21551.304867506446,0.697627033697497,0.7182988542014114,-11.91543918827798,-22190.434442522477,4,7,-0.747228621282179,-39873.81000408249,-0.5056962105394266,-27215.275777013412,95,0,-0.40560799065404285,-21551.304867506446,-0.3669628012613653,-20242.80491876943,-1.2805761384027452,0.22556953033029942
