condition,timing,window,n,down_pct,baseline_down_pct,lift_pp,down_ci_low,down_ci_high,lift_ci_low,lift_ci_high,net_RT_win_pct,net_RT_mean_pct,net_RT_cash,mean_net_winner_pct,mean_net_loser_pct
notweak,previous_close,2024,134,56.71641791044776,52.892561983471076,3.8238559269766825,47.2510060362173,66.4123561581406,-0.9874054232768701,10.30275552861173,55.223880597014926,-0.3734602745916793,-8842.571688799646,1.915900707445386,-3.1970054857707257
notweak,previous_close,2025,168,47.023809523809526,44.03292181069959,2.9908877131099354,41.45077720207254,53.333333333333336,-1.1249937873636044,8.120062576574803,42.857142857142854,-0.9058741339561336,-58858.551041487175,2.0473883220384343,-3.120820975952059
notweak,previous_close,2026,74,47.2972972972973,47.337278106508876,-0.039980809211576096,42.22222222222222,54.90196078431373,-5.653805447183503,7.330733768495563,44.5945945945946,-0.2536983193839892,-8205.009064649525,2.5140056391463235,-2.481362481127899
highCLV,previous_close,full_2020,341,54.54545454545454,48.830049261083744,5.7154052843708,49.549200903690064,59.821494030163386,1.3298387999688432,10.280983404888621,49.853372434017594,-0.28638093643927287,-19729.982962151,1.7095815718290186,-2.2706711493375744
highCLV,previous_close,primary,141,58.156028368794324,48.1651376146789,9.990890754115423,50.0,66.88322439150254,2.5704302951786584,17.481038409892488,53.191489361702125,-0.2441880126807767,-11148.929736101292,2.355966450962527,-3.198908994093622
highCLV,previous_close,2024,42,61.904761904761905,52.892561983471076,9.012199921290831,46.666666666666664,75.76018808777427,-4.971832038254631,23.632528262608535,54.761904761904766,0.11259234561060806,1720.3784829501174,2.5694338704880924,-2.8614789739779263
highCLV,previous_close,2025,57,56.14035087719298,44.03292181069959,12.107429066493392,41.9325513196481,72.22701149425284,1.141268760927985,24.528946841859522,50.877192982456144,-0.6833110801101246,-16567.36494750171,1.8962693191329767,-3.355019350754765
highCLV,previous_close,2026,42,57.14285714285714,47.337278106508876,9.805579036348266,44.1843365253078,68.57142857142857,-1.7581850721695738,21.448370744363483,54.761904761904766,-0.0050156366037606296,3698.0567284502986,2.722117154178569,-3.3062816464981593
lowCLV,previous_close,full_2020,376,41.755319148936174,48.830049261083744,-7.07473011214757,36.82793795120168,46.65012406947891,-11.185392749697465,-2.8031465871781998,38.03191489361702,-0.6454237704263126,-62255.35535575305,1.4557429962633033,-1.9349810564203689
lowCLV,previous_close,primary,162,38.88888888888889,48.1651376146789,-9.27624872579001,31.546599804305284,46.52660673862405,-14.960146258156406,-3.2592475297905916,37.03703703703704,-0.8366289113531197,-47305.423953953345,1.5506683904457106,-2.2409214418230197
lowCLV,previous_close,2024,59,47.45762711864407,52.892561983471076,-5.434934864827007,32.758620689655174,60.65573770491803,-14.876109926729315,4.215600985935898,47.45762711864407,-0.7716466483718074,-9590.790182599838,1.2364352631677131,-2.5853980523429874
lowCLV,previous_close,2025,57,28.07017543859649,44.03292181069959,-15.962746372103098,19.565217391304348,34.84848484848485,-22.52662822957733,-9.694978256907008,26.31578947368421,-1.0175163828324612,-16686.046182561786,2.1739126043182098,-2.157312449671986
lowCLV,previous_close,2026,46,41.30434782608695,47.337278106508876,-6.032930280421916,27.498774509803926,54.28726708074533,-19.333974358974363,6.833152608521797,36.95652173913043,-0.6958325557351842,-21028.58758879172,1.5183074701925598,-1.9937767088652407
highVolume,previous_close,full_2020,174,51.724137931034484,48.830049261083744,2.894088669950745,43.29245540589734,60.69415772089182,-4.976163093548446,11.00994522946682,47.701149425287355,-0.2516991255192858,2759.018017237407,1.872989845108941,-2.1896022525758
highVolume,previous_close,primary,67,59.70149253731343,48.1651376146789,11.536354922634528,48.64671814671815,72.1311475409836,0.9002246549472461,23.15711970632638,56.71641791044776,0.35104678812239853,12051.407812137251,2.362876184770114,-2.2851434557608155
highVolume,previous_close,2024,31,67.74193548387096,52.892561983471076,14.849373500399887,54.54545454545454,82.6086956521739,0.5485770697167737,30.770767913217234,64.51612903225806,0.3721803374911329,3539.5142741000936,2.2576157185435237,-3.055883991695033
highVolume,previous_close,2025,23,52.17391304347826,44.03292181069959,8.14099123277867,31.812200956937797,76.47058823529412,-10.52114056748291,30.83515180265654,52.17391304347826,0.1776647094551622,2817.4800925511,2.264008082428119,-2.0983462428789723
highVolume,previous_close,2026,13,53.84615384615385,47.337278106508876,6.508875739644971,28.57142857142857,81.85606060606041,-20.860549212023933,36.3355614973262,46.15384615384615,0.6074043095774501,5694.413445486059,2.911480610209402,-1.3675182338213663
highCLV_highVolume,previous_close,full_2020,62,58.06451612903226,48.830049261083744,9.234466867948521,46.478873239436616,70.91055718475073,-2.300870705751968,21.58417717226784,54.83870967741935,0.26102591841550005,10783.08288787022,2.318641556288936,-2.2375073561451013
highCLV_highVolume,previous_close,primary,30,70.0,48.1651376146789,21.834862385321095,54.282738095238095,86.21081504702191,5.838195674889826,38.05966918854421,66.66666666666666,1.354564401329552,13849.687084720164,2.9263481828319473,-1.7890031616752389
highCLV_highVolume,previous_close,2024,13,76.92307692307693,52.892561983471076,24.03051493960585,55.55555555555556,100.0,-2.0291972605446076,47.81004387120777,69.23076923076923,1.782246611905233,5603.589438350047,3.442898938881226,-1.9542211237907519
highCLV_highVolume,previous_close,2025,10,70.0,44.03292181069959,25.96707818930041,33.33333333333333,100.0,-8.060838077600204,55.37190082644627,70.0,1.0822469503548047,3560.1403282010556,2.1093674385610988,-1.314367522126548
highCLV_highVolume,previous_close,2026,7,57.14285714285714,47.337278106508876,9.805579036348266,25.0,100.0,-21.055078822707152,52.07559458778048,57.14285714285714,0.9493223687957839,4685.95731816906,3.1938252841950563,-2.0433481850699127
weak_highCLV,previous_close,full_2020,127,48.031496062992126,48.830049261083744,-0.7985531980916172,40.17045454545455,55.072463768115945,-8.732407915163792,5.948886612661779,46.45669291338583,-0.4421536651765884,-16589.965093805688,1.3521809403501066,-1.999002808207103
weak_highCLV,previous_close,primary,46,52.17391304347826,48.1651376146789,4.00877542879936,39.21355498721228,63.1578947368421,-8.394380786279699,14.171196211249326,50.0,-0.5056617897981047,-12271.751604455822,1.9091980856331252,-2.920521665229335
weak_highCLV,previous_close,2024,14,57.14285714285714,52.892561983471076,4.250295159386064,29.411764705882355,83.36538461538444,-22.81039136302294,29.771898960537545,50.0,-0.012008655703746771,104.90312600002872,2.2331833634267864,-2.2572006748342797
weak_highCLV,previous_close,2025,13,46.15384615384615,44.03292181069959,2.1209243431465685,0.0,66.66666666666666,-40.24425901544038,22.643756223000995,46.15384615384615,-0.5219091058579961,-3217.935008785948,1.0212887233107875,-1.8446501022883819
weak_highCLV,previous_close,2026,19,52.63157894736842,47.337278106508876,5.294300840859545,30.76923076923077,71.42857142857143,-13.408222723955483,21.939804670467616,52.63157894736842,-0.8582896197213902,-9158.7197216699,2.2151540085709653,-4.273226984490673
weak_lowCLV,previous_close,full_2020,211,41.70616113744076,48.830049261083744,-7.123888123642985,35.61627129969929,47.939242291156205,-12.625259852918207,-1.366028560263533,39.33649289099526,-0.5508039730800255,-23094.42412738846,1.4379909251948497,-1.8404131649301398
weak_lowCLV,previous_close,primary,85,41.17647058823529,48.1651376146789,-6.988667026443607,30.88235294117647,50.516313583323885,-16.10413648626729,1.4134451412573799,38.82352941176471,-0.6644289522524112,-15251.756075338639,1.6282147698156835,-2.119375929718702
weak_lowCLV,previous_close,2024,32,43.75,52.892561983471076,-9.142561983471076,22.22222222222222,60.0,-27.915201996491554,4.790141146677053,43.75,-0.9997794981893786,-6600.895021399901,1.262303883395107,-2.7591776838662008
weak_lowCLV,previous_close,2025,24,33.33333333333333,44.03292181069959,-10.699588477366257,16.666666666666664,50.0,-24.770239684028276,4.2837456794615045,33.33333333333333,-0.7104467224796722,-4207.76897183993,2.1218855182032152,-2.1266128428211157
weak_lowCLV,previous_close,2026,29,44.827586206896555,47.337278106508876,-2.5096918996123208,23.524509803921568,61.111111111111114,-21.974867939546353,14.391933891018907,37.93103448275862,-0.2563032986166449,-4443.092082098809,1.7348862627963937,-1.4731413639246127
gapDown1,after_auction,full_2020,270,48.51851851851852,48.830049261083744,-0.3115307425652247,43.15771449170873,54.024615050965075,-5.097876878481418,4.681813480389531,47.40740740740741,-0.4651724742915488,-38457.707796523915,2.0763977134026863,-2.756165319537056
gapDown1,after_auction,primary,170,47.05882352941176,48.1651376146789,-1.106314085267135,40.116766467065865,54.04050207039336,-7.305253946210322,4.7014740333177745,46.470588235294116,-0.6063702911024517,-35001.79294822409,2.2003575986685866,-3.0429802173871994
gapDown1,after_auction,2024,63,50.79365079365079,52.892561983471076,-2.098911189820285,37.31280040475588,64.51612903225806,-11.538264458697565,9.474264537962782,50.79365079365079,-0.6660720420308042,-7657.170552149835,1.6922469413995045,-3.10046583137822
gapDown1,after_auction,2025,58,41.37931034482759,44.03292181069959,-2.653611465872002,30.554378531073446,52.85924369747899,-13.609634871432329,8.00389403260216,39.6551724137931,-1.0435399439241577,-29671.926287864582,2.567238941138971,-3.416337496965642
gapDown1,after_auction,2026,49,48.97959183673469,47.337278106508876,1.6423137302258195,37.142857142857146,59.32834475297508,-9.15670636308284,10.447794300225436,48.97959183673469,-0.012144777385203712,2327.3038917903405,2.5262438551599113,-2.448997864628514
gapUp1,after_auction,full_2020,240,49.583333333333336,48.830049261083744,0.7532840722495937,43.38606218743205,55.859651758603235,-4.798617498152616,6.250151364731663,45.83333333333333,-0.5923235303899491,-34405.680423760175,2.1076351254960506,-2.876903931524256
gapUp1,after_auction,primary,154,48.701298701298704,48.1651376146789,0.5361610866198019,41.47652511961722,56.00151515151515,-5.245535127173258,6.129108338405355,46.75324675324675,-0.5724195146423428,-25731.212995210306,2.1936287190029637,-3.0011447929650505
gapUp1,after_auction,2024,57,56.14035087719298,52.892561983471076,3.2477888937219035,44.99744897959184,68.63051470588233,-4.206075014635925,11.928391618800783,54.385964912280706,-0.6894677609380248,-7569.187522549854,1.778407368228093,-3.6319342610976264
gapUp1,after_auction,2025,47,40.42553191489361,44.03292181069959,-3.607389895805974,28.26086956521739,56.105378361475886,-14.670808008327116,9.410687996214309,40.42553191489361,-0.7735918754888907,-14125.675423253775,2.4891612199516366,-2.9876029045378196
gapUp1,after_auction,2026,50,48.0,47.337278106508876,0.662721893491125,36.95366132723112,58.97435897435898,-8.486162503262655,9.809575913698806,44.0,-0.24988249466951018,-4036.350049406684,2.5234807351846085,-2.4289536038406037
gapUp1_highCLV,after_auction,full_2020,49,51.02040816326531,48.830049261083744,2.190358902181566,35.714285714285715,66.0385781671159,-12.802028124243432,17.0325349636531,48.97959183673469,-0.3342175838728603,529.8389325692776,2.630995510680668,-3.1808221546442472
gapUp1_highCLV,after_auction,primary,36,52.77777777777778,48.1651376146789,4.61264016309888,36.105769230769226,69.44444444444444,-11.82955573978922,20.135702896609825,50.0,0.035658986783135296,4847.925286419253,2.9095916574535132,-2.838273683887243
gapUp1_highCLV,after_auction,2024,11,54.54545454545454,52.892561983471076,1.6528925619834656,28.57142857142857,83.36538461538444,-25.40415601747841,31.144938337256015,45.45454545454545,-0.6973615327132,-1496.3541874499601,1.8428098643437252,-2.814171030260638
gapUp1_highCLV,after_auction,2025,13,53.84615384615385,44.03292181069959,9.813232035454256,25.0,82.37745098039201,-14.921463355029443,35.734076879910184,53.84615384615385,-0.15452865931394688,-3561.957269594935,2.3897370799025413,-3.1228386883998502
gapUp1_highCLV,after_auction,2026,12,50.0,47.337278106508876,2.6627218934911268,14.285714285714285,81.81818181818183,-33.031648936170214,34.13708567192629,50.0,0.9136310795932817,9906.236743464146,4.405073492187805,-2.5778113330012413
gapUp1_highVolume,after_auction,full_2020,28,50.0,48.830049261083744,1.169950738916259,31.995454545454546,70.83333333333334,-16.266190661607634,21.38142875180436,46.42857142857143,-0.11334853207789779,5693.97846536707,2.405664488521214,-2.2964931499304617
gapUp1_highVolume,after_auction,primary,17,64.70588235294117,48.1651376146789,16.54074473826228,42.857142857142854,85.01785714285704,-4.496797013589551,36.462045809598756,64.70588235294117,1.0785517088786583,8642.169148117046,2.3758674446448254,-1.2998604733593142
gapUp1_highVolume,after_auction,2024,7,71.42857142857143,52.892561983471076,18.536009445100355,50.0,100.0,-1.7209266790856792,49.60031496062992,71.42857142857143,0.31083400450721504,450.16072130003045,1.4028117339929445,-2.419110319207108
gapUp1_highVolume,after_auction,2025,7,57.14285714285714,44.03292181069959,13.109935332157551,0.0,90.0,-43.48702664796634,46.90173473869126,57.14285714285714,1.041725688868135,1579.3590118250202,2.3674509298867275,-0.7259079658233217
gapUp1_highVolume,after_auction,2026,3,66.66666666666666,47.337278106508876,19.32938856015779,0.0,100.0,-50.887573964497044,56.09843832251273,66.66666666666666,2.955820399103248,6612.649414991996,4.825339750790724,-0.7832183042717047
gapDown1_lowCLV,after_auction,full_2020,59,28.8135593220339,48.830049261083744,-20.01648993904984,16.39176982268317,41.82002457002456,-32.138551903677104,-7.2969740763251165,27.11864406779661,-1.1665880012663516,-25160.084394066806,1.8155362545572875,-2.2762156313402637
gapDown1_lowCLV,after_auction,primary,40,25.0,48.1651376146789,-23.165137614678898,10.0,41.02564102564102,-37.29899187442725,-7.298296367457021,25.0,-1.330873353209364,-23328.596168616812,2.317259126485235,-2.546917513107564
gapDown1_lowCLV,after_auction,2024,12,33.33333333333333,52.892561983471076,-19.559228650137744,0.0,53.86363636363627,-48.23904206433369,-0.1813191562932232,33.33333333333333,-0.542864414637664,-1347.4479391999762,1.6687082398753201,-1.6486507418941563
gapDown1_lowCLV,after_auction,2025,12,16.666666666666664,44.03292181069959,-27.366255144032927,0.0,50.0,-45.148019599836665,4.548343605546981,16.666666666666664,-2.6951221751185623,-12362.73946940295,2.770981383033335,-3.788342886748942
gapDown1_lowCLV,after_auction,2026,16,25.0,47.337278106508876,-22.337278106508872,0.0,52.63157894736842,-47.621753246753244,3.177448796333504,25.0,-0.8986934407062401,-9618.408760013886,2.7389488848211005,-2.111240882548687
