condition,timing,window,n,down_pct,baseline_down_pct,lift_pp,down_ci_low,down_ci_high,lift_ci_low,lift_ci_high,net_RT_win_pct,net_RT_mean_pct,net_RT_cash,mean_net_winner_pct,mean_net_loser_pct
ALL,previous_close,full_2020,1624,48.830049261083744,48.830049261083744,0.0,46.545291605798404,51.127586421804885,0.0,0.0,44.51970443349754,-0.46188634996464484,-180874.9764035127,1.5995498809156976,-2.116068808262633
ALL,previous_close,primary,654,48.1651376146789,48.1651376146789,0.0,44.634334161231166,52.011922503725785,0.0,0.0,45.412844036697244,-0.6024282179441639,-133261.92975551414,1.972319566485154,-2.7444452823013274
ALL,previous_close,2024,242,52.892561983471076,52.892561983471076,0.0,45.22821576763486,60.0,0.0,0.0,50.82644628099173,-0.5493237546948151,-25225.373183299358,1.7383089865305184,-2.913851714112597
ALL,previous_close,2025,243,44.03292181069959,44.03292181069959,0.0,39.269473684210524,49.17355371900827,0.0,0.0,40.74074074074074,-0.838457905978554,-78280.24264005882,2.0212418325946904,-2.804501476247659
ALL,previous_close,2026,169,47.337278106508876,47.337278106508876,0.0,42.56659676918297,51.92307692307693,0.0,0.0,44.37869822485207,-0.33909132986123836,-29756.313932155965,2.2915195263461676,-2.437982970452254
weak,previous_close,full_2020,717,44.90934449093445,48.830049261083744,-3.9207047701492916,41.13031514612153,48.30149744307458,-6.560277604514683,-1.3954717385067077,40.86471408647141,-0.5317702397907725,-88056.38729907713,1.5165054126355637,-1.947206009038217
weak,previous_close,primary,278,44.96402877697842,48.1651376146789,-3.2011088377004837,38.63508477053493,50.33789529325244,-7.911997247516602,0.5349198404676366,42.44604316546763,-0.6222440561192537,-57355.797960577795,1.8104077425130187,-2.416324757610554
weak,previous_close,2024,108,48.148148148148145,52.892561983471076,-4.744413835322931,38.095238095238095,57.27320075757576,-11.704199097671859,1.5339307851804915,45.370370370370374,-0.7675247392672245,-16382.801494499712,1.4701092447407185,-2.625898725985685
weak,previous_close,2025,75,37.333333333333336,44.03292181069959,-6.699588477366253,21.873579545454547,49.29671361502347,-21.4046290817816,2.5855771411364374,36.0,-0.6874455553087758,-19421.69159857164,1.9515178607447063,-2.1718624768388595
weak,previous_close,2026,95,47.368421052631575,47.337278106508876,0.031142946122703075,36.0,54.09836065573771,-7.023607019073204,4.886458366342387,44.21052631578947,-0.40560799065404285,-21551.304867506446,2.116709009146046,-2.404425235778642
notweak,previous_close,full_2020,907,51.929437706725466,48.830049261083744,3.0993884456417264,48.98811133386172,55.15936275829072,1.151479191446969,5.373178279020583,47.4090407938258,-0.4066418637404623,-92818.58910443557,1.6561359953484398,-2.266169074239892
notweak,previous_close,primary,376,50.53191489361703,48.1651376146789,2.366777278938126,46.082495946407235,55.96896551724137,-0.38362253026213156,5.782286288006868,47.6063829787234,-0.5877771461019432,-75906.13179493634,2.0790547353606392,-3.010939109461346
