scenario,year,increment_cash,fees,dividend_tax,sales,deficit_days,ending_relative
S1_F1_10_paid_open_5,2023,-865.3678471049861,211.397347105,49.50000000000001,10,175,-3458.655931904781
S1_F1_10_paid_open_5,2024,-1171.5065067849973,39.06800678500001,0.0,2,230,-4630.162438689778
S1_F1_10_paid_open_5,2025,-3942.5827536949982,43.573253695000005,0.0,2,233,-8572.745192384777
S1_F1_10_paid_open_5,2026,-242.40000000000873,0.0,0.0,0,169,-8815.145192384785
S1_F1_10_locked_open_5,2020,354.52605820007557,1309.4439418000002,0.0,51,0,354.52605820007557
S1_F1_10_locked_open_5,2021,-1731.5132969999177,1076.5832970000001,50.0,46,0,-1376.987238799842
S1_F1_10_locked_open_5,2022,-835.7985364799679,577.98053648,100.0,28,92,-2212.78577527981
S1_F1_10_locked_open_5,2023,-649.0,0.0,0.0,0,242,-2861.78577527981
S1_F1_10_locked_open_5,2024,-695.9999999999982,0.0,0.0,0,242,-3557.785775279808
S1_F1_10_locked_open_5,2025,-4119.0,0.0,0.0,0,243,-7676.785775279808
S1_F1_10_locked_open_5,2026,-300.0000000000073,0.0,0.0,0,169,-7976.785775279815
S1_F1_30_paid_open_5,2020,354.5260582000701,1309.4439418000002,0.0,51,0,354.5260582000701
S1_F1_30_paid_open_5,2021,-1731.5132969999322,1076.5832970000001,50.0,46,0,-1376.987238799862
S1_F1_30_paid_open_5,2022,-1216.300845999951,843.760846,100.0,42,0,-2593.288084799813
S1_F1_30_paid_open_5,2023,-1347.72457019996,715.1045702,110.0,29,0,-3941.012654999773
S1_F1_30_paid_open_5,2024,3080.541969150083,802.8930308500001,116.0,37,0,-860.4706858496902
S1_F1_30_paid_open_5,2025,10487.235578181131,1464.3944218190002,128.0,46,0,9626.764892331441
S1_F1_30_paid_open_5,2026,1644.642365114225,1757.7476348860005,196.0,35,0,11271.407257445666
S1_F1_30_locked_open_5,2020,354.5260582000701,1309.4439418000002,0.0,51,0,354.5260582000701
S1_F1_30_locked_open_5,2021,-1731.5132969999322,1076.5832970000001,50.0,46,0,-1376.987238799862
S1_F1_30_locked_open_5,2022,-1216.300845999951,843.760846,100.0,42,0,-2593.288084799813
S1_F1_30_locked_open_5,2023,-1347.72457019996,715.1045702,110.0,29,0,-3941.012654999773
S1_F1_30_locked_open_5,2024,3080.5419691500792,802.8930308500001,116.0,37,0,-860.4706858496938
S1_F1_30_locked_open_5,2025,10487.235578181135,1464.3944218190002,128.0,46,0,9626.764892331441
S1_F1_30_locked_open_5,2026,1644.642365114225,1757.7476348860005,196.0,35,0,11271.407257445666
S2_F2_0_paid_open_5,2020,-367.5363055399812,254.13930554,0.0,9,202,-367.5363055399812
S2_F2_0_paid_open_5,2021,-99.94435326998246,269.06085327,45.0,11,176,-467.48065880996364
S2_F2_0_paid_open_5,2022,-662.819181319981,379.54318132000003,45.0,18,159,-1130.2998401299446
S2_F2_0_paid_open_5,2023,-649.0,0.0,0.0,0,242,-1779.2998401299446
S2_F2_0_paid_open_5,2024,-696.0,0.0,0.0,0,242,-2475.2998401299446
S2_F2_0_paid_open_5,2025,-4267.070900029994,48.62790003,0.0,2,231,-6742.370740159939
S2_F2_0_paid_open_5,2026,-242.40000000000873,0.0,0.0,0,169,-6984.770740159947
S2_F2_0_locked_open_5,2020,-367.5363055399812,254.13930554,0.0,9,202,-367.5363055399812
S2_F2_0_locked_open_5,2021,170.0,0.0,0.0,0,243,-197.53630553998119
S2_F2_0_locked_open_5,2022,3.0976742100046977,110.98232579,45.0,5,212,-194.4386313299765
S2_F2_0_locked_open_5,2023,-649.0,0.0,0.0,0,242,-843.4386313299765
S2_F2_0_locked_open_5,2024,-696.0,0.0,0.0,0,242,-1539.4386313299765
S2_F2_0_locked_open_5,2025,-4119.0,0.0,0.0,0,243,-5658.4386313299765
S2_F2_0_locked_open_5,2026,-300.0000000000073,0.0,0.0,0,169,-5958.438631329984
S2_F2_10_paid_open_5,2020,-1080.0079168999255,1168.6629169000003,40.0,46,0,-1080.0079168999255
S2_F2_10_paid_open_5,2021,-1252.2013072499376,821.6788072500001,45.0,34,75,-2332.209224149863
S2_F2_10_paid_open_5,2022,-635.8051410499811,379.54264105000004,45.0,18,161,-2968.014365199844
S2_F2_10_paid_open_5,2023,-649.0,0.0,0.0,0,242,-3617.014365199844
S2_F2_10_paid_open_5,2024,-696.0,0.0,0.0,0,242,-4313.014365199844
S2_F2_10_paid_open_5,2025,-4267.070900029998,48.62790003,0.0,2,231,-8580.085265229842
S2_F2_10_paid_open_5,2026,-242.40000000000873,0.0,0.0,0,169,-8822.48526522985
S2_F2_10_locked_open_5,2020,-1080.0079168999255,1168.6629169000003,40.0,46,0,-1080.0079168999255
S2_F2_10_locked_open_5,2021,-825.0696238799646,453.87562388000003,22.5,18,150,-1905.0775407798901
S2_F2_10_locked_open_5,2022,-222.14659027498783,201.961590275,45.0,9,201,-2127.224131054878
S2_F2_10_locked_open_5,2023,-649.0,0.0,0.0,0,242,-2776.224131054878
S2_F2_10_locked_open_5,2024,-696.0,0.0,0.0,0,242,-3472.224131054878
S2_F2_10_locked_open_5,2025,-4119.0,0.0,0.0,0,243,-7591.224131054878
S2_F2_10_locked_open_5,2026,-300.0000000000073,0.0,0.0,0,169,-7891.224131054885
S2_F2_30_paid_open_5,2020,-1080.0079168999218,1168.6629169000003,40.0,46,0,-1080.0079168999218
S2_F2_30_paid_open_5,2021,-2222.893249199915,1133.5732492000002,50.0,49,0,-3302.9011660998367
S2_F2_30_paid_open_5,2022,-1208.163133549957,915.15813355,100.0,46,0,-4511.064299649794
S2_F2_30_paid_open_5,2023,-2499.0960075699095,1106.72900757,110.0,47,8,-7010.160307219703
S2_F2_30_paid_open_5,2024,3268.8817143001506,1222.5082857000002,116.0,57,0,-3741.2785929195525
S2_F2_30_paid_open_5,2025,4007.183941912168,1579.4210580880003,128.0,53,0,265.9053489926155
S2_F2_30_paid_open_5,2026,787.8957682292094,1906.5292317710005,196.0,39,0,1053.8011172218248
S2_F2_30_locked_open_5,2020,-1080.0079168999218,1168.6629169000003,40.0,46,0,-1080.0079168999218
S2_F2_30_locked_open_5,2021,-2222.893249199915,1133.5732492000002,50.0,49,0,-3302.9011660998367
S2_F2_30_locked_open_5,2022,-1208.163133549957,915.15813355,100.0,46,0,-4511.064299649794
S2_F2_30_locked_open_5,2023,-1220.9860669849531,738.3775669849999,49.50000000000001,32,80,-5732.050366634747
S2_F2_30_locked_open_5,2024,3362.9230919301517,1193.22990807,116.0,55,4,-2369.127274704595
S2_F2_30_locked_open_5,2025,4007.1839419121607,1579.4210580880003,128.0,53,0,1638.0566672075656
S2_F2_30_locked_open_5,2026,787.8957682292094,1906.5292317710005,196.0,39,0,2425.952435436775
S1_F1_30_paid_open_10,2020,-411.11668359989926,1309.0566836000003,0.0,51,0,-411.11668359989926
S1_F1_30_paid_open_10,2021,-2326.149393999922,1076.289394,50.0,46,0,-2737.266077599821
S1_F1_30_paid_open_10,2022,-1628.634491999961,843.554492,100.0,42,0,-4365.900569599782
S1_F1_30_paid_open_10,2023,-1830.1367403999375,714.8967404,110.0,29,0,-6196.03730999972
S1_F1_30_paid_open_10,2024,2250.1852383000987,802.6847617000001,116.0,37,0,-3945.852071699621
S1_F1_30_paid_open_10,2025,8787.293310362096,1463.966689638,128.0,46,0,4841.441238662475
S1_F1_30_paid_open_10,2026,-576.4110817718174,1757.191081772,196.0,35,0,4265.030156890658
S1_F1_30_paid_post0935_5,2020,1094.9108656000826,1309.4291343999998,0.0,51,0,1094.9108656000826
S1_F1_30_paid_post0935_5,2021,-2381.851303499916,1076.5963035000002,50.0,46,0,-1286.9404378998333
S1_F1_30_paid_post0935_5,2022,-1806.6009485499544,843.7659485500001,100.0,42,0,-3093.5413864497878
S1_F1_30_paid_post0935_5,2023,-187.13296439994338,715.0929644,110.0,29,0,-3280.674350849731
S1_F1_30_paid_post0935_5,2024,3500.7561712500683,802.8888287500001,116.0,37,0,220.08182040033716
S1_F1_30_paid_post0935_5,2025,8345.854266603164,1464.7057333970001,128.0,46,0,8565.936087003502
S1_F1_30_paid_post0935_5,2026,-466.719582282778,1758.0545822830002,196.0,35,0,8099.216504720724
S1_F1_30_paid_post0935_10,2020,329.6381312001067,1309.0418688,0.0,51,0,329.6381312001067
S1_F1_30_paid_post0935_10,2021,-2976.812406999932,1076.3024070000001,50.0,46,0,-2647.1742757998254
S1_F1_30_paid_post0935_10,2022,-2219.2295970999676,843.5595971,100.0,42,0,-4866.403872899793
S1_F1_30_paid_post0935_10,2023,-668.9651287999422,714.8851288000001,110.0,29,0,-5535.369001699735
S1_F1_30_paid_post0935_10,2024,2670.6094425000992,802.6805575000001,116.0,37,0,-2864.759559199636
S1_F1_30_paid_post0935_10,2025,6644.841843206144,1464.278156794,128.0,46,0,3780.0822840065084
S1_F1_30_paid_post0935_10,2026,-2688.8281825657905,1757.4981825660002,196.0,35,0,1091.254101440718
S1_F1_30_locked_open_10,2020,-411.11668359989926,1309.0566836000003,0.0,51,0,-411.11668359989926
S1_F1_30_locked_open_10,2021,-2326.149393999922,1076.289394,50.0,46,0,-2737.266077599821
S1_F1_30_locked_open_10,2022,-1628.634491999961,843.554492,100.0,42,0,-4365.900569599782
S1_F1_30_locked_open_10,2023,-1487.4143227299392,689.2213227300001,110.0,27,27,-5853.314892329721
S1_F1_30_locked_open_10,2024,-1165.7049132400007,39.06091324,0.0,2,231,-7019.019805569722
S1_F1_30_locked_open_10,2025,-4066.7999999999993,0.0,0.0,0,243,-11085.819805569721
S1_F1_30_locked_open_10,2026,-300.0000000000073,0.0,0.0,0,169,-11385.819805569728
S1_F1_30_locked_post0935_5,2020,1094.9108656000826,1309.4291343999998,0.0,51,0,1094.9108656000826
S1_F1_30_locked_post0935_5,2021,-2381.851303499916,1076.5963035000002,50.0,46,0,-1286.9404378998333
S1_F1_30_locked_post0935_5,2022,-1806.6009485499544,843.7659485500001,100.0,42,0,-3093.5413864497878
S1_F1_30_locked_post0935_5,2023,-187.13296439994338,715.0929644,110.0,29,0,-3280.674350849731
S1_F1_30_locked_post0935_5,2024,3500.7561712500683,802.8888287500001,116.0,37,0,220.08182040033716
S1_F1_30_locked_post0935_5,2025,8345.854266603164,1464.7057333970001,128.0,46,0,8565.936087003502
S1_F1_30_locked_post0935_5,2026,-466.719582282778,1758.0545822830002,196.0,35,0,8099.216504720724
S1_F1_30_locked_post0935_10,2020,329.6381312001067,1309.0418688,0.0,51,0,329.6381312001067
S1_F1_30_locked_post0935_10,2021,-2976.812406999932,1076.3024070000001,50.0,46,0,-2647.1742757998254
S1_F1_30_locked_post0935_10,2022,-2219.2295970999676,843.5595971,100.0,42,0,-4866.403872899793
S1_F1_30_locked_post0935_10,2023,-1254.5814317199893,227.14943172,0.0,10,170,-6120.985304619782
S1_F1_30_locked_post0935_10,2024,-646.5,0.0,0.0,0,242,-6767.485304619782
S1_F1_30_locked_post0935_10,2025,-4119.0,0.0,0.0,0,243,-10886.485304619782
S1_F1_30_locked_post0935_10,2026,-300.0000000000073,0.0,0.0,0,169,-11186.48530461979
S0_30_paid_open_10,2020,-5871.8190730398,2597.08707304,0.0,101,41,-5871.8190730398
S0_30_paid_open_10,2021,-203.68874937998953,176.05974938,45.0,7,229,-6075.50782241979
